TFA Replicate 1 Intensity,TFA Replicate 2 Intensity,TFA Replicate 3 Intensity,TEAA Replicate 1 Intensity,TEAA Replicate 2 Intensity,TEAA Replicate 3 Intensity,,
9992300,NA,NA,16517000,15528000,14454000,,
NA,7827600,16592000,17262000,21033000,NA,,
3301600,3079300,5071200,6242300,NA,5798900,,
29223000,NA,NA,NA,45355000,47178000,,
3203900,2516100,NA,4375500,4225000,5053500,,
139620000,81098000,126280000,207930000,220490000,126870000,,
16150000,11718000,20506000,24287000,25138000,28219000,,
17608000,NA,21336000,30788000,15945000,47483000,,
36765000,24247000,34903000,50337000,51873000,53468000,,
174560000,107400000,81001000,141830000,264950000,190240000,,
NA,9909000,20513000,28550000,24416000,22312000,,
NA,NA,11850000,15935000,22732000,20245000,,
2646300,NA,NA,NA,4413800,NA,,
7119900,6199600,8822500,11006000,14056000,12880000,,
NA,NA,22646000,36268000,41418000,NA,,
3296300,2670400,5912900,5060300,9858900,5567000,,
NA,98290000,NA,113700000,211200000,185520000,,
65034000,68295000,110440000,116570000,174500000,133420000,,
NA,32534000,NA,NA,56677000,NA,,
NA,5295200,NA,8706100,10358000,NA,,
312680000,130960000,NA,287600000,513630000,NA,,
29587000,14131000,38842000,50318000,44325000,54622000,,
13792000,9819200,NA,20445000,20462000,23321000,,
13642000,NA,12839000,19751000,NA,28320000,,
8303800,NA,1002500,NA,NA,8569200,,
NA,22963000,NA,28190000,46860000,52192000,,
6137900,6930000,7504800,12976000,12298000,13052000,,
41998000,47112000,67669000,82421000,115380000,98566000,,
1504900,NA,2091300,NA,3404700,NA,,
17095000,12946000,21305000,26453000,39154000,34737000,,
9927900,24516000,19015000,27215000,37890000,39940000,,
NA,2387600,3440500,NA,6551600,5138000,,
5286400,3227100,21631000,NA,20605000,NA,,
28645000,NA,30777000,NA,NA,61516000,,
26960000,21052000,NA,NA,49792000,NA,,
NA,NA,5135600,NA,11043000,NA,,
3568200,2618700,30452000,30194000,9174100,39546000,,
24176000,12681000,NA,NA,39761000,NA,,
NA,NA,1820400,3872100,4280600,NA,,
NA,12990000,NA,NA,27458000,31010000,,
NA,20874000,12986000,31617000,43964000,39317000,,
10002000,6361400,13190000,NA,NA,22363000,,
NA,2137700,3085000,6793700,6905800,4458300,,
NA,6229800,NA,NA,NA,14649000,,
21794000,NA,18138000,44127000,56539000,45032000,,
NA,18708000,NA,NA,NA,45595000,,
755220,685610,1138200,1489200,2862400,1991800,,
NA,NA,4514600,10179000,NA,12098000,,
NA,11684000,NA,NA,NA,30085000,,
7823400,27249000,44111000,63337000,63325000,79642000,,
NA,27283000,NA,NA,NA,73391000,,
50459000,33008000,58742000,NA,62114000,196980000,,
NA,191150000,239800000,508940000,675890000,587480000,,
1234500,NA,46649000,54594000,64740000,78424000,,
2018100,16494000,29532000,619760,92181000,NA,,
NA,462790,523780,1384600,1474600,NA,,
NA,2563000,3682600,9876200,9948500,7962200,,
3003500,3508900,5874400,9680400,15273000,NA,,
653490,9926000,676780,NA,NA,11358000,,
8987900,13997000,NA,NA,NA,35230000,,
8929500,21261000,11393000,39990000,46065000,NA,,
152940000,103740000,173110000,463160000,470140000,500010000,,
4762300,NA,3839500,NA,14397000,NA,,
1908000,NA,2180600,3389900,13205000,3960700,,
NA,6388900,NA,23055000,NA,NA,,
NA,NA,16219000,49234000,66019000,67986000,,
9284600,NA,7741000,32240000,NA,NA,,
901850,8832500,NA,19344000,18848000,NA,,
NA,873190,NA,2564800,3618700,4184900,,
NA,8981900,5537000,37765000,46450000,7722100,,
5660400,4090200,21020000,34682000,55416000,43261000,,
402650,NA,425060000,3021900000,14981000,29081000,,
1202700,NA,NA,5662800,5481600,6498200,,
NA,NA,3527000,20212000,16511000,15056000,,
591540,NA,NA,2539400,2885700,3693500,,
NA,NA,19119000,101180000,83297000,116640000,,
3862400,NA,NA,20584000,29249000,14885000,,
NA,NA,1651200,NA,NA,10055000,,
13347000,30043000,40545000,119100000,246780000,154410000,,
NA,8022100,NA,37665000,62713000,NA,,
1208700,NA,1729400,10643000,7160600,9958700,,
NA,NA,3215200,9560200,26670000,24997000,,
10590000,8970100,NA,18800000,90144000,78546000,,
3933000,6257500,2169300,10908000,44349000,NA,,
NA,NA,1079300,NA,7313600,NA,,
3623200,2721700,4210800,18978000,35488000,19106000,,
NA,NA,1219100,10143000,8841900,10349000,,
3526000,2477600,4403300,20927000,24807000,39011000,,
NA,NA,4973900,NA,NA,42332000,,
NA,NA,1566000,14725000,12518000,14054000,,
NA,NA,5748600,NA,52601000,NA,,
2725200,1097700,2762100,20103000,26179000,21344000,,
1340800,1148900,1127100,11024000,11290000,15145000,,
NA,NA,12219000,NA,NA,140710000,,
1030200,NA,NA,7974700,16129000,NA,,
1967200,NA,NA,23171000,35251000,12234000,,
2123600,1323500,1865900,17565000,28918000,NA,,
NA,NA,1774000,19327000,28292000,23927000,,
1014200,NA,NA,11993000,15366000,14224000,,
NA,1458800,357670,481960,37815000,721260,,
2077000,1754600,1850500,30233000,28902000,31628000,,
1674500,1120200,604200,19156000,NA,17382000,,
NA,NA,478320,12151000,4845000,6270200,,
547490,NA,881700,12426000,NA,NA,,
NA,938330,NA,12262000,15686000,22242000,,
912300,NA,NA,11953000,19958000,25788000,,
563210,3810000,1019600,26786000,28730000,58533000,,
1976800,12743000,2095700,160980000,164720000,58020000,,
1614000,969430,885200,23707000,25951000,30403000,,
NA,NA,521400,13380000,12138000,11676000,,
826440,NA,NA,NA,21838000,20811000,,
NA,1085600,NA,NA,29440000,NA,,
2649000,2277000,3201100,76173000,126730000,59320000,,
6247500,3200800,NA,127580000,177650000,164890000,,
719680,NA,NA,29635000,NA,NA,,
3617900,2188400,4915200,161560000,168490000,143880000,,
1543700,NA,NA,68785000,103830000,50554000,,
NA,NA,361650,24510000,39476000,26483000,,
NA,628490,NA,NA,77565000,NA,,
994230,NA,NA,120900000,109420000,155400000,,
NA,557450,592880,NA,88978000,90412000,,
NA,NA,986120,345670000,433440000,480880000,,
NA,NA,NA,NA,63352000,NA,,
3527800,NA,NA,NA,NA,NA,,
NA,NA,NA,19169000,28420000,25881000,,
NA,NA,NA,10632000,14359000,1.20E+07,,
NA,NA,NA,16067000,4713300,7270500,,
NA,NA,NA,3768300,5048600,3205200,,
NA,NA,NA,19250000,23761000,27718000,,
NA,NA,NA,5767300,8155500,NA,,
NA,NA,NA,NA,NA,6843300,,
NA,NA,NA,6207500,10215000,7526100,,
NA,NA,NA,NA,19532000,NA,,
NA,NA,NA,17581000,25168000,16690000,,
NA,NA,NA,NA,3384200,1978400,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,NA,16660000,17081000,,
NA,NA,NA,7735400,11977000,9448400,,
NA,NA,NA,8460300,10834000,11304000,,
NA,NA,NA,NA,NA,57973000,,
NA,NA,NA,NA,2305900,2984900,,
NA,NA,NA,2200000,4104100,2887900,,
NA,NA,NA,4582900,NA,6437000,,
NA,NA,NA,5096400,8884500,7054300,,
NA,NA,NA,1651600,2973000,2572600,,
NA,NA,NA,22916000,30308000,26063000,,
NA,NA,NA,2111200,1970300,1723900,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,NA,20217000,NA,,
NA,NA,NA,7595200,7807800,3506800,,
NA,NA,NA,68760000,94507000,81410000,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,20876000,35870000,22558000,,
NA,NA,NA,NA,4808900,3534500,,
NA,NA,NA,8715500,8708000,23743000,,
NA,NA,NA,71092000,29848000,NA,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,1833800,4212400,10619000,,
