TFA Replicate 1 Intensity,TFA Replicate 2 Intensity,TFA Replicate 3 Intensity,TEAA Replicate 1 Intensity,TEAA Replicate 2 Intensity,TEAA Replicate 3 Intensity,,
NA,NA,NA,NA,4519800,5309200,,
2193100,NA,2488600,NA,NA,NA,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,3487100,3506600,3107300,,
13718000,11035000,NA,NA,NA,NA,,
NA,NA,NA,NA,25511000,NA,,
NA,NA,NA,NA,NA,21145000,,
NA,NA,NA,19952000,22611000,NA,,
NA,NA,NA,5130700,7116400,7515400,,
NA,NA,NA,2081900,2987700,3368100,,
7355200,NA,NA,NA,NA,NA,,
NA,NA,NA,NA,4047000,4628500,,
7960400,4976300,NA,NA,NA,NA,,
NA,NA,NA,3483600,4840200,3763400,,
NA,2632600,NA,NA,NA,NA,,
NA,NA,NA,NA,3629400,4490500,,
NA,NA,NA,NA,27146000,NA,,
NA,NA,NA,NA,NA,26041000,,
NA,NA,NA,1172100,NA,54342000,,
NA,NA,NA,5168800,8335500,NA,,
NA,NA,NA,NA,NA,6477300,,
8109100,NA,NA,NA,NA,NA,,
NA,38342000,NA,NA,NA,NA,,
NA,NA,52370000,NA,NA,NA,,
NA,NA,NA,NA,NA,100260000,,
7509100,NA,NA,NA,NA,NA,,
NA,14591000,NA,NA,NA,NA,,
NA,NA,25699000,NA,NA,NA,,
NA,NA,NA,16109000,27183000,19129000,,
NA,NA,NA,NA,8583200,7973200,,
NA,NA,NA,5449400,7083700,7154700,,
NA,NA,NA,6946700,4975800,4505100,,
NA,NA,NA,4369400,5564000,6059900,,
NA,NA,92953000,NA,NA,NA,,
NA,NA,NA,351590000,NA,310980000,,
NA,NA,NA,15573000,17143000,NA,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,16114000,NA,21041000,,
4020800,NA,3628800,NA,NA,NA,,
NA,NA,NA,5666600,5802600,5861000,,
NA,NA,NA,NA,NA,13648000,,
NA,17092000,NA,NA,NA,NA,,
NA,NA,NA,37620000,NA,36882000,,
NA,NA,NA,NA,24562000,24516000,,
NA,NA,NA,4056600,NA,5048600,,
NA,NA,NA,2900800,4005000,5022700,,
NA,NA,NA,NA,11833000,NA,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,NA,NA,9497100,,
NA,NA,NA,6639800,4931600,6769400,,
NA,NA,NA,1930800,2237200,1996200,,
NA,NA,NA,68460000,NA,NA,,
NA,NA,NA,NA,7699400,8053200,,
15240000,NA,NA,NA,NA,NA,,
NA,NA,NA,NA,5855300,NA,,
NA,NA,NA,NA,NA,NA,,
NA,NA,28510000,NA,NA,NA,,
NA,NA,NA,2244400,1931500,1993600,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,NA,3083100,4866500,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,3436800,3662600,3301500,,
NA,NA,NA,13785000,NA,15038000,,
36278000,NA,24566000,NA,NA,NA,,
9132500,NA,11840000,NA,NA,NA,,
NA,NA,NA,14449000,19021000,20832000,,
NA,NA,NA,NA,NA,15628000,,
NA,NA,NA,94591000,55860000,NA,,
NA,NA,NA,NA,1799400000,NA,,
NA,NA,NA,NA,16242000,3379900000,,
NA,62126000,10518000,NA,NA,118990000,,
NA,NA,NA,104800000,NA,NA,,
NA,NA,NA,NA,132180000,NA,,
175160000,NA,NA,NA,NA,NA,,
NA,NA,NA,NA,NA,4211100,,
NA,NA,7222300,NA,NA,NA,,
NA,NA,NA,NA,NA,1360300,,
NA,NA,NA,12662000,20174000,NA,,
NA,NA,NA,NA,NA,14735000,,
10640000,9092800,11491000,NA,NA,NA,,
NA,NA,NA,2077900,2351200,NA,,
NA,NA,NA,10350000,11663000,NA,,
NA,NA,NA,7458700,11174000,11166000,,
NA,NA,NA,14435000,18188000,NA,,
NA,NA,NA,29863000,27906000,26210000,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,NA,NA,15878000,,
NA,NA,NA,4816900,NA,4125700,,
NA,NA,NA,9819700,13500000,14988000,,
NA,NA,NA,4924900,NA,NA,,
NA,NA,NA,NA,NA,9222300,,
NA,NA,NA,23358000,NA,19036000,,
22616000,NA,NA,NA,NA,NA,,
NA,NA,NA,21208000,NA,NA,,
NA,NA,NA,918160,NA,10848000,,
NA,NA,NA,2487900,2254300,2433400,,
NA,64146000,NA,NA,NA,NA,,
NA,NA,18635000,NA,NA,NA,,
NA,NA,NA,7580900,7347100,4362800,,
NA,NA,NA,7609400,10560000,9178400,,
NA,NA,NA,NA,7697400,NA,,
NA,NA,NA,21902000,NA,19133000,,
NA,NA,NA,4866600,4416800,4375900,,
NA,NA,NA,6898700,9690500,10414000,,
NA,NA,NA,72208000,63200000,NA,,
NA,NA,NA,NA,NA,62366000,,
NA,NA,NA,11202000,11642000,13049000,,
NA,NA,NA,46380000,80773000,58103000,,
NA,NA,NA,14100000,24268000,NA,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,4547700,6964500,7114400,,
NA,NA,NA,47134000,17720000,NA,,
NA,NA,NA,1040700,806730,NA,,
NA,NA,NA,NA,NA,2071400,,
NA,NA,NA,21006000,24463000,25029000,,
NA,NA,NA,8781900,7743600,8996500,,
NA,NA,NA,4432700,3209600,NA,,
NA,NA,NA,NA,NA,5219000,,
NA,NA,NA,55437000,53773000,56927000,,
NA,NA,NA,9771700,NA,12956000,,
NA,NA,NA,NA,14198000,NA,,
NA,NA,NA,10592000,14986000,16052000,,
NA,NA,NA,10571000,16637000,14851000,,
NA,NA,NA,5622200,5161700,5602500,,
NA,NA,NA,15748000,20516000,22657000,,
NA,NA,9832000,11763000,NA,NA,,
NA,NA,NA,11181000,NA,NA,,
NA,NA,NA,NA,8191500,11556000,,
NA,NA,NA,39797000,NA,NA,,
NA,2131500,NA,NA,NA,NA,,
NA,NA,NA,11990000,14508000,19104000,,
NA,NA,NA,NA,NA,13100000,,
NA,NA,NA,22557000,31364000,27697000,,
NA,NA,NA,NA,NA,13230000,,
NA,NA,NA,5370100,9465300,5362500,,
NA,NA,NA,84556000,NA,100440000,,
NA,NA,NA,4262300,5761700,NA,,
NA,NA,NA,NA,26521000,26617000,,
NA,NA,NA,5105900,8193000,7852000,,
NA,NA,NA,NA,1800900,NA,,
NA,NA,NA,NA,NA,20735000,,
NA,NA,NA,NA,NA,3373800,,
NA,NA,NA,7842300,11618000,8781400,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,NA,9287300,NA,,
NA,NA,NA,NA,NA,9196500,,
NA,NA,NA,26824000,31458000,25222000,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,4182000,NA,NA,,
NA,NA,NA,NA,NA,5265900,,
NA,NA,NA,1.01E+08,110460000,100320000,,
NA,NA,NA,1843800,NA,3151600,,
NA,NA,NA,13774000,13655000,10969000,,
NA,NA,NA,9585000,11605000,9308100,,
NA,NA,NA,44764000,NA,NA,,
NA,NA,NA,10802000,23941000,12589000,,
NA,NA,NA,5460300,7636300,7386500,,
NA,NA,NA,5926000,4947600,NA,,
NA,NA,NA,17597000,14268000,12811000,,
NA,NA,NA,NA,1430400,5617800,,
NA,NA,NA,4696300,9079700,6513600,,
NA,NA,NA,8517000,10527000,11655000,,
NA,NA,NA,30847000,27285000,105680000,,
NA,NA,NA,16054000,18745000,23532000,,
NA,NA,NA,NA,5393800,NA,,
NA,NA,NA,2833500,5642700,4466100,,
NA,NA,NA,2830000,4005500,2830400,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,13658000,30278000,16189000,,
NA,NA,NA,14830000,24586000,8570600,,
NA,NA,NA,12863000,15391000,12031000,,
NA,NA,NA,5654600,12190000,8802600,,
NA,NA,NA,14804000,21752000,24646000,,
NA,NA,NA,2192300,3233100,2493200,,
NA,NA,NA,1380900,2205800,1609600,,
NA,NA,NA,NA,NA,13256000,,
NA,NA,NA,27231000,13422000,33020000,,
NA,NA,NA,6070900,6643200,5077000,,
NA,NA,NA,NA,NA,6515500,,
NA,NA,NA,3418100,4983500,4465500,,
NA,NA,NA,NA,5353800,NA,,
NA,NA,NA,8506800,10534000,8711500,,
NA,25346000,NA,NA,NA,NA,,
NA,NA,NA,4694200,1738900,NA,,
NA,NA,NA,2604600,4410900,2959100,,
NA,NA,NA,18997000,27388000,36301000,,
NA,NA,NA,8136200,6841700,NA,,
NA,NA,NA,NA,NA,8896300,,
NA,NA,NA,NA,9620700,NA,,
NA,NA,NA,3532000,4664700,4022200,,
NA,NA,NA,1226100,NA,NA,,
NA,NA,NA,NA,2056200,NA,,
NA,NA,NA,2147600,4375700,2753700,,
NA,NA,NA,2908400,5211100,4426800,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,NA,34465000,NA,,
NA,NA,NA,2878400,5109600,4728000,,
NA,NA,NA,3637200,NA,3737500,,
NA,NA,NA,5206000,6717500,8013500,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,13114000,17072000,13748000,,
NA,NA,NA,9114400,11315000,10940000,,
NA,NA,NA,NA,NA,NA,,
NA,NA,NA,5609800,4872300,3253800,,
NA,NA,NA,3985000,4189800,3344600,,
NA,NA,NA,3896600,5764200,5701000,,
NA,NA,NA,24549000,30677000,32128000,,
NA,NA,NA,NA,24574000,NA,,
