K1M1,K1M2,K1M3,K1M4,K1M5,K1M6,K2M1,K2M2,K2M3,K2M4,K2M5,K2M6,K3M1,K3M2,K3M3,K3M4,K3M5,K3M6,K4M1,K4M2,K4M3,K4M4,K4M5,K4M6
8.364247209,8.393034595,8.428036105,8.494204893,8.416210051,8.490703204,8.465692721,8.292994685,8.495317185,8.62143568,8.235606513,8.516957078,8.513037446,8.252053927,8.653379718,8.666346354,8.760650939,8.661706883,8.640554228,8.593862293,8.46209532,8.502856331,8.725528959,8.655625702
7.453633729,,,7.883420482,,,,,,,,,7.809113205,,,,,,,,,,,
7.559665177,,,7.940022388,7.95278823,8.009250695,7.878124421,7.593793029,7.6413685,7.811717609,7.439666861,7.86409635,,7.786861741,7.776740732,7.888301015,7.956528163,7.792849581,8.078566027,,8.066943823,8.124384236,7.482572429,7.994496239
7.380270657,7.182057421,7.562185145,7.150757215,7.048457378,7.261421883,7.617498707,7.516095867,6.983279009,7.630754061,7.376903792,7.207138975,7.310211887,7.480876626,7.775276214,7.634819934,7.611479665,7.785089376,7.626974312,7.839895338,7.506763869,7.305180615,7.666388239,7.080225531
8.513936163,8.37536254,8.382958172,8.501186461,8.364332439,8.478938721,8.387707517,8.328348208,8.118275277,8.733614224,8.302474811,8.660857965,8.518229109,8.340109745,8.680224957,8.656954189,7.665742698,8.444668759,8.552851281,8.681250316,8.4109405,8.403874756,8.617025868,8.587378115
8.142475649,8.002385539,7.814760329,7.897678719,7.943807099,7.724023057,7.871259619,7.821274575,8.055780497,8.132697023,8.005652588,7.993653908,8.033070851,7.861998364,8.265197418,8.222614732,8.007180294,8.157003574,8.097880689,8.257603782,7.991007593,7.877866259,8.217536311,7.960789679
,,7.252273583,7.383615889,,7.728219154,,7.028704463,,7.716547921,7.391098903,7.466477481,7.32469737,7.288832382,7.649172169,7.476378975,,7.483324392,7.505691248,7.495713762,7.17735833,7.484856991,7.642289115,7.095419306
8.13606076,8.132713008,8.157821996,8.130229279,8.110126341,8.06560494,8.112190801,7.94743169,8.194931463,8.335457929,7.970900131,8.240428135,8.216572684,7.926500051,8.435451391,8.368090026,8.338466486,8.401016955,8.275576046,8.439791662,8.155199304,8.136833393,8.605132532,8.220300504
6.330143119,,,,7.627285553,6.868648222,7.930977966,,,,,,,,7.169991557,7.769956538,,,7.134170814,6.89788883,,,,
7.669026759,,,,,,,,,,,,,,,,,,,,,,,
7.390378105,7.541641991,7.637301872,7.417679699,7.569073657,7.619620382,7.596443827,7.234168527,6.638333403,7.728453654,7.341666102,7.497934395,7.541789423,7.453244992,7.716480077,7.720967208,7.784600144,7.589727312,7.721814531,7.816553422,7.535362735,7.617135894,7.723695505,7.329200168
8.482527422,8.350860472,8.383137883,8.524001425,8.650258527,8.582351276,8.587558348,8.296799472,8.444890716,8.723553859,8.483234546,8.698132505,8.711237487,8.997683683,8.946540532,8.817975516,8.783515816,8.782174187,8.823045579,8.946917009,8.792714318,8.790159683,8.921586708,8.838248995
7.627982775,7.314781496,,7.231618832,7.518280189,,7.558305262,7.28107233,7.175912064,7.298413614,7.284073577,7.503268906,,6.741355993,7.230016103,,,7.341421324,,,,,6.885869694,
9.249755806,9.11554161,9.151687611,9.234722854,9.128241997,9.159721422,9.134786149,9.024411352,9.180605439,9.408334867,9.169662873,9.273175191,9.258243822,8.574105307,9.40324165,9.393859365,9.294662956,9.3867853,9.36616464,9.419896822,9.229331825,9.189959083,9.392472881,9.314874527
7.35959152,,,,,,,,,,,7.742201479,,,,,,,,,,,,
,,,,6.985326413,7.58890593,,,7.085684094,7.278338583,,7.131238433,7.3477173,,,7.423787934,,,7.373625049,,7.32126558,7.309848129,7.104505959,7.441263397
