iBAQ control_1,iBAQ control_2,iBAQ control_3,iBAQ     0.1% FA_1,iBAQ       0.1% FA_2,iBAQ          0.1% FA_3,iBAQ        0.2% FA_1,iBAQ          0.2% FA_2,iBAQ            0.2% FA_3,iBAQ             0.5% FA_1,iBAQ           0.5% FA_2,iBAQ           0.5% FA_3,iBAQ 1% FA_1,iBAQ 1% FA_2,iBAQ 1% FA_3
0,0.048558882,0,0.525389317,0.353760121,0.509346934,0.858539039,0.667900877,1.145031886,0.696173503,0.456181292,0.419482772,0.210698448,0.076783445,0.305351515
0.001962582,0,0.001385904,0.049842202,0.008490462,0.0028835,0.028537243,0.02606188,0.035136117,0.011803826,0,0.021843625,0,0,0
0.25334781,0.413274784,0.301645732,4.260764476,4.687457115,4.314921735,4.775753656,5.771900587,6.364876911,3.968156205,2.925206593,3.958501093,2.165311653,1.630120409,1.336848485
0.00391904,0.025475981,0.024287625,0.103863817,0.14190339,0.197703362,0.252919406,0.355611912,0.301056024,0.165843271,0.15851343,0.04951097,0.064991377,0.123628003,0.072115152
0.006886606,0,0.008613631,0.009373986,0.012422808,0.026553759,0.043549998,0.165893776,0.184015635,0.034363779,0.053809859,0.112523562,0.013215078,0.007929449,0.00712303
0,0.109705921,0,1.04285073,0.651660491,1.010200154,2.000862348,1.949931164,1.498182816,1.291573844,1.669541221,0.680328734,0.458382607,1.164821202,0.556509091
0.004706367,0.004615462,0.006178181,0,0,0,0,0.084870662,0,0.061949286,0.10206218,0,0.052798719,0.013757488,0.014004242
0.000441109,0.000539295,0.002176785,0.032545147,0.001911212,0.020630613,0.007217851,0.017701616,0.026773641,0.016733063,0.002017007,0.00961713,0.001250431,0.001088098,0.001345818
0.017175311,0.020233134,0.051013026,0.289920928,0.370646357,0.384379009,0.487801373,0.401753496,0.546910787,0.264355917,0.420252861,0.459407374,0.228720128,0.014151994,0.068509091
0,0,0.000804896,0,0,0,0,0,0.01281835,0.025655877,0,0.019210133,0.046240453,0,0.007312727
0.018108522,0.01334185,0.029337637,0.029860847,0.351536984,0.403964588,0.231806259,0.164285197,0.569464445,0.120187394,0.088564273,0.026450124,0.19985218,0.18910268,0.032883636
0.32058799,0.23205855,0.248738079,2.576637547,2.898655139,3.079227611,4.110308649,4.120353598,4.189467188,2.651618399,2.653628688,2.941174697,1.385562947,1.438252556,1.574969697
0.001359281,0,0.003573622,0.033978799,0.037497598,0.027859892,0,0,0.036591922,0.041601363,0,0,0.030190934,0.059551643,0.030546061
0.003200145,0.001912176,0,0.025378958,0,0.001864062,0.061057095,0.005208753,0.045110745,0.004065719,0.012142118,0.04994888,0.069733925,0.020431415,0.007236364
0,0.016606786,0.018272854,0.128427886,0.191697544,0.192834231,0.191434012,0.140765162,0.419310156,0.364703184,0.353729172,0.347330167,0.083875339,0.074605192,0.045690909
0.8351012,0.595874917,0.735112817,9.311142571,9.438040346,10.32396715,8.887212102,10.53981596,11.11911129,8.703315424,11.34124211,9.846339441,6.492978566,4.559811218,4.607757576
0.004422061,0.003432069,0.006584089,0.003830807,0.007453685,0.00787144,0.011135784,0.123940294,0,0.01022081,0.014043823,0,0.005140305,0.003485448,0
0.00918177,0.104106454,0.08992789,0.049897448,0.191107452,0.094085194,0.388846969,1.325338744,1.063155729,0.421353689,1.096690013,0.371789188,0.966124661,0.747080535,0.014238788
0.075770484,0.097820359,0.147528495,0.844584096,1.439344037,1.19328971,1.600014372,1.330918049,1.442295824,1.045996593,0.631642095,1.670511951,0.617886179,0.498614389,0.739393939
0.019748323,0.039510313,0.046324145,0.319906081,0.369871003,0.417628945,0.450131149,0.459988407,0.440087773,0.301493906,0.352391379,0.203483375,0.180136733,0.182543716,0.186084848
0.077674768,0.010980173,0,0.730844929,0.984218471,0.518199897,0.412805864,0.610586189,0.671542207,0.317697549,0.332378481,0.550059564,0.124334812,0.045941792,0.014809091
0.087095966,0.157035263,0.117242382,1.169020407,0.761287224,0.562265846,0.876792066,1.722701254,1.826098882,0.908137859,1.000044993,1.164985297,0.487459966,0.987777576,0.503569697
0.041842479,0.053455755,0.053094324,0.570346328,0.15415809,0.562118296,0.663087924,0.342801246,0.810807104,0.205995282,0.302437122,0.331195054,0.18234171,0.118745084,0.107109091
0.000502364,0.000456208,0.000765701,9.98239E-05,0,0.000219008,0.000567561,0.008174045,0.012272509,0.015404927,0.001430538,0.020266305,0.017704484,0.0197852,0.037565455
0.007223475,0.007365003,0.007472668,0.117792894,0.087573761,0.040287401,0.081851173,0.076306065,0.108681341,0.023059232,0.032676935,0.159481264,0.007048534,0,0.005910242
0,0.102030605,0.076988835,1.153551328,0.925415123,1.140171927,0.919693867,1.14614883,1.163820887,0.653407155,0.649519325,0.364370052,0.287928061,0.275403885,0.193315152
0.001199922,0.001265842,0.001884624,0.009480336,0.005694387,0.014813318,0.016745356,0.011770886,0.023416307,0.011923732,0.017362509,0.013351429,0.002381991,0.006290313,0.006090303
0.070597734,0.008573786,0.02421726,0.419626394,0.296212433,0.359321273,0.41677985,0.447569017,0.347267366,0.210306644,0.241876509,0.101238031,0.053160877,0.038818297,0.128709091
0,0.083044578,0.040047104,0.318621595,0.296775079,0.300102643,0.6019834,0.868850083,0.586785984,0.412678548,0.383334583,0.765015457,0.291001478,0.401210141,0.271006061
0,0,0.000747674,0,0,0,0.013582696,0.002416854,0,0,0,0.002122235,0,0,0.000790727
0.1236393,0,0.132240056,1.226407928,0.946754494,0.941814216,1.141173512,1.568509528,1.23095385,0.176621675,0.497256925,0.653426827,0.525930032,0.097192473,0.015529091
0.297330104,0.282938124,0.364735985,3.008943061,3.466378482,3.329612522,3.395566095,2.888703717,3.349036549,3.724348054,3.299908514,3.522762573,0.617701404,0.616385309,0.635939394
0.036989894,0.29592016,0.823447313,4.379406788,4.326403184,4.181485758,4.275591966,4.05427143,3.367482685,1.921897523,1.813758867,1.322114152,1.043729983,0.598729352,0.712727273
0.246036916,0.277764471,0.027839032,1.67211077,2.076711953,2.456440852,1.842908986,2.115426418,1.585750531,0.287459049,0.811134274,1.191042751,2.085365854,0.495716101,0.499715152
0.016337315,0.001463739,0.002629798,0.018689272,0.03440785,0,0.025998347,0.103709876,0.074538847,0.056158433,0.056342667,0.086743572,0.020532151,0.024178012,0.001383333
0.054116763,0.094743846,0.089247499,0.608086737,0.88273638,0.848473185,0.965254572,0.951742627,0.430103545,0.563543441,0.718088696,0.548123351,0.268231091,0.425987778,0.779212121
0.449951279,0.458975383,0.36854501,2.026104071,2.167558666,2.003977419,4.43052711,4.081515832,4.067475828,2.926090945,0.806215037,3.428243987,5.400406504,5.738730562,6.328484848
