DMSO,2.5 nM,25 nM,250 nM,2.5 µM,25 µM,PD of PD
25172000,33440000,26829000,42845000,28591000,38221000,37426000
1476184000,1572338000,1824418000,2110639000,1753728000,1987833000,1896605000
173503000,193863000,235221000,231675000,192883000,286733000,169843000
216586000,200751000,341369000,203367000,316229000,386369000,216569000
307378000,141011000,377930000,196641000,198425000,538948000,177368000
70555000,89066000,124556000,182099000,184111000,8039000,46119000
760000,1340000,1479000,1799000,597000,1302000,1215000
2701000,4476000,3418000,4974000,2688000,7828000,4038000
22813000,38451000,30309000,40701000,20628000,47793000,27655000
17782000,26712000,45651000,22432000,23445000,58669000,17734000
3939000,7300000,5364000,7621000,5605000,5619000,7070000
276542000,401015000,702480000,574301000,480439000,653046000,309996000
22584000,29340000,32615000,50230000,45753000,38347000,29663000
246706000,206567000,325659000,228865000,222547000,307449000,103541000
11789000,9415000,14060000,17869000,12508000,13724000,9310000
1656739000,1677737000,2517228000,2492808000,1753974000,1952148000,718600000
6564000,3804000,4522000,4848000,7859000,9239000,8406000
35150000,37838000,53442000,55760000,48994000,53612000,34138000
21317000,10301000,10128000,10086000,11959000,19120000,15240000
39820000,33379000,45984000,44504000,26554000,48490000,34329000
15719000,14767000,20038000,21071000,19993000,26667000,19314000
91730000,95333000,143067000,160717000,125720000,131295000,74227000
232000,642000,2070000,395000,145000,11068000,526000
5991000,6948000,8419000,10834000,8564000,12384000,9103000
683368000,749823000,912965000,928619000,712820000,717889000,385921000
4221000,3957000,6386000,9118000,5170000,1644000,892000
17802000,21361000,27118000,29033000,29401000,20714000,8430000
9549000,10320000,16014000,27221000,15086000,17313000,9908000
382582000,425931000,633608000,737069000,614619000,546479000,347450000
3342000,6518000,5060000,8440000,7144000,8866000,5741000
101906000,129550000,98551000,177302000,106504000,113070000,101750000
15512000,13990000,15209000,24785000,15982000,20174000,13871000
17127000,21783000,26200000,44638000,25448000,42010000,16082000
136161000,164210000,221293000,271368000,266531000,232170000,134555000
18578000,16328000,22180000,31481000,23654000,32197000,29642000
2844000,3048000,3825000,4272000,4005000,5486000,3335000
65088000,80194000,105978000,126059000,81064000,94450000,65706000
893156000,929562000,1282757000,1618061000,1110909000,1616126000,739467000
23156000,25864000,41150000,44269000,18833000,59511000,14049000
76632000,89746000,139428000,149151000,119838000,121693000,26912000
22981000,32953000,51053000,61985000,43903000,39907000,7386000
1852000,3502000,5093000,5678000,4610000,3694000,911000
9182000,9735000,18597000,20705000,11312000,14158000,3435000
177210000,180781000,278162000,322569000,221159000,176758000,113677000
2948785000,475772000,185802000,170809000,93308000,136769000,68004000
1174000,1279000,1357000,1472000,806000,1606000,1649000
4593000,2706000,1780000,4034000,1604000,3044000,2310000
23310000,29366000,25334000,41578000,17381000,25643000,17588000
119993000,130967000,155149000,246668000,177159000,151008000,121179000
846019000,1186167000,1460204000,1039368000,1216631000,1443713000,981945000
26117000,21118000,37791000,33325000,27910000,39787000,28428000
29507000,25108000,34411000,27625000,22767000,40790000,17976000
281114000,267504000,331148000,406316000,300676000,360543000,266841000
30074000,20286000,23746000,15485000,15880000,37535000,11535000
64092000,75555000,94453000,103536000,92690000,95125000,72133000
78315000,100114000,137501000,174057000,141987000,137299000,101974000
17182000,18079000,22184000,28629000,17009000,23444000,14593000
8142000,7234000,11321000,11317000,11816000,10125000,9694000
2805000,2661000,4086000,2677000,2713000,6531000,2271000
410811000,417832000,590904000,530166000,480465000,587134000,246137000
132052000,163769000,346795000,439453000,331742000,221633000,116337000
82970000,90204000,128719000,130218000,114904000,111830000,61208000
2719000,4804000,6733000,5047000,6230000,6918000,2641000
104706000,123351000,182132000,200151000,155495000,182999000,180485000
74089000,60840000,105332000,105373000,75040000,144171000,74264000
25992000,17050000,33217000,37891000,36590000,34154000,27583000
282427000,345770000,547834000,665102000,405447000,454330000,67542000
25178000,28238000,50010000,47734000,35941000,47783000,26014000
25293000,21248000,45238000,30565000,30139000,52640000,15144000
13045000,17464000,21223000,21355000,18208000,21511000,16704000
3847000,3686000,1697000,103000,842000,3792000,5620000
52716000,64672000,173911000,47809000,53911000,114116000,36736000
130927000,134709000,157824000,194004000,219983000,193285000,98248000
3485000,5371000,5734000,5864000,7581000,7849000,5464000
7721000,8485000,8033000,9598000,6581000,9528000,7639000
48175000,58439000,78747000,106118000,89980000,78247000,46059000
118642000,115173000,141403000,172461000,150601000,109176000,74714000
22256000,32253000,27206000,43204000,50218000,33669000,21432000
16318000,17436000,26966000,15010000,18719000,31208000,16697000
105535000,95334000,153019000,142968000,105361000,133278000,117269000
394000,428000,796000,1163000,606000,1888000,260000
24428000,30804000,46478000,56479000,29867000,41140000,20076000
20738000,17371000,23977000,19877000,13587000,35134000,17076000
1607000,2289000,2852000,2399000,3696000,4174000,1628000
13374000,20702000,35783000,36709000,25139000,27206000,17135000
7296000,3930000,5709000,8248000,7162000,12093000,8684000
10848000,10443000,8175000,13986000,5318000,14730000,14780000
7390000,21559000,14507000,33036000,34851000,501000,30922000
498294000,549775000,715562000,839277000,560218000,822676000,492556000
52987000,59383000,88256000,103885000,59163000,126320000,68596000
31133000,22661000,21529000,30514000,21399000,45680000,25690000
6183000,7639000,8348000,11927000,5799000,12264000,8184000
818326000,727363000,989080000,993717000,728812000,1065659000,642388000
29968000,37581000,33718000,48732000,33516000,55838000,30780000
3744446000,3636121000,5367180000,5358473000,3776517000,7337018000,2877826000
2233000,1808000,679000,1236000,2643000,272000,1871000
5629000,4381000,6290000,5186000,4653000,6014000,5310000
3057619000,3176742000,4458088000,5229711000,3775336000,4921481000,3209113000
4375818000,3472880000,4552731000,5363642000,3375568000,6128594000,3636457000
388727000,516414000,647660000,624435000,608430000,752084000,414737000
93239000,108955000,114222000,94215000,64270000,96021000,119142000
23843000,21026000,29654000,31809000,23675000,46468000,23813000
381893000,291973000,398736000,474409000,302858000,563641000,327131000
79166000,74836000,82284000,110148000,73025000,108392000,77279000
17078000,87643000,50698000,35766000,37131000,41678000,29252000
62433000,67998000,79736000,93588000,79366000,110359000,62472000
65541000,72392000,69784000,102291000,79461000,109082000,76546000
725098000,678311000,831828000,1049371000,813409000,1119762000,712813000
21834000,11624000,14847000,10582000,2252000,91113000,4375000
107910000,102223000,122101000,133595000,125426000,113085000,14793000
3312000,4125000,7113000,6957000,4406000,6304000,4652000
12046000,10193000,12861000,11652000,13015000,15344000,14588000
54809000,54691000,69009000,79382000,73404000,69259000,61471000
1767133000,1838054000,2634599000,2808192000,2205021000,1953552000,277714000
299329000,369224000,524264000,520920000,380008000,270226000,149271000
