Replicate 1,Replicate 2,Replicate 1,Replicate 2,Replicate 1,Replicate 2,Replicate 1,Replicate 2
43950000,37585000,28212000,29976000,13108000,14444000,21548000,30912000
31470000,27974000,30598000,39168000,32335000,38026000,29973000,20713000
19573000,19305000,26621000,22233000,12204000,11482000,19215000,29368000
30455000,31457000,48029000,52820000,0,0,29782000,18719000
14839000,19416000,28442000,22025000,18313000,13424000,12775000,35571000
253140000,193390000,4469800,3467500,144080000,186600000,5195000,42520000
7232900,10470000,9155600,14004000,6224700,6040000,11442000,35698000
8050600,11089000,19953000,6960800,2846700,3790300,15143000,30533000
264580000,255270000,34859000,29196000,235860000,276940000,20750000,24560000
282650000,236350000,0,80311000,463870000,585390000,0,45242000
9527700,9425400,9892900,13742000,5666900,6640100,12212000,32796000
611950000,605290000,289250,302070,441710000,519420000,0,44450000
33407000,34194000,27651000,28154000,4310900,4093300,16144000,27586000
8194700,11636000,14153000,2819400,22246000,20813000,15360000,28163000
6614000,7762200,10102000,4443200,6241400,8193500,12265000,31091000
10516000,21620000,15150000,21371000,3993300,3230500,8781800,33783000
11343000,11925000,21012000,10732000,5062300,7093100,14342000,27454000
17932000,20041000,18594000,18083000,0,0,17917000,23760000
5942200,7302700,11980000,3731600,12627000,10809000,13136000,27763000
18010000,17675000,17619000,18197000,5763300,6871100,12756000,26622000
34181000,31867000,35842000,35460000,3999200,6519000,20230000,19132000
22983000,24334000,36817000,48273000,1082600,988900,31828000,7223000
7486700,9037800,11034000,13604000,6345400,5487000,9308300,29722000
20432000,25475000,30379000,39694000,4795200,4675300,24411000,14464000
15812000,13604000,11329000,10454000,0,0,15190000,22952000
21568000,23593000,47707000,62835000,8497100,8500600,30635000,7001700
24071000,21100000,45865000,50137000,980890,1287900,21924000,15615000
22244000,22473000,33870000,36084000,0,0,16095000,21348000
15760000,15604000,21397000,14853000,5078700,5940400,12554000,24872000
24605000,25761000,15698000,16918000,1330800,879860,14883000,22295000
6601800,10887000,7031300,7842600,2781200,3077200,7115500,29868000
4638700,5135900,18587000,16868000,4238900,6459200,22626000,13491000
6138900,10212000,15583000,9610000,1609600,1231900,7019500,28628000
19510000,22339000,43619000,54146000,6405900,9001400,28096000,7134800
5876800,9471000,14272000,6500900,0,3259400,14208000,20569000
17720000,13432000,11305000,17060000,4115600,4460700,8504200,25622000
5362700,7571700,9074000,3887100,18124000,30138000,9955900,24143000
24726000,23195000,2610000,1968300,62316000,51935000,19282000,14533000
17755000,15830000,13022000,15646000,0,0,11614000,21355000
18373000,19140000,16449000,14655000,13466000,15646000,13321000,19305000
13295000,11860000,16731000,20516000,3941100,3667900,15115000,17403000
174060000,157490000,10876000,13591000,14934000,15636000,13996000,18183000
27079000,24409000,21005000,23292000,5203600,7004000,11282000,20811000
3012600,2992300,10856000,10773000,5759800,5698200,18470000,12978000
11298000,10345000,26512000,37881000,13675000,14323000,24547000,5351200
13254000,14767000,11719000,8287500,5283000,5836800,15716000,14080000
4413400,5337000,12226000,13445000,2436900,733860,26679000,2915600
16225000,14411000,11504000,10194000,4467800,5798200,11695000,17022000
7862800,11732000,12154000,5923800,7377600,7835700,5556700,21804000
10553000,10533000,9359800,10840000,0,0,11801000,15317000
8007500,9306400,18711000,17297000,0,0,13924000,13038000
8260200,8316800,26207000,28660000,6295400,7929100,21179000,4692300
12096000,13769000,15783000,14422000,0,0,10777000,14158000
11354000,11448000,13277000,13319000,2759700,3066100,11924000,12873000
13534000,10872000,10953000,10850000,0,0,8452300,15745000
8943300,8090200,16238000,18173000,0,0,14848000,9305300
11059000,13029000,13429000,9971900,1645800,2398700,9331700,14634000
20842000,18542000,4662500,2479800,6621600,6606100,8081100,15636000
59285000,62006000,13345000,13635000,19586000,20519000,12062000,11532000
110720000,101020000,14835000,14119000,11193000,11935000,12367000,10949000
5446200,6203400,7958800,6079600,0,0,10143000,12939000
11658000,9257800,8346000,12438000,2719000,2497800,5065600,17874000
9540800,11153000,18294000,23923000,10377000,10921000,14016000,8907900
10400000,12780000,22625000,24515000,2188800,2601300,15726000,7158800
9642100,8861000,9267600,9090600,0,0,13262000,9510900
1109500,38171000,1772100,1442400,13878000,8080500,1509700,21042000
0,0,8220900,5973300,0,0,12640000,9813700
15774000,14777000,11594000,11424000,0,0,11503000,10937000
10419000,10792000,8508700,8320100,0,0,7944400,14328000
6802000,6688900,14644000,15655000,11114000,12487000,16388000,5680700
21971000,15645000,13012000,12970000,0,0,9535800,12340000
5729700,12416000,5771400,6738500,1822400,2258100,5394500,16474000
11002000,11636000,10020000,9516400,7868700,9308400,11015000,10699000
452070000,418870000,652610,606650,708000000,875430000,465910,21034000
1028200,1169500,13624000,11599000,0,0,19031000,2043400
15589000,15131000,8041900,6702600,27385000,27083000,9846800,11101000
6375200,5520000,7215900,7712300,3345800,4219300,5372200,15544000
10663000,11722000,10017000,10381000,0,0,8853600,12035000
758640,543070,7201500,7085100,0,752890,20796000,0
2467900,3840000,5587400,1275900,3293400,3882100,5857400,14840000
1492200,1599000,6269500,3417000,2392600,1799100,19400000,1249600
2286900,3382300,4252700,1421300,3185900,3661300,5995400,14531000
5247600,5705500,10814000,9395500,0,0,13402000,7096700
4630500,5140500,10007000,3893200,0,0,8323400,12064000
49701000,54332000,2025400,1033300,78781000,86315000,9724600,10353000
217700000,198180000,0,0,122080000,134550000,0,19624000
17123000,16362000,12523000,14409000,5425800,4881800,8497600,10724000
6766100,7035700,10133000,11204000,8891500,11329000,12105000,7082500
8576800,8485400,5244100,5541800,12605000,16559000,7430900,11735000
7538200,9156400,11059000,12285000,0,0,12362000,6703100
13368000,11407000,7388500,7878400,0,0,8309200,10438000
5178100,5147200,11369000,13322000,3035100,4582300,12649000,5985800
13490000,12873000,24864000,28479000,0,2079800,13639000,4817300
6342700,5264900,6322600,7009800,0,0,6292700,12144000
3335100,4961100,2075600,11376000,2090000,821290,3097100,15222000
10246000,11351000,6089500,6090800,13493000,21264000,4813400,13490000
2715400,2905300,18243000,18553000,1041500,1088100,17899000,309480
15119000,14541000,13225000,13714000,2445800,1894100,9853000,8304800
14459000,11723000,13160000,11249000,5701600,5525100,9214700,8576600
16094000,20090000,24974000,29256000,3569800,3766400,9933600,7819700
14935000,15254000,32191000,34703000,3952100,3810900,16062000,1562200
10472000,9790600,10307000,12489000,0,0,14448000,2973300
36449000,41327000,10557000,7162700,12381000,16518000,10348000,7021700
11272000,12428000,9699300,5734600,12136000,12664000,6627600,10667000
10619000,12176000,11333000,11780000,0,1700100,7436300,9775800
4930500,6913100,14297000,17077000,0,604500,12279000,4928400
10456000,9949600,8581000,7994300,0,2908300,7547700,9558200
8850900,9569000,12476000,14147000,0,0,7703000,9194000
86645000,75159000,3487600,2513200,179320000,207020000,9872500,6987300
244360,316340,398100,0,0,0,9314800,7332900
11049000,3144400,2967200,5979300,2042100,1971200,4115600,12384000
19477000,19875000,7803400,9131600,14640000,16501000,7442500,8946500
2709200,2629200,3621200,865320,2967500,4340600,3916800,12441000
6288900,6236100,8261000,9159200,2787400,3310500,8624000,7669900
552030,475090,11741000,11512000,0,0,15832000,370350
9342200,8420600,10847000,9656700,0,0,7142900,9055300
7193000,6678300,8993800,10679000,3907800,5095200,9200000,6702200
10858000,9507200,7386000,9274300,0,0,4868400,11025000
0,0,0,0,0,0,0,15845000
18533000,18026000,7670800,5717100,4383900,4490300,7875600,7967000
8094500,7117400,15180000,16938000,9196200,10120000,11533000,4279200
9007400,8119800,9193800,10930000,0,1457500,6601500,9061600
3108900,3740800,6556400,5596000,1313700,1894200,6145200,9406900
7222600,8508900,6076100,3483900,5801000,4704100,5871900,9633600
10092000,11277000,4845700,4002700,0,0,7540500,7528400
8893900,11544000,6311900,4939400,4970600,7045800,5188300,9841400
5435600,4999000,6721100,11544000,4388600,1933200,5696700,9310600
6368000,5403300,5942000,5838400,2405900,2746300,4424800,10528000
6180700,8462600,4761200,2833300,2285500,3416000,3718200,11107000
7329300,8523700,10953000,13879000,0,0,7612900,7150400
5635400,5308400,13786000,14459000,3081900,2396300,10967000,3633700
5703100,3830400,3091400,4785200,0,2525800,5190300,9192600
10493000,12912000,23510000,30268000,0,0,14371000,0
5202300,5778800,10916000,12603000,5327700,5622600,8658600,5635600
7783100,7983200,17108000,19761000,3574800,4002300,11452000,2737500
10768000,10470000,13497000,17071000,0,0,3811700,10341000
2228200,2866100,3160900,5458200,1830100,1319900,1845500,12296000
5476400,5104400,4863600,6026200,0,0,5273200,8801800
3268900,3175600,5156900,4564800,0,0,11924000,1996600
2441000,2952200,18661000,23392000,0,0,13027000,872370
7296800,10084000,16452000,22322000,373690,346720,12011000,1886600
4387600,3013400,5443800,5595600,2094300,2795300,3375800,10490000
6936400,9802200,21548000,24043000,0,1523900,11911000,1765100
4943900,5522600,11218000,4720900,0,2117100,4516600,9157400
4119400,5970000,44958000,33327000,0,1016700,12810000,767290
0,60159000,0,0,464030,578910,317440,13247000
21020000,20582000,2442800,2090000,24320000,20946000,6712100,6776900
39057000,40971000,4724400,4553400,16051000,20088000,3793900,9502800
7241000,0,17830000,25867000,0,0,8621900,4653500
2997500,3137100,6042900,9183200,10470000,9146100,12174000,1058200
9591200,13083000,5751800,5004300,18900000,20820000,3575100,9627000
2594800,3548800,4192300,769790,822480,799950,3371200,9741800
1867800,3090900,1583500,2422000,3760400,3977000,3108700,9750500
2071600,1445600,2635800,2874100,1387100,1104600,2538000,10221000
4701500,4728000,22056000,24081000,4736600,6622400,12713000,0
9896500,8955500,8264800,11091000,9255700,11262000,6731000,5752500
4168100,3878700,7602900,9012500,3052900,3278300,9271300,3094300
103300000,89952000,2334500,2521800,7937500,11971000,7985000,4337700
17302000,18532000,2972500,2322600,3434300,4550600,8250400,3802800
4509000,4886300,11145000,10619000,1859600,2412200,7639900,3964500
7072500,7132900,8588500,9975200,2080100,3036400,5993600,5522300
7348800,7411500,9554200,11150000,3615300,4011500,6861200,4488300
3704800,4713100,5424100,2577900,5594100,7671200,3523300,7817800
4308300,4282400,3565700,3028700,4224800,5262300,5310900,6004200
3735600,3743100,7246000,8428500,0,0,7356300,3903600
3500700,3714500,9330100,11590000,0,0,8939400,2088900
6072500,5777600,5405900,6592300,0,0,5079700,5795500
7772200,8344500,14390000,19213000,3033300,2945700,8002700,2706900
3658900,3763000,3367800,3157500,0,0,4130600,6452800
6328800,5863000,13953000,15329000,0,1448700,8434900,2136900
4106300,4603500,8800200,8191500,0,2536600,6340300,4226600
2736100,2752700,6730100,6181800,1173800,1904500,6992800,3562600
268610000,231240000,128060,119380,338710000,387420000,883880,9596900
1163400,1448700,3514900,2741800,442870000,579350000,5340100,5032400
5104700,5956600,12468000,14055000,2582800,2784500,8228200,1974700
987880,1299000,6258800,4053500,1010000,623520,7795900,2286100
5421000,4901300,14978000,17691000,0,1029100,7884500,2188900
61873000,49065000,2099900,1499700,69847000,86136000,2642900,7405800
5240100,5710200,3645000,2261200,2946800,2582400,2396700,7593400
3315400,4265200,2807600,3040500,0,0,4069200,5881300
4457200,4926000,3766200,3361800,0,0,4507000,5331700
2993600,11509000,2966500,2281000,1755300,1883800,2113200,7649100
2385200,2311000,5021500,4925700,0,0,7488800,2205000
20953000,18368000,2921000,2311900,6346000,6662500,2631100,6950700
3803800,2892200,3513400,3655200,0,0,6400600,3119000
149830000,141100000,0,0,194700000,209390000,0,9458700
2954800,3215500,5457700,5385800,4463700,0,6150300,3171100
2889600,3112900,3116900,2573300,0,0,3537700,5705500
4502400,4993300,4069600,4209000,0,0,3947400,5210600
29178000,27217000,5692200,5990000,13646000,16223000,3632000,5430500
52837000,54857000,4853500,4333500,68130000,72465000,6469500,2441400
3500100,4150200,3108500,3196900,0,0,3920100,4954100
8306000,8993500,4501300,4374100,0,0,3933400,4898800
2822400,3102300,7270900,10766000,0,430370,6016100,2760100
8980100,7236100,6206300,5895400,0,0,3771700,4997900
2836600,2864500,2972900,2936900,14282000,13170000,4569900,4132300
5588300,6050100,5829200,5663100,1253500,1346000,3278400,5363600
1215100,1126900,3868800,3349300,1173700,1426300,4451500,4068800
4456700,4387100,7275000,7122000,0,0,4911900,3507000
1144500,0,1040800,860380,0,0,2980200,5172500
6706800,6040500,7793600,21822000,0,1153100,5267600,2862500
2775500,3751000,7762200,8319400,0,0,5255100,2861900
2549800,2614600,5670100,6405000,2639400,3250400,6320200,1639200
1363000,1187400,1281400,2827500,596690,681280,1662500,6199500
8577100,8186700,1597600,1603700,0,0,3728100,4084400
3436400,4025100,6590900,10159000,2255000,1904600,6055800,1754900
4055100,3301800,2882000,2871800,2898600,1897800,2240600,5521300
934390,1664000,938140,518540,0,937720,621200,7136500
1332700,1837900,2102300,2442300,1195800,911220,1851900,5774600
5535900,5496400,15783000,13792000,0,0,4340800,3280700
2532700,2813700,942420,0,5999500,7071300,1837900,5711600
3642800,3231700,5316400,6079500,0,0,4560000,2978800
3121100,2979200,2934700,2083100,0,0,2730300,4794200
3899600,4634200,3068800,3503500,0,0,3282000,4239900
2558400,1795700,1014900,2119500,985150,954840,1446900,6031000
