Intensity,Intensity 1_Bl,Intensity 2_test,Intensity 30_1,Intensity 30_2,Intensity 30_3,Intensity 35_1,Intensity 35_2,Intensity 35_3,Intensity 40_1,Intensity 40_2,Intensity 40_3,Intensity 45_1,Intensity 45_2,Intensity 45_3,LFQ intensity 1_Bl,LFQ intensity 2_test,LFQ intensity 30_1,LFQ intensity 30_2,LFQ intensity 30_3,LFQ intensity 35_1,LFQ intensity 35_2,LFQ intensity 35_3,LFQ intensity 40_1,LFQ intensity 40_2,LFQ intensity 40_3,LFQ intensity 45_1,LFQ intensity 45_2,LFQ intensity 45_3
103830000,0,0,407680,1931800,1452900,13430000,5070600,5938700,10509000,8343300,5647300,19812000,18270000,13016000,0,0,0,0,0,43385,40682,0,50229,35733,28880,23783,46801,21983
23673000,0,0,0,0,0,4566000,2696100,2711400,7312600,6386500,0,0,0,0,0,0,0,0,0,0,12800,11098,18075,20995,0,0,0,0
230030000,0,26667000,3987700,12951000,5731800,28177000,13412000,14500000,41752000,30108000,15371000,16369000,11108000,9900300,0,89713,74121,65297,85733,125890,97979,105660,132380,87891,82317,89223,90534,83761
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358170000,0,8374300,3504600,18524000,16604000,30776000,11768000,17081000,70620000,41561000,31633000,50739000,34218000,22769000,0,253400,0,0,75303,26508,21047,30100,150670,194550,144380,98911,104620,94385
424580,0,0,0,0,0,0,395370,29209,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0
601350000,0,4352300,2043700,8039300,6708900,25529000,12129000,14025000,45142000,35617000,25618000,183710000,134210000,104230000,0,48391,43183,53623,86518,82951,105740,79347,38393,38004,31247,413350,357040,510900
454180000,0,404660,1715600,5367100,3271200,20569000,7226700,10864000,13378000,8990800,6757700,204800000,105290000,65545000,0,0,102390,109810,106510,117400,91021,105740,70515,47965,50758,179400,179330,154960
109290000,0,2539800,45152,0,0,0,1870800,1759800,30086000,17604000,11230000,27828000,11606000,4716300,0,0,0,0,0,0,0,14668,57259,52924,45256,60382,43141,26983
1017400000,0,3938900,21734000,53721000,46573000,147770000,52861000,78678000,86411000,56412000,48925000,213850000,119700000,86851000,0,137310,179610,424720,322560,267840,361790,373070,164410,164330,181780,440180,339380,330900
1030700000,14328,2354300,5173600,17069000,9833600,41797000,22544000,17925000,101410000,66600000,42150000,315270000,219800000,168760000,0,54884,112450,118180,102100,144780,166420,130760,211780,220550,168650,475810,622730,608900
22892000,0,0,152720,1138100,0,3872500,1806100,2135200,2508200,1890600,1429900,3312100,2911100,1736000,0,0,0,0,0,0,0,0,0,0,0,0,0,7721.7
12990000,0,0,0,0,0,4014300,1713000,2437400,3152800,1672500,0,0,0,0,0,0,0,0,0,0,0,0,0,5469.1,0,0,0,0
19588000,0,0,0,0,0,0,611500,2321100,5423700,4425800,2797200,2024400,1275800,708770,0,0,0,0,0,0,0,0,12499,13986,13492,0,0,0
10408000,0,0,0,0,0,0,0,0,1086400,841830,0,4053500,2107800,2318100,0,0,0,0,0,0,0,0,0,0,0,7870.3,0,10563
51643000,0,0,0,0,0,0,0,0,0,0,0,28384000,15105000,8153500,0,0,0,0,0,0,0,0,0,0,0,56067,47326,32260
13574000,0,0,1022300,197290,0,0,0,0,5525500,3978400,2850200,0,0,0,0,0,0,0,0,0,0,0,11737,14296,12962,0,0,0
105940000,0,3639000,133390,0,300490,12676000,3500700,5399900,28007000,22810000,14178000,11832000,1707200,1758500,0,106600,0,0,0,22782,13776,24799,62174,51365,58917,11184,0,0
31095000,0,0,1875600,5056500,949070,8632900,2530000,5289200,2845600,1932300,1984000,0,0,0,0,0,0,0,0,0,0,0,0,0,9375.8,0,0,0
10579000,0,0,0,0,0,0,0,0,0,0,0,0,10579000,0,0,0,0,0,0,0,0,0,0,0,0,0,34233,0
77129000,0,0,0,0,0,0,0,388130,0,0,0,45878000,20178000,10685000,0,0,0,0,0,0,0,0,0,0,0,0,0,23764
9912200,0,0,372640,942700,0,1844400,3877800,742290,0,0,0,2132200,0,0,0,0,0,0,0,0,0,0,0,0,0,4272.5,0,0
138260000,0,0,6675300,130450,8740800,16816000,15925000,8995400,31265000,10114000,7713900,14624000,10209000,7054700,0,0,0,0,0,0,0,0,0,0,0,0,0,31379
11282000,54976,11227000,0,0,0,0,0,0,0,0,0,0,0,0,0,98703,0,0,0,0,0,0,0,0,0,0,0,0
