Intensity,Intensity 30_1,Intensity 30_2,Intensity 30_3,Intensity 35_1,Intensity 35_2,Intensity 35_3,Intensity 40_1,Intensity 40_2,Intensity 40_3,Intensity 45_1,Intensity 45_2,Intensity 45_3
1007300,332370,36623,0,267330,39824,0,137870,25157,0,168130,0,0
199540,0,0,0,18596,0,133750,0,47199,0,0,0,0
2642400,830180,408760,68508,306690,173290,38730,137670,310670,44107,113310,105610,104810
0,0,0,0,0,0,0,0,0,0,0,0,0
111760000,6044600,4857500,7091400,12788000,11324000,12100000,16098000,19208000,9515200,4997800,4171900,3564200
131660,0,0,0,131660,0,0,0,0,0,0,0,0
2926800,0,0,0,2146600,0,68962,520830,96920,93496,0,0,0
4268100,548580,461860,381140,225170,186660,237570,141080,222220,144720,508930,648130,562020
6357500,505370,777320,603310,284830,367380,365540,465730,411040,208720,859810,840030,668410
830240,0,0,0,0,184390,0,0,0,0,645850,0,0
17586000,1352900,512420,949820,1927900,1630800,1921100,1661600,3969000,1930700,635610,515180,579190
1684400,128240,104380,0,0,136720,70204,73992,0,0,323980,328610,518230
4277400,0,77137,0,330570,0,241620,470360,950680,566270,605350,380670,654690
118410,0,0,0,0,0,0,118410,0,0,0,0,0
4525300,273820,242600,157350,979940,664450,503830,698000,567150,341800,0,96370,0
76642000,3918400,21505000,6685900,4130500,6438500,5699800,2851600,3251200,7916400,7178200,4197000,2869800
0,0,0,0,0,0,0,0,0,0,0,0,0
418610,0,0,0,261910,0,0,156700,0,0,0,0,0
364970,0,0,0,148210,0,0,216760,0,0,0,0,0
2234500,147420,176890,174020,0,104440,137250,0,124500,49719,490430,462380,367480
1289200,351300,0,0,156490,0,0,313640,0,0,246940,129340,91535
3982400,0,0,76885,280590,0,384900,493320,602340,352680,637880,358270,795580
1166200,216430,147920,151020,0,106770,148920,0,118390,0,276760,0,0
61559,0,0,0,0,0,0,61559,0,0,0,0,0
643680,0,0,0,94062,93853,78673,142790,179190,55115,0,0,0
469290,37222,38670,0,13759,0,32266,39963,31156,0,98382,98384,79489
3569500,171010,252550,115590,550890,412140,123790,1058400,416050,244550,98302,69150,57073
681740,0,0,48539,32202,54025,0,0,0,0,0,306360,240620
8246200,0,1522000,1211200,0,888980,718010,0,433760,1463900,1116400,413150,478730
60683000,4473000,2352900,0,4879200,7635200,6091700,8787600,11764000,7141000,2982200,2484100,2092300
2387800,102240,175680,103970,316010,188190,0,428570,497920,201400,183440,190410,0
445200,0,0,0,32068,72456,0,203330,0,137350,0,0,0
3012000,495770,305430,315320,226980,217710,207400,108890,174710,131990,0,486490,341360
26848000,2283100,4891500,2460000,659100,2665900,2698500,1232800,1682000,2680300,2865100,780080,1949700
467010,370540,21275,0,0,0,0,0,0,0,75199,0,0
4791400,634920,507830,599690,0,283540,308800,270580,354580,775820,577250,172400,306040
1057500,123140,104780,72150,90604,63374,74333,117980,88730,59864,121710,83626,57245
476980,60023,43743,0,0,0,0,0,46403,0,125910,200900,0
982160,311690,0,0,236720,0,0,0,111360,75808,246580,0,0
1042400,484010,0,123270,210190,0,0,112700,0,112230,0,0,0
27178000,2136000,4068500,3108900,482370,2297400,1736900,1371000,1212100,3962400,3884600,1283800,1634400
7689300,952320,649480,1163200,116960,606540,451220,321980,601740,950350,802870,247950,824700
1106400,112210,245630,60145,0,486660,0,0,0,0,161780,39925,0
892050,468510,0,0,151170,0,0,194050,0,0,78319,0,0
1718800,100270,67705,111810,0,0,66680,0,0,66073,441860,383070,481320
1053600,97023,0,25563,66737,0,0,0,28153,0,361520,280450,194170
0,0,0,0,0,0,0,0,0,0,0,0,0
2437600,581370,103360,0,0,0,0,0,0,0,379090,704740,669070
45017000,1504900,11142000,4899600,1096200,5163900,3152400,1357700,2078100,5893000,5554100,1468100,1706000
0,0,0,0,0,0,0,0,0,0,0,0,0
46120000,2189700,3405100,2312000,5371400,4123300,3063600,11590000,7725900,2895400,2115600,1327900,0
1862100,92996,0,54421,386230,152970,158220,255330,506510,173430,0,81966,0
28236000,1025800,1076100,1151200,1115500,908510,1258900,1065800,944190,881960,7397400,5982800,5427700
1210900,0,0,119250,0,116550,116440,0,0,76699,0,340470,441480
1437300,138240,117130,95072,0,35955,0,0,0,27045,397410,269980,356470
34980000,4595900,4124900,3121800,580240,2703300,2180900,2953300,2685000,5067900,2100700,1024600,3841600
429220,0,56917,38164,0,0,26636,0,0,0,119400,109340,78768
728770,0,0,36096,0,0,0,213070,332390,147200,0,0,0
1434200,365900,297690,161920,0,94721,83534,0,0,57998,0,188230,184210
57047000,3669000,2478500,2343400,4646100,4467300,4534100,8819200,14180000,5118100,2162800,1906300,2722100
1321900,123850,129380,90376,162010,119810,117040,270790,167050,45915,61118,34557,0
922620,749940,0,0,101910,0,0,25175,0,0,45594,0,0
10915000,154560,703810,184190,589330,318000,0,754290,329790,48082,3105800,3207600,1519500
3353900,224970,182840,109780,478120,299240,300350,568920,463730,335630,165660,101030,123620
893830,157090,0,65574,66961,61323,0,0,65361,67365,268200,0,141950
2121300,118570,228950,0,0,597870,240740,0,66074,398590,402290,0,68206
5942400,489980,1057900,223270,133990,1446200,600130,135660,242360,563020,700330,159170,190380
375660,0,0,0,0,279750,0,0,0,95906,0,0,0
13821000,1646500,1400100,856210,2010000,1541800,858160,1363900,1186100,600500,1316400,595240,446300
374230,165220,0,0,42107,0,0,166900,0,0,0,0,0
1534400,154410,132510,162000,0,0,0,0,0,0,455500,277900,352060
589360,141430,157180,66965,0,0,77470,0,0,0,0,146310,0
1385200,348830,280240,259270,0,199540,0,0,0,0,161890,0,135400
4515000,401550,584660,526400,42801,351200,426380,269810,389350,719460,420610,132270,250530
2170400,329290,522680,0,135030,74951,183160,332840,142650,138320,192590,47463,71457
1813200,188030,332880,0,0,0,0,0,0,0,404010,478580,409660
0,0,0,0,0,0,0,0,0,0,0,0,0
2984800,41726,0,585320,0,446570,362890,73329,265790,473820,349150,221120,165040
2999500,223030,196890,204790,148040,106200,103640,1243700,100540,237770,199650,158820,76371
5448300,0,267300,303990,693530,575570,626480,1008000,1155100,0,246640,236190,335480
16828000,2359400,2234700,1598000,0,853620,1222000,507120,1309300,1913200,2691100,554830,1584700
2633000,177430,328950,0,392740,365660,282650,458580,0,172150,315010,139820,0
1072000,162820,328250,61885,0,0,39592,60382,45421,0,176560,197120,0
1754100,164070,229000,128430,65119,237360,195000,118440,44329,279780,164650,0,127890
163620000,16371000,20057000,15945000,5289400,16243000,14268000,10536000,7969300,20083000,17941000,5962700,12950000
632070,123610,80804,94361,0,30709,0,0,0,35130,109310,158150,0
477230,0,0,0,0,0,0,249870,227370,0,0,0,0
702260,0,221390,78049,0,87240,0,0,91661,51025,0,84842,88048
0,0,0,0,0,0,0,0,0,0,0,0,0
383280,0,0,0,0,0,0,0,0,0,160740,123460,99082
991270,0,170570,0,33137,265550,74467,0,0,215530,62559,97458,71985
12933000,817110,1923300,1412100,392990,1639200,667430,353420,686640,2149700,1478300,797970,615100
189020,60492,25574,0,37530,0,0,0,0,0,0,0,65420
2402000,354950,268390,116110,161420,184010,192200,338440,0,102590,373690,200100,110120
3929600,82814,120950,104860,445830,256200,254920,461430,534390,316430,0,594560,757220
3768300,0,36892,0,151370,140840,99671,1071900,1204400,552530,200510,101330,208790
527880,68009,110060,68964,70276,0,102850,0,107710,0,0,0,0
25205000,4491000,4474600,2434600,488950,1438700,1709900,0,1709500,2306500,3680800,954200,1516600
1644200,0,342890,0,273400,261180,228270,0,0,0,538500,0,0
8514900,495460,1522200,795610,374360,1322300,705640,228480,336990,789760,990810,458120,495220
833270,97177,437480,0,0,0,0,0,159510,139100,0,0,0
2040700,242720,129850,118760,149820,112400,62272,72329,72333,42406,357700,358050,322090
1056500,0,320060,113540,0,135560,85195,0,0,267430,134700,0,0
6456700,380820,1585200,0,332100,860460,726210,291730,450080,691400,536260,291290,311140
12129000,488890,2777900,1449700,437650,1261900,1282700,242750,721480,1378800,1143500,541150,402360
3293000,355770,419540,495140,100600,341300,0,212890,373900,0,453620,177980,362300
271860,0,0,0,0,65370,46073,0,0,160410,0,0,0
2662000,1147700,134640,83344,537240,81885,34228,0,67119,0,294580,154800,126460
179790,93721,0,0,0,0,15843,0,0,0,70222,0,0
3631000,0,0,0,0,0,0,0,0,0,272610,1384200,1974200
2452100,212970,135260,80323,102630,107220,0,157300,44630,0,884970,246650,480120
775110,102070,116130,0,51279,0,33392,83166,31369,22730,190050,81642,63274
1556500,99402,218750,72599,33506,470010,120750,0,0,341310,200170,0,0
436790,0,0,0,0,38713,30816,126950,163200,77103,0,0,0
1495900,119970,208770,141640,83057,0,138080,0,144040,77045,266210,148380,168760
2789900,116980,0,155990,0,1281700,330290,0,214500,232930,230120,87726,139630
653410,0,0,0,0,476300,0,0,102660,74450,0,0,0
751880,78885,47678,0,31484,50324,0,0,0,0,276610,137120,129790
2444700,361960,269480,123100,140350,452370,186750,82562,100960,262920,308420,58246,97628
0,0,0,0,0,0,0,0,0,0,0,0,0
7172200,379590,412180,568680,966000,1183400,896720,0,1200600,613980,244040,314690,392400
689720,0,0,0,689720,0,0,0,0,0,0,0,0
23503000,3296900,3383600,1317500,1047500,2061000,1161100,1919700,1941900,2692600,1990600,1221600,1468800
133930,0,0,0,0,0,0,0,0,0,0,133930,0
259240,49000,0,0,0,0,25867,0,0,54844,80123,49406,0
207730,69109,44269,0,0,0,0,0,0,0,94353,0,0
27827000,2056500,5195900,3232400,1120700,3280000,1925800,1999500,1578900,2942700,887120,1262900,2344400
7954200,56433,0,0,0,357650,217760,2107800,3359300,1071500,277970,291820,214040
859410,0,0,45778,0,30513,24601,0,0,27312,269380,239290,222530
996760,72798,105560,0,131320,139540,106470,238630,160980,0,0,0,41455
3375400,167260,0,129480,191190,0,148680,0,118020,90174,822710,990120,717720
548150,0,112590,39843,0,69265,47135,40026,36205,66464,115250,0,21365
167070,77716,62271,0,0,27081,0,0,0,0,0,0,0
3760100,604800,510720,330460,129990,190970,211570,317140,341510,295460,440550,106670,280230
11185000,693610,3274600,683330,276470,1107600,501340,950380,641550,900270,1276000,405020,475080
646900,165270,98937,0,80820,0,0,206320,0,0,95552,0,0
162280,0,0,25437,0,0,0,0,0,0,0,71151,65693
2136200,213860,125760,152640,75805,143430,129570,0,150310,84905,491470,262670,305740
290370,0,0,32995,0,0,17211,0,0,0,120470,77289,42402
163450,0,0,0,0,0,0,0,0,0,98294,65155,0
737070,104180,79584,35990,60614,33548,51513,137970,48921,39823,80879,64044,0
2472700,0,117430,83980,347360,352520,265790,295090,373140,199700,128600,131830,177220
56251000,3431400,3470300,2686800,4878900,6601900,5503600,10113000,9384700,4106600,1851700,2113900,2108200
2296800,71093,108520,0,0,0,0,0,0,0,813490,642360,661360
3146200,483740,203750,195870,255550,181590,181060,110370,188460,126020,536600,305830,377330
61580000,3564000,8436000,6601700,874190,6574800,4182200,3829200,4108200,8459200,8445600,2696400,3808600
1787500,0,0,27016,626480,0,51656,610480,252830,88622,93870,36508,0
1484500,204990,222930,0,166660,107670,0,98146,88744,207950,222860,164590,0
2329800,93730,116910,73378,160490,317140,272190,323400,595880,184380,67049,43258,81964
32717000,1602400,1135100,837710,1246400,1478700,1107100,1092200,1413900,936840,9484600,5479200,6903200
1074700,68931,63364,0,40712,0,0,516190,261670,123820,0,0,0
