DMSO,2.5 nM,25 nM,250 nM,2.5 µM,25 µM,PD of PD,,,,,,,
12999000,13084000,14672000,14751000,18340000,12335000,19104000,,,,,,,
515000,450000,509000,601000,695000,417000,534000,,,,,,,
163000,156000,185000,223000,254000,139000,200000,,,,,,,
810000,619000,624000,635000,1060000,586000,1366000,,,,,,,
172000,184000,150000,85000,149000,137000,128000,,,,,,,
248000,198000,181000,271000,272000,230000,340000,,,,,,,
93000,81000,99000,107000,118000,94000,101000,,,,,,,
35000,41000,37000,41000,37000,21000,57000,,,,,,,
13243000,9553000,9767000,10820000,9928000,7523000,5631000,,,,,,,
1054000,903000,892000,1026000,238000,1007000,586000,,,,,,,
258000,207000,254000,320000,270000,198000,102000,,,,,,,
3853000,3582000,3937000,4299000,5251000,3872000,4875000,,,,,,,
534000,386000,397000,524000,647000,509000,541000,,,,,,,
253000,5000,0,0,0,18000,22000,,,,,,,
7134000,230000,261000,281000,328000,129000,156000,,,,,,,
721000,621000,747000,753000,667000,643000,831000,,,,,,,
5391000,5301000,4873000,4850000,7491000,3832000,1568000,,,,,,,
320554000,250085000,264273000,283403000,364667000,216650000,31017000,,,,,,,
5520000,3564000,6118000,7335000,5811000,6501000,6639000,,,,,,,
1439000,1301000,1396000,1838000,1861000,1453000,862000,,,,,,,
3147000,2883000,3199000,3590000,3676000,2562000,2170000,,,,,,,
2589000,2230000,2396000,2509000,2424000,2374000,2899000,,,,,,,
6076000,4825000,5904000,6649000,9733000,6818000,10408000,,,,,,,
1194000,755000,1086000,1202000,1330000,945000,1337000,,,,,,,
977000,928000,1103000,1176000,1408000,844000,454000,,,,,,,
860000,639000,819000,904000,846000,523000,968000,,,,,,,
19382000,19112000,17885000,19398000,16957000,15935000,13079000,,,,,,,
61004000,51252000,53309000,62537000,75383000,49789000,28947000,,,,,,,
310000,255000,252000,307000,275000,210000,169000,,,,,,,
7461000,5641000,6967000,7501000,8629000,4775000,7152000,,,,,,,
5331000,4628000,4683000,5618000,4903000,3888000,4524000,,,,,,,
19623000,17309000,17260000,20060000,21694000,14865000,13294000,,,,,,,
879000,744000,814000,959000,1445000,688000,811000,,,,,,,
1227000,1260000,1288000,1087000,1514000,1212000,1331000,,,,,,,
201000,176000,155000,179000,269000,179000,271000,,,,,,,
359000,135000,356000,518000,534000,510000,311000,,,,,,,
674000,597000,464000,672000,824000,534000,478000,,,,,,,
122858000,122737000,127413000,151927000,137940000,103932000,85178000,,,,,,,
946000,679000,727000,940000,1074000,679000,373000,,,,,,,
1160000,785000,979000,915000,1594000,756000,1158000,,,,,,,
42700000,34378000,38652000,44372000,44402000,38275000,23692000,,,,,,,
72527000,57354000,60270000,72439000,85781000,62013000,36182000,,,,,,,
126000,177000,132000,155000,130000,120000,52000,,,,,,,
106000,83000,73000,92000,85000,77000,83000,,,,,,,
255000,198000,225000,263000,256000,211000,349000,,,,,,,
137661000,120106000,124003000,139199000,138044000,86760000,48903000,,,,,,,
157150000,143513000,144812000,157908000,160250000,109101000,54239000,,,,,,,
19729000,17303000,18015000,20866000,20634000,13608000,16662000,,,,,,,
29164000,24476000,25435000,29789000,31545000,22562000,14214000,,,,,,,
14000,14000,25000,24000,29000,21000,18000,,,,,,,
463000,505000,559000,502000,514000,381000,916000,,,,,,,
915000,913000,960000,1036000,1300000,867000,1080000,,,,,,,
466000,448000,568000,689000,970000,437000,618000,,,,,,,
16704000,13797000,14839000,16321000,24567000,13678000,17818000,,,,,,,
630000,524000,592000,608000,811000,556000,654000,,,,,,,
2104000,1829000,1856000,2224000,2146000,1317000,1280000,,,,,,,
310000,344000,302000,305000,384000,97000,374000,,,,,,,
45000,97000,110000,110000,186000,49000,133000,,,,,,,
150000,133000,161000,132000,235000,83000,186000,,,,,,,
22956000,21232000,23595000,27781000,29096000,23089000,15469000,,,,,,,
1181000,630000,666000,826000,975000,674000,581000,,,,,,,
1307000,881000,1069000,1419000,2066000,1356000,1431000,,,,,,,
366000,64000,45000,68000,104000,124000,42000,,,,,,,
395000,238000,294000,334000,231000,706000,181000,,,,,,,
25000,33000,38000,54000,69000,34000,18000,,,,,,,
164000,173000,191000,249000,173000,245000,70000,,,,,,,
169000,224000,242000,294000,211000,253000,106000,,,,,,,
731000,677000,824000,950000,993000,681000,754000,,,,,,,
639000,637000,754000,712000,804000,442000,829000,,,,,,,
56000,52000,60000,75000,79000,74000,82000,,,,,,,
15258000,12822000,14699000,16868000,16171000,17179000,21397000,,,,,,,
3396000,3175000,3812000,4438000,4410000,4273000,3981000,,,,,,,
101000,89000,120000,134000,27000,92000,71000,,,,,,,
340000,277000,308000,372000,338000,270000,344000,,,,,,,
258000,239000,257000,282000,279000,260000,275000,,,,,,,
66000,64000,66000,72000,109000,63000,62000,,,,,,,
142000,95000,106000,108000,130000,75000,130000,,,,,,,
1081000,1024000,1134000,1016000,1084000,777000,1826000,,,,,,,
4189000,4021000,4603000,5337000,5127000,4794000,5499000,,,,,,,
2539000,2314000,2432000,2851000,3681000,2183000,2990000,,,,,,,
255000,209000,235000,272000,384000,208000,343000,,,,,,,
401000,356000,371000,443000,241000,431000,518000,,,,,,,
1787000,1463000,1609000,1773000,2735000,1629000,2634000,,,,,,,
3879000,3103000,3105000,3671000,5682000,3143000,4657000,,,,,,,
2874000,2088000,2248000,2382000,3684000,2396000,3609000,,,,,,,
120000,23000,84000,82000,281000,8000,16000,,,,,,,
328000,1000,391000,334000,860000,313000,605000,,,,,,,
1300000,1091000,1184000,1296000,2246000,1265000,1655000,,,,,,,
2604000,2514000,2710000,2633000,4385000,2507000,3684000,,,,,,,
414000,418000,443000,428000,774000,309000,766000,,,,,,,
43000,47000,61000,56000,102000,18000,67000,,,,,,,
1979000,2245000,2195000,2857000,2284000,3172000,2085000,,,,,,,
571000,29000,37000,50000,41000,29000,6000,,,,,,,
2422000,1850000,2647000,3300000,3906000,2911000,3198000,,,,,,,
11250000,11845000,12580000,13168000,11528000,10418000,17590000,,,,,,,
278423000,245934000,245121000,267419000,288720000,172924000,92718000,,,,,,,
30282000,27178000,26594000,28612000,30047000,18728000,28233000,,,,,,,
335000,262000,270000,331000,332000,242000,197000,,,,,,,
426000,336000,468000,553000,491000,375000,278000,,,,,,,
5810000,4963000,5062000,5877000,7017000,4462000,3440000,,,,,,,
211000,230000,217000,211000,258000,179000,173000,,,,,,,
175000,150000,151000,214000,220000,76000,130000,,,,,,,
5175000,5080000,5600000,6372000,6372000,3834000,2677000,,,,,,,
50680000,51987000,51177000,55620000,43902000,38017000,49829000,,,,,,,
68709000,64367000,65059000,72465000,71066000,44889000,63877000,,,,,,,
47105000,47181000,48028000,56474000,42255000,47961000,46962000,,,,,,,
354000,292000,303000,306000,440000,269000,234000,,,,,,,
213000,119000,128000,161000,168000,196000,233000,,,,,,,
21000,17000,19000,19000,36000,27000,28000,,,,,,,
640000,238000,482000,613000,796000,586000,718000,,,,,,,
2991000,2705000,3019000,2958000,4326000,2178000,3214000,,,,,,,
10447000,9208000,9307000,10254000,9458000,7752000,10688000,,,,,,,
63000,58000,50000,59000,77000,41000,87000,,,,,,,
4120000,3253000,3425000,3860000,4952000,3051000,5591000,,,,,,,
945000,827000,889000,798000,890000,575000,1723000,,,,,,,
216000,160000,205000,191000,295000,260000,356000,,,,,,,
1981000,2210000,2111000,2180000,2762000,1859000,3559000,,,,,,,
37000,36000,35000,31000,47000,21000,27000,,,,,,,
1624000,1757000,1896000,1787000,2801000,1461000,2642000,,,,,,,
1550000,1711000,1443000,1245000,972000,1047000,2109000,,,,,,,
