DMSO,2.5 nM,25 nM,250 nM,2.5 µM,25 µM,PD of PD,,,,,,,
1946000,1516000,1488000,1834000,2367000,1765000,2329000,,,,,,,
912000,967000,949000,1058000,1075000,667000,615000,,,,,,,
438000,241000,293000,288000,401000,278000,538000,,,,,,,
409000,359000,389000,431000,692000,413000,784000,,,,,,,
102650000,97137000,99068000,112660000,147561000,96807000,96163000,,,,,,,
115000,35000,88000,100000,169000,53000,146000,,,,,,,
471000,444000,523000,450000,147000,57000,262000,,,,,,,
333000,326000,361000,358000,426000,255000,317000,,,,,,,
614000,6494000,534000,552000,699000,410000,914000,,,,,,,
6985000,6665000,7142000,8049000,9416000,7632000,11932000,,,,,,,
7493000,8056000,8872000,9166000,9062000,8041000,13497000,,,,,,,
88000,88000,109000,98000,125000,102000,125000,,,,,,,
1533000,1377000,1487000,1551000,1075000,1225000,2237000,,,,,,,
1120000,919000,913000,1034000,878000,699000,410000,,,,,,,
5869000,5108000,5122000,5927000,6420000,4136000,2719000,,,,,,,
103000,124000,144000,119000,134000,125000,104000,,,,,,,
207000,218000,251000,216000,313000,210000,329000,,,,,,,
34477000,28864000,29087000,35153000,36409000,26294000,10182000,,,,,,,
150000,164000,206000,240000,216000,184000,61000,,,,,,,
6594000,1887000,1740000,2153000,1858000,1578000,2020000,,,,,,,
3491000,3693000,3206000,3045000,2485000,2288000,7037000,,,,,,,
519000,533000,459000,386000,22000,354000,1130000,,,,,,,
699000,539000,547000,623000,930000,645000,605000,,,,,,,
658000,720000,613000,744000,733000,504000,786000,,,,,,,
3236000,3045000,3511000,4090000,4767000,3582000,2418000,,,,,,,
274000,76000,101000,106000,153000,92000,116000,,,,,,,
20000,15000,17000,22000,17000,0,1000,,,,,,,
14040000,14068000,14200000,15855000,15137000,13750000,6689000,,,,,,,
13128000,12972000,14400000,14800000,17109000,14721000,11487000,,,,,,,
173000,130000,141000,130000,31000,137000,181000,,,,,,,
368000,413000,488000,469000,489000,396000,438000,,,,,,,
1715000,1594000,1721000,2045000,2626000,2128000,2407000,,,,,,,
3441000,1226000,1484000,1945000,2298000,1714000,1111000,,,,,,,
52000,37000,62000,36000,62000,45000,102000,,,,,,,
823852000,918547000,1003887000,1453230000,1175518000,751588000,931867000,,,,,,,
476879000,569631000,556948000,710356000,564368000,338718000,583690000,,,,,,,
34000,26000,32000,67000,209000,31000,19000,,,,,,,
171000,76000,111000,160000,217000,13000,198000,,,,,,,
247790000,27171000,24013000,34515000,32338000,19277000,29098000,,,,,,,
409133000,27025000,16754000,19983000,21252000,13572000,20433000,,,,,,,
35078000,1789000,1328000,1438000,1455000,1083000,1657000,,,,,,,
11491000,8504000,13014000,11757000,13186000,9499000,11587000,,,,,,,
916000,868000,1266000,1056000,1280000,842000,1050000,,,,,,,
179000,4000,3000,5000,4000,6000,8000,,,,,,,
105284000,819000,603000,831000,1033000,700000,505000,,,,,,,
213345000,25761000,26183000,36333000,32088000,19412000,33999000,,,,,,,
17630000,1597000,1197000,1390000,1434000,688000,1343000,,,,,,,
13738000,1187000,989000,1396000,1639000,883000,1048000,,,,,,,
446000,33000,16000,12000,24000,72000,44000,,,,,,,
1052000,1096000,1224000,1651000,1499000,836000,1497000,,,,,,,
346000,317000,315000,438000,409000,249000,361000,,,,,,,
19143000,14979000,22041000,19465000,19580000,17372000,20344000,,,,,,,
80000,6000,24000,39000,23000,6000,2000,,,,,,,
1383000,107000,191000,17000,30000,23000,9000,,,,,,,
7948000,40000,33000,84000,54000,38000,26000,,,,,,,
21331000,355000,253000,152000,121000,520000,928000,,,,,,,
22937000,600000,534000,696000,717000,219000,451000,,,,,,,
771000,547000,497000,521000,665000,344000,1212000,,,,,,,
195000,341000,356000,323000,323000,395000,525000,,,,,,,
6830000,6626000,6845000,7912000,6707000,6493000,6286000,,,,,,,
647000,564000,699000,708000,736000,669000,772000,,,,,,,
5113000,4579000,4681000,5178000,5087000,4628000,5897000,,,,,,,
103000,36000,44000,73000,82000,93000,40000,,,,,,,
9965000,11381000,12307000,12983000,11315000,12346000,13043000,,,,,,,
19000,16000,23000,26000,22000,25000,19000,,,,,,,
144000,143000,176000,209000,187000,159000,152000,,,,,,,
362000,349000,373000,419000,758000,253000,435000,,,,,,,
4375000,3818000,4359000,5352000,5513000,3711000,2099000,,,,,,,
16423000,15548000,16556000,19212000,18949000,16048000,18103000,,,,,,,
103754000,97299000,95552000,103368000,110979000,66336000,26673000,,,,,,,
1765000,1475000,7400000,1552000,1948000,14404000,1672000,,,,,,,
124000,47000,43000,90000,101000,75000,19000,,,,,,,
247000,141000,166000,221000,248000,301000,146000,,,,,,,
392000,417000,521000,498000,529000,541000,419000,,,,,,,
122000,105000,107000,120000,190000,124000,104000,,,,,,,
626000,29000,39000,43000,43000,67000,47000,,,,,,,
3604000,3083000,3167000,3377000,3755000,2793000,3512000,,,,,,,
15452000,969000,970000,814000,1067000,778000,957000,,,,,,,
43000,63000,47000,49000,4000,4000,9000,,,,,,,
2497000,2325000,2299000,2536000,2767000,1694000,1437000,,,,,,,
609000,558000,486000,535000,566000,376000,680000,,,,,,,
1367000,783000,879000,918000,1238000,743000,1087000,,,,,,,
68000,69000,60000,58000,19000,47000,272000,,,,,,,
3442000,1439000,1657000,1727000,2232000,1645000,1961000,,,,,,,
1797000,1251000,1581000,1658000,2145000,1598000,2139000,,,,,,,
39000,32000,42000,51000,58000,44000,45000,,,,,,,
73000,58000,69000,65000,77000,51000,63000,,,,,,,
134000,65000,40000,133000,213000,136000,23000,,,,,,,
54000,62000,57000,72000,127000,108000,78000,,,,,,,
261000,317000,265000,269000,264000,234000,451000,,,,,,,
287000,376000,291000,329000,382000,250000,456000,,,,,,,
251000,315000,275000,247000,297000,233000,283000,,,,,,,
488000,377000,540000,637000,808000,655000,627000,,,,,,,
17147000,872000,611000,610000,660000,568000,574000,,,,,,,
993000,981000,1049000,921000,1895000,790000,1291000,,,,,,,
4431000,4606000,4927000,5641000,5648000,4298000,1125000,,,,,,,
5107000,5003000,4961000,5515000,5004000,4250000,1271000,,,,,,,
71000,62000,75000,76000,101000,51000,48000,,,,,,,
654000,514000,555000,652000,784000,483000,718000,,,,,,,
626000,832000,999000,1187000,574000,1332000,1130000,,,,,,,
6270000,5831000,6079000,7237000,6791000,4896000,8042000,,,,,,,
2060000,2216000,2387000,2659000,2561000,2264000,2595000,,,,,,,
3563000,3148000,3278000,3668000,5634000,2517000,3844000,,,,,,,
2528000,2374000,2391000,2911000,2697000,1469000,1372000,,,,,,,
7645000,7393000,7204000,8159000,9106000,5773000,4464000,,,,,,,
9951000,9684000,10053000,12176000,8631000,4920000,4626000,,,,,,,
725000,353000,760000,785000,966000,617000,530000,,,,,,,
12155000,10835000,14039000,16459000,14719000,14303000,6693000,,,,,,,
1971000,1855000,1891000,2099000,1979000,1955000,1237000,,,,,,,
421000,432000,499000,548000,591000,386000,316000,,,,,,,
398000,298000,445000,516000,578000,425000,141000,,,,,,,
0,13000,2000,1000,4000,31000,24000,,,,,,,
509000,804000,712000,888000,20000,241000,495000,,,,,,,
3474000,3191000,3325000,3713000,2767000,1034000,1811000,,,,,,,
1621000,1436000,1597000,1818000,1978000,1156000,751000,,,,,,,
37060000,33161000,34351000,40112000,33536000,10824000,16384000,,,,,,,
1282850000,1225408000,1266572000,1440731000,1403042000,1078422000,232734000,,,,,,,
203000,171000,172000,205000,242000,189000,111000,,,,,,,
3489000,3352000,3376000,3871000,3874000,2455000,1896000,,,,,,,
26379000,22674000,23036000,25090000,25598000,17799000,7735000,,,,,,,
153304000,148649000,148454000,170088000,148476000,128213000,55536000,,,,,,,
40000,29000,33000,33000,23000,18000,14000,,,,,,,
17503000,16775000,16440000,18275000,15986000,11327000,7356000,,,,,,,
29700000,26964000,26734000,29462000,30140000,17758000,14694000,,,,,,,
33000,38000,34000,45000,63000,43000,122000,,,,,,,
3842000,3538000,3805000,4834000,4456000,2380000,2205000,,,,,,,
28000,24000,26000,34000,16000,16000,13000,,,,,,,
1835000,1755000,1953000,1950000,2261000,2073000,1849000,,,,,,,
60000,80000,103000,105000,120000,141000,103000,,,,,,,
3328000,2738000,2600000,2865000,3227000,2084000,3930000,,,,,,,
61000,82000,64000,96000,127000,68000,69000,,,,,,,
1008000,796000,868000,860000,100000,856000,594000,,,,,,,
362000,365000,419000,446000,579000,400000,428000,,,,,,,
884000,857000,877000,920000,608000,774000,905000,,,,,,,
5395000,5335000,5106000,5566000,5639000,3706000,3082000,,,,,,,
240000,228000,266000,304000,309000,254000,375000,,,,,,,
3422000,2779000,2841000,3242000,2481000,2028000,2002000,,,,,,,
303000,332000,312000,288000,448000,225000,456000,,,,,,,
179000,117000,138000,166000,162000,86000,208000,,,,,,,
325000,337000,358000,422000,483000,255000,696000,,,,,,,
178000,193000,237000,264000,310000,103000,329000,,,,,,,
214000,210000,237000,166000,126000,156000,651000,,,,,,,
173534000,195468000,198961000,203749000,252724000,220410000,205026000,,,,,,,
3638000,1170000,1241000,1290000,1683000,838000,1899000,,,,,,,
1113000,856000,1096000,560000,253000,742000,1186000,,,,,,,
8811000,8225000,9165000,10344000,11971000,7969000,5370000,,,,,,,
837000,640000,669000,747000,759000,447000,383000,,,,,,,
60000,49000,59000,60000,0,71000,95000,,,,,,,
2000,9000,10000,5000,3000,7000,12000,,,,,,,
378000,357000,306000,251000,345000,208000,534000,,,,,,,
6556000,5789000,5862000,1341000,1514000,6408000,5579000,,,,,,,
704000,646000,672000,705000,1039000,678000,779000,,,,,,,
7000,27000,16000,24000,30000,19000,43000,,,,,,,
270000,246000,272000,276000,372000,232000,310000,,,,,,,
352000,306000,314000,346000,332000,323000,524000,,,,,,,
141000,95000,90000,48000,14000,103000,276000,,,,,,,
177000,138000,158000,134000,18000,157000,198000,,,,,,,
57000,63000,67000,40000,94000,31000,79000,,,,,,,
60000,47000,51000,72000,80000,34000,74000,,,,,,,
193000,172000,182000,190000,235000,212000,324000,,,,,,,
243000,323000,264000,291000,365000,286000,320000,,,,,,,
155000,144000,120000,148000,212000,108000,111000,,,,,,,
225000,189000,217000,176000,292000,166000,224000,,,,,,,
405000,325000,306000,449000,548000,339000,389000,,,,,,,
229000,249000,242000,277000,145000,228000,367000,,,,,,,
418000,461000,405000,453000,522000,330000,736000,,,,,,,
131000,133000,123000,123000,179000,59000,223000,,,,,,,
1000,10000,9000,9000,5000,24000,109000,,,,,,,
718000,657000,664000,717000,934000,694000,762000,,,,,,,
1468000,1381000,1349000,1369000,1557000,1281000,2043000,,,,,,,
1428000,1237000,1312000,1419000,1791000,1237000,2046000,,,,,,,
119000,131000,119000,130000,151000,73000,212000,,,,,,,
367000,325000,330000,334000,464000,287000,522000,,,,,,,
1772000,1354000,1449000,1427000,1451000,1375000,2714000,,,,,,,
1712000,1258000,1569000,1961000,2185000,1041000,1171000,,,,,,,
576000,251000,320000,412000,385000,210000,384000,,,,,,,
460000,380000,460000,494000,416000,310000,320000,,,,,,,
2922000,2519000,2731000,2787000,3278000,1931000,2780000,,,,,,,
299000,256000,286000,284000,356000,231000,359000,,,,,,,
542000,466000,488000,532000,558000,369000,431000,,,,,,,
164000,153000,151000,173000,230000,172000,173000,,,,,,,
891000,711000,680000,753000,836000,493000,1036000,,,,,,,
1052000,906000,952000,1017000,505000,776000,1237000,,,,,,,
175000,134000,142000,145000,179000,225000,139000,,,,,,,
61000,65000,51000,72000,19000,63000,114000,,,,,,,
1062000,964000,1070000,1211000,1576000,1059000,1256000,,,,,,,
1246000,944000,1114000,1122000,1513000,929000,1377000,,,,,,,
297000,301000,272000,299000,496000,148000,225000,,,,,,,
61000,75000,75000,75000,129000,87000,43000,,,,,,,
798000,1257000,896000,870000,941000,589000,1123000,,,,,,,
124000,124000,147000,148000,189000,120000,206000,,,,,,,
3129000,2961000,3310000,2958000,3026000,1942000,4796000,,,,,,,
6424000,6397000,6393000,6415000,7530000,4712000,9116000,,,,,,,
224000,215000,219000,243000,41000,174000,307000,,,,,,,
3268000,2796000,3344000,3482000,2665000,3141000,3871000,,,,,,,
21000,59000,41000,29000,49000,41000,119000,,,,,,,
5265000,4634000,4993000,5100000,2092000,3819000,6901000,,,,,,,
2253000,2313000,2374000,2445000,1960000,2787000,2713000,,,,,,,
1307000,1200000,1389000,1423000,1052000,1781000,1141000,,,,,,,
564000,297000,338000,311000,593000,490000,486000,,,,,,,
284000,250000,281000,375000,450000,374000,503000,,,,,,,
438000,349000,466000,535000,695000,643000,761000,,,,,,,
176000,198000,197000,161000,225000,159000,208000,,,,,,,
296000,424000,340000,422000,449000,374000,380000,,,,,,,
61000,49000,61000,86000,64000,30000,84000,,,,,,,
24505000,26047000,29674000,32733000,25944000,37188000,32984000,,,,,,,
1144000,1089000,1063000,1082000,1695000,776000,1403000,,,,,,,
175000,158000,174000,152000,99000,116000,268000,,,,,,,
273000,306000,333000,425000,479000,280000,569000,,,,,,,
292000,208000,167000,160000,153000,235000,203000,,,,,,,
120000,95000,116000,109000,173000,142000,146000,,,,,,,
301000,280000,288000,290000,412000,279000,321000,,,,,,,
495000,651000,548000,610000,51000,492000,913000,,,,,,,
84000,44000,63000,65000,166000,68000,166000,,,,,,,
450000,471000,554000,570000,679000,526000,775000,,,,,,,
51000,49000,50000,48000,5000,20000,105000,,,,,,,
419000,376000,429000,469000,272000,394000,290000,,,,,,,
383000,334000,359000,478000,535000,372000,34000,,,,,,,
4462000,4591000,4984000,5845000,2184000,4604000,4550000,,,,,,,
163911000,143606000,147190000,172219000,195392000,126461000,43877000,,,,,,,
174000,131000,139000,146000,213000,105000,244000,,,,,,,
1957000,856000,908000,1138000,1516000,1104000,1249000,,,,,,,
6952000,5508000,5794000,6446000,6621000,4335000,9533000,,,,,,,
74000,136000,218000,230000,139000,280000,215000,,,,,,,
170000,187000,198000,225000,252000,216000,194000,,,,,,,
45000,33000,28000,52000,50000,46000,24000,,,,,,,
1507000,1084000,1272000,1320000,1393000,1238000,1293000,,,,,,,
4271000,4836000,5899000,6545000,6675000,8039000,6639000,,,,,,,
931000,349000,323000,353000,59000,207000,450000,,,,,,,
374000,242000,321000,377000,299000,98000,125000,,,,,,,
10000,55000,41000,23000,8000,51000,42000,,,,,,,
137000,149000,168000,189000,210000,159000,217000,,,,,,,
62000,61000,86000,100000,119000,90000,95000,,,,,,,
144000,158000,174000,163000,128000,155000,143000,,,,,,,
8246000,7852000,7625000,6958000,8258000,6782000,7654000,,,,,,,
133000,219000,231000,238000,368000,493000,253000,,,,,,,
98000,85000,77000,61000,88000,66000,115000,,,,,,,
279000,210000,236000,307000,308000,258000,263000,,,,,,,
4518000,4496000,5940000,6729000,5914000,4102000,3903000,,,,,,,
265000,313000,353000,342000,171000,376000,345000,,,,,,,
13666000,12412000,12089000,13718000,10842000,8208000,14414000,,,,,,,
2506000,2674000,2671000,2240000,3505000,1703000,3029000,,,,,,,
437000,256000,272000,321000,450000,274000,280000,,,,,,,
380000,363000,379000,454000,591000,469000,374000,,,,,,,
453000,195000,200000,305000,353000,278000,335000,,,,,,,
14096000,9618000,10903000,13293000,16867000,9251000,11147000,,,,,,,
799000,678000,769000,768000,1233000,809000,1123000,,,,,,,
38417000,36184000,38481000,48662000,49676000,27694000,13122000,,,,,,,
485000,470000,506000,634000,645000,412000,90000,,,,,,,
1739000,1814000,1622000,1678000,2095000,1370000,1785000,,,,,,,
893000,23000,49000,31000,75000,67000,15000,,,,,,,
312000,242000,508000,611000,366000,476000,813000,,,,,,,
2059000,1720000,1821000,1908000,2286000,1736000,1789000,,,,,,,
317000,226000,203000,308000,320000,203000,334000,,,,,,,
250000,126000,134000,182000,163000,89000,127000,,,,,,,
237000,160000,165000,207000,310000,174000,195000,,,,,,,
405000,22000,476000,506000,533000,475000,488000,,,,,,,
42000,43000,50000,43000,44000,27000,62000,,,,,,,
407000,350000,379000,354000,426000,238000,373000,,,,,,,
1382000,1259000,1311000,1077000,486000,359000,1299000,,,,,,,
1442000,905000,1243000,1155000,1663000,958000,1267000,,,,,,,
4198000,3345000,3278000,3739000,3245000,2916000,4177000,,,,,,,
2622000,1920000,2307000,2374000,3551000,1904000,2022000,,,,,,,
94000,72000,86000,108000,100000,154000,39000,,,,,,,
7000,30000,24000,11000,10000,80000,51000,,,,,,,
1073000,944000,1018000,1296000,1204000,589000,1058000,,,,,,,
217944000,213951000,209878000,215328000,223497000,150928000,218314000,,,,,,,
40000,32000,30000,42000,35000,23000,41000,,,,,,,
1000,11000,6000,3000,1000,19000,16000,,,,,,,
417000,243000,382000,396000,436000,297000,445000,,,,,,,
337000,381000,388000,428000,363000,273000,567000,,,,,,,
555000,283000,308000,347000,425000,157000,325000,,,,,,,
494000,91000,77000,109000,2000,116000,100000,,,,,,,
106000,85000,89000,103000,126000,83000,96000,,,,,,,
2488000,1952000,2348000,2962000,3503000,2534000,3228000,,,,,,,
795000,799000,935000,1048000,1515000,961000,1608000,,,,,,,
202594000,178841000,204761000,194920000,187019000,165374000,241718000,,,,,,,
224622000,195701000,217595000,212580000,261421000,155736000,258329000,,,,,,,
7255000,5621000,6388000,6808000,8569000,5820000,7476000,,,,,,,
955000,142000,770000,868000,888000,546000,823000,,,,,,,
265000,183000,199000,196000,285000,202000,284000,,,,,,,
0,0,45000,2000,17000,121000,3000,,,,,,,
183000,181000,203000,231000,259000,160000,417000,,,,,,,
1142000,1056000,1080000,1174000,2809000,683000,1256000,,,,,,,
285000,332000,449000,213000,277000,424000,405000,,,,,,,
163000,139000,149000,175000,172000,130000,159000,,,,,,,
847000,241000,261000,284000,136000,288000,205000,,,,,,,
22235000,19603000,21495000,24749000,21637000,18320000,13106000,,,,,,,
1519000,1547000,1672000,1944000,1393000,1401000,1150000,,,,,,,
37368000,29907000,37044000,44302000,37606000,33610000,26861000,,,,,,,
351000,175000,121000,151000,161000,115000,60000,,,,,,,
234000,237000,226000,262000,269000,287000,225000,,,,,,,
6000,6000,10000,10000,5000,0,1000,,,,,,,
9000,17000,68000,22000,34000,403000,6000,,,,,,,
74000,69000,75000,83000,131000,71000,40000,,,,,,,
266000,231000,213000,209000,290000,203000,245000,,,,,,,
300000,271000,268000,289000,400000,311000,411000,,,,,,,
16000,15000,16000,26000,32000,33000,18000,,,,,,,
1394000,1320000,1201000,1319000,695000,1189000,1892000,,,,,,,
6972000,5105000,5810000,6371000,6669000,5445000,7427000,,,,,,,
3782000,1965000,2193000,2327000,2078000,1535000,2994000,,,,,,,
67000,16000,72000,64000,209000,57000,140000,,,,,,,
216000,141000,164000,199000,228000,140000,168000,,,,,,,
601000,258000,290000,362000,41000,251000,260000,,,,,,,
688000,705000,736000,780000,455000,706000,800000,,,,,,,
617000,469000,416000,547000,550000,83000,301000,,,,,,,
338000,261000,595000,253000,524000,2572000,314000,,,,,,,
141086000,128493000,128165000,143696000,144075000,78588000,54768000,,,,,,,
149000,123000,151000,179000,172000,103000,70000,,,,,,,
32957000,28236000,28739000,30894000,26443000,15746000,15631000,,,,,,,
5407000,5250000,4700000,4897000,3317000,2254000,2252000,,,,,,,
43296000,40267000,41638000,49320000,48355000,33837000,16501000,,,,,,,
4163000,3690000,3974000,4469000,4037000,2621000,1445000,,,,,,,
101279000,94045000,90795000,104129000,77050000,51322000,49632000,,,,,,,
7750000,5463000,6363000,6486000,6869000,3189000,3306000,,,,,,,
2276000,761000,789000,1015000,1054000,727000,1336000,,,,,,,
658000,742000,795000,935000,532000,779000,1222000,,,,,,,
19609000,16536000,18155000,22149000,22830000,18590000,13780000,,,,,,,
37757000,35788000,39417000,47870000,45669000,39226000,23165000,,,,,,,
8349000,8245000,9452000,10722000,9749000,9271000,7198000,,,,,,,
11395000,8906000,10815000,12753000,11948000,9815000,11108000,,,,,,,
721000,398000,641000,908000,803000,469000,560000,,,,,,,
304000,306000,386000,428000,823000,563000,613000,,,,,,,
25000,0,34000,50000,45000,35000,16000,,,,,,,
3189000,3257000,3438000,3960000,3685000,2868000,1713000,,,,,,,
12900000,12767000,13827000,15368000,12934000,12552000,7938000,,,,,,,
7329000,7197000,7074000,8898000,7675000,5405000,3750000,,,,,,,
0,250810000,268106000,292250000,374614000,254736000,288067000,,,,,,,
2819000,2363000,2454000,2831000,2226000,2021000,675000,,,,,,,
379000,255000,278000,331000,344000,459000,299000,,,,,,,
912000,702000,735000,783000,947000,557000,878000,,,,,,,
127000,92000,107000,115000,124000,110000,138000,,,,,,,
80000,59000,93000,111000,96000,194000,158000,,,,,,,
2985000,150000,2484000,3561000,2675000,2242000,9743000,,,,,,,
231000,155000,199000,252000,402000,146000,312000,,,,,,,
60000,73000,48000,63000,93000,81000,110000,,,,,,,
184000,151000,131000,141000,232000,120000,216000,,,,,,,
197000,137000,124000,150000,27000,64000,223000,,,,,,,
354000,225000,219000,254000,317000,267000,255000,,,,,,,
86000,64000,70000,81000,90000,68000,125000,,,,,,,
132000,74000,105000,88000,143000,73000,108000,,,,,,,
338000,249000,278000,266000,200000,310000,540000,,,,,,,
274000,234000,229000,291000,443000,365000,283000,,,,,,,
161000,148000,143000,209000,238000,156000,147000,,,,,,,
712000,727000,687000,678000,322000,488000,986000,,,,,,,
2466000,2292000,2724000,2820000,2612000,2716000,2849000,,,,,,,
732000,732000,726000,685000,741000,528000,687000,,,,,,,
467000,306000,328000,409000,546000,390000,251000,,,,,,,
87185000,78734000,79772000,91459000,109458000,65896000,16792000,,,,,,,
1139000,954000,1103000,1298000,1459000,1262000,314000,,,,,,,
50103000,45041000,45344000,52456000,57044000,40887000,15990000,,,,,,,
1309000,1080000,1100000,1134000,1547000,775000,359000,,,,,,,
9740000,10596000,11546000,12485000,10751000,10401000,15430000,,,,,,,
351000,309000,369000,438000,536000,318000,294000,,,,,,,
122000,104000,135000,132000,246000,43000,157000,,,,,,,
514000,461000,465000,483000,340000,395000,1024000,,,,,,,
4237000,3458000,3545000,3800000,5208000,2855000,4345000,,,,,,,
700000,467000,659000,755000,892000,776000,793000,,,,,,,
87000,71000,60000,68000,72000,46000,120000,,,,,,,
91000,75000,102000,113000,155000,86000,106000,,,,,,,
50241000,45350000,44694000,52942000,50006000,35707000,47595000,,,,,,,
295481000,267050000,279365000,328956000,346879000,228401000,253013000,,,,,,,
261000,244000,267000,272000,142000,209000,439000,,,,,,,
867000,747000,867000,760000,1529000,522000,1181000,,,,,,,
2757000,2079000,2278000,2122000,3077000,1452000,3659000,,,,,,,
549000,517000,587000,588000,781000,421000,825000,,,,,,,
73000,137000,132000,90000,156000,208000,138000,,,,,,,
462000,369000,429000,408000,755000,327000,725000,,,,,,,
10000,34000,28000,17000,25000,18000,657000,,,,,,,
293000,211000,242000,166000,296000,104000,349000,,,,,,,
701000,687000,735000,707000,1072000,500000,923000,,,,,,,
256000,205000,226000,207000,379000,112000,255000,,,,,,,
3055000,2618000,2876000,2704000,4431000,1848000,3931000,,,,,,,
219000,179000,235000,259000,109000,196000,248000,,,,,,,
1346000,660000,703000,728000,1247000,576000,780000,,,,,,,
199000,118000,177000,194000,317000,157000,201000,,,,,,,
167000,157000,205000,203000,149000,171000,140000,,,,,,,
544000,402000,426000,428000,385000,393000,646000,,,,,,,
641000,701000,807000,679000,1069000,456000,1206000,,,,,,,
56000,28000,82000,62000,584000,65000,133000,,,,,,,
38000,38000,42000,50000,59000,40000,23000,,,,,,,
59000,52000,74000,102000,84000,90000,109000,,,,,,,
65000,72000,96000,88000,11000,63000,183000,,,,,,,
215000,47000,39000,37000,44000,44000,28000,,,,,,,
30000,55000,60000,49000,89000,27000,119000,,,,,,,
25000,27000,31000,30000,36000,38000,37000,,,,,,,
1393000,1622000,1763000,1895000,1946000,1100000,2409000,,,,,,,
3633000,3381000,3354000,2393000,1002000,392000,1182000,,,,,,,
106000,108000,139000,177000,88000,123000,112000,,,,,,,
27000,52000,53000,53000,69000,33000,77000,,,,,,,
508000,374000,458000,517000,521000,397000,453000,,,,,,,
2385000,1673000,2045000,2183000,1972000,1331000,3342000,,,,,,,
122000,155000,213000,143000,334000,152000,246000,,,,,,,
11000,15000,23000,14000,99000,12000,74000,,,,,,,
2322000,2415000,2580000,2829000,1884000,2214000,2300000,,,,,,,
36587000,32950000,32721000,35472000,35109000,12694000,9847000,,,,,,,
390000,412000,444000,426000,558000,436000,344000,,,,,,,
35825000,29882000,34170000,41268000,44048000,33089000,19140000,,,,,,,
113812000,92990000,95612000,116870000,127552000,98037000,57619000,,,,,,,
753000,956000,1018000,804000,1772000,726000,1419000,,,,,,,
9457000,7337000,8146000,9288000,9832000,7398000,8116000,,,,,,,
746000,694000,594000,493000,310000,450000,1731000,,,,,,,
4195000,3857000,4421000,4315000,1944000,3994000,4342000,,,,,,,
11903000,8720000,9201000,10769000,10965000,8005000,12761000,,,,,,,
11654000,6609000,8271000,9018000,12315000,7756000,10972000,,,,,,,
6854000,5243000,5292000,5667000,6511000,4565000,7292000,,,,,,,
18544000,15497000,15004000,16160000,19243000,13916000,21696000,,,,,,,
11633000,9387000,10008000,11642000,14182000,10568000,12602000,,,,,,,
3090000,2120000,2181000,2927000,2799000,2670000,2106000,,,,,,,
2457000,1861000,1823000,1887000,1715000,2182000,2351000,,,,,,,
11050000,9275000,9212000,10081000,13324000,8911000,10205000,,,,,,,
5296000,4342000,4497000,5148000,7214000,4909000,5061000,,,,,,,
3115000,2218000,1993000,2206000,2706000,1316000,3827000,,,,,,,
15450000,10557000,11239000,14244000,16405000,13297000,14773000,,,,,,,
10789000,10260000,9414000,11081000,8712000,8554000,8136000,,,,,,,
9491000,8135000,9417000,10110000,10206000,7951000,10869000,,,,,,,
3667000,3269000,3255000,3041000,4245000,2408000,4840000,,,,,,,
8185000,6805000,6937000,7621000,9249000,6873000,11888000,,,,,,,
5264000,3072000,3946000,4159000,5738000,3219000,5359000,,,,,,,
13777000,11101000,11845000,13273000,15222000,11353000,14203000,,,,,,,
6477000,5234000,5261000,6061000,7047000,4988000,6957000,,,,,,,
7122000,6228000,6568000,6822000,9302000,5643000,7260000,,,,,,,
3052000,1938000,1809000,2222000,2254000,2080000,2761000,,,,,,,
2751000,1773000,2134000,2930000,3235000,3225000,3120000,,,,,,,
15945000,13946000,13696000,15529000,17810000,12351000,19095000,,,,,,,
5431000,5065000,5003000,4437000,7054000,5341000,7450000,,,,,,,
11527000,10062000,9899000,10376000,8819000,9805000,14201000,,,,,,,
4966000,3339000,3228000,3788000,4770000,3467000,3581000,,,,,,,
549000,636000,629000,708000,760000,796000,691000,,,,,,,
10793000,5989000,9408000,11170000,14329000,10786000,12421000,,,,,,,
3152000,2316000,2455000,2899000,3716000,2470000,2551000,,,,,,,
558000,511000,446000,551000,917000,418000,1082000,,,,,,,
325000,288000,275000,253000,423000,229000,395000,,,,,,,
531000,576000,527000,591000,746000,465000,878000,,,,,,,
473000,482000,557000,608000,706000,625000,489000,,,,,,,
13368000,8613000,9838000,12320000,13135000,11024000,13963000,,,,,,,
8501000,5788000,5969000,6457000,9640000,5068000,9695000,,,,,,,
19430000,16141000,15862000,19780000,19863000,19135000,20816000,,,,,,,
18950000,14844000,15104000,18035000,20777000,15453000,18707000,,,,,,,
20942000,16796000,16743000,18411000,20040000,14615000,20383000,,,,,,,
8876000,5989000,6292000,7118000,8690000,5655000,7958000,,,,,,,
716000,678000,591000,669000,154000,494000,1170000,,,,,,,
45293000,34790000,37201000,40806000,37998000,38445000,53018000,,,,,,,
9573000,8437000,8057000,8993000,10211000,11079000,9007000,,,,,,,
34321000,36543000,32795000,39342000,30574000,41714000,41906000,,,,,,,
37453000,30465000,33971000,37640000,40581000,27045000,41023000,,,,,,,
13253000,10964000,14023000,15874000,12730000,10807000,19579000,,,,,,,
11390000,10064000,10262000,11841000,12567000,9877000,15021000,,,,,,,
17956000,13110000,12840000,14924000,18498000,11565000,15804000,,,,,,,
