Intensity,Intensity 30_1,Intensity 30_2,Intensity 30_3,Intensity 35_1,Intensity 35_2,Intensity 35_3,Intensity 40_1,Intensity 40_2,Intensity 40_3,Intensity 45_1,Intensity 45_2,Intensity 45_3
2400700,386360,474220,504420,0,190000,321360,0,172260,88035,0,159240,104770
1244800,682390,0,0,237260,0,0,230190,0,0,94940,0,0
564330,146940,69545,79898,46074,0,24034,45324,60014,39692,13840,22854,16121
2425500,137480,91530,89147,404720,246110,311340,397790,393240,302400,0,0,51727
4495900,757810,571860,483450,341060,191680,211580,572660,452950,347240,224540,201120,139970
2217700,939980,0,0,154510,154650,192950,0,338210,437380,0,0,0
11630000,2581700,1081300,1003300,896540,483990,448350,1760800,959990,861140,868320,359090,325460
4773500,753390,474800,641820,291960,313430,323510,518460,465730,551050,124900,176790,137710
2828200,351100,368580,309350,227130,158930,192370,328330,369240,264600,104490,86473,67604
872550,188970,122100,54507,114310,61531,0,77493,174000,79639,0,0,0
584770,106320,76691,0,60006,42670,53157,69040,55654,68892,0,52345,0
5291200,908380,477920,683100,453830,259250,339780,692540,620430,524460,165130,0,166410
9441700,1236400,1129400,1082100,593670,517390,487100,935450,1181900,1065200,415660,445680,351670
17813000,2666600,1332800,1029500,1142100,653180,924170,1699200,1463700,1228500,2173500,1736700,1763200
4288900,0,380180,290250,313000,235650,220620,597790,787380,569240,341000,298880,254880
2270800,408980,246130,256020,169260,113200,132590,216970,215690,181240,162220,168500,0
198710,0,0,0,0,0,0,0,0,198710,0,0,0
2318000,378240,240020,248860,157900,126760,134000,239260,268590,255620,92794,93668,82249
5194200,677600,525480,551200,409210,330450,331170,630620,668090,577840,194650,171410,126500
2726800,113450,155030,175080,252360,183710,157660,349070,351910,277820,256060,300590,154090
588530,0,35500,35922,0,0,17707,38893,0,0,162910,171900,125700
630150,0,0,0,0,0,0,0,0,0,230620,156200,243330
1946800,311790,235010,151500,67264,100910,112340,202260,201290,205460,161040,197920,0
11166000,1814300,1042400,1389800,1306600,486490,260910,1278400,1566100,1116100,348880,314860,241480
1335200,218340,176320,162780,109820,52770,45760,182090,186030,126810,25181,26129,23183
7625100,688620,482080,388960,321130,163440,129640,498430,334070,233400,2236100,1565600,583540
641480,0,0,145570,0,93800,0,0,0,112010,166120,123980,0
13024000,3243100,953590,651130,1724100,332190,254800,1872800,792250,645410,1240800,651900,661860
261160000,41619000,20273000,20536000,21144000,11648000,11373000,34167000,23676000,17437000,27750000,19924000,11616000
74617000,12168000,8050600,7567000,4581000,3417300,3603500,7869900,7108700,6344000,5273300,4819900,3813700
1242700,356080,0,0,212780,0,0,382440,291420,0,0,0,0
1818200,0,0,0,313820,0,335050,0,564910,0,0,0,604450
4599000,859580,477720,321180,411830,212800,180990,569260,503410,354330,402330,305550,0
1530700,101760,88352,133440,151180,64292,0,103370,119930,140250,205330,257390,165390
2024300,298440,190650,99150,75963,109020,120090,213360,235460,177220,155560,191000,158370
838550,153520,0,0,193670,0,0,380700,0,0,110660,0,0
4768600,937350,0,547340,750210,547400,245390,750410,0,763850,0,108000,118650
8609000,0,560590,488000,786740,548490,613590,1084200,1174200,1157100,798000,764260,633800
1235000,200950,167210,150620,79835,79623,63445,161410,151990,110760,20033,34243,14883
1071200,215550,0,0,112450,92919,0,150450,145030,76127,103080,117250,58379
20337000,1633500,1449000,1378000,802200,780270,1285600,1706700,1752500,1505000,2863800,2814700,2366200
3333500,295500,337900,334110,306550,332570,483560,395690,228630,169690,170630,161260,117420
590670,39387,49789,28874,31387,22899,25877,42546,50180,68675,44720,55694,130640
4396200,889870,508080,547020,397310,233890,203230,511230,458150,418120,118470,110790,0
8303800,1356600,773330,866190,615350,425760,408190,1030600,906120,829980,381040,400440,310190
3492300,691840,393170,407330,167300,190460,198200,499430,413380,447030,33572,30038,20568
2058700,277130,181980,133940,225590,142410,151660,242650,220860,213160,0,150000,119290
8522000,1040200,582800,499400,472190,322330,245660,845450,849160,761240,988540,1049700,865360
0,0,0,0,0,0,0,0,0,0,0,0,0
1407500,0,141560,143820,97331,107700,125080,106260,213420,329950,0,142430,0
3028100,617440,0,187140,338200,0,104750,518420,224250,196150,419480,267680,154540
9246100,1357300,737460,590080,329600,528330,501960,898320,929490,1070500,987180,766700,549210
1624300,306630,189290,216560,0,94545,100800,0,235110,225750,0,144720,110950
6373300,1155200,635440,563430,401100,326470,468100,830320,530010,704390,323980,219330,215520
3215900,397380,285120,342620,178900,164350,208770,439450,285830,265790,199590,251280,196790
482500,192690,94520,0,69438,0,0,125850,0,0,0,0,0
64542000,11647000,7075600,4549900,6088800,2871600,1492500,6581300,10661000,7361200,2143000,2578700,1491500
1671600,319270,89172,104450,144160,61955,0,294590,157480,0,282500,218000,0
27725000,9481400,5870700,1822500,1858100,903600,941300,0,3469100,1226200,0,1359400,792980
5463800,508980,378990,431680,405820,319760,351730,573900,547380,529440,490940,508250,416880
5974400,750610,665410,665240,382830,277190,379330,622900,754290,631380,259490,334610,251100
4239800,486980,406380,447920,229270,216830,278000,414230,437490,446440,305570,319110,251600
1355600,0,87699,221070,142060,54333,59526,304830,104120,102480,62880,155200,61398
1718000,311440,116990,90399,80009,89908,118040,77808,267480,305980,96579,67080,96316
9020000,1462000,989810,880870,666130,414840,449430,1067900,1189900,1050400,325290,286450,236990
18248000,1688900,2493500,2441400,1256100,847200,1097300,2346500,1349900,856140,1218100,1698700,954540
