Intensity,Intensity 30_1,Intensity 30_2,Intensity 30_3,Intensity 35_1,Intensity 35_2,Intensity 35_3,Intensity 40_1,Intensity 40_2,Intensity 40_3,Intensity 45_1,Intensity 45_2,Intensity 45_3,LFQ intensity 30_1,LFQ intensity 30_2,LFQ intensity 30_3,LFQ intensity 35_1,LFQ intensity 35_2,LFQ intensity 35_3,LFQ intensity 40_1,LFQ intensity 40_2,LFQ intensity 40_3,LFQ intensity 45_1,LFQ intensity 45_2,LFQ intensity 45_3
501270000,26849000,24908000,22001000,52305000,48794000,50976000,86648000,89330000,45412000,18593000,16198000,19261000,26428000,23671000,27951000,80020000,51688000,65542000,87063000,94143000,47060000,14923000,22730000,23201000
25928000,2567600,1448400,1070000,1689400,1013200,1035000,2199300,1556800,1129100,5051500,3686100,3482200,2283800,1389000,1287300,1872200,1286600,1841400,1902600,1606100,1697200,4175800,5234200,4267400
3889900,260090,530840,388220,169590,219710,254270,131240,43087,93321,560530,562430,676550,390110,432610,477750,281840,264280,293480,0,0,276250,623740,688930,567880
2692500,294810,234250,149540,98305,104510,26636,83339,65361,67365,799150,476000,293240,0,0,323110,0,0,0,0,0,0,485360,625110,443510
1403800,137070,137140,0,0,0,0,1009600,0,0,0,0,120020,0,0,0,0,0,0,0,0,0,0,0,149430
1003700,196620,208790,0,45791,48617,0,57691,0,0,183410,0,262810,0,0,0,0,0,0,0,0,0,0,0,327220
490380,0,51125,31532,0,0,0,16626,0,0,158350,97652,135100,0,0,0,0,0,0,0,0,0,0,0,168210
27827000,2056500,5195900,3232400,1120700,3280000,1925800,1999500,1578900,2942700,887120,1262900,2344400,0,0,0,0,0,0,0,0,0,0,0,2919000
6102200,884290,658380,322270,397630,296220,162760,189380,159750,127020,1180100,974520,749930,811390,485100,528250,483250,346580,223930,227710,214740,140390,876580,1350300,1107000
7608100,1072000,775530,460670,383550,429940,526550,452270,242420,215460,1269700,1128500,651630,939970,731750,692060,618160,438250,572670,594870,417420,476860,757410,1307900,929030
