DMSO,2.5 nM,25 nM,250 nM,2.5 µM,25 µM
11655000,25148000,25419000,33433000,11150000,31591000
45118000,35981000,30304000,46969000,30853000,57218000
17924000,27946000,21063000,27956000,17370000,29179000
12077000,19667000,2147000,20525000,11308000,22150000
362935000,328841000,376058000,390400000,390545000,279364000
22631864000,23601935000,22542743000,22707218000,22883282000,20557326000
83330000,61232000,30762000,81549000,51337000,49694000
0,8176000,4292000,7283000,4149000,5134000
4817393000,4301091000,4268211000,4850415000,4939341000,3630571000
15290592000,17702238000,18283114000,18216044000,18025162000,15301135000
98487000,87500000,82431000,137973000,100470000,106477000
8751000,9236000,13364000,9983000,4884000,7312000
30847494000,33501794000,38165207000,34102332000,32000134000,28426754000
31616281000,31733455000,39593725000,35860187000,32515475000,30675516000
5517087000,5838216000,6065506000,5812559000,5400117000,5063393000
11484565000,11378806000,12871270000,11670228000,10317165000,9751008000
0,0,0,0,0,0
661876000,1047349000,1033410000,1450867000,1043276000,1272101000
232268000,314380000,327157000,281075000,248204000,246448000
6928000,97405000,61522000,95891000,86306000,93945000
4158304000,3482683000,3371834000,3478627000,3723033000,3004846000
136759000,154465000,121158000,134988000,140907000,109419000
38299000,36245000,22157000,46030000,34637000,48015000
388170000,612202000,403882000,350644000,470343000,286382000
58335000,76149000,47995000,63573000,68064000,46917000
26927000,34458000,19852000,29042000,34549000,23884000
78641000,68423000,77452000,97389000,63843000,85057000
19302000,25062000,27450000,32063000,26695000,32552000
547986000,569185000,493859000,769544000,530760000,731487000
42061000,25321000,27048000,32047000,18805000,27876000
242012000,210734000,232493000,242377000,160531000,182906000
1035000,22993000,11759000,26278000,14822000,22115000
41283000,73852000,75158000,119190000,73842000,92363000
32616000,32505000,36531000,43679000,27148000,50391000
209195000,223178000,184018000,269430000,178008000,216800000
416204000,403689000,353517000,492668000,382282000,413199000
53415000,77820000,78300000,120405000,82679000,84089000
41264000,27203000,38370000,70271000,33604000,30598000
0,8617000,7852000,14518000,6243000,9749000
65070000,88093000,81961000,99054000,133283000,86017000
17072000,6448000,13351000,14127000,10154000,4260000
294871000,290142000,269218000,411317000,315786000,308071000
656646000,623519000,476789000,628126000,647363000,485280000
0,29845000,27201000,28446000,27235000,20359000
1258786000,1269222000,1319049000,1614069000,1183591000,1232164000
1.03549E+11,1.02102E+11,1.19531E+11,1.05442E+11,1.03435E+11,97629870000
4870051000,5469702000,6374483000,6397377000,5651624000,5747232000
921721000,1064332000,1098630000,1061473000,1023598000,902629000
616160000,587811000,652831000,702199000,574732000,510781000
356658000,348500000,345164000,355542000,357837000,304534000
20072000,29583000,37998000,35154000,34490000,33934000
1043478000,1019657000,1048574000,1022192000,1142421000,959207000
7723715000,8234597000,9599865000,9064087000,7478398000,8451546000
10043458000,10282887000,11591058000,10625512000,9132475000,9961613000
4918754000,4570700000,4199478000,4395382000,3945030000,3975637000
110479000,61935000,44457000,80388000,102837000,52062000
150638000,173998000,185015000,186150000,140902000,156633000
284000,6609000,7040000,9886000,4165000,9951000
64794000,60204000,68324000,63334000,51684000,72664000
922351000,994156000,1006574000,1163960000,858978000,977122000
115588000,84650000,92944000,102987000,98898000,93569000
968390000,720335000,712861000,742688000,825862000,649509000
152397000,160213000,235633000,182790000,155650000,141210000
40394000,52986000,36845000,58108000,39480000,54114000
15972000,16208000,12389000,22623000,14663000,23406000
61377000,63234000,74735000,64114000,61007000,65449000
182536000,231736000,218608000,238503000,286593000,151491000
1734433000,2120201000,1973478000,2054536000,2233862000,2094168000
19285780000,20953697000,22539627000,20703929000,10031341000,15660526000
132493000,116179000,126370000,137064000,115861000,140694000
853601000,845964000,898940000,1223707000,836918000,1160940000
2027817000,1965386000,645440000,223170000,160906000,1949422000
4191325000,4172412000,2061043000,481425000,396732000,3962641000
38085000,48912000,47478000,49015000,48030000,50463000
98749000,142522000,144444000,163760000,124618000,138813000
106148000,84899000,58623000,117670000,83565000,47921000
186933000,171656000,196071000,261131000,207873000,242988000
107207000,125094000,129050000,146308000,119946000,126591000
1817880000,1662163000,1743780000,2001519000,1537483000,1765227000
67986000,61598000,60056000,71425000,62701000,69886000
13784113000,14058896000,15142646000,14540566000,13659149000,12151392000
37974000,4543000,2057000,4994000,2799000,4738000
151262000,185628000,189149000,235350000,134173000,71891000
1307000,10471000,8513000,12463000,8382000,13932000
27349000,236393000,248885000,269865000,214079000,221171000
1839000,6570000,5886000,9648000,7053000,8748000
66268000,72979000,65209000,95284000,71120000,97082000
23598000,31915000,24311000,35190000,21643000,35548000
4871399000,3708559000,4294426000,3501870000,4294324000,2761484000
321716000,265256000,383057000,232666000,333354000,237002000
9789136000,6637947000,10769295000,6343766000,8901225000,5867666000
15488533000,11299499000,23551990000,11262797000,14107515000,9840416000
179964000,174222000,182360000,302111000,207404000,248479000
13419000,18111000,10251000,14811000,10260000,14892000
269023000,318453000,369012000,283283000,247303000,203069000
147174000,143338000,154193000,131136000,112744000,82739000
142781000,99681000,134306000,110850000,121118000,120915000
0,0,0,0,0,0
7000,62142000,51878000,60361000,54129000,57802000
130159000,91966000,98452000,100913000,115637000,88699000
6074878000,5184200000,5624774000,5902711000,4962835000,6223093000
0,15554000,12702000,17320000,9637000,17041000
338332000,395883000,324819000,629238000,287396000,578357000
94325000,105579000,121384000,114594000,86674000,107127000
2747830000,2799119000,3249141000,3398673000,3071780000,3258594000
21523000,18215000,17727000,31104000,25368000,30825000
26642000,25285000,19758000,20733000,13500000,18840000
60456000,37542000,40145000,44060000,36465000,41071000
65729000,31562000,36045000,16807000,30223000,38651000
43494000,56439000,55095000,60352000,40870000,70382000
1847797000,2590551000,2163666000,2479748000,2078861000,1766738000
24486000,86822000,68543000,111325000,77091000,78983000
37766000,52590000,34835000,57885000,37186000,61075000
38344000,45415000,55249000,61796000,37223000,52855000
284000,24998000,27284000,32669000,16406000,36867000
0,0,0,0,0,0
206406000,72136000,99669000,134480000,147670000,155827000
41399000,78616000,80765000,113091000,80429000,103115000
112533000,111911000,89984000,99566000,58585000,83052000
1528422000,34473000,31181000,42482000,29613000,42623000
0,0,0,0,0,0
122120000,164104000,282568000,204890000,205528000,211450000
1361822000,2155713000,2387078000,2491904000,1957761000,2074018000
502051000,432988000,499029000,557302000,475799000,434528000
23671032000,22778761000,25074375000,23853326000,24425425000,21852036000
3151159000,3510923000,3782076000,3855519000,3744336000,3274750000
522522000,742136000,799130000,762859000,718595000,727571000
0,0,0,0,0,0
101603000,85060000,110139000,110292000,90964000,109556000
0,8442000,10928000,8929000,5997000,5449000
1.26672E+11,1.21582E+11,1.31538E+11,1.25836E+11,1.21938E+11,1.0692E+11
102751000,101681000,105032000,112436000,100437000,99015000
10558420000,8229240000,8820777000,8367485000,8333690000,7545449000
1625444000,1490675000,1620888000,1280808000,659956000,1223350000
51076000,67186000,59452000,88147000,57897000,95185000
103914000,90837000,89634000,134608000,87610000,109437000
2042081000,2141639000,2507296000,2375281000,2072642000,2013475000
75716000,71330000,76565000,65506000,60620000,66404000
51276000,110526000,134405000,126867000,117846000,119788000
484000,9441000,11539000,10169000,5445000,7174000
2195969000,1578012000,804265000,1411447000,2803045000,963450000
152596000,179733000,187123000,175699000,222784000,120407000
48747000,36643000,42209000,53360000,40374000,46947000
17021000,18298000,17871000,16028000,10974000,14377000
63917000,56373000,31719000,50115000,45503000,36431000
122708000,146997000,94169000,124634000,124233000,110470000
55560000,55485000,75853000,79975000,61548000,52004000
1672000,2728000,1332000,5473000,3347000,5525000
