K1M1,K1M2,K1M3,K1M4,K1M5,K1M6,K2M1,K2M2,K2M3,K2M4,K2M5,K2M6,K3M3,K3M4,K3M5,K3M6,K4M1,K4M2,K4M3,K4M4,K4M5,K4M6
7.419959,7.554094,,,,,7.420377,,,,,,,,,,,,,7.55268,,
7.990006,7.86115,,7.491849,,7.571309,7.705888,,7.655104,7.528422,,,,7.748838,7.976178,,8.082056,,7.826335,7.714346,7.512058,7.194852
7.727048,,,7.787303,,,7.803446,,7.871802,,,,,7.538078,,,7.787174,,,,,
7.420978,,,,,,,,,,,,,,,,,,,,,
8.413219,8.25131,,7.974199,7.745306,8.018119,,,8.541018,,,,,,8.00657,,,,7.969318,,8.373421,7.431564
7.671023,7.693212,,7.472988,,,,,7.787957,7.941078,,,,,,,7.41602,,,7.447671,,
7.804062,7.615402,,7.399213,7.046198,7.641085,7.223656,7.426227,7.505259,7.430115,,,,,,,7.093446,,7.134269,,7.32093,
7.187227,,,,,,,,,,,,,,,,7.446032,,,7.838779,,
7.901823,,,,,8.265316,,,,,,,,8.290769,,,,,7.874626,8.121245,,
7.435773,7.446835,,,,,,7.701302,,,,,,,,,,,,,,
7.160409,,,,,,,,,,,,,7.114348,,,,,,7.424999,,
7.673191,7.571581,,,,7.743085,,7.783135,7.249756,,,,,,,,,,,7.327618,,
8.39964,,,,,,7.982141,,8.177375,,,,,7.636765,,,8.080818,,,7.864224,,
7.918102,,,,,7.526668,,7.506207,7.344124,,,,,7.398754,7.254782,,,,7.329324,,,
7.529812,,,,,,,,,,,,,,,,,,,,,
7.118194,,,,,7.92949,,8.170696,,,,,,,,,,,,,7.313871,
6.934514,,,,,7.291912,,7.580835,7.378146,,,,,7.203288,,,,,,,,
7.34396,,,,,,,,7.716748,,,,,,,,,,,,,
7.32934,,,,,7.871808,,,,,,,,,7.701208,,,,,,,
6.852202,,,,,7.197065,,7.580835,7.378146,,,,,7.274087,,,,,,7.188604,,
6.984271,,,,,7.291912,,7.6308,7.437421,,,,,7.203288,,,,,,,,
8.028043,7.287956,,,,,7.662443,,7.407253,7.461194,,,8.005545,,8.086346,,,,7.660316,7.393614,,
7.342164,,,,,,,,,,,,,,,,,,,,,
7.094917,7.581872,,,,,,,7.194556,7.629046,,,,7.406065,,,,,,,7.486242,6.850325
7.712576,,,,,,,,,,,,7.626962,,7.571278,,7.146925,,,,7.392316,
8.179067,,,,,7.230574,,6.568187,7.966349,,,,,,8.281912,,8.123668,,,8.488924,8.3795,
8.332465,7.553069,,,,,7.62277,,7.962472,,,,7.56032,,8.281912,,8.046723,,,8.239883,8.406061,
7.204562,,,,,,,,,,,,,,,,,,7.474076,7.677134,,7.130309
7.379762,,,6.998401,,,,,,,,,,,,,,,,,,
7.560526,7.474961,7.458425,7.800813,6.926301,7.643228,,,7.622588,,,,,,7.817757,,,,,7.710195,7.847435,
7.459843,,,,,,,,,,,,7.453986,7.869745,8.126551,,,,7.83697,7.915448,,
7.040654,,,,,,,,,,,,,,7.547879,,,,7.115022,,7.833779,
7.731071,,,,,,,,,,,,,,7.415021,,,,,,7.448246,
6.471049,,,,,,,,,,,,7.30744,7.814877,8.10019,,,,7.70521,7.920572,7.788697,
7.117281,,,,,,,,,,,,7.453986,7.869745,8.126551,,,,7.83697,7.915448,7.349702,
7.436056,,,,,,,,,,,,,,,,,,,,,
7.885797,,,8.231564,,7.60331,,8.070837,7.898908,,7.432267,,7.735723,8.296019,,,,,7.802705,,,
7.377369,,,,,,7.141606,7.374971,,,,,,,,,,,7.292186,7.255708,,
7.923008,7.138943,,,,,,7.172539,7.882328,7.876295,,,,,7.292848,,7.745066,,7.622107,7.596617,7.97513,
7.999522,,,7.699872,,8.5884,8.236932,8.827878,8.482548,8.380512,7.712906,,,,,,,,,,,
7.970647,7.515388,,,,7.430582,,7.172539,7.773663,7.876345,,,8.046945,7.921945,8.169323,,8.002611,,7.826372,7.792004,7.979517,
7.424897,,,,,,,,7.654021,,,,,7.465874,,,7.310556,,,7.925814,,
7.581049,,,,,8.274184,,8.235511,7.583463,7.588333,,,,8.07188,,,7.868017,,,7.991089,7.513998,
7.235537,7.345581,,,,7.448667,6.891514,7.250191,7.229643,,,,,7.277883,6.930301,,,,,7.354754,7.139343,
7.822712,7.625313,,,7.211402,7.784354,7.723877,8.162278,8.074364,7.64347,7.258978,,7.893024,7.899369,7.444442,,7.859472,,7.515355,7.952316,7.507651,7.102845
8.290704,8.472305,,8.109082,8.033464,8.514466,8.13056,8.82431,8.388952,8.125328,8.364543,7.962491,8.412261,8.072983,,,8.264083,,8.391392,8.219616,7.985046,8.340693
7.278682,,,,,,,,,,,,,,,,,,,,,
8.326008,,,,,,7.701582,,,,,,,,,,,,,,,
7.502642,7.917819,7.660442,,,,,,,,,,,,,,,,,,,
7.629084,7.54568,,,,7.238551,7.760906,6.974672,,,,,7.35994,7.639537,7.84198,,7.125188,,7.782897,7.588424,,7.264596
7.20089,,,,,,6.97032,,,,,,,,,,,,7.372128,,,
7.733511,7.213488,,,,,,,,,,,,,,,,,,,,
8.603463,,7.824327,,,,,7.301835,8.557704,,,,,,,,,,8.443063,8.843883,,
8.615523,7.106746,7.824327,,,,,8.014683,8.557704,,,,,,,,,,8.443063,8.558924,,
7.696267,7.584544,,,,7.487778,,7.573774,,,,,,7.725909,,,,,,,,
7.992279,,,,,,,7.195847,,,,,,,,,,,,,,
8.538221,,7.824327,,,7.66247,,7.684921,8.557704,,,,,7.502298,,,,,8.443063,8.561854,,
7.839109,,,,,7.728065,,,,,,,,8.206632,7.328031,,6.899226,,7.407098,8.11273,,
8.731633,8.542803,8.16733,,,8.641934,,8.461606,7.914881,,7.996381,,8.113554,8.396034,,,8.365681,,8.068473,,8.146256,7.850454
8.481059,8.207733,,7.361991,,7.950426,8.193585,7.836137,8.312262,7.977879,,,8.40441,8.249554,8.470673,,8.362564,,8.39789,,8.545528,
7.414483,,,,,,,,,,7.674805,,,,,,,,,,7.434936,
7.233143,,,,,,7.423855,,7.634653,,,,,,,,,,,,,
6.588522,,,,,,,,,,,,,7.41602,,,,,,,,
7.851594,7.815383,,7.361991,,7.125082,,,7.790317,7.365837,,,,,,,8.110406,,7.975109,,6.981371,
8.590612,8.290824,,7.522303,,8.073788,8.4392,8.079874,8.427525,7.982643,,,8.40441,8.143923,8.451803,,8.35905,,8.389313,8.295509,8.403391,7.719423
9.320078,,,,,,9.417265,,,,,,,,,,9.648543,,,,,9.678839
7.876012,,,,,,,7.209429,,,,,,,,,,,7.573464,7.746692,7.858148,
8.902762,8.849918,8.012838,7.91407,,8.383156,7.972208,8.12735,8.297931,8.202465,,7.310662,7.065507,7.761092,8.262717,,8.277919,,7.846877,8.321756,8.847428,
7.89549,7.589086,,,,7.782347,,7.757432,,,,,,7.471213,,,,,,7.134208,7.279623,
7.991789,7.921959,,,,8.152754,,8.471189,,,,,7.298579,8.026398,7.614063,,,,,8.140131,8.096504,
6.948815,,,,,,,,,,,,,,7.404107,,,,,,,
8.295008,,,6.880096,,8.093829,7.105428,7.958049,7.952005,7.528925,,,,,,,,,,,7.894242,
8.859835,8.354081,,7.589592,8.254043,8.765273,7.985039,9.080361,8.54981,7.521698,8.449199,7.814093,,,7.690609,,,,7.492543,7.939987,8.160329,
8.789932,8.55235,8.012838,7.91407,,8.228084,8.152584,7.980092,8.209774,8.025756,,7.310662,7.977628,7.99817,8.393927,,8.335568,,8.124291,8.302344,8.766966,6.969419
8.686381,8.566468,8.012838,7.91407,,8.581295,7.95818,8.308049,8.239962,8.202465,,7.310662,7.577052,7.949623,8.324892,,8.286122,,7.736805,8.334797,8.657778,
8.83823,8.849918,8.012838,7.91407,,8.306178,8.187088,8.308049,8.521523,8.202465,,7.310662,,7.965227,8.50545,,8.582265,,,8.483195,9.083497,
7.144896,,,,,7.041097,,7.439017,,7.639981,,,7.362512,,7.700546,,,,7.766002,7.523751,,
8.778574,8.666138,8.012838,7.91407,,8.356454,8.152584,8.119382,8.357251,8.025756,,7.310662,7.695231,7.914168,8.409197,,8.397,,7.973188,8.329706,8.698878,6.969419
7.594909,,,,,,,,,,,,,,,,,,7.250374,7.224492,,
7.124488,,,7.458758,,,7.398161,,7.512871,,,,,,,,,,7.453992,,,7.621468
7.112908,,,,,,,,,,,,,,,,,,,,,
7.389802,7.160815,,,,,7.112135,,,7.629481,,,,,7.199383,,7.135018,,,,,
7.699537,7.387039,,,,7.417794,7.722217,,7.31606,7.293521,,,7.200247,7.445238,7.703814,,7.699335,,7.94771,7.963462,7.528832,7.473035
7.965126,7.171482,,,,7.997068,8.028103,7.929568,8.234941,7.050531,,,,6.949339,,,7.094109,,,6.714973,6.677148,
7.510134,,,6.797657,,,,,,7.629481,,,,,,,,,7.106866,,,
8.851646,8.571087,8.012838,7.91407,,8.581295,8.187088,8.308049,8.521523,8.202465,,7.310662,,7.738669,8.109413,,8.582265,,,8.293908,8.796737,
8.00338,7.810906,,,,,8.009707,,8.033524,7.482377,,,7.32499,,7.538246,,7.785386,,8.206699,7.821152,7.619884,7.555691
7.439975,7.651074,,,,,7.499472,7.715535,7.676033,7.33798,,,,,,,,,,,,
8.032637,,,,,8.031659,,7.856305,7.942348,,,,,7.974685,,,,,,8.002475,7.487824,
