K1M1,K1M2,K1M3,K1M4,K1M5,K1M6,K2M1,K2M2,K2M3,K2M4,K2M5,K2M6,K3M3,K3M4,K3M5,K3M6,K4M1,K4M2,K4M3,K4M4,K4M5,K4M6
7.087551,,7.959748,7.380611,,,7.25468,,,,,7.257602,7.588253,,8.108504,,,,7.369003,,,
7.576396,,,,,,,,,,7.643581,,,,,,,,,7.309672,,
7.740714,,,,,,,,,,,,,,,,,,,,,
7.428064,,7.350866,,,7.969164,6.852841,8.107442,,,8.358459,,7.835836,7.255151,7.544974,,7.851202,,6.878708,7.972511,7.674696,
7.228398,,,,,,,7.517115,,,7.432726,,,,,,,,7.75612,7.309672,,
6.891017,,,,,,,,,,7.358436,,,,,,,,,,,
6.986327,7.16937,,,,7.58193,6.665988,7.703741,,,7.355279,,,7.222444,,,,,,7.033651,,
7.548531,,,,,,,,,,7.005272,,,,,,,,,,,
7.482916,6.938437,7.424446,,,,,,,,,,7.347607,,7.381193,,7.269022,7.283169,,,,
7.536716,,,,,,,,7.16774,,,,7.093957,7.099912,7.789827,,7.401165,,7.196448,7.481524,7.643374,
7.462408,7.041546,,,,,,,,,,,,,,,,,,,,
7.620349,,7.937429,7.637263,7.661196,,7.341964,,,,,,8.312028,7.345205,8.419571,,,,7.935587,7.67006,,7.463281
7.601416,,,,,,7.579731,7.419344,7.340499,,8.168363,7.182468,,7.784544,7.412163,,7.670223,6.860783,,7.85501,7.349319,
7.639453,,,,,7.01305,7.359097,,7.330083,,,,,,,,,,,,,
9.691463,9.72788,10.327168,10.207356,9.972231,9.741715,9.816523,9.544292,9.956487,10.072609,,8.748231,10.143903,9.605817,9.835482,10.464257,9.93034,10.145291,10.141383,9.687009,9.659405,10.126126
6.854311,,,,,,6.629566,,,,7.53415,,,7.110496,,,,,,7.105997,6.942317,
6.086703,,,,,,,,,,,,,,,,,,,,,
7.639472,,,,,,,7.820013,7.363881,,8.21112,,,7.521695,7.334305,,,,,7.434954,,
8.106373,7.681141,,,,,,,,,8.331005,,,,,,7.997425,,,,8.428657,
7.315339,,,7.647229,,,7.176312,,,,,,,,,,,,,,,
8.017661,,,,,,,7.410203,,,7.081846,,,,,,,,,,,
7.381047,,,,,7.830154,7.654217,7.916012,7.459791,,7.601547,,,7.486012,7.521384,,,,7.575298,7.819628,7.787549,
7.643773,,,7.124568,,,,7.545709,7.987298,,,,,,,,,,,,,
8.023692,8.533826,8.373067,8.251048,,,,,7.995649,,,,,,,7.508471,,,,,,
8.37869,8.428229,8.138493,8.113466,7.314662,7.929376,8.506296,7.510239,8.393302,8.06845,7.318951,7.474777,7.994272,8.021897,8.140407,8.177002,8.253022,7.843586,8.598998,8.439388,8.204458,8.157918
8.053534,7.340665,,7.273592,,7.398904,7.401633,7.499411,7.754111,7.739205,,,7.569465,,7.730125,,7.373533,,7.9154,7.739401,7.998784,
8.064725,7.53581,,7.273592,,7.54838,7.401633,7.608376,7.761872,7.739205,,,7.569465,,7.555662,,7.175627,,7.664618,7.739401,7.996742,
7.670703,7.949489,7.570435,7.395361,,7.505736,7.881866,6.883211,7.793771,7.42645,,,,7.490329,7.693202,7.599566,7.558255,,7.958754,7.225784,7.789122,7.640679
7.062935,,,,,,,,,,,,,,,,,,,,,
8.182613,8.123669,7.796272,7.460733,,7.811688,8.351125,7.593244,8.1012,7.930351,,7.614256,7.764836,8.089924,8.097326,7.547713,8.150268,,8.388379,8.357835,8.176306,7.910703
7.615411,,,,,,,,,,7.98952,,,,,,,,,,,
8.645465,8.474282,8.242823,7.992279,,8.596162,8.074392,8.839691,8.276275,7.901978,9.032428,8.003042,8.199845,8.569031,8.342515,7.357311,8.392238,7.486491,8.240753,8.664616,8.517875,7.983602
7.770594,8.027061,,,,,,8.165051,,,7.910507,,,,,,,,,,,
8.55858,8.292032,8.016185,7.57741,7.342944,8.423929,7.965887,8.655225,7.856494,7.837071,8.907685,,7.893783,8.388152,8.094859,,8.134948,7.074549,7.892016,8.309026,8.335932,
8.645465,8.465099,8.242823,8.036791,7.42738,8.596162,7.913238,8.839691,8.222121,7.901978,9.032428,7.783772,8.131056,8.569031,8.270709,,8.392238,7.486491,8.224307,8.664616,8.517875,7.87275
8.645465,8.465099,8.242823,8.022076,7.498041,8.596162,8.015,8.839691,8.222121,7.901978,9.032428,7.783772,8.131056,8.569031,8.283965,,8.392238,7.61105,8.224307,8.664616,8.569429,7.87275
7.69588,7.818066,7.860383,7.71937,,7.791453,,8.165051,,,8.5188,7.383949,,7.400081,8.281099,,,,8.131206,8.376317,8.039639,
7.128529,,,,,,,,,,,,,,,,,,,,,
8.662821,8.187326,8.060313,7.617342,7.342944,8.414123,7.954868,8.326792,7.465861,7.613493,8.946569,7.383949,7.920587,8.341616,8.154134,,8.10101,7.012398,7.990371,8.429521,8.402754,
8.405702,8.118617,8.033027,7.71937,,8.048501,8.050935,8.275488,,,8.838081,7.383949,7.793485,8.322055,8.03706,,8.066637,,8.009275,8.357214,8.302398,
8.645465,8.485863,8.244403,7.985861,7.330261,8.62755,8.029678,8.839691,8.247987,7.901978,9.032428,7.760264,8.141601,8.569031,8.310767,,8.392238,7.486491,8.224307,8.664616,8.569429,7.756165
8.947887,8.878261,9.006968,9.379493,8.898765,9.423754,8.899562,9.298238,8.771303,9.092697,9.297266,7.571662,,9.502929,8.914745,9.145541,8.652397,8.840773,,8.981093,9.284754,8.528375
7.655148,7.460781,,7.560785,7.566204,7.582354,,,,,7.886233,,,7.433229,,,,,,7.56906,,
7.137018,,,,,,,,,,,,,,,,,,,7.415554,7.612848,
,,,,,,,,,,,,,,,,,,,,,
7.509874,,7.937173,,,7.693645,7.658553,,7.722471,7.690117,,,7.678227,7.522279,7.578751,,7.856049,,8.309233,,7.987758,7.496199
7.852144,7.496952,,8.055151,6.973926,7.621057,7.197108,7.897634,7.740614,,8.24491,8.164186,7.18825,7.40148,7.321517,8.101362,7.484252,7.898883,7.177743,7.741516,7.727037,
8.283239,8.051105,8.2045,8.320225,8.45559,7.466202,8.240924,,8.191145,7.2212,7.637041,8.539179,7.842453,,,,7.339063,,7.744334,7.240611,,8.286159
8.047236,8.253011,,7.870534,8.594239,8.031364,8.343672,7.792661,8.181722,7.962433,8.81616,8.87128,7.459544,7.85458,7.696598,,7.67353,7.857644,,7.817968,8.138086,8.050338
7.219357,,7.380491,7.235512,,,7.202335,,,,,,7.525781,7.503746,7.452476,,,7.574852,7.808368,7.625873,,7.703919
7.432849,,,,7.59478,,7.260554,,,,,,,,,,,,,,7.291847,
6.890575,,,,,,,,,,,,,,7.285175,,,,6.971926,7.015877,7.364688,
8.120374,8.692881,8.743312,8.552983,,7.927698,,,,,,,,,,,,,,,,
7.994035,8.155717,7.830662,7.920231,8.398998,7.864067,8.143806,,7.80552,7.437465,8.41238,8.436369,8.114829,7.74901,7.93874,7.457389,7.682852,7.667444,8.099922,7.762767,7.816894,8.309437
7.217786,,,,,,,,,,,,,7.310759,7.594566,,,7.247795,,,,
8.214805,8.617622,8.961829,8.859575,8.788085,7.898041,8.441465,8.053431,8.521223,8.003244,8.069653,8.710597,7.672783,,8.002043,8.240998,8.055623,8.090044,7.881343,7.087789,8.216972,7.865021
7.119669,,,7.304554,7.2751,,,,,,,7.425018,,,,,,,,,,
7.443195,7.106761,7.817041,7.021991,8.010253,,,,7.284999,7.317284,7.327349,,,7.671015,7.239637,,7.130525,7.476117,,,,7.223429
7.531739,,,,,,,,7.377959,,8.175365,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
7.978837,8.026897,,7.553999,8.594239,8.030899,8.462097,8.043125,8.022453,7.67726,8.57371,8.87128,7.459544,7.807537,7.696598,,,7.857644,,6.987903,7.927329,7.868017
6.763596,,,,7.715334,,,,,,7.161999,,,,,,,,,,,
8.011244,7.737755,7.849251,8.279835,8.328242,7.821709,7.42559,7.364874,8.046256,7.608474,,7.87789,,,,,,,6.958589,,,
7.608274,,,8.076332,8.306012,,7.295038,,,,7.745012,7.952571,,7.16646,,,7.616189,,,,,
8.072892,,,,,,7.900052,,7.94475,,,8.228075,,,,,,,7.880458,,,
7.876072,,7.70214,,,,,,,,,,7.294776,,,7.604011,,7.592186,7.823559,,,6.997028
7.617242,8.045668,8.43032,8.100138,8.06507,7.889834,8.084285,8.112141,7.980057,8.093466,8.409852,,,,,,,,,,7.666168,
8.047295,7.552734,8.649239,8.52861,8.040378,7.903893,7.777144,7.505586,,7.72887,,7.8721,,,,7.913515,,,,7.291567,,
7.276713,,,,7.163352,,,,,,,,,,,,,,,,,
8.325217,8.478106,,8.048633,,8.026439,,,,7.969749,,7.521184,,,7.535953,,,,,7.453204,8.164878,7.956929
7.220287,,7.607184,,,,,,7.495593,,,,,,,,,,,,,
7.627598,8.168615,7.979592,8.083006,,7.13398,7.673171,7.612694,7.372423,7.960817,7.832588,8.204932,,,,,6.999677,,7.323277,,,7.335949
8.205995,8.054862,8.224468,8.271981,,7.821413,,7.738922,8.083005,,7.817663,,,7.78667,8.075744,,8.258828,,8.385862,7.803615,7.883565,
7.319248,,,,7.108322,,,,,,,,,,,,,,,,,
7.939718,8.029285,,8.073998,8.333684,,7.899046,,8.128455,7.833151,,8.481951,,,,,,,,,,
8.08041,8.255356,7.835269,7.615273,8.594239,8.194759,8.221892,,7.684682,7.859368,8.57252,8.87128,7.459544,7.85458,7.696598,,,7.857644,,,8.121398,7.868017
8.041726,7.619344,8.0836,7.962956,8.116774,7.734164,7.959255,7.576928,7.870332,7.679573,7.167204,8.177715,,,,,,,,,,
7.536708,,,,,,,,,,,,,,,,,,,,,
7.220719,,,,,,,,,,,,,,,,,,,,,
8.306419,,,8.227554,,7.7904,7.868853,7.42101,,,6.988457,7.870692,,,,,,,,,,
8.023219,7.324553,8.082227,8.011435,8.120036,7.644128,7.810776,7.469299,7.870332,7.679573,7.243237,8.300382,,,,,,,,,,
7.531853,7.336728,7.52979,,,,,,,,,,,,,,,,,,,
8.424295,7.214707,,8.158431,,7.660398,8.163009,7.394564,7.585644,,7.577075,7.762516,,,,,,,7.299129,,,6.737598
7.995106,8.18027,7.90668,7.536961,8.594239,8.027292,8.263555,7.820292,,7.915989,8.588022,8.87128,7.459544,7.85458,7.696598,,,7.857644,,,8.121398,7.868017
6.723108,7.062969,,,,,,,,,,,,,,,,,,,,
7.648777,7.645774,8.134343,7.881103,7.240319,,7.097049,,7.252447,,6.751237,,7.018214,,,,,,,,6.769424,7.214406
7.835372,7.186276,8.082227,8.011435,8.175825,7.734164,7.98416,,7.870332,7.679573,7.243237,8.194423,,,,,,,,,,
8.09663,7.597461,8.452239,8.505117,8.665241,8.183505,8.292122,8.118432,,7.00981,,8.198152,,7.939742,7.78851,8.198146,,7.233817,,,8.21389,
7.358562,7.425423,,,,7.384027,7.136473,,,,,,,7.141765,,,,,7.621745,7.171963,,
7.473471,,,,,,,,,,,,,,,,,,,,,
7.539076,,,,,,,,,,,,7.032929,,7.249834,,,,,6.830364,7.659661,
7.648945,,8.446973,8.101398,,,7.84921,,7.869867,7.986466,,8.078017,,,,,7.777435,,7.995974,,,
7.201513,,,,,,,,,,,,,,,,,,,,,
8.342966,8.268922,8.961829,8.859575,8.788085,8.066163,8.2154,7.943625,8.521223,8.098751,8.168772,8.710597,7.672783,,8.002043,8.240998,8.055623,8.090044,8.108807,,8.216972,8.024996
7.972226,7.549586,7.883298,,8.202937,,7.361006,,7.402205,,8.276801,,,7.514188,7.988237,,7.965412,,,7.501306,,7.215002
7.301643,,,,,,,,,,,,,,,,,,,,,
8.576488,8.384713,8.094992,8.003247,7.86712,8.542355,7.959887,8.641929,7.278113,8.088052,9.382364,7.848548,8.04499,8.698558,8.370782,,8.338148,,8.467701,8.630529,8.519275,8.252217
8.300749,8.40344,8.134645,8.006037,,8.258062,8.052151,8.506171,7.899012,7.961837,9.249278,,8.298413,8.50546,8.188299,,8.212071,,8.148078,8.478876,8.341421,8.05184
8.498546,8.237445,7.346669,8.084057,7.434379,8.738642,7.642692,8.903128,7.406239,7.967229,9.248012,7.943205,7.940465,8.698231,8.329242,,8.193193,7.81516,8.379992,8.549945,8.476658,8.103948
8.51013,8.27001,7.426651,8.111475,7.434379,8.786048,7.642692,8.851993,7.406239,8.010007,9.143495,7.727692,8.061479,8.560098,8.382987,,8.14078,,8.379992,8.600268,8.528405,8.16275
8.547054,8.536708,8.390163,8.451763,8.354388,8.392735,7.698497,8.201162,8.403068,8.402706,7.925294,8.049745,8.483395,8.181999,8.388229,7.871207,8.333665,7.619676,8.4987,8.236512,8.533308,8.310139
8.771521,8.717966,8.566231,8.465625,8.276842,8.539049,7.859185,8.356488,8.686285,8.606937,8.318783,8.049745,8.673053,8.340398,8.481824,7.871207,8.32099,7.619676,8.690982,8.318298,8.670314,8.411961
8.257721,8.394039,8.134645,8.006037,,8.258062,8.135304,8.484384,7.899012,7.961837,9.249278,,8.298413,8.50546,8.188299,,8.212071,,8.309053,8.478876,8.341421,8.05184
8.51013,8.27001,7.426651,8.111475,7.434379,8.786048,7.642692,8.851993,7.406239,8.010007,9.143495,7.727692,8.061479,8.560098,8.382987,,8.14078,,8.379992,8.600268,8.528405,8.16275
8.51013,8.27001,7.505016,8.111475,7.434379,8.786048,7.642692,8.851993,7.406239,7.872776,9.143495,7.727692,8.061479,8.561514,8.382987,,8.14185,,8.379992,8.461433,8.385408,8.16275
7.832967,7.8102,,,,7.66171,,7.660825,,,8.104023,,,7.764485,7.818609,,7.77244,,7.520693,7.939325,7.686505,
7.573006,,,,,,,,,,,,,,,,,,,,,
6.137332,,,,,,,,,,,,,,,,,,,,,
7.567548,7.554212,7.389583,7.321998,,6.949876,,7.147456,,,7.91125,,,7.768008,7.271326,,7.690903,,,7.709982,7.793126,
7.584471,,,7.125396,,6.606426,,6.912484,,,,,,,,,,,,,7.787727,
7.560422,,,7.125396,,7.594524,,,,,,,,,,,,,7.665374,,7.933069,
7.068272,,,,,,,,7.53989,,8.053797,7.493685,,,,,,,,,,
8.922298,8.962617,8.943687,,,9.038249,8.893451,9.423214,8.985025,,8.057576,,8.924705,9.245701,8.698652,,,,9.135496,9.159822,8.918575,8.864868
7.1063,7.163788,,,,,,,,,,,7.984052,7.810733,8.83194,7.304337,7.693516,,,7.400227,7.615824,7.002004
7.778891,7.739558,,7.43399,,,,,,,,,,,,,,,,7.569614,,
7.881291,8.058921,8.146767,8.17402,7.577561,7.937767,,7.797131,8.145964,,,7.566282,,,,,8.010722,,,7.450436,8.022533,
7.774135,,,,,,,,,7.721948,,,,,,,,,,,,
7.382221,7.169035,,,,,,,,,,,7.375867,7.425575,7.734315,,7.504119,,7.870407,6.834321,8.019554,
8.851544,8.487448,8.388676,8.245955,7.98423,8.174409,7.834303,8.396797,8.372492,8.178715,8.098234,7.430049,7.320217,8.25604,8.603727,,8.306333,7.602007,7.964596,8.594925,9.068405,
7.356986,8.051397,,,,,,,,,,,,7.841215,,,,,8.044173,,8.410893,
7.751621,,,,,7.477976,,,,,,,,,,,,,,,7.757974,
8.221018,,,7.965469,7.40656,8.078538,7.317429,7.814556,8.211328,,8.03614,,,8.045314,,,,,,,7.065449,
7.279143,,,,,,,,,,,,7.763651,6.903959,7.831809,,,,7.174737,,,7.579349
,,,,,,,,,,,,,,,,,,,,,
8.707179,8.78427,8.083804,8.076413,7.989004,8.865522,8.532111,9.109579,8.493149,8.241781,8.786018,8.125526,8.519697,8.912534,8.607462,7.306497,8.667409,8.247602,8.546639,8.862731,8.878641,8.194684
7.615229,7.360811,,,,,,,,,,,,7.274361,7.569527,,7.637096,,,7.658947,7.999717,
7.506041,8.032335,7.345921,7.592338,,6.764676,7.340069,7.376778,7.634244,7.668043,,,7.717206,7.496588,7.617574,,7.381509,,7.75177,7.666976,8.077265,8.042165
7.894861,,,,,,7.858877,,,,,,,,,,,,7.131878,,,
7.402413,,,,,,,,,,,,,,,,,,,,,
8.48062,8.632133,7.711745,7.992664,7.374657,,8.528515,8.267939,8.641484,8.427521,7.720521,7.032548,8.067399,8.356023,8.162729,,8.758626,,8.338551,8.305298,8.688158,7.848653
7.839191,,,,,,7.789601,,,,,,,,,,,,,,,
7.750512,,,,,7.872389,8.174241,,8.080393,8.232256,,,,7.630705,,,,,,,7.657238,
9.571485,9.457624,9.666348,9.694667,9.582036,9.34969,9.424582,9.200797,9.452351,9.642013,9.028702,9.296987,9.264874,9.337567,9.388013,9.269109,9.193383,8.877281,9.434398,9.318169,9.533125,9.412321
8.556504,8.877066,7.433856,6.943551,7.817022,8.632846,8.524652,9.231887,8.191231,8.218285,8.918452,,8.492712,9.11094,8.704508,,8.636054,,8.568692,8.914657,8.659987,8.34149
,,,,,,,,,,6.969235,,,,,,,,,,,
6.719789,,,,,,,,7.348239,,,,,,,,,,,,,
7.386919,,,,,,,,,,,,,,,,,,,,,
9.077665,9.063718,,,7.891676,9.253461,,9.346483,9.142945,,,8.211707,8.196859,9.199666,8.511227,8.550349,,8.226445,7.764378,8.835915,9.005306,
9.0717,9.063718,7.390019,7.870961,7.736946,9.253461,,9.346483,9.142945,7.31528,6.88402,7.966286,8.030783,9.199666,8.511227,8.477176,7.338028,8.148265,7.591675,8.835915,9.005306,
8.393587,8.180296,7.486267,8.094752,,8.014526,7.838685,7.418213,8.12129,8.106955,8.225482,7.37484,,8.463421,9.193329,7.890252,8.395259,7.582499,7.404044,8.811018,8.526692,7.775293
8.341032,8.38983,8.704074,8.859575,8.567175,8.316127,8.441465,8.053431,8.319055,8.367144,8.070594,8.454008,7.672783,,8.002043,8.240998,8.055623,8.090044,8.108807,,8.216972,8.024996
7.996163,6.945179,6.506703,,,8.186887,7.181445,7.945574,7.786591,,,,,7.353647,,,,,,7.188803,7.766355,
,,,,,,,,,,,,,,,,,,,,,
7.171425,,,,,,,,,,7.272392,,,,7.253026,,7.458818,,7.214224,7.684195,,
9.345446,8.916662,9.371194,9.336456,9.24288,9.189666,9.228416,9.049497,9.232745,9.340772,8.863438,9.250882,9.159243,9.068689,9.144952,9.024425,8.940728,8.764593,9.244581,9.088053,9.235515,9.204951
7.934652,8.24891,,,,,8.212411,8.032973,8.024605,,8.82276,,,8.447966,,,8.319569,,7.927642,8.035767,8.443094,
9.318124,8.447885,9.24869,9.250173,8.993471,9.087333,9.227258,8.917894,9.205579,9.290121,8.644432,9.233072,9.53145,9.210105,9.260233,8.898431,9.102275,8.879539,9.445916,9.207289,9.357157,9.25265
8.147019,8.335842,8.501659,8.394906,,8.390978,8.170939,8.371118,8.115268,8.233322,7.964446,,7.929741,8.428513,8.105181,,8.076117,,8.052994,8.633298,8.626842,8.030693
8.921047,8.192583,9.261924,8.925216,8.670894,8.75363,8.774621,8.522511,8.800618,8.838997,8.522651,8.577052,9.115318,9.006859,9.18742,8.77867,9.06412,8.718282,9.391965,8.993115,9.025949,9.133734
6.763897,7.357305,,,,8.365083,,8.461967,7.892725,,7.808019,,7.835586,,7.727833,,,,,8.132564,7.982437,8.066669
7.513386,7.347507,,,,7.600779,,8.167328,,,7.581939,,8.132082,7.883679,7.658184,,7.892645,,,8.118929,7.912784,8.040212
8.540556,8.48917,,7.975625,,,8.286552,8.903838,8.552285,8.359317,8.460378,7.97066,8.367992,8.376527,8.441903,7.306497,8.477881,,8.015465,8.55521,8.399038,7.97125
8.259709,8.313212,7.748661,7.232408,,8.545249,8.403973,8.52754,8.552004,8.888337,,,9.688479,9.637375,9.506664,8.990461,8.853575,8.768833,9.394218,8.963374,9.363804,9.595142
8.537304,8.493056,7.100096,7.232408,,8.738675,8.661375,8.616001,8.729127,9.027804,,,9.688479,9.771213,9.6385,9.108833,9.090212,8.752186,9.490671,9.127897,9.592847,9.606625
8.009811,,,7.635006,,7.725715,,8.016988,8.290153,,7.637328,,8.258255,8.462943,9.289256,7.841743,8.236355,,,7.696046,7.963211,
7.608433,7.585573,7.696879,7.511958,7.850187,7.605092,7.440965,7.564956,7.164798,7.492722,7.430122,7.398335,7.529688,8.291429,8.932809,8.093738,8.575667,7.525377,7.770693,8.284317,8.285384,7.706898
7.874689,7.994017,7.990891,8.060746,7.982394,8.565832,8.151467,8.413849,8.567824,9.025483,7.438204,7.928295,8.581797,8.163258,8.528167,7.680412,8.01836,,8.401571,7.920412,8.042353,8.293533
8.56722,8.711126,8.366913,8.396429,8.311025,8.91131,8.797885,8.602483,8.914445,9.173974,7.883551,8.450718,9.049341,8.751429,8.829507,8.814711,8.89952,8.392155,8.899715,8.411715,8.726459,8.784009
6.539671,,,,,,,,,,,,,,6.98314,,,,,,,
7.429892,7.410163,,6.926552,7.448053,,,7.364435,7.791462,,,7.410881,7.719404,8.30785,9.230721,7.583829,8.589574,7.056511,7.787266,8.828331,7.853918,
7.038137,,,,,6.52866,,7.449002,,,,,,7.216342,8.433764,7.30554,,,,8.000148,7.791863,
6.959961,6.48107,,,,,,,,,,,8.067988,8.734905,8.409894,,6.967541,,8.172164,7.918249,8.653156,
8.393501,8.415408,7.988985,8.003512,7.979402,7.843166,8.580752,7.752913,7.921684,7.944385,,7.833753,8.897303,10.720615,10.175907,8.49497,8.592556,8.262592,9.65334,9.631667,9.715448,8.276443
7.064971,,,,,,,,,,,,,,,,6.776783,,,,7.393854,
8.966681,9.012672,9.653701,9.334844,9.36787,9.490485,9.366202,9.082837,9.777463,9.622062,8.813877,9.297426,10.231506,9.474315,9.75008,9.059494,9.584122,9.16003,9.467169,9.255493,9.65791,9.55675
8.386598,8.089314,,8.119124,,,8.235352,,8.624019,,,,,8.726229,9.648554,8.474783,8.634596,7.845515,8.621288,9.088641,8.27761,
8.260291,8.410463,8.99817,8.825879,9.01246,8.028762,8.534858,7.575461,8.359784,8.818288,8.407751,8.571331,8.545612,7.881896,8.445581,9.237959,8.219397,8.741842,8.895112,8.569164,8.524324,8.804893
9.161205,9.311404,9.71515,9.593111,9.702249,8.944771,9.311294,8.803127,9.354507,9.597059,9.305922,9.562569,9.414477,8.761353,9.04519,10.284014,9.15549,9.571901,9.460826,9.319217,9.157706,9.523745
8.736215,8.924629,9.146767,9.167485,9.778192,8.646034,8.832081,8.335472,8.965862,9.175959,8.861629,8.895131,9.091706,8.432312,8.740459,10.425885,8.724379,8.739417,9.067252,8.872436,8.756369,9.187747
8.203876,7.80939,7.893463,7.852851,,8.233993,8.377504,7.971182,8.219017,8.168636,7.349336,6.967726,8.454421,8.165883,8.151503,8.027614,8.351589,,8.542883,8.101665,8.390921,8.366706
8.520751,8.274774,8.631433,8.40744,8.263273,8.460349,8.455984,8.337848,8.570683,8.607709,8.327088,8.484004,9.377342,8.73116,8.935028,8.541304,9.07226,8.507413,8.663876,8.876327,8.75169,8.499495
7.729697,6.230341,,,,7.421976,6.765987,,,6.648622,,,9.972959,7.455183,9.479687,,7.910145,,6.790486,7.654672,9.183583,7.541693
8.153204,,,,,8.14387,8.242726,,7.614616,8.159884,,,9.322632,8.473176,8.818971,,9.09346,,8.551729,8.442514,8.653606,8.36374
9.039145,8.946814,8.297582,8.679768,8.480447,9.436411,9.070196,9.145817,9.132706,9.607724,7.891709,8.286421,10.091011,9.822821,9.745292,9.177496,9.530971,8.622177,9.636928,9.217687,9.664149,9.963252
7.853121,7.967535,8.412251,7.571206,,8.90486,8.576096,8.622267,8.939621,9.479455,7.646986,8.272612,9.457607,8.241326,8.84002,8.219796,8.604774,7.68665,8.683879,8.127477,8.656193,8.732355
7.863132,7.390554,7.390495,7.356491,7.269164,7.713368,7.708584,7.686687,7.759633,7.926375,7.038716,7.453009,6.757336,7.588368,7.711573,7.318986,7.8761,,7.474452,,7.658691,7.528718
7.303605,7.207315,,7.004511,7.375902,6.687679,,,7.280354,,,6.746425,7.491673,8.10913,9.073319,7.368018,8.277501,6.88361,7.735177,8.605966,7.710425,
7.633873,7.942183,7.947271,8.067002,,7.782104,8.021548,7.885954,8.186737,8.385556,,8.326235,10.225229,10.00534,9.786791,9.53892,9.226516,9.753545,9.647872,9.240618,9.577119,9.6207
8.118451,7.952261,,,,,,,7.310593,7.8578,,,,,7.339719,,,,,,7.978529,
7.085886,,,,,,,,,,,,,,7.767018,,,,,,7.501116,
7.869104,7.868487,,,,7.784343,,7.456197,8.110954,7.872983,,,,,,,7.328199,,7.231056,7.098561,7.960661,
7.847641,,,,,,,,,,,,,,,,,,,,7.379307,
8.36039,,7.444754,,,,,,,,,,7.661937,7.895581,,,8.07671,,8.060949,,8.150389,
7.312054,7.714293,6.42005,7.936428,,8.228494,,7.574378,,7.718406,7.972371,,,8.491506,8.501242,8.476999,8.353673,8.063473,,,8.596783,
8.236957,7.338266,,,,,7.233049,6.994076,8.013768,,,,,,8.149617,,8.016421,,7.160708,8.2439,8.407573,
7.442171,7.895996,,7.063602,,,7.315935,,7.222172,,,,,,,,,,7.050198,7.373558,7.375858,7.283421
8.038952,7.767432,,,,,7.82412,,7.887805,,,,,,7.417747,,,,,,7.908492,
8.587908,,,,,,,,,,7.973842,,,,,,,,,,,
8.263787,8.298069,,7.388381,7.262627,8.328627,8.429746,8.540051,8.225854,8.229928,8.171289,,8.354123,8.278634,7.968043,,8.04463,,8.38012,8.441268,7.994839,8.119904
7.131171,,,,,,,,,,,,7.012669,,,,,,,,7.530846,
8.727424,8.834683,7.718594,7.946106,7.706466,8.595426,8.799225,8.419733,8.80568,8.677597,7.140262,7.993966,8.2323,8.246744,8.710319,7.622527,8.325977,7.734954,8.654782,8.492949,8.445581,8.481062
7.733976,7.429563,,,,7.210246,7.777857,,7.566297,7.266442,,,7.702436,,7.48086,,7.618994,,,,,7.683847
8.049858,7.956892,7.006433,,,7.850622,,7.998207,,,8.418976,,,7.914766,,,7.941801,,,7.734172,8.029548,
,,,,,7.011182,7.150739,7.387666,7.223516,,,,,,,,7.385797,,,6.217605,7.820715,
7.611959,,,,,,,,,,,,,,,,,,,,7.821875,
8.177902,,,,,7.939541,,8.331173,,,6.979028,,,8.008097,7.603657,,,,,8.017317,8.335617,
7.859753,7.53017,6.971892,,,7.595984,,,7.798263,,,,,,,,7.338616,,,,,
7.152255,,,,,,7.337649,,7.258681,,,,,,,,,,,,7.311473,
7.68332,,,,,,,,,,,,,,,,,,,,,
7.521575,,,,,7.310069,,,7.55076,8.183638,,,,,,,,,,,,
6.846561,,,,,,,,,,,,,,,,7.229097,,,,,7.223363
7.34869,,,,,,,,,,,,,,,,,,,,7.551427,
6.85656,,,,,,,,,,,,,,,,,,,,,
7.679491,,,,,8.300926,,8.141845,,,,,,,,,,,,,,7.616777
7.776619,7.802224,,,,,,7.091464,,,,,,6.937733,,,,,,,7.62801,7.212529
7.099587,,,,,,,,,,,,,,,,,,,,,
7.280706,,,,,,,7.702214,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
7.373917,,,,,,,,,,7.099889,,,7.413627,,,,,,7.527064,,
6.981642,,,,,7.432646,6.384228,,,7.067529,,,,,,,,,,,,
,,,,,,,,,7.778635,,,7.797551,7.765715,,,7.602162,,7.809511,7.319623,,
7.958039,7.600292,,7.771774,,,7.61274,,7.606023,,,,7.961343,,8.384984,,7.934021,,7.805998,7.609971,7.707695,7.953486
7.784194,,,,,,,7.446398,7.526745,,,,,,,,,,,,7.62658,
8.708468,,7.033546,,8.10835,,8.939438,,8.894893,8.163892,,7.842938,7.782062,7.654151,7.248523,,7.629622,,7.693818,,,7.690148
7.355459,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
8.157359,,,,,,7.53818,,,,7.693207,,,,,,,,,,,
7.974568,,,,,,8.047149,7.470205,,,,6.342957,,,,,,,,,,
6.964761,,,,,,,,,,,,,,,,,,,,,
8.473738,,,,,,,,,,,,,,,,,,,,,
7.080317,6.918357,,,,,,,,,,,,,,,,,,,,
7.617671,,,,,,,,,,,,,,,,,,,,,
7.317644,,,,,6.625077,,6.871369,,,,,,,,,,,,,,
