LFQ Intensity Lysate I,LFQ Intensity Scrambled I,LFQ Intensity Norad I,LFQ Intensity Neat I,LFQ Intensity Malat I,LFQ Intensity Lysate II,LFQ Intensity Scrambled II,LFQ Intensity Norad II,LFQ Intensity Neat II,LFQ Intensity Malat II,LFQ Intensity Lysate III,LFQ Intensity Scrambled III,LFQ Intensity Norad III,LFQ Intensity Neat III,LFQ Intensity Malat III
0,0,0,0,0,51622000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,18588000,0,0,0,0,0,0
68319000,0,54121000,0,0,69768000,0,0,0,0,94903000,0,0,0,0
0,0,0,0,0,0,0,1353600,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,55680000,44111000,0,69508000,0,0,72545000,58300000,0,0,0,0,0,0
0,0,0,0,0,41421000,0,0,0,0,0,0,0,0,0
49695000,0,87173000,0,0,87453000,0,57709000,0,0,0,0,0,0,0
44502000,0,49941000,0,0,49899000,0,55768000,0,0,60065000,0,59552000,39993000,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,8547600,0,0,0,0,0,0,0
0,0,0,0,0,0,0,17376000,0,0,0,0,0,0,0
0,0,0,0,0,16160000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,221490000,102590000,0,164640000,0,91427000,96169000,95400000,114720000,0,0,122740000,108280000,0
0,59965000,0,0,0,0,0,0,0,0,0,0,0,0,0
49710000,0,58516000,0,0,61264000,0,50054000,51282000,0,0,0,95616000,0,0
0,0,30490000,0,0,0,0,20933000,0,0,0,0,0,0,0
0,0,0,0,0,27386000,0,0,0,0,17847000,0,0,0,0
71783000,0,73272000,0,50159000,69322000,0,69018000,76164000,0,0,56768000,48710000,0,0
0,0,49483000,0,0,40614000,0,45937000,44565000,0,31923000,0,0,0,0
0,0,0,0,0,4387800,0,0,0,0,0,0,0,0,0
154850000,101220000,127670000,0,94493000,83897000,61060000,52626000,66882000,0,132410000,163840000,63537000,76355000,0
488940000,63201000,381150000,0,0,554140000,83467000,307160000,250210000,0,542710000,0,309520000,138570000,0
41692000,0,0,0,0,66463000,0,0,0,0,37677000,0,26182000,0,0
0,0,0,0,0,30662000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,20566000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104700000,0,200950000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,150500000,0,75423000,0,0,84208000,0,62029000,0,0
0,0,0,0,0,8965000,0,0,0,0,0,0,0,0,0
21389000,0,23268000,0,0,23224000,0,39547000,0,0,0,0,0,0,0
20092000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58533000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66201000,0,42675000,0,0,132790000,0,0,0,0,159460000,0,54625000,0,0
522180000,115470000,372110000,192860000,153480000,473810000,0,195570000,149480000,0,286990000,476810000,241030000,0,0
32167000,0,37564000,0,0,28356000,0,27684000,29897000,0,50944000,0,25350000,0,0
0,0,0,0,0,35207000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,19346000,0,0,0,0,19822000,0,0,0,0
0,0,0,0,0,8353400,0,0,0,0,0,0,0,0,0
912070000,0,493210000,0,48409000,763610000,51428000,434500000,352600000,19052000,254570000,95627000,251320000,105900000,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26837000,0,21218000,0,0,39584000,0,10313000,12041000,0,19177000,341490000,9396200,0,0
0,0,12751000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58495000,0,66226000,0,0,53694000,0,329470000,172570000,329610000,50602000,0,79952000,46900000,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,306050000,0,0,0,0,0
17792000,0,0,0,0,10918000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2821600,0,0,0,0,0,0,0
562960000,0,316660000,0,131010000,157690000,0,60215000,72148000,0,199080000,0,74581000,0,0
18880000,0,22559000,0,0,0,0,0,0,0,0,0,0,0,0
42283000,0,44305000,0,0,44797000,0,0,0,0,46570000,0,39773000,0,0
0,0,31469000,0,0,0,0,0,0,0,0,0,0,0,0
213620000,85250000,300780000,0,85794000,229260000,164930000,240950000,202190000,172130000,219760000,0,164770000,99684000,0
298200000,109890000,242810000,0,111280000,361450000,119880000,204260000,206320000,0,328760000,535760000,190840000,85502000,0
165770000,0,161540000,0,0,124040000,110410000,110630000,128970000,0,86919000,238070000,100680000,0,0
140820000,0,168270000,0,0,218210000,0,162380000,141240000,0,226290000,0,114800000,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73120000,0,56655000,0,0,100780000,0,0,0,0,146830000,72350000,44799000,32155000,0
0,0,0,0,0,39862000,0,0,0,0,0,0,0,0,0
0,0,58356000,0,0,60734000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,44256000,25904000,0,0,0,0,0,0
0,0,0,0,0,0,0,27688000,18478000,0,0,0,0,0,0
0,188120000,54091000,435450000,75130000,0,106180000,190360000,97654000,81267000,0,0,393190000,47831000,0
58175000,26115000,161950000,0,0,124760000,0,61674000,76239000,0,35280000,217080000,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,43677000,57873000,0
