msInspectTop3normPeakIntensity,msInspectTop3normAreaIntensity,msInspectAllnormPeakIntensity,msInspectAllnormAreaIntensity,msInspectTop3absPeakIntensity,msInspectTop3absAreaIntensity,msInspectAllabsPeakIntensity,msInspectAllabsAreaIntensity,msBIDTop3normPeakIntensity,msBIDTop3normAreaIntensity,msBIDAllnormPeakIntensity,msBIDAllnormAreaIntensity,msBIDTop3absPeakIntensity,msBIDTop3absAreaIntensity,msBIDAllabsPeakIntensity,msBIDAllabsAreaIntensity
0.001121516,0.000699731,0.001121516,0.000699731,1074007.92,121316.9899,1074007.92,121316.9899,0.000685625,0.00047089,0.000685625,0.00047089,3492133.3,1470886.076,3492133.3,1470886.076
0.001001586,0.000887069,0.001001586,0.000887069,1002511.47,56723.83105,1002511.47,56723.83105,0.000861394,0.000558287,0.000861394,0.000558287,5254741.44,869473.6842,5254741.44,869473.6842
0.000215831,0.000365987,0.000215831,0.000365987,195194.3771,74080.57024,195194.3771,74080.57024,0.031038678,0.014604091,0.031038678,0.014604091,100253402,51808620.69,100253402,51808620.69
NA,NA,NA,NA,NA,NA,NA,NA,0.000192951,0.000244125,0.000192951,0.000244125,2977354.32,787619.0476,2977354.32,787619.0476
0.000972513,0.000803037,0.001015651,0.000852176,1778755.82,123291.7899,1874267.25,132427.842,0.002986662,0.002759341,0.003971168,0.003527693,34757146.4,9657971.014,46487551.97,12404057.97
0.001865112,0.001429663,0.001865112,0.001429663,758292.22,27636.79555,758292.22,27636.79555,NA,NA,NA,NA,NA,NA,NA,NA
0.002956893,0.002212609,0.002956893,0.002212609,2883788.643,216389.9715,2883788.643,216389.9715,0.002124685,0.002085129,0.002124685,0.002085129,13985438.75,5856410.256,13985438.75,5856410.256
NA,NA,NA,NA,NA,NA,NA,NA,0.003561637,0.004258119,0.003561637,0.004258119,21726968,8456375.839,21726968,8456375.839
NA,NA,NA,NA,NA,NA,NA,NA,0.000220626,0.000093647,0.000220626,0.000093647,1492741.2,25855.79024,1492741.2,25855.79024
0.000144607,0.000099085,0.000144607,0.000099085,138481.12,17857.14211,138481.12,17857.14211,0.000189592,0.000118971,0.000189592,0.000118971,1282769.44,593421.0526,1282769.44,593421.0526
0.005335308,0.005929822,0.007075298,0.008293982,7411223.24,491670.8968,9948531.553,849485.3961,0.008659981,0.00584624,0.012188407,0.009390113,69771898.5,15523870.97,99621765.54,23408516.13
0.000422547,0.000431979,0.000422547,0.000431979,404647.34,74895.05696,404647.34,74895.05696,0.000416558,0.000253243,0.000416558,0.000253243,2818399.5,1215189.873,2818399.5,1215189.873
0.000294167,0.000265813,0.000294167,0.000265813,651308.16,21650.63683,651308.16,21650.63683,0.000713627,0.000468562,0.000713627,0.000468562,8502889.4,733650.7937,8502889.4,733650.7937
3.88E-05,3.09E-05,3.88E-05,3.09E-05,85948.5,4004.531313,85948.5,4004.531313,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.002534566,0.002006372,0.002767323,0.00217553,5037418.96,205786.9562,5431581.905,219618.3991,0.00595185,0.004481651,0.010865845,0.007438813,96356780.5,13960159.36,172182919.2,22740637.45
0.002025066,0.002231084,0.002025066,0.002231084,1777815.01,189420.9916,1777815.01,189420.9916,0.003639142,0.004392611,0.003639142,0.004392611,29280311.46,13999159.66,29280311.46,13999159.66
0.003937913,0.003583104,0.003937913,0.003583104,10719998.99,336320.7109,10719998.99,336320.7109,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0.000573767,0.000876906,0.000573767,0.000876906,4806842.11,1314117.647,4806842.11,1314117.647
7.84E-05,0.00013371,7.84E-05,0.00013371,173660.974,18644.47826,173660.974,18644.47826,6.98E-05,0.000141521,6.98E-05,0.000141521,832043.44,379347.8261,832043.44,379347.8261
2.88E-05,3.95E-05,2.88E-05,3.95E-05,87639.8,9377.613291,87639.8,9377.613291,4.82E-06,1.77E-05,4.82E-06,1.77E-05,96718.7,107594.9367,96718.7,107594.9367
0.007710367,0.006117318,0.007710367,0.006117318,2273998.08,91394.75808,2273998.08,91394.75808,NA,NA,NA,NA,NA,NA,NA,NA
0.000613437,0.000581657,0.000613437,0.000581657,828379.35,78636.9575,828379.35,78636.9575,0.000375439,0.000248381,0.000375439,0.000248381,3418598,825833.3333,3418598,825833.3333
0.000212455,0.000145733,0.000212455,0.000145733,470392.2,15514.80083,470392.2,15514.80083,0.000201897,0.000129559,0.000201897,0.000129559,2405604.8,265145.2282,2405604.8,265145.2282
0.002011477,0.002450819,0.002011477,0.002450819,1742150.564,214993.8505,1742150.564,214993.8505,0.001040087,0.000872568,0.001040087,0.000872568,8085535.5,2818018.018,8085535.5,2818018.018
0.000925858,0.000708105,0.000925858,0.000708105,2049921.25,98204.57297,2049921.25,98204.57297,0.001222407,0.000946555,0.001222407,0.000946555,11249782,1970270.27,11249782,1970270.27
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.000226761,0.000168081,0.000226761,0.000168081,622525.3,20829.03684,622525.3,20829.03684,0.000349575,0.000244113,0.000364952,0.000309369,8140197.6,972631.5789,8498266.41,1232631.579
0.001608523,0.001351769,0.001819939,0.00149929,4037066.35,145130.4066,4505158.55,158994.6711,0.000642163,0.00068925,0.000642163,0.00068925,9664987.54,1513553.114,9664987.54,1513553.114
0.000250191,0.000182258,0.000250191,0.000182258,902149,20880.2844,902149,20880.2844,0.000592156,0.000679573,0.000592682,0.000680109,15936111.9,2262385.321,15950244.48,2264169.725
0.000016127,8.10E-05,0.000016127,8.10E-05,49103.09,16513.11304,49103.09,16513.11304,0.000920925,0.000621864,0.000920925,0.000621864,18484882.5,3237500,18484882.5,3237500
0.000450787,0.000390287,0.000450787,0.000390287,413776.502,11981.20664,413776.502,11981.20664,0.000117754,0.000306388,0.000117754,0.000306388,875026.04,311200,875026.04,311200
0.000846835,0.000521267,0.000846835,0.000521267,1620411.75,77011.94633,1620411.75,77011.94633,NA,NA,NA,NA,NA,NA,NA,NA
0.001159813,0.000861121,0.001485371,0.001238024,4199566.55,61865.86899,5426409.77,90961.81758,0.001702343,0.001124021,0.003336701,0.002264666,43129195,2240464.345,83613826,4435157.546
0.003302478,0.002391972,0.003737133,0.002880098,10045792.5,266975.457,11315439.46,366392.7309,0.001318744,0.000929656,0.001404003,0.00100962,26272182.6,3020962.199,27983504.6,3284192.44
0.002136639,0.001504868,0.002136639,0.001504868,4534279.96,125350.3749,4534279.96,125350.3749,0.000787164,0.000470057,0.000787164,0.000470057,14998531.46,1490236.686,14998531.46,1490236.686
0.002311768,0.001337127,0.002311768,0.001337127,8892509.7,87916.4275,8892509.7,87916.4275,0.00257503,0.000796927,0.00257503,0.000796927,77838062,1676250,77838062,1676250
