NP_FM_1_1_50%,NP_FM_1_2_50%,NP_FM_3_1_50%,NP_FM_3_2_50%,NP_SM_1_1_50%,NP_SM_1_2_50%,NP_SM_3_1_50%,NP_SM_3_2_50%,NP_PM_1_1_50%,NP_PM_1_2_50%,NP_PM_3_1_50%,NP_PM_3_2_50%,NP_CM_1_1_50%,NP_CM_1_2_50%,NP_CM_3_1_50%,NP_CM_3_2_50%,NP_CTRL1_50%,NP_CTRL2_50%
4871.537857,18644.20098,8196.39822,17849.06322,51689.97705,3357.791349,1760.878965,1753.962236,10583.27803,1950.849607,970.3802311,2274.653249,11629.69739,651.226197,1566.459083,3002.988556,1495.775784,1241.516899
190556.382,340948.1044,2269.539533,30746.12723,509371.8546,161190.8977,100655.0471,5157.974241,31837.30155,252587.2815,78.84207708,NA,12478.10159,306032.6439,970.973873,756.7450436,38805.07662,66530.07926
162334.6575,170902.775,17907.67842,60037.88802,275230.2148,276753.1158,115762.9839,92231.74578,38676.32002,104897.4886,22889.47914,NA,9260.238285,142148.7011,12361.28137,86995.73311,21556.33199,46818.64416
155071.901,595506.108,1251286.641,174307.9099,598273.4556,636427.3102,79741.80641,60522.28514,1496783.855,407419.4682,989684.2136,277488.9693,1328297.353,153441.0794,528135.3334,53420.54552,115319.9766,176347.1469
67638.99872,57832.46152,139120.8097,8605.371495,56511.38637,77740.1444,10010.03398,6295.636773,161872.6524,39562.62486,124523.0516,10514.93218,211666.2667,88105.02734,52718.99457,16992.54566,20512.97262,28662.9407
850347.4589,265314.3641,1.585232705,NA,14096.15907,23609.94234,1196.379721,NA,21924.96186,262478.1527,259.4330713,NA,1213.907057,549780.5054,1674.533325,10.00648232,394486.4954,11363.57861
137935.5451,43719.2067,325.1746353,14.16792652,NA,NA,832.0058172,NA,NA,32258.17131,917.128761,NA,NA,90943.59737,54.88620146,378.5913081,72867.03813,NA
318841.6655,408011.2849,117.0136316,175.3408286,38969.81985,37505.16446,NA,NA,31143.62105,170114.3076,274.6275479,210.9147973,7933.629867,284126.4688,409.1927671,343.6647903,88223.05506,3593.441465
119508.2123,178445.5503,10405.93349,26369.36968,31408.35889,20046.13566,22427.29713,14508.99747,19935.79244,71889.47403,13662.73441,2232.680853,6562.615656,97848.15389,66438.39043,16653.92956,41974.18965,80090.86927
51350.45489,275832.2622,33245.94939,2838.680333,458882.9763,119069.4053,14788.45934,1522.779324,96119.22619,64835.13023,4684.39273,878.0259995,111853.8994,62827.7351,616.7847561,395.4025129,21387.76019,10098.67429
24078.54204,150751.6628,10880.57461,1090.141197,253257.5791,62026.59872,1550.591501,1080.039696,40381.06565,26926.95335,756.087979,75.74461424,44465.90034,29763.88152,583.4947872,279.5074826,6359.525795,3561.858564
106628.8585,161598.8474,NA,NA,580961.6934,307390.4549,295.2476894,NA,13688.79827,109856.5797,NA,19.84982108,8221.791141,104233.4327,79.56482759,90.34343368,128281.1048,4279.851897
38040.35498,21084.67413,NA,142.7529116,199374.4551,171488.3256,657.7130874,NA,2670.935689,35511.70509,NA,216.1447946,1504.190734,31076.44896,NA,308.1470134,37176.16948,840.0986432
125338.8665,762130.7,820475.3704,114099.0737,226841.6676,340828.1946,80045.90141,294873.6807,934358.0091,218306.7495,490043.7138,289561.5224,1334067.933,199846.044,242865.7677,253606.3079,58037.80781,70198.84501
587165.2475,272484.2283,7730.517184,7614.045614,580525.2145,1060129.419,7229.945759,9283.987899,43336.20778,477836.1816,5315.521155,19547.60268,43304.61503,488674.8581,4552.398087,47669.5744,163397.5223,18353.78079
189052.7593,96389.31617,35150.89929,22619.03023,204288.7177,385156.7192,32486.1316,17396.42181,19086.86814,136644.0446,11624.67242,63111.30816,25627.5162,127436.806,19018.0204,43123.5239,64599.53695,19321.39181
446699.1939,125181.2646,22677.30543,40445.21497,417927.725,815919.046,281583.2231,151483.234,19179.79383,158611.0297,36864.24574,4037.169808,2548.959161,210693.1333,13547.41335,8920.69183,8887.118134,43385.38425
59410.14429,15781.02653,12.29692907,811.5137974,66618.82684,149438.4412,44659.76227,13140.84005,333.4755578,15808.45136,24.07311938,264.4252684,150.3110571,26524.78228,45.47439216,2.647250766,6.461543918,667.4777758
91777.61325,720473.3945,898017.0536,34092.06162,318180.0563,376276.2348,84622.99587,55752.92697,756923.3249,178620.4991,428476.4026,129662.3822,2110216.077,114949.1456,148940.4661,44663.33648,47799.91145,41078.17403
19872.49315,353518.416,402039.2251,7586.403991,132928.5748,164132.2759,15495.20854,18895.20657,338284.9041,71219.84121,121367.562,6547.286526,807084.7575,25363.86719,26872.47171,1960.184464,10869.0234,2777.568579
562830.6318,137438.2078,8558.045321,26945.99695,352958.8767,145735.806,45041.02165,7213.620192,41561.78339,49940.29304,10041.59127,5347.961494,17180.32934,335856.4973,9037.082832,7610.643672,120010.2126,14739.86679
743136.8783,202056.9443,1399.37901,19493.30062,521178.1324,198339.9414,55608.40251,1720.694271,42911.6892,61545.92449,1639.140672,1353.463297,14447.97225,443676.9775,1588.982969,4133.908678,174042.2358,19548.97329
139958.384,241609.1418,145203.9057,45156.35731,304027.4616,242136.9131,34735.03458,43660.96117,599017.9754,147899.1641,14451.56231,13467.56676,295061.2228,164245.5791,18336.37739,1425865.276,56105.59149,18147.7246
20733.11337,58649.38062,21505.35905,3103.041443,75075.46627,51178.62672,3374.675178,13029.14845,150856.8153,32043.70589,1956.323921,0.081143515,56620.00639,32967.14769,397.0451741,1260.806038,1306.822497,724.0532764
309979.6304,268777.3544,1481.531305,396.929282,347874.653,344485.4341,721.5924707,416.2498378,31805.21135,281556.4837,360.9209063,138.0010583,9529.406752,357385.9933,NA,598.2784312,31440.65243,544.1356031
19303.60592,44654.11106,2589.375235,3101.171062,66395.29536,58040.56431,3417.905412,6082.594987,845.0852867,37877.27026,4786.622014,2475.008253,691.8103236,69284.41422,1961.066751,217.9733595,5503.01546,2360.311957
369861.4494,376534.9555,65502.28282,155982.5374,755649.7265,1032442.716,178449.6881,335172.8638,147925.4037,175927.8511,106764.3175,108573.0117,66802.91644,218765.0387,116257.9172,143280.7766,673147.4067,26935.21464
19702.72382,35048.8152,NA,525.9249784,72498.0465,98430.67904,358.056763,1763.136623,174.198737,9690.632058,743.9451579,863.753113,205.1100581,8686.531873,NA,627.7214991,7960.242791,917.912298
