P12_C1,P12_C2,P12_C3,P12_O1,P12_O2,P12_O3,P17_C1,P17_C2,P17_C3,P17_O1,P17_O2,P17_O3
34545.9599,104643.7185,56359.3835,34771.66058,46341.25296,32462.83232,55528.21898,41458.18158,50352.42253,56434.08625,57002.92625,45588.92489
112865.0554,144623.443,152550.2756,99396.26734,99950.5371,103536.9668,206957.068,173737.1691,138358.1213,219201.6351,189551.059,167608.8503
29862.41107,28520.07259,25514.76834,29771.90073,27839.52176,27055.30007,27796.17981,24097.56218,25201.65918,41390.25307,36810.08883,37452.07341
58455.32445,40013.49571,11953.44898,40129.79941,13715.05917,16322.85953,49227.95503,27490.84021,40158.56686,47821.75845,8625.210855,39329.67709
49000.81902,41691.06983,75333.08443,51055.85262,83672.52608,97883.76248,39952.74941,28999.87489,49775.02501,17583.87285,57571.58909,59850.85917
246973.7413,672020.0584,127377.6991,83214.3345,74558.29319,112282.1103,118043.2763,58529.70668,98085.37702,192912.2428,62462.40413,100109.6994
313328.8013,354697.7381,296092.8063,345936.8265,309027.5419,310379.8911,409075.9086,409202.1445,322036.7942,338278.4182,438602.3558,420224.5213
322618.715,238208.3078,205194.4707,129446.7476,100799.4701,184409.8405,178394.3822,173191.4612,171531.3541,191181.4623,214076.8426,201043.6216
125059.157,113873.0688,157471.5937,35516.94338,129943.8927,108129.0047,88635.98146,95267.697,92520.30371,63439.25007,98830.92258,101039.6419
94193.85135,147940.0041,109362.089,134737.5565,129761.9348,54611.07873,54533.82894,142871.6733,138633.3931,107118.5713,121779.1157,69271.2425
331347.5594,160645.4536,168401.3695,155903.8232,186609.2539,92938.36679,164816.9987,166793.8545,78680.57801,222485.5819,90432.64962,74117.22398
71169.75611,31706.40806,68047.55999,40893.9561,54962.74953,70569.34205,40417.74283,10371.76029,53936.0936,15977.18073,45668.58447,18292.10087
53961.16076,23376.30121,9631.190215,93305.50899,5613.851567,40400.60909,41010.17082,22622.3609,48618.80968,136704.527,197793.698,161655.3523
48296.7797,52897.1475,53727.80451,41441.87619,32895.53411,41423.38911,35160.07613,36932.68149,33200.12201,41841.76572,39980.74655,23156.05178
66020.30451,81579.90672,99921.11847,92698.84178,106245.3418,118146.3466,94069.4711,84733.10478,110640.1211,90276.3551,90416.10137,100656.7632
28504.2536,28110.68021,22677.38551,22302.73544,21010.0589,23232.96823,22777.1916,23078.21669,12132.92046,28924.50983,19784.19544,18444.48292
4718.546308,45084.2943,77864.51868,45905.04065,47529.9246,69864.96774,51235.23826,42906.81888,2513.21046,63199.73627,5997.300881,81187.84578
91280.23541,223511.5898,149502.897,139399.7769,153878.784,186490.004,137546.3094,149636.9768,239044.0239,198430.0265,232686.5661,144705.3813
137757.9395,136558.1771,130313.1559,117831.9706,147885.7103,155141.026,139556.1206,117243.6522,123133.6248,138140.5319,143744.8401,121249.721
614271.537,561951.9952,558108.1509,554301.526,514559.8792,529610.3735,536216.1089,547645.5016,528090.6833,500099.8789,470716.4883,525226.1156
589002.7471,500620.1688,914744.1441,938894.613,817215.9429,832757.6515,753221.0546,930584.7408,930057.9557,566908.3694,801251.2519,834772.0568
106814.2589,206436.4548,65488.72662,67749.28261,90685.17332,69654.10328,83122.92106,47961.35567,42460.20126,122536.6267,98589.86164,38392.36492
237802.164,262880.6434,108342.607,50135.82486,586661.9044,158992.3086,292831.6522,138092.2352,100460.5876,240346.1598,221578.466,166700.7559
162753.8984,181630.428,143306.2496,115458.6583,139218.1663,130308.15,108440.5393,85783.40023,144665.5698,186908.9114,156845.2426,144453.4589
388734.4447,368802.5046,384981.3159,345170.1909,518209.6328,453062.1328,482751.4369,466942.7196,560775.4576,364501.6896,388779.9652,562032.5609
74935.61822,77224.05826,63817.60217,58293.99131,58363.83145,53955.17651,52623.08242,41014.7906,31174.19493,68737.19506,47574.06025,46489.95504
75642.68798,77862.50921,140361.8159,107956.9051,101412.4965,167004.2654,99934.17369,140147.5763,145109.2577,101826.0171,127107.9018,115928.8748
238099.4756,138622.4656,142150.741,86871.40504,101264.4043,220821.0942,294499.8437,120974.5979,141932.3214,295909.5275,336903.5803,363201.5593
37605.3701,65132.7466,29643.6662,6366.993534,21287.05783,18960.54055,75861.68106,41609.15835,22366.39598,35658.65804,19936.51209,38313.05652
138220.8509,149895.3876,170117.5045,151164.9467,140283.7263,200830.6893,137781.3099,101872.3516,128153.6925,143889.7068,127614.5909,81266.91379
129320.2285,225271.5117,34239.45848,41458.85597,169888.3414,147826.9694,67210.36906,217134.347,184024.701,164958.5256,224443.25,263007.8916
46138.52626,28861.07324,26324.65968,69941.24847,35344.62212,40205.64801,31020.81369,106166.3602,51176.12807,64511.068,64663.4007,23896.80452
74076.01059,73658.88328,93496.7456,70719.70176,65320.17563,78534.13047,60825.26725,63310.18131,71382.60724,67438.71268,70180.27037,77523.87693
881724.8016,1031883.744,871505.2145,929666.9623,881170.5933,749814.5663,949775.012,814794.6709,900828.7234,768712.4731,895517.2611,871711.5761
284250.5869,283055.3371,219306.0261,180167.4989,206722.796,214930.4362,153687.4618,241893.4708,230779.1621,300459.9599,256296.2242,242382.1336
228014.4091,188969.8017,233465.7262,331885.3154,260103.8804,274798.9888,346838.7094,281222.2422,368078.579,217322.921,239345.2279,302818.7956
655817.1948,412558.8665,562874.3205,617263.482,612830.2854,686211.7326,452877.8984,759683.5821,760564.4441,588336.7559,731315.9273,684978.6802
64642.49936,73508.59389,45193.9595,75562.01481,61202.0345,42892.6401,81054.25502,68080.84576,54242.8052,16639.47167,64808.65056,24458.08262
18451.56712,56236.53202,83454.15539,94254.98695,84537.30206,85497.7288,84658.91861,104665.4319,74545.55425,73255.42208,105710.0377,112114.9347
171066.1646,138558.0105,187899.5698,191190.5831,233268.623,200923.8935,219806.8591,199689.1435,193685.6093,143393.9172,139918.8001,181227.951
285028.3064,293387.0181,249672.645,184669.4656,218122.0629,194188.2659,206303.8624,216393.3756,157802.6778,234664.8755,201937.6746,194554.3382
306718.4759,258919.784,290327.1801,87039.93993,134060.0439,102589.0993,188924.6021,88711.86657,44890.75271,220794.0093,96094.53072,52430.0365
1373841.633,1718300.612,1538546.09,1209847.901,1303311.605,905496.3995,1908425.746,1707563.737,1294888.789,5609843.051,5739248.032,7710799.471
282121.6135,295358.2889,311066.9917,275850.0692,338962.3914,277717.278,343999.3143,203277.4204,313507.3935,218775.5776,282967.9876,324304.4962
53426.81938,165253.5766,34712.50398,35737.78102,60154.12665,90395.39211,28363.03544,52963.24447,24465.26615,83529.14279,99976.47221,29034.52986
97045.95928,74558.11858,116528.7577,145545.5232,59579.79685,125230.7632,72711.08452,56235.78727,79738.04714,95814.86031,63377.42104,61114.19596
543884.7563,582625.0884,920908.9864,1044418.255,973938.5237,807277.7769,853500.3068,876400.1359,855647.6296,617732.1216,902665.8897,1289297.191
24755.23571,111180.0748,26236.65691,41010.96032,75537.7919,15203.38839,66140.27045,60421.4781,50660.75977,82497.77467,71086.74561,35706.01794
186582.0862,245901.1842,192275.561,225922.659,242860.7,151954.5017,269751.8657,261018.164,281620.6571,268189.0278,301582.2731,322391.2457
102772.0386,54673.4163,72985.65381,68480.94373,51586.9094,21454.34923,61913.02782,6244.316403,130678.3573,111284.4573,100223.4878,78289.20484
