X380.1,X380.2,X800.1,X800.3,X380.1Fe,X380.2Fe,X800.1Fe,X800.3Fe,X380.1P,X380.2P,X800.1P,X800.2P,X380.1FeP,X380.2FeP,X800.1FeP,X800.3FeP
29.31123515,26.22281155,24.82473534,20.35732169,12.53774887,23.02793428,20.69635685,16.32258864,23.05631978,22.64091626,23.06742023,15.7132921,22.21294948,35.66768946,20.37280641,24.10537024
47.75868216,60.13352404,86.09669576,72.46142087,49.65073616,57.46484511,56.89477006,64.21018325,58.2275146,47.9763973,38.93724358,51.35672022,92.15407147,95.57555622,97.81025936,66.69772109
127.0590874,131.1361494,192.730218,163.6568999,126.1278776,176.6641523,181.5377708,215.2661396,199.0708656,205.8056002,188.717479,166.1436506,181.0058694,213.6598485,149.2619898,156.7158904
95.1237488,77.36502615,82.59866487,60.48652576,20.44809915,75.38323774,14.14790019,21.57942233,59.43265924,75.94072202,130.1536176,57.61540436,43.54873254,54.92997321,23.77693606,17.57812346
151.6731774,145.8712929,119.1869396,108.5191606,114.4968488,107.0203997,122.0761674,132.8850746,105.5770131,148.5953894,127.0639175,129.1685876,102.9896566,121.3307446,120.0540378,126.0832733
35.24170887,34.28627087,38.30908022,28.92602442,31.26620665,22.64296881,31.06474657,26.45219512,34.72719417,36.80381162,32.75784334,32.80260695,34.46748026,26.10147663,19.80112052,31.95459106
29.94101997,33.57933745,37.57562213,36.48351378,49.52567134,34.96186374,52.83230158,45.29518347,31.39718925,37.95393074,22.40032588,30.53882758,19.89103838,15.88597334,30.37730956,36.37494173
361.2603172,348.3635344,388.3660585,409.6212455,396.1115721,336.0048586,472.0952181,478.2758509,411.2714648,378.0277223,382.5961617,390.8792379,409.0433379,382.9515153,375.649604,367.1369758
43.16650118,36.25242944,50.12903944,37.28184012,29.79669494,46.68581204,40.98848799,36.72582444,43.1314923,36.40948507,47.39880868,30.13933711,28.01772722,23.33117065,24.6344649,29.04211702
53.84660208,58.4324655,77.0977292,72.64769702,56.4042368,46.75580576,39.14926096,35.74166836,14.68373598,14.09717427,15.30805969,19.21993073,25.51522303,22.37887797,37.62732613,35.09427939
13.19924018,11.55394308,10.77619193,9.260585554,7.503889597,13.29880703,7.740922534,7.441180115,7.421153822,12.71703134,10.56817883,10.25358891,8.616870064,10.95136582,7.561845237,8.468896144
74.8394294,80.52413487,57.77392953,77.06510277,76.07068079,78.35797089,56.14695248,54.22459961,34.31490784,41.37142753,36.90085032,40.48170168,45.09667327,49.7356495,51.73757343,47.30188334
304.5272013,211.4393676,163.4765242,167.8614186,168.0558608,266.5710872,158.2543693,140.662308,46.84206921,71.70171158,78.36603036,65.42766258,62.48520747,95.9651305,80.32186814,95.4506563
201.7148295,183.0294808,128.1012764,124.1929678,127.09713,271.2606665,107.3421399,100.6959696,197.4217203,279.3146418,305.56432,216.3906751,238.0216863,388.3622692,136.1132143,145.4791111
39.86013088,35.85477939,43.55612656,31.66694485,30.29695425,40.421374,45.53602733,41.35855915,59.71808824,62.89508522,71.27376417,51.93376202,58.92494379,60.03772485,41.03145577,46.5376171
66.54726261,66.73893318,70.75049573,59.63497766,79.16603525,76.64312472,71.38626212,73.37963746,67.64667138,51.19673081,87.88090232,62.80878057,78.58379107,82.28674473,67.51090696,83.47026663
746.1638061,743.9148745,883.3938492,837.4443316,731.2540412,567.9290539,594.4341322,662.5050683,475.4929883,575.8810703,542.8392452,671.3215529,691.0007419,453.7241759,801.7115095,784.612244
879.783152,860.5588888,880.2061275,856.9767161,1043.384582,902.044082,975.9423666,1001.990908,1053.264699,1017.165344,926.9100365,1035.434929,1069.059466,978.5240145,1015.91182,1047.891635
113.7811241,121.9901983,119.4408289,108.3328845,103.3035468,111.9549571,89.27325022,93.18277808,129.6481916,121.1568334,113.6518102,129.9231807,150.7952261,127.520647,122.3667671,119.225533
155.241958,150.3338101,105.6743848,140.1062728,124.1893728,190.5229091,118.0339102,88.11797484,50.71121778,73.04899397,72.11640966,63.47459803,46.23182981,60.9467315,66.99119251,77.68663024
70.24724843,69.0364668,109.3416752,97.58208973,98.17588889,89.83694117,109.0398879,60.20154751,103.4204385,90.0378963,84.15921809,81.40728167,117.7466915,166.8676491,157.4474924,103.8575849
497.5037665,531.0395484,634.0180987,628.0699432,457.9873951,583.0127008,380.639149,259.6491784,40.78463169,59.97049662,56.87857042,60.76694035,58.3057675,64.0200397,137.1006717,210.5656763
328.5115066,493.9476355,919.6153948,833.7720304,555.7568233,380.4158747,332.859669,285.3092479,34.12462185,26.71562397,35.46133094,44.96487259,62.66580056,43.06960074,147.9627037,243.5737154
105.8038497,93.09429474,75.65902294,80.55112779,96.831442,108.8052396,72.96274242,81.92499268,60.35237489,68.54709915,66.63921399,70.22154831,59.26033095,57.09427475,72.88995151,69.85806527
63.45082058,60.75209078,67.70382366,63.73305288,78.25931525,79.37287985,68.11203379,57.80116683,55.81722533,93.45539309,51.08538269,67.15878798,43.85832069,44.80104198,73.04586585,56.41111066
56.44446446,62.07759094,86.15311561,75.46845009,85.35674416,127.8785286,88.8690245,99.37576024,68.78838735,49.25795859,63.68995478,55.08529801,70.30230816,86.18248752,77.59336728,64.83869511
116.5626737,129.6339159,131.9942462,138.5628419,145.0126665,194.6875355,187.4394663,209.5292298,225.9011909,214.6122265,198.5834533,213.9049566,196.5884727,219.5467487,180.2889425,162.3755917
70.5358998,80.56831821,99.38357115,99.12552066,113.8715246,141.0373482,131.3935702,107.104986,85.94584127,76.53221185,76.68073938,91.9715854,70.07011705,69.99351196,101.7600892,100.5113381
32.14526684,30.04467035,17.65941401,17.00435106,6.53463719,18.12837379,5.699582649,2.544403523,5.930580191,4.994803006,6.0038491,5.06021271,26.31499241,60.21086898,14.88981897,10.9682533
25.21763382,20.67780253,11.25576068,13.01271936,3.251685492,10.32407388,4.931553781,1.58425125,6.247723517,5.619153382,6.144290015,5.548478849,19.83944036,46.229481,17.64430555,8.035123415
259.2351764,333.8934909,291.6624304,317.4677749,81.22960488,94.2465456,45.69771762,69.01094461,29.46261496,43.17875757,35.5315514,62.18735094,523.4103589,409.8754266,262.2219254,122.8816175
1689.68643,1723.879236,838.2297568,1008.844997,394.4544631,705.9916689,293.2657597,363.3696277,394.1774396,633.3213049,554.4607309,744.2951467,3036.285742,3540.754041,1286.761005,670.0962434
53.66291484,53.19673985,33.99296146,37.28184012,38.9889597,48.71562996,40.42257198,38.59812137,49.31578715,71.99745649,61.23223877,59.65724458,49.86949052,54.36725481,47.26802916,45.36023398
