Abundances (Grouped): 1000uL,Abundances (Grouped): 200uL,Abundances (Grouped): control
1469.3,1421.2,1428.1
5442.9,5164.9,5267.2
2143.1,1865.7,2066.5
1754,1649.9,1687.6
8371.8,9194.8,8042.8
3669.9,3943.9,3494.8
3862.8,4242,3647.1
1866.2,1976.9,1754.4
4755.9,4619.3,4418.6
2380,2642.8,2209.4
4113.6,4400.5,3800.4
1567.1,1690,1442.8
902.3,916.6,824.8
1842.4,1940,1648.4
5992.1,5843.5,5307.7
2591.1,2696.1,2276.5
1894.4,1872.4,1655.4
6591.5,6161.7,6831
715.6,961.7,1236.6
795.4,957.4,921.4
1754,1691.5,1942.1
1924,2000.4,2125.1
2363.9,2277.9,2593.5
2664.3,2740.1,2919.6
6246.2,6122.9,6712.2
1120.9,1185.8,1192
2459.2,2402,2606.1
1614.8,1683,1699.6
1125,1128.8,1173.8
1314.1,1387.6,1366.4
599.8,594.7,622.3
3504.4,3395.7,3609.1
1355.4,1367.6,1390.2
1677,1678,1720.6
1139.1,1148.3,1162.6
1013.1,994.2,1031.3
1409,1324.6,1434.7
4411.6,3982,4472.3
3085.1,2535.5,3123.5
2014.5,1974.4,2034.1
2289,2259.4,2308.2
1524.1,1369.5,1535
765.3,818.9,766.1
1789.4,1612.5,1782.9
1807,1779,1796.2
1358.5,1295.8,1342.3
1664.8,1653.1,1645.2
2567.9,2482.1,2531.2
1583.9,1503.6,1553.5
1262.5,1326.4,1209.4
2320.3,2152.8,2223.3
831.2,826.2,792.9
546.1,555.2,519.6
2509.9,2689.9,2367.7
4903.9,5502.8,4622.2
4421.6,4520.7,4091.6
1524.3,1651.5,1403.3
893.7,895,821.2
3170.5,3257.5,2891.9
4379.3,4579.9,3996.8
1730.7,1730.2,1569.1
2607.1,2896.4,2345.9
3934.7,4072.2,3499.4
590.2,622.3,682.8
1967,1952.4,2244.1
711.9,789,811.1
3214.1,3012.3,3644.2
4554.9,4119.7,5073.3
2619.6,2576.3,2873.8
813.3,829,886.2
1359.2,1292.1,1469.9
987.1,983.1,1064.2
945.3,926.2,1009.8
1381.9,1354.2,1476.9
1828.6,1881.8,1951.1
2203.5,2953.9,2338.1
475,460.1,501.4
619.7,616.5,654.5
1569,1694.9,1624.8
