Abundances (Grouped): 1000uL,Abundances (Grouped): 200uL,Abundances (Grouped): control
959.6,1023.8,925.1
524.8,572.8,505.4
82.9,78.1,79.9
2298.2,2238.7,2208.2
1805.8,1855.3,1732.4
715.6,620,686.6
759.1,786.6,728.6
430.6,434.5,412.7
516.3,515.9,493.6
262.7,283.3,251.2
263.4,275.1,251.3
730.1,717.6,696.6
695,765.5,663.2
140.1,121,133.7
263.9,267.7,251.5
448.6,454.9,426.2
722.6,668.2,685.8
237.2,230.2,225.2
242.1,235,229.2
843,846.3,798.6
398.4,393.3,376.6
1380.9,1406.5,1303.4
2401.8,2361,2267.4
679.3,698.7,641.4
371,463.1,349.2
2751.2,3087,2590
1067.4,1009,1004.3
397.6,419.4,373.2
1701.3,1685.8,1596.4
1779,1992.5,1667.6
200.2,211.3,187.2
477.4,433.4,446
540.6,580.9,505.4
291.5,305.1,272.1
639.7,664.7,594.8
636.7,629.4,591.6
535.6,574.8,497.5
150.3,138.8,139.6
399,398.2,369.7
318.1,370.6,293.9
185.9,172.9,171.3
591.2,601.6,545
1403.5,1475.3,1289.9
288.3,297.4,265
239.9,238.2,220.3
402.2,421.4,369.4
368.6,409.8,337.8
307.6,315.9,280.9
237.8,245,216.7
13270.4,13324.8,12083.6
898.2,882.2,816.5
272.7,276.7,247.7
1010.8,1057.9,917
1852.6,2096.5,1681.4
1105.8,1149.5,996.5
1131,1151.8,1017.4
75.2,78,67.5
875.3,797.1,785.7
1154,1226.9,1033.3
61.1,63,54.6
251.7,265.3,224.4
199.9,213.2,177.9
1002.8,1033.2,891.7
743.2,828,660.3
70.7,78.3,62.7
177.2,203.2,156.9
2920.7,2958.4,2587.4
630.7,695.2,557.1
28.2,35.9,24.9
1966.2,1679.5,1729.8
1060.2,1131.7,927.3
3493.3,3432.1,3053.5
734.3,763.7,641.3
464.3,473.8,405.5
308.7,304.8,269.7
211.6,237.9,183.6
1058.1,1086.2,904
792,812.2,670.9
534,629.2,441
713.8,644,586.8
733.6,736.8,601.2
719.6,529.2,589.2
868,776.7,710.1
30.4,30.7,24.7
1439.5,1059,1147.9
968.1,669.4,717.1
1252.7,877.3,854.9
1588.9,896.1,1048.1
37.3,27.3,57
21.2,21.1,29.7
45.3,46,62.9
173.8,197.3,229.7
142.6,156.1,184.2
125.6,127.9,161.7
1402.8,1130.8,1799.2
36.7,41.2,46.5
394.3,440.5,497.6
158.9,140.3,199.3
84.3,93.1,103.2
61.5,65.7,74.6
802,943.3,965.9
144,141.1,171.2
46,50.8,54.1
152.4,171.6,177.8
180.5,168.8,210.2
399.4,418,462
2147.1,1985.1,2477.7
526.3,430.1,605.3
97.9,108.5,112.6
219.4,213.6,252.6
2648,3799.2,3039.2
184.9,183.8,212.3
1868.8,2207.4,2143
325.5,335.1,370.1
92.1,97.8,104.5
14.2,15.5,16
146.8,181.1,165.7
495.5,484,558.8
285.9,299.3,320.4
106.2,112.7,118.9
354.9,360.8,396.1
528.9,605.7,589.3
891.6,954.2,991.3
113.7,129.9,126.4
181.7,180.4,202
6223.5,6117.3,6910.6
85.1,89.5,94.1
97.7,106.9,108.2
330.6,325.3,365.9
430.7,465.6,476.1
384.4,392.7,424
190.6,178.1,210.4
269.9,262.4,298
343.5,391.3,378
386.9,425.1,425
628.8,563.2,689.1
2011.5,2015.1,2201
348.9,344,382
1383.8,1353.5,1510.1
308.6,299.8,336.9
417.6,411.5,454.7
77.1,90.3,83.8
464.9,453.5,504.4
170.3,182.7,184.4
226.2,215.6,245
227,228.8,245.1
3472.8,3186.7,3752.2
182,215.3,196.2
120.5,118.1,129.8
361.2,390.2,389.1
1254.6,1285.7,1350.1
372.3,328.8,400.7
358.4,379.2,385.8
388.2,370.2,417.5
206.1,213,221.3
517.2,512.3,555.7
1154.3,1250.8,1240.5
1181.5,1200.4,1267.8
192.8,188.1,207
19,18.6,20.4
542.5,548.6,580.7
51.2,53.1,54.6
1000,858.6,1067.6
640,873.6,682
214.2,216.5,228.3
2129.1,1951.4,2266.8
599.9,554.5,638.9
156.4,152.7,166.5
189.5,197,201.4
378.5,371.6,402.3
379.1,391.9,402.9
352,326.4,373.5
1100.6,1056.3,1167.6
37.9,46.9,40.1
228.1,248.2,241.2
257.8,287.5,272.1
418.4,391.2,441.7
595.3,617.8,627.1
1718.5,1529.9,1808.2
85.5,78.1,89.9
320.7,362.9,337.5
98.2,96.6,103.4
635.9,622.2,669.7
179.6,182.8,188.9
20.2,14.1,21.2
238.7,216.7,250.7
276.1,259.2,290
198.9,210.7,209
503,484.8,527.9
801.9,776,840.6
195.6,182.2,204.9
375.3,417.9,392.4
343.1,358.5,358.8
1604.2,1458.3,1678.4
278.5,273.3,291
860.8,831.3,898.5
394,372.8,411.4
253.2,240.2,263.9
1434,1375.1,1495.5
86.5,84.9,90.1
465.5,477.7,484.1
165.8,149.4,172
783.1,795.2,813.4
58.2,62.9,60.3
301.7,326.7,312.6
64.5,63.8,66.8
2005,1948.5,2076.5
82.8,93.5,85.6
248,245.7,256.6
265,275.9,273.6
756.8,725.6,781.8
35.9,34.2,37
144.4,155.4,148.8
480.2,559,493.5
659.3,635.5,677.7
899.9,852.5,925
69.9,75.1,71.7
1157.8,1124.5,1188.9
826.8,922.4,847.7
144.2,155.2,148
292.7,270.7,300
1887.3,1736.4,1934
365.4,342.9,374.5
178.8,199.3,183.3
271.2,278.2,277.5
7017.8,7219,7180.1
240.6,266.8,246.2
431.5,455.4,441.9
57,50.9,58.3
248.6,231.2,254.3
210.5,227.3,214.9
1297.1,1209.6,1324.7
494.5,457.2,505.2
266.2,277.3,271.9
101.2,100.7,103.3
150.9,162.8,153.8
84.8,86.7,86.4
538.6,560.1,548.1
433.7,423,440.4
1456,1472.6,1476.4
619.3,622.6,628.2
457.9,426,464
1049.7,1128.4,1062.7
51,52.7,51.6
39.9,39.2,40.3
993.2,1043.7,1002.9
718.2,770.4,725.3
312.7,339.7,315.1
852.7,860.9,859.6
882.7,897.8,888.5
200,204.8,201.4
355.8,340.6,358.2
349.4,346.8,351.4
296,302.8,297.3
274.2,245.9,275.4
1311.4,1293.5,1315.1
336.2,314,337.4
949.6,656.7,951.1
198.6,217.5,198.6
113.1,108.4,112.9
242,238.6,241.2
345.2,385.1,343.4
237.2,249.7,235.4
434.8,441.2,431.5
225.9,244.3,223.6
58.9,55.8,58.4
3372.5,3163.5,3339.2
446.5,461.9,442.1
645.2,551.9,638
703,719.5,695.4
433.3,412.9,428.7
513.1,525.5,506.8
301.5,333.3,297.8
455,471.4,449.7
785.5,710.2,776.5
629.6,586.7,621.4
69.5,72.2,68.5
136,116.9,133.9
236,263.7,232
221.1,219.7,217.4
244.1,241.2,239.8
347.7,360.7,341.1
913.5,1330.7,896.2
743.6,789.3,729.5
307.6,339.7,301.6
1231.8,1204.8,1208.2
599.9,607.1,587.8
3673.5,3826,3595.1
329.5,322.5,322.6
473.4,501.5,462.1
2614.4,2304.7,2547.2
616.8,610.2,601.1
262.9,282.6,256.3
60.3,55.7,58.7
390.2,376.2,380.1
276.3,261.7,268.7
156.8,168.4,152.6
224.6,263.7,218.2
1082.7,1068.1,1049.1
862.9,916.3,836.5
668.6,766.5,647
388.2,361.1,375
271.3,279.3,262.2
645.9,655.3,623.2
2132.6,1985.8,2055.8
604.9,532.1,583.3
418.9,437,404.1
104,115,100.4
582.3,592.5,560.6
616.6,558.3,592.6
115.7,120.3,111.1
24.3,26.3,23.3
1849,1754,1775.2
318.7,289.2,305.6
2312.2,2100.7,2214.7
170,179.9,162.9
175.3,175.8,167.4
542.9,550,518
199.4,202.2,190.3
961.4,920,917.7
323.2,334.9,307.6
53,53.9,50.4
280.4,261.6,266.7
306.2,276.6,291.3
539.4,470,513.2
392.1,388.9,372.5
116.7,106.1,110.9
689.7,827.5,655
656.2,523.4,623.2
1419,1383.2,1345.4
818.6,772.4,775
316.7,321.8,299.9
701.2,665.2,663.9
842.3,852.2,797.7
241.7,234,228.6
303.4,299.8,287.2
1341,1273,1266.9
1941.2,1980,1835.6
156.9,192.7,148.1
1148.2,1114.7,1084
1630.6,1513.9,1539.6
773.3,702.4,730.5
362.9,395.3,342.5
545.8,522.3,514.5
59.6,57.7,56.1
448,458.6,422
124.2,113.9,116.9
224.8,202.6,211.3
1232.6,1187.3,1156.1
449.4,447.2,421.7
535.1,458.1,502.1
322.2,328.6,302.4
254.9,247.9,238.9
820.5,792.6,769.2
645.4,632.7,603.7
283.4,269.5,265.2
152.3,136.8,142.6
183.6,190.8,171.5
70.4,65.7,65.6
677.2,617,630.7
460.8,485.3,428.7
96.6,103.3,89.8
232.9,238.3,216.5
258.9,237.2,240.4
843.1,842.5,780.5
562.2,705.6,520.7
84,83.3,77.6
205.4,350.4,189.7
991.9,1015.7,916.2
1141.6,1194.9,1054.6
151.2,150.2,139.3
368.9,342.9,340
270.7,281.9,249
119.5,135.1,109.9
375.4,392.7,344.4
798.1,902.3,731.4
422,420.8,386.9
272.4,224.7,249.7
404.4,407.6,370.2
60.1,62.3,55
2360.8,2408.4,2157.1
1472.2,1607.4,1342.8
1680.5,1812.1,1527.7
429.2,426.7,390.1
219.8,211.1,199.5
513.1,471.1,464.7
369.1,360,334.3
3098.9,3095.8,2807
912.2,948.1,826.6
204.4,233.1,184.8
53.8,53.3,48.6
2191.5,2315.3,1973.6
561.3,504.8,505.7
2788.8,2729.6,2513.2
307.3,287.4,276.4
607.9,633.2,546.8
151.2,163.4,136
5617.2,6074,5045.3
448.4,465.9,402.9
566,499.6,508.6
118.1,103.8,105.7
105.5,109.5,94.3
685.6,661.2,612.2
631.7,579.7,562.9
353.4,361,315.1
651.4,613.3,580
1085.8,1108.2,966
545.3,564,485.2
127.1,145.1,113.1
153.9,157.4,136.5
17.1,18.6,15.1
981.6,986.7,867.5
238.6,263.3,210.7
228.9,222.6,201.7
240.9,302.3,211.9
1402.4,1412.1,1230.1
2025,2312.7,1774.6
673.1,644.1,585.7
909.3,741.5,788.7
145.2,133.3,125.7
783,768.6,677.5
3884.2,3774.3,3351.6
42.2,39.9,36.3
2153.1,2141.1,1840.3
915.6,897.8,781.9
422.8,403.8,359
270.8,264.8,229.5
178.8,172.4,148.6
32.5,35.4,26.9
665.5,622.1,546.7
174.2,173.2,142.7
547.3,461.8,437.4
2478.4,2708.4,1969
485.3,473.5,383.3
616.6,424.6,481.8
548.7,833.9,419.8
425.2,351,324.3
3957.1,2602,3002.5
34.9,40.3,64.7
100.4,99.8,139.7
53.2,50.3,73.5
68.9,101.3,94.8
51.3,50.5,69.2
134.3,145,179.9
109.6,129.9,144.6
15.8,20.1,20.6
10.3,15.4,13.4
101.3,122.4,130.9
30.4,35.3,39.1
342.3,393.1,435.7
278.6,288.6,352.2
61.5,66.4,77
66,74.3,82.2
181.8,163.2,225.5
361.2,366.7,446.3
1219.8,1353,1502.2
31.4,35.1,38.5
70.7,72.5,86.5
317.7,348.9,384.9
51.8,54.1,62.7
613.3,618.5,740.4
51.1,58.7,61.8
192.5,193.7,232.6
29,32.6,35
742.4,699.4,891
104.8,94.1,125.6
2409,2544,2854
218.8,201.9,258.5
82.6,80.6,97.5
102.4,101.1,120.1
50.1,49.1,58.8
690.2,906.4,810.3
168.8,196.2,197.6
251.9,208.6,294.5
94.2,94.7,110.2
205.8,209.5,239.7
430.5,375.3,500.5
325.9,271.2,378.9
135.5,141.1,157.5
1381.3,1385,1599.7
1421.6,1205.9,1642.8
605.8,829.5,700.1
276.8,243.2,319.6
322.8,337.3,372
125.8,113.6,144.7
556.2,666.9,639.9
259.5,238.8,297.8
163,203,187.2
73.8,71.5,84.8
79.6,73.2,91.3
93.2,70.3,106.9
483.2,409.2,554.1
26.3,28.8,30.1
124,113.6,142.2
142.7,127.1,163.7
73.2,72.4,83.4
192.8,198.6,219.9
268.2,262.4,305.5
123.5,146.4,140.7
204.7,225.7,232.7
186.3,241,211.6
266.9,362.1,303
218.6,224.5,247.8
691.1,770.1,782.4
57.7,61.5,65.4
516.7,509.4,584.4
156.2,125.3,176.8
263.4,278.4,298.1
26.8,26.5,30.3
503.1,521.2,567.7
278.7,300,314.7
62.9,65.3,71
103.8,102.2,117
65.5,69.7,73.9
802,796.8,902.7
315.5,302.6,355.3
24.6,30,27.6
359,379.5,403.4
74.6,73.3,83.8
132.6,120.1,149.1
101.9,94.4,114.3
19,19.7,21.3
175.6,179.8,196.9
76.2,71.4,85.5
331.7,349,371.3
392.1,385.4,439.1
47.6,50.1,53.4
29.5,29,33
217.4,237.5,242.9
58.4,58.4,65
74.3,76.7,82.7
359.2,345.6,399.7
51.3,50.5,57.2
130.9,134,145.7
407.7,386.3,453.1
107,121.9,118.9
595.1,535.3,661.5
216.3,224.5,240.1
13.3,17.4,14.8
461.4,403.5,510.9
60,63.1,66.4
118.7,118.8,131.3
230.3,238.9,254.8
61.1,62.9,67.5
34.6,48,38.3
140.1,132.6,154.8
665.2,675,733.1
286,274.8,315.3
429.6,427.7,473.7
575.5,533.9,634.7
14.6,14.7,16
153.2,161,168.5
150.4,140.2,165.3
83.9,103.8,92.1
465.6,584.7,510.4
14.6,17,16
37,28.1,40.5
133.3,147.3,145.8
250.5,262.9,273.4
354.5,363.5,387
198.8,235.7,217.1
431.3,418.1,469.8
151.3,143.2,164.6
226.8,237.9,246.7
215.6,210.1,234.6
238.6,247,259.2
209.6,230.2,227.8
409.6,457.8,445.3
41.7,45.3,45.2
164.4,167.7,178.5
49.5,51.4,53.7
37,42.6,40.1
333.4,353.8,361.6
88.9,98.3,96.4
357.8,368.4,387.8
108.8,115.3,117.8
47.9,47.5,51.8
459.9,484.5,497
338.8,328,366.5
203.4,200.2,220
315.3,316,340.4
110.7,120.2,119.5
984.6,1162.8,1062.1
144.2,131.8,155.6
185.7,205.3,200
298.1,298.4,321.2
117.3,122.4,126.4
36.1,35.4,38.9
215.9,186.2,232.6
1700.1,1666.4,1832.5
78.6,80,84.6
155.4,159.7,167.3
254.7,278.9,273.9
47.5,46.1,51.1
316.9,321.7,340.4
944.3,892.5,1012.7
375.4,374.1,402.6
174,173.8,186.7
332.2,340.5,355.9
40.3,50.4,43.2
98,92,105.1
958.8,977.3,1026.5
589.4,603,631.2
64,67.9,68.4
599.1,540.1,640.9
751.2,850.8,802.2
279.2,266.3,298.2
119.7,115.5,127.8
302.3,292.8,322.9
355.4,295.1,379.7
64.3,70.1,68.6
365,389.5,389.6
193.3,186.7,206.5
481,457.4,512.6
206,204.5,219.6
180.1,203.2,192
963.4,968.3,1027.3
176,155.8,187.4
565.1,662.7,601.9
12.1,14.2,12.9
250,252.6,265.9
511,598.9,543.6
598.6,703.6,637.1
251.2,229,266.9
56.4,52.6,59.9
16.2,17.4,17.2
501.7,521.8,532.5
636.2,597.4,675.6
5000.6,4739.3,5304.1
255.5,269.4,271
80.4,84.6,85.1
179.5,176,190.2
200.9,191.5,212.9
292.5,218.6,310
656.9,706.4,694
639.3,556.2,675.5
232.6,232.2,246
29.6,30.5,31.3
257.6,254.7,271.7
215.7,195.8,227.7
157.6,158.6,166
140.3,123.7,147.8
727.7,661.8,766.6
228.6,241.6,240.9
19.9,26.5,21
223.3,204.6,235
48.1,49,50.6
136.3,135.2,143.4
605.5,617.1,637.4
513.8,527.7,540
108.9,127.8,114.5
139.2,131.6,146.4
493.9,575.8,519.4
55.9,57.7,58.7
169.8,159.8,178.3
4195.3,4003.6,4401.7
1624.1,1900.1,1702.2
91.7,81.9,96.2
164.1,184.8,171.8
318.9,331.5,333.9
172.4,172.4,180.3
87.2,101.1,91.2
220.8,246.2,230.7
128.9,126.7,134.5
451.4,430.3,471.2
59.1,61.7,61.6
262.9,260.5,273.7
392.5,335.7,408.8
420.3,429.5,437.9
274.2,341.5,285.7
26.2,25.1,27.3
523.5,549.7,545
538.3,526.8,559.6
408.5,410.3,424.7
846.8,836,878.1
268.7,294.9,278.6
153.4,143.8,159.1
314.3,335.7,325.6
960.1,866.1,995.1
201.3,206.2,208.3
40,46.5,41.4
282.8,283.7,292.8
230.5,249.6,238.7
382,356.8,395
314.8,284.1,325.2
676.3,666.6,697.6
203.8,186.5,210.2
826.5,786.8,852.8
212,213.3,218.4
14.9,16.2,15.4
279.6,286.1,288.1
293,276.3,301.7
391.4,388.8,403.1
121.9,135.3,125.6
667.9,652.7,688
180.5,186.6,186
472.2,443.6,485.7
82.5,79.9,84.9
185.1,187.2,190.5
928.4,876.5,953.9
164.7,171.2,169.2
995.2,1014.7,1021.4
72,71.8,74
294,289.8,301.5
763.8,708.9,783.3
147.7,134.9,151.5
31.7,26.4,32.5
263.5,255.7,270.1
651.3,654.7,666.5
64.4,63.4,65.9
375.7,413,384.2
106,115.1,108.3
547.4,558.5,559
117.1,125.1,119.7
770.9,656.5,786.9
38.2,35.1,38.9
649.3,737.5,662
237.2,241.4,241.8
1794.3,1778.8,1826.7
335.7,339.9,341.8
1043,1003,1062.2
580,573.1,590.9
207.8,196.7,211.5
64.9,63.5,66
236.7,228.1,240.4
423,488.4,429.7
656.7,646.3,667.6
125.1,122.8,127.1
37.2,43.1,37.8
147.1,151.4,149.2
151.9,155.4,154.2
135.5,142.6,137.6
3065.7,3245.3,3108.4
400.8,386.7,406.5
618.1,711.1,627
674.6,674,684.5
139.6,137.7,141.5
308.1,295.1,312.3
449.9,453.3,455.2
256.3,250.8,259.4
245.2,216.4,248.2
1034,1037.9,1046.5
879.8,896.6,890.8
1270.4,1097.2,1286.3
216.9,213.1,219.4
142.2,143.3,143.6
93.2,100,94.1
379,420.2,382.4
14.4,13.8,14.5
187.8,307.5,189.4
1688.5,1632.8,1700.1
117.1,128.2,118
625.9,648.7,629.5
429.4,420.7,432.2
705.7,718.2,710.3
445.3,449,447.5
209.3,203.6,210.1
264.6,249.6,265.7
164.8,151.8,165.5
242.2,225.5,242.6
209.9,214.4,210.2
266.4,250,267
91,95.5,91
484.3,454.2,484.8
1061.5,1045.3,1062.7
628.8,638.1,629.8
96.5,109.8,96.5
271.2,269.2,270.9
294.3,302.5,293.6
235.9,239.6,235.4
55.8,60.6,55.5
245.5,262.9,244.5
629.6,588.8,627
809.1,860,805.9
170,165.1,169.4
253.3,253.8,251.9
63.2,57.4,62.9
124.9,127.3,124.3
434.3,441.6,432.2
524.3,479.9,521.9
1044.9,964.9,1038.2
227,215.3,225.2
222.4,227.4,220.7
33.9,36.1,33.6
181.5,158.2,180
430.4,430.4,427.2
796.1,732.7,788.6
137.5,136.3,136.3
592.8,619.4,587.5
358.9,390.5,355.7
82.2,78,81.4
431.7,427.1,427.1
98.8,103.7,97.6
38.4,31.2,37.9
306.4,312.9,302.7
183.8,193.3,181.6
175.9,196.2,173.7
1058.1,1066.5,1043.5
819.7,824.3,807.7
730.1,760.9,718.3
527.8,474.3,519.4
196.1,189.5,192.8
888.1,879.5,873.1
321.6,316.1,315.8
295.3,289,290.1
92.2,100.9,90.6
95.2,96.4,93.5
65.2,67.4,64.1
940.9,981.7,923.6
204.1,201.9,200
217.2,217.9,213
47.5,47.9,46.5
87.8,80.4,86
184.6,193.7,180.8
154.8,162.1,151.5
256.6,254.1,251
82.4,65.3,80.6
166.5,173.2,162.7
186.3,194.4,182.1
57.5,63.2,56.2
193.9,181.3,189.6
1554.5,1638.3,1517.7
688,673.6,671.8
98.3,90.7,96
68.8,77.4,67.1
427.1,385.7,416.7
135.4,128.4,132.1
243.6,231.3,237.5
126.1,124.3,122.7
174.9,178.1,170.2
481.4,427.4,468.7
1009.6,1005.2,983
664.1,612.3,646.8
340.5,354.9,331.1
186.2,192.4,181.1
64.4,67.4,62.6
366.2,352.9,355.4
792,782,769
93.8,90.9,91
210.3,218.8,204
167.8,172.7,162.6
252.7,241.6,244.6
307.8,312.1,298
580.8,594.2,562.2
289.1,309.3,279.9
119.5,121.8,115.8
229.7,227.2,221.9
55.7,65.8,53.8
299.3,299.9,288.8
370.6,381.2,357.5
638.5,711.4,616.1
449.8,469.1,434
95.7,84.7,92.4
53.8,65.5,51.9
243.4,237.1,235
92.3,95.4,89
206.8,240.2,199.4
1391.1,1325.4,1341.6
609.8,691.4,588.2
307,303,295.8
90,77.9,86.6
1077.4,1105.3,1037.2
274.5,246.3,263.9
86.3,86,83
38.5,43.9,37
284.2,264.9,273
89.5,74.7,85.8
997.5,905.6,956.7
479.3,469.8,459.7
20.3,24.5,19.5
448.3,549.5,429.3
84.5,90.5,80.8
270.4,246.9,258.8
212.3,201.3,203.2
277.6,283.5,265.7
330.8,339.9,316.2
439.5,438.5,419.6
103.8,114.8,99.1
226.7,223.8,216.5
1298,1300.7,1238.1
98.8,99.8,94.2
64.5,66.7,61.5
40.7,36.8,38.7
330.9,344.4,315.4
478.1,463.5,455.3
788.6,777.2,750.2
195.7,195.3,186.1
543.6,566.4,516.1
493.7,513.8,468.9
307.3,286.7,291.6
661,739.7,626.3
1610,1721.7,1525.9
243,236.8,230.3
217.7,217.8,206.5
161.5,155.9,153
851.9,885.6,805.6
492.1,513.4,465.4
208.2,332,196.7
182.4,180.6,172.4
476.2,482.6,449.7
146.4,138.4,138.3
267.3,267.2,252.2
364.6,356,343.7
343.5,363.3,323.4
139.8,154.9,131.6
176.3,145.4,166.1
795,918.6,748
1583.1,1712.3,1487.4
790.3,701.5,742.6
265,253.6,248.7
1501.9,1546.6,1410.6
784.7,762.6,737.1
41.3,37.5,38.7
14.1,14.1,13.2
32.9,31.4,30.8
106.4,100.1,99.7
595.3,563.2,558
922.6,913.9,863.5
301.9,308.5,282.6
230.7,204.8,215.4
348.9,358.6,325.4
2547.5,2717.2,2377.2
564.7,566,525.9
78.8,88.3,73.3
191.8,170.3,178.6
23.1,20.9,21.5
1233.3,1197.3,1147
625.8,620.3,582.2
1143.1,1026,1063.5
74.3,77.4,69.1
838.7,857.3,780.4
31.7,35.6,29.5
93.3,88,86.7
75.7,68.6,70.3
590.1,583.2,547.1
118,110.7,109.2
1028.7,1026,952.2
481.3,552.6,445.1
114.7,104,106.1
477.8,538.2,441.9
108.1,103.9,99.7
29.2,26,27
211.7,214.5,195.3
27,26.5,24.9
28.6,27.6,26.4
504.9,541.7,465.3
949.1,867.3,874.8
312.6,323.4,288.2
65.9,70,60.6
123.9,136.8,114.1
146.3,147.4,134.6
746.6,648.9,685.9
234,225.2,215.1
536.6,564.1,492.4
139.4,122.3,127.8
1086.6,1076.5,996.1
425.4,373.6,389.1
33.9,39.1,31
176.1,146.7,161
457.8,453.5,418.6
271.2,260.4,248
111.6,113.6,101.8
550.9,558.5,502.6
40.6,41.3,37
209.4,219.9,190.9
924.8,812.3,842.2
39,39.3,35.5
288.1,298.3,262
68.6,69.9,62.3
215,213.1,195
99.8,89.7,90.4
474.9,534.3,430.4
505.6,517.6,458.4
66,65.7,59.8
55.6,51.8,50.4
243.6,253.6,220.7
453,451.2,409.9
240.8,291,218
373.7,353.8,338.3
275.2,197.3,248.8
603.1,679.9,544.7
90.1,82.4,81.4
729.2,779.9,658.9
6132.2,5706.3,5534.6
246.7,246.8,222.7
272.1,280.3,245.3
57.7,60.9,52
91.6,92.9,82.5
350.8,291.6,315.9
111.1,115.9,100
36.1,33.8,32.5
143.3,149.2,129.2
99.3,95.8,89.4
181.8,176,163.3
511.8,528.7,460
753.7,724.9,676.6
46.6,34.9,41.8
114.2,114.8,102.4
574,531.4,512.7
19.6,20.1,17.5
245.2,229.5,218.3
127.8,145.7,113.9
80.1,96.9,71.3
1297.8,1389.4,1154.7
1165.2,1164.2,1037
484.4,515.3,430.4
534.6,539.2,475.2
188.9,202.3,167.8
38.3,22.2,34
1536.5,1304.1,1360.8
871.6,911.3,770.8
113.7,114.6,100.4
195.1,217,172
251,237.4,221.1
1090.8,1125,961.2
80.1,83.7,70.5
200.5,203.3,176
238.2,263.1,209
47.2,49.2,41.3
222.4,230.8,194.5
467.3,477.4,409
455.6,447.8,398.2
492.3,502.1,430
117.5,108.8,102.5
178.2,181.9,155.3
296.8,278.6,258.8
118.1,134.2,102.7
365,371.6,317.5
85.7,89.6,74.4
16.7,14.1,14.5
211,181.7,183
601.7,651,521.9
193.8,183.4,167.3
252.6,242.3,217.7
105.8,115.1,91.2
568.8,602.6,490
134.9,130.4,116.2
102.9,109.8,88.5
172.5,178.3,148.5
30.2,35.7,26
264.9,268.8,227.4
211.3,219.7,181.4
59.6,60.2,51.1
271.4,306.1,232.6
657.7,707.7,561.9
1398.4,1456.4,1193.2
139.8,138.6,119.3
301.4,311.1,256.9
246,253.6,209.5
2057.9,1681.3,1753
116,139.8,98.7
192.3,166.9,163.4
353.1,371.9,300
221.6,214,187.9
236.5,259.7,200.3
229.8,247.8,194.2
427,474.3,357.9
162.3,166.8,135.9
1928.8,1712.7,1614.6
293.4,293.3,244.6
143.6,126.4,119.5
48.6,48.3,40.2
31,40.6,25.6
377,343.6,310.3
157.7,158.9,129.2
425.1,436.8,347.5
2228.3,1907.7,1816.5
178.6,161.8,144.9
75.1,71.1,60.8
221.3,220.5,178.3
114.5,127.7,91.8
135.9,88,108.6
22.8,21.8,18.2
190.8,208,150.5
1226.7,1186.8,950.6
433.8,406,332.1
2084.3,1837.5,1587.6
295.1,285.7,224.1
24.7,21.7,18.7
213.2,218.5,159.1
463.4,615.8,339
20.1,16.8,14.6
548.3,474.3,385.6
278.4,205.7,190.6
110,133.7,68.8
65,660.4,40.4
388.3,756.2,141.9
6.5,33.9,41.7
70.6,88.5,128.3
10.4,14.9,18.1
11.1,16,19.1
28.1,33.5,47.2
35,33.2,58.5
224.9,272.3,345
14.8,16.2,22.6
39.8,50.4,60.5
34.3,25.3,50.6
17.9,14.2,26.3
11.3,17,16.7
26.1,33.4,38.3
11.2,13.5,16.3
11.3,13.5,16.5
12.8,13.1,18.5
45.2,45.3,65.2
49.8,63.9,71.6
45.1,43.1,64.3
272.4,354,387.3
38.5,47.7,54.6
11.5,12.9,16.3
28.1,20.8,39.4
207,159.8,289.1
15,15.9,20.9
22.7,22.5,31.6
39.9,44,55.4
129.6,120.9,177.7
14.3,15.6,19.6
145,129.7,198.4
67.6,71.5,92.4
110.7,124.2,151.1
234.2,221.2,318.6
12,12.3,16.4
49.6,55.2,67.4
12.2,12.7,16.5
15.1,16.6,20.3
350.5,314.1,472.4
13.1,13.6,17.6
208,253.1,278.7
83.7,127.9,112
75.5,85.3,101.1
27,35.5,36.1
31.4,31.8,41.9
14.1,14.3,18.7
245,235,324
16.2,23.4,21.5
19.3,21.5,25.5
29.8,28.1,39.1
19.5,18.9,25.6
113.1,117.5,147.8
90.1,91.2,117.3
61.4,59.6,79.7
30,30.7,38.7
29.3,32.9,37.6
14.1,15.5,18.1
17.1,16.5,21.8
14.4,16.8,18.4
74.3,64.2,94.6
208.9,235.1,265.8
152.7,156.1,192.8
63.4,62.3,79.8
94.2,111.5,118.3
51.7,64.3,64.9
34.9,30.3,43.8
15.9,18.6,20
79.9,96.1,100.2
51.6,51.4,64.7
16.1,19.2,20.2
64.5,60.4,80.3
116.6,121,145.3
44.4,44.4,55.2
238.7,243.2,295.7
47.4,47.6,58.5
32,31.9,39.5
21.2,17.9,26.2
55.2,70.4,68
28,28.4,34.4
25.8,22,31.8
46.6,55.1,57.4
25.6,26.2,31.4
48.3,49.8,59.4
62,59.7,76
18.1,16.6,22.2
12.3,11.7,15.1
96.9,110.4,118.7
34.5,35.5,42.2
76.3,63.2,93.3
45.9,48.4,55.9
24.8,33,30.2
33.4,31.7,40.6
32.1,37.8,39.1
16.7,19.8,20.2
40.7,48,49.4
85.3,82.5,103.3
86.2,90.6,104.4
15.2,14.4,18.4
115.4,105.6,139.4
157.1,158.6,190
182.6,183.8,221
12.5,16.2,15.1
57.9,67.1,69.9
94.8,91.9,114.5
97.9,99.6,118
198.7,164.2,239.2
60.7,66.3,73
54.5,58,65.4
117.2,133.6,140.5
49,51,58.7
