Ependy,Medullo,Aggressive,Cranio.LGG_BRAF.V600E,HGG.rich,Ganglio.rich,LGG_BRAF.fusion.rich,LGG_BRAF.WT.rich
1.87906,-0.15006,1.4549,2.53074,2.00945,-0.3021,7.55728,-0.13563
-2.8337,-2.93269,-4.76128,-1.17696,-2.90983,0.2911,0.10543,2.39984
-0.63376,-9.6777,-5.60759,1.12607,-2.848,0.05304,0.19737,2.89653
-0.13281,0.28907,-0.25758,0.63277,-0.10263,1.15183,-2.89966,-0.26346
0.20763,0.44028,-0.41459,1.96884,0.95436,0.27241,-0.26338,-0.14022
-5.54347,-1.29637,-1.74067,0.61635,0.18872,-0.0025,0.45707,-1.39021
-0.45927,-0.02449,-0.95185,2.22305,0.04054,1.42518,0.17048,-0.28098
0.33025,-1.02373,-4.68737,-4.84378,-2.15652,5.58137,-1.03704,1.43581
10.56639,-0.86065,1.0986,-0.92647,-0.07977,2.4318,-2.22347,0.31404
-0.46445,-1.57056,-0.28389,1.51599,0.1531,0.10543,2.5671,0.5929
0.10574,-3.90977,-3.44282,0.49376,-0.2942,0.92749,0.25054,1.23969
-1.40815,-0.0211,-1.71656,6.13535,0.18395,0.72879,0.06254,2.93445
-0.84507,-0.37899,-1.17181,0.04036,0.0211,-0.33806,-0.55012,-0.13687
-1.71866,-0.03839,-0.17928,6.2002,-0.10187,0.48809,-0.4693,1.03608
2.50518,1.37067,-0.1678,3.28719,0.12427,0.73519,-1.34649,0.65721
5.02144,20.53325,14.17798,3.56453,3.51156,-5.00576,-3.17312,-5.21501
1.02299,17.29748,0.16881,-2.31768,-0.14905,4.18077,-6.64552,-0.78099
-0.66854,-1.61202,-0.59129,1.4162,0.68434,0.25852,2.06266,4.38668
-0.23307,0.00108,0.25156,-0.51704,-0.16005,9.14462,-1.79554,-0.40444
-0.50989,-2.69274,-0.14839,10.26801,1.39748,-1.55489,1.22924,0.17559
-0.16314,0.01499,-4.34371,-4.74919,-0.93929,2.24745,-0.7154,0.31217
-0.02549,0.28241,-3.84461,-2.14826,-0.22145,2.3989,-0.49125,1.02003
2.77046,-0.36747,-1.91568,-0.0136,-0.14187,4.37929,-1.58065,0.76401
-0.95539,-4.30434,-3.67378,5.05506,0.13598,0.58459,3.0055,3.62462
-0.53478,-3.88787,-3.41333,7.52025,0.86398,-0.12546,4.04541,4.34348
1.14724,2.73491,0.33233,-0.84201,-0.92311,12.93511,-7.21535,-0.61302
-2.30711,-0.73336,-9.36803,-10.34719,-2.94564,8.33245,-1.45511,0.58259
5.69309,5.03824,0.55792,-0.69787,-1.24738,1.77841,-7.37385,-1.62391
-1.08991,-5.14929,-9.56753,-4.55797,-3.46142,1.39934,-0.22379,4.72612
0.27518,-0.42814,2.53096,3.74843,1.50561,1.54063,-0.63422,0.21626
-2.80183,-4.10757,-5.07329,4.30187,0.21033,-0.6112,0.54994,1.36576
-0.34837,-4.24935,-5.9029,-1.39369,-0.9767,0.43288,-0.14197,0.34691
-2.18103,-3.56675,-2.67477,0.87871,-0.02815,-1.59973,6.67227,1.14981
-3.98486,-1.61501,-5.87735,-5.42913,-3.40415,7.15979,-4.8591,-0.03321
-0.09649,-0.66908,-7.41313,-0.20556,-2.88402,3.90393,-7.40613,-0.66365
-0.22086,-7.43385,-0.07436,1.18633,4.40226,-0.77224,7.82078,0.88824
0.00092,-0.32753,-0.21199,-0.49938,-0.34485,6.95644,-3.30997,0.06916
0.71275,3.29875,5.30841,0.32723,2.86921,-2.11419,1.67494,-3.74008
-2.41248,-0.97776,-3.83451,-1.14142,-1.84702,-2.79943,-0.10018,-1.22807
1.89753,-1.73387,-3.5814,-2.59656,-0.56307,1.30024,2.51266,2.77503
0.99763,-4.77104,-11.70471,-3.29439,-5.39924,3.51937,-0.09606,3.74854
-0.22962,0.3735,-2.32734,-5.55359,-0.06637,7.89569,-1.01252,-0.50681
1.64834,-9.86781,-10.77819,-1.55773,-5.29158,1.55275,-0.19519,5.49372
-6.805,-1.68402,-4.05472,-1.46174,-0.83077,0.30572,4.58141,-0.36485
-1.62761,-1.18514,0.88872,7.97129,3.23281,-0.14937,3.03098,1.44024
-1.81538,-1.39309,-1.77685,-1.53123,0.50531,0.09232,3.14762,1.26113
-0.71008,-0.97114,-2.93709,-4.51653,-1.77863,9.349,0.29134,-0.60978
0.67673,-0.26487,4.86803,0.79729,0.30898,1.06513,-3.17601,-0.32421
-4.16873,-4.80733,-10.15066,-5.21064,-1.08039,0.25123,3.15507,0.42118
-0.22361,0.24486,0.01172,2.10189,-1.11737,-0.76927,-4.73567,-1.64898
1.48208,0.18664,-1.18476,-0.11657,-3.70716,-0.20298,-0.43018,2.87903
-0.26605,0.35805,4.32871,4.6211,0.96923,-0.64685,0.36553,0.48887
2.16036,-0.17512,0.00205,0.65629,0.00573,-2.104,0.03572,0.35948
0.16293,9.31104,6.85159,-0.17764,0.4658,-3.84136,-1.498,-5.05585
-7.91633,0.16054,-4.41957,-0.89937,-0.24055,0.10766,0.65529,0.05282
-3.31207,-3.61011,-6.1528,1.8642,0.0977,-3.30239,2.12555,1.39607
1.18498,0.22599,-0.4224,0.25126,0.00127,-0.77027,2.70917,0.14002
2.74117,4.95139,8.16074,2.54407,2.52499,-0.91472,-0.65757,-3.42823
0.11814,2.28815,5.30433,2.27719,1.61827,0.07534,0.70964,0.99325
0.7812,0.69086,2.53074,3.01273,1.00156,0.99183,-1.09106,0.27365
0.2344,-1.01373,-0.09979,-1.5687,-1.43863,-0.36959,-0.06758,-0.79312
-0.11363,-0.83886,0.16896,3.21686,0.35726,-2.19732,-0.42694,-0.52654
-8.52297,-0.76481,-3.11186,-0.0163,0.11494,-0.89699,7.70572,0.18886
-2.65639,-4.4155,-2.83887,-0.2179,-0.75459,-1.36942,2.30831,-0.27764
-0.22031,3.27652,-0.41996,-0.15918,-1.57734,0.41043,-2.73001,-1.68029
-0.04748,1.36239,0.30542,-0.58899,-0.49721,2.24332,-2.16497,-0.90875
