Log2-transformed iBAQ NOR_1,Log2-transformed iBAQ NOR_2,Log2-transformed iBAQ NOR_3,Log2-transformed iBAQ NOR_4,Log2-transformed iBAQ NOR_5,Log2-transformed iBAQ NOR_6,Log2-transformed iBAQ CKD_1_1,Log2-transformed iBAQ CKD_1_2,Log2-transformed iBAQ CKD_1_3,Log2-transformed iBAQ CKD_1_4,Log2-transformed iBAQ CKD_1_5,Log2-transformed iBAQ CKD_1_6,Log2-transformed iBAQ CKD_1_7,Log2-transformed iBAQ CKD_1_8,Log2-transformed iBAQ CKD_1_9,Log2-transformed iBAQ CKD_3_1,Log2-transformed iBAQ CKD_3_2,Log2-transformed iBAQ CKD_3_3,Log2-transformed iBAQ CKD_3_4,Log2-transformed iBAQ CKD_3_5,Log2-transformed iBAQ CKD_3_6,Log2-transformed iBAQ CKD_3_7,Log2-transformed iBAQ CKD_3_8,Log2-transformed iBAQ CKD_3_9,Log2-transformed iBAQ CKD_3_10,Log2-transformed iBAQ CKD_3_11,Log2-transformed iBAQ CKD_5_1,Log2-transformed iBAQ CKD_5_2,Log2-transformed iBAQ CKD_5_3,Log2-transformed iBAQ CKD_5_4,Log2-transformed iBAQ CKD_5_5,Log2-transformed iBAQ CKD_5_6,Log2-transformed iBAQ CKD_5_7,Log2-transformed iBAQ CKD_5_8,Log2-transformed iBAQ CKD_5_9,Log2-transformed iBAQ CKD_5_10
22.29125786,22.86086655,NaN,21.89888382,20.07770157,23.60365486,23.30716324,23.94037819,24.10853004,24.24495888,22.7817688,21.67779541,24.43370819,24.92098045,24.26835251,23.97587585,23.56906319,23.3558197,24.839468,25.13613892,22.24895859,22.91872597,NaN,24.19106674,24.53652954,24.24590302,24.86150169,24.08147812,23.87773705,23.94154358,24.36024666,21.86506653,22.24829292,22.40574455,20.88844299,24.83898735
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.4589386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.39330673,NaN,NaN,NaN,NaN,NaN,19.23476982,NaN,NaN,NaN
25.29582596,24.82847023,24.06652832,24.82880974,27.54133797,26.6971035,27.1899929,26.29610634,27.6426506,26.46101379,28.12932587,26.59334755,24.28785324,25.04526901,27.83545113,26.26391792,25.60402298,26.75468063,27.57065582,27.51088524,28.11301994,27.53237343,24.40678406,28.12750626,28.0713253,27.40738297,28.6823082,26.77555275,26.52061272,27.74579811,29.43563271,27.25556946,28.58143616,28.94472313,28.13138771,27.3744297
25.5847435,25.25064468,23.50881577,24.18759727,23.20582962,23.53207588,24.43338966,24.2639904,25.65916252,25.37507629,27.11187553,27.03925705,24.82074928,25.99332237,26.43451881,24.57224655,26.40757751,26.62631035,25.75013733,26.38106346,24.36826324,25.21378517,26.52889061,25.5052166,26.98239708,NaN,26.20709801,26.48283768,26.0433712,26.13690186,27.37069321,24.41647911,25.30584335,27.58348083,26.52160072,25.91147995
22.47090149,22.92770386,24.72155952,25.05730247,22.91398811,25.74126625,24.66405487,26.43385124,26.90437698,26.15441132,26.40663719,24.3974781,25.50039101,25.74729729,25.85507393,26.09454346,26.5535183,26.52398109,25.78166771,27.20480537,27.18688011,27.54392052,22.77189064,27.76103783,26.1845932,26.26733398,28.10134315,27.71069717,27.39190102,26.90804672,28.73511887,27.43268967,27.87155914,27.38574409,27.49434471,26.70437813
24.32209778,25.36161995,26.08606339,25.21708107,24.62566948,27.57600212,26.32889175,26.6511631,27.22582245,27.60194206,25.11414146,26.756464,26.67357445,27.83013916,25.88492775,25.91941261,27.22149467,25.5622654,26.44439507,27.89070129,27.58548927,27.80242729,26.37446213,27.57924271,27.24626541,26.39422607,27.53808403,26.24435997,26.67707443,25.13547516,29.42137718,26.74740028,25.79300308,27.24245453,25.58591843,26.37235451
NaN,22.34499931,20.58646202,NaN,NaN,22.15000916,NaN,24.71408272,23.15937042,22.83053207,23.97009277,NaN,24.43745995,25.73925781,NaN,NaN,24.63372803,NaN,NaN,24.85509872,NaN,NaN,NaN,NaN,21.89892197,NaN,NaN,NaN,NaN,NaN,24.26820946,NaN,22.81039238,NaN,NaN,NaN
19.13445663,17.8823204,NaN,18.59630585,NaN,17.84597969,NaN,NaN,NaN,NaN,NaN,NaN,20.41503525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.78170776,20.80624771,NaN,21.34673309,NaN,NaN,NaN,NaN,NaN,20.46093941,NaN,NaN,NaN,23.3259449,NaN
19.64825249,NaN,20.87597656,22.74320412,21.99665833,22.37026024,NaN,23.64306259,22.44379616,21.64160919,23.98163414,NaN,NaN,23.96349335,22.3597374,24.97018051,24.16775513,21.2279377,NaN,23.58760643,26.96961021,23.42201042,24.29963875,24.26198387,NaN,24.37590408,26.14907074,NaN,25.51370239,24.75424767,25.18328857,26.22721863,28.34278297,27.06363106,26.04333115,24.78910255
22.09261703,20.54443932,21.54924393,19.61110115,21.77900505,22.71787262,23.96234512,24.00555992,24.69125748,23.55215454,24.63417053,23.20609856,NaN,NaN,25.03565407,23.55555153,21.31368256,24.25853729,23.93255997,24.33694839,23.11178017,25.06406403,25.22537994,24.91150284,24.57755852,24.71591568,25.27262878,24.13053322,22.98601723,24.6557827,25.43367577,24.7204113,23.99800301,25.97344589,25.03044319,24.29768181
25.69131088,23.68495941,23.42572784,24.07341003,22.97619057,24.48302269,25.41696358,26.00654411,26.41556168,25.57097435,25.96580696,26.35425568,24.44947433,25.16507339,26.56720734,24.87918854,25.77908897,26.69019127,25.62176132,26.81017113,24.60155869,25.8448658,24.73303795,26.66220856,26.97683716,25.80481529,26.28073883,27.13682365,26.69736862,26.61568642,27.31397629,26.45497322,25.8702774,27.88942528,26.84074211,26.62992668
27.56826591,27.80051422,27.677948,27.82481003,27.60434723,28.87335014,29.04387856,29.86769104,31.07648087,30.61789322,30.55307007,30.09395981,30.29712486,30.653265,30.5005703,31.08739853,30.55718613,29.75910187,29.75673485,31.00724792,31.4795723,31.45723534,31.83171844,31.17551613,30.77077293,29.31602859,31.29843712,30.54139328,30.76422119,30.67925835,31.7488327,30.36306572,32.09247971,32.06007767,30.69983482,30.51258087
NaN,NaN,NaN,NaN,NaN,NaN,22.39749146,26.95438004,25.17759705,27.34688759,26.27685928,25.7537384,27.17683601,25.28178215,24.04834938,24.57478905,26.16976357,24.08066559,24.62477684,26.25661278,26.64471436,25.97659683,25.51105118,24.84009361,24.54486465,24.72665977,25.81579971,24.81386948,25.93370819,25.96499252,27.69537926,23.88380814,NaN,26.74931908,24.63311768,26.20086288
20.60648155,NaN,NaN,21.91506386,17.2647171,20.15486717,26.92048073,25.82179642,NaN,NaN,NaN,20.66240501,22.37766647,NaN,25.32123947,NaN,25.52052307,NaN,26.15792274,22.45093346,NaN,NaN,NaN,23.67422104,NaN,NaN,23.31285286,NaN,22.94667435,NaN,NaN,24.71161652,NaN,22.14307976,25.17092896,21.56667328
17.68496704,18.84355927,18.71421242,20.43623924,NaN,22.19556427,18.9949894,19.17745399,20.55159187,19.89903259,20.33788681,NaN,NaN,19.79488945,NaN,20.00387955,20.02810097,NaN,21.23198509,18.93634987,NaN,NaN,NaN,21.20842171,NaN,19.42347336,21.72313309,NaN,21.22623253,18.81715775,18.16300011,19.43831253,21.92056274,NaN,21.68461609,21.19189453
NaN,19.11153793,NaN,20.07038307,NaN,NaN,NaN,NaN,NaN,19.71113968,NaN,NaN,NaN,19.08233643,NaN,NaN,20.567276,21.18380165,20.35099983,21.96729851,21.36281776,22.12373161,18.09825897,20.0116806,NaN,NaN,20.07613754,20.06447411,NaN,19.81113243,21.98307991,19.96775627,20.94549561,21.26979256,NaN,NaN
23.98537445,22.67143822,24.30145454,24.17873573,24.42181778,25.04938889,24.06899071,26.15531921,26.13498497,25.93753052,27.15826988,25.5161705,26.19309998,26.30408478,25.8715477,25.81002426,25.02424049,24.70972443,24.57403946,25.49917412,26.31233215,26.07379913,23.05604553,26.56617546,24.80656242,25.92569542,26.55898666,26.15106583,25.28503227,25.10377693,25.76855278,25.84584618,25.54105759,25.62867546,25.91371727,25.33660698
NaN,18.60931587,18.9173317,17.85562325,19.53575325,NaN,NaN,NaN,NaN,NaN,19.30963707,NaN,19.15442276,19.26029015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.77426529,19.12923241,NaN
18.2585659,NaN,19.56647682,NaN,20.96916199,20.53507042,20.96543121,22.77033806,21.04700089,21.48807144,21.92459106,21.38916206,21.65053368,25.61062622,22.97132111,22.10741234,23.03624153,19.64389229,20.00634766,NaN,19.81039619,25.25234222,26.20166779,19.54113388,NaN,19.01148987,24.06529617,20.56448746,21.740942,20.25245667,21.21608353,NaN,19.98328781,23.37265396,NaN,NaN
19.47080231,NaN,19.41348839,NaN,NaN,22.38036346,21.02917862,19.16418076,NaN,23.3194828,NaN,NaN,21.04879761,20.19291878,20.28421402,22.38255501,NaN,NaN,NaN,NaN,21.64609909,24.95029259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.43224907,NaN,21.98186111,20.4246006,NaN,NaN
NaN,NaN,18.70137405,NaN,NaN,NaN,NaN,20.00154495,19.87094498,NaN,NaN,20.8244648,20.48973846,NaN,20.60458183,NaN,NaN,NaN,20.96133995,NaN,20.47447014,18.71011353,NaN,20.98731995,18.22005653,NaN,NaN,NaN,22.33021927,22.52102089,21.17316437,NaN,18.46574974,22.56341743,NaN,21.39199638
NaN,NaN,NaN,NaN,16.58058167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
