NP_FM_1_1_50%,NP_FM_1_2_50%,NP_FM_3_1_50%,NP_FM_3_2_50%,NP_SM_1_1_50%,NP_SM_1_2_50%,NP_SM_3_1_50%,NP_SM_3_2_50%,NP_PM_1_1_50%,NP_PM_1_2_50%,NP_PM_3_1_50%,NP_PM_3_2_50%,NP_CM_1_1_50%,NP_CM_1_2_50%,NP_CM_3_1_50%,NP_CM_3_2_50%,NP_CTRL1_50%,NP_CTRL2_50%
457.52024,92.11694058,115.9722835,55.30152309,23488.60886,13775.86993,17407.42452,209113.0901,NA,164.398745,460.3428392,1827.703137,1447.414486,643.0024216,500.345268,132.415178,726.6559033,1081.033094
73566.48998,42860.75056,68152.53293,77556.90702,82952.5676,53665.11316,75758.8801,106169.1547,79852.8835,43837.31042,101697.8746,90216.00945,43958.52172,59938.72802,48597.62345,85616.37534,311977.3963,142816.7226
691342.6277,302031.3278,298730.8662,411733.1802,699061.5868,1435884.078,316038.1078,297441.6094,257170.8401,243314.7313,142305.5546,48610.14919,246356.9162,256789.7651,259502.4671,68255.11909,1241821.704,1319798.52
37620.69741,2483.930013,3648.176056,6758.678315,27984.05594,5830.724582,7143.590074,739.2374064,21978.25656,29031.07591,5728.102503,1912.665902,10707.5246,62372.53411,4547.521262,3906.353092,457004.8024,890045.2673
1552.300317,1345.801007,1866.314876,2948.818526,15372.3086,4274.612237,3242.099162,19120.16745,5616.545763,2212.864337,4487.893611,31514.42435,1638.638377,2492.48119,1426.898632,127.7404499,15345.87197,49127.81954
14659.07421,12207.75802,6171.030524,11237.65699,25380.97341,19585.17155,11035.04399,15282.13398,4067.928227,18926.65544,2278.71174,2976.803705,26868.17525,18473.71553,426.6361589,12006.91129,144250.9107,514743.8274
1562.391018,28958.15673,30845.48834,83454.0684,NA,224.59162,2333.10089,NA,6500.673278,13459.27443,12244.22606,2613.403713,13955.08787,2091.854801,3252.777107,11956.246,74.24709557,3026.498859
222093.9142,22189.46789,14296.98144,24565.81467,501636.1191,376841.8247,57875.17242,157201.0525,15395.52872,66308.65128,8643.72729,20232.04231,13489.00727,253836.5187,8389.083628,18518.24544,515798.0901,1014386.979
60450.69999,5609.906031,14729.95797,42167.42689,61986.36456,38388.2964,75827.57567,77618.00335,9050.683911,7820.452963,14971.81433,1968.181724,4844.910391,27227.29598,66563.79754,2431.295268,241752.9893,156447.1126
41972.33163,6362.262273,3637.710248,16347.29356,109322.0747,29278.17213,10767.08646,15951.78402,6046.885541,7727.859662,1733.83149,256.8417022,6929.051235,27251.01482,4847.865342,11090.2944,47548.368,279283.8518
18634.66968,4057.379218,8106.507349,6269.470248,50844.16569,27704.25584,11821.94746,4812.203198,6691.924621,5345.826943,10871.59189,4167.200271,18771.98237,45787.46336,9163.658684,12234.35987,93980.13511,52978.46781
6761.727766,1656.323452,2040.691681,3474.601123,14028.96606,4827.021118,3833.940078,2703.233327,4150.780223,637.4143095,1659.183187,1150.657592,1107.57551,2810.056158,4772.238411,12003.22493,50432.41154,14414.70553
16625.44076,5388.448852,24876.09467,22617.00374,56949.26608,14655.75129,21546.64903,14168.61636,10967.00025,4419.731213,9397.752816,41488.85881,7235.443928,7141.622045,24544.17578,21480.56751,66866.8584,477628.5838
12793.15128,1738.074874,31498.37995,1770.610406,17205.26398,11174.67557,1364.738103,18458.28321,1178.155856,1188.941334,3477.031902,4614.135961,430.8727125,4504.725258,15919.3822,5046.189823,99670.157,233944.9226
937.4117719,542.8652025,NA,1173.479925,422.0933321,1014.383537,13190.45866,118326.1393,NA,19.10237222,NA,NA,NA,443.2643785,415.242305,302.6509982,140.0693277,216.112177
