old_1,old_2,old_3,old_4,young_1,young_2,young_3,young_4
25.52088,25.85022,25.4593,25.69912,24.73614,NaN,23.87886,24.39702
28.06584,28.34316,28.22729,27.3356,24.24125,26.9673,28.3198,26.58635
31.69731,31.71404,32.23329,32.69229,30.19108,30.92924,30.92966,30.4648
24.87586,24.92891,25.10426,24.98011,NaN,NaN,NaN,NaN
25.1352,24.67697,24.26692,24.35454,NaN,NaN,NaN,NaN
27.70207,27.25205,25.66471,27.04593,27.10509,26.42171,NaN,25.32361
25.34831,24.8699,26.43629,25.28623,NaN,NaN,NaN,NaN
28.09114,28.63914,28.77931,28.73554,27.40665,27.13487,27.11466,26.89261
28.46342,28.1898,27.35456,27.565,26.93888,26.15565,26.52567,26.3025
NaN,24.80892,25.43997,25.92592,NaN,NaN,NaN,NaN
25.03549,25.33559,24.98672,24.87938,25.07969,NaN,NaN,NaN
29.07406,26.95516,26.63478,26.79823,24.76734,27.02665,26.22591,25.85069
NaN,25.46317,26.02426,24.29018,NaN,NaN,NaN,NaN
NaN,26.66546,24.94508,27.46412,24.17881,NaN,NaN,23.2798
25.07145,24.58732,24.74581,NaN,NaN,NaN,NaN,NaN
25.07639,25.01005,25.73208,24.81029,NaN,24.30619,NaN,25.20721
29.65729,29.77065,29.477,29.72709,27.53349,28.71532,28.45415,28.443
26.94123,26.61737,25.98414,NaN,25.56247,NaN,25.6593,NaN
25.65018,26.93101,25.77917,26.12489,25.07892,25.44139,NaN,25.25944
26.37151,26.614,26.70622,26.61077,NaN,26.50223,26.17093,NaN
27.46225,27.99453,27.63256,27.21234,27.30269,27.27017,NaN,27.50945
24.8274,25.22129,25.96314,25.63871,24.94181,24.32217,NaN,25.21863
25.35498,25.45579,25.54183,25.11299,NaN,NaN,NaN,NaN
25.74114,25.82352,26.08467,26.07077,NaN,25.10745,NaN,25.34861
NaN,25.30689,25.35679,25.45089,NaN,NaN,NaN,NaN
27.29929,27.49106,27.04791,27.71999,26.14441,27.13614,27.08152,NaN
32.84554,32.15143,32.32852,32.70833,30.80755,31.25468,31.60214,31.13773
30.02009,30.96568,30.56184,30.01638,31.69864,NaN,28.92493,30.46607
26.5418,26.25151,25.94221,26.2869,NaN,25.69349,25.72408,24.42707
NaN,25.50146,25.69397,26.01994,25.30821,NaN,25.14083,NaN
30.55646,30.74407,30.70339,31.0944,29.30204,29.38965,29.60973,29.59609
30.3551,30.23455,30.74182,30.24093,29.45387,28.84281,29.04458,29.03777
NaN,25.95642,26.53282,25.81763,NaN,25.34164,NaN,25.22748
25.71416,25.61874,NaN,26.83569,NaN,NaN,NaN,NaN
30.52683,29.85405,29.49639,29.77069,29.34942,29.29158,27.83491,28.02311
24.86684,24.99434,24.58629,24.66812,NaN,NaN,NaN,NaN
27.92088,24.9805,25.05772,25.19607,NaN,NaN,NaN,NaN
29.12159,27.15731,27.21919,27.35136,25.42024,27.28145,26.74701,26.32409
24.70699,25.70015,25.2149,24.95309,NaN,NaN,NaN,NaN
24.67815,NaN,25.51758,24.85034,NaN,NaN,NaN,NaN
NaN,24.83629,25.32182,24.68662,NaN,NaN,NaN,NaN
25.72093,25.30121,25.92155,NaN,NaN,NaN,NaN,NaN
25.43393,25.15989,24.90637,25.07402,24.82352,NaN,NaN,NaN
25.03813,26.16019,26.58305,26.94748,25.6499,NaN,NaN,25.6156
25.22111,24.89463,25.25972,24.54079,NaN,NaN,NaN,24.7901
26.10316,27.06774,27.21206,27.43563,26.129,25.39401,26.03456,25.27704
28.22228,28.61831,28.60865,28.61326,26.57615,27.00892,28.0872,27.4145
NaN,26.42806,25.4412,26.15509,NaN,NaN,NaN,NaN
26.88658,27.47197,25.87615,26.90793,25.18363,25.24481,26.00174,25.76747
25.54126,25.35242,25.7364,25.78699,NaN,NaN,NaN,NaN
NaN,26.27558,25.5609,25.75774,NaN,NaN,NaN,NaN
NaN,25.55119,25.81739,25.82299,NaN,NaN,NaN,NaN
24.57785,24.47599,24.39355,24.53178,24.88143,NaN,NaN,NaN
NaN,24.59092,24.62472,25.377,NaN,NaN,NaN,NaN
26.80008,26.37542,27.04635,26.88017,25.54253,25.54666,25.67357,25.48729
25.91518,25.16546,25.74229,25.22424,NaN,NaN,25.52352,25.1341
NaN,24.14009,24.19016,24.25926,NaN,NaN,NaN,NaN
26.77467,24.61936,25.99824,26.13571,NaN,24.47079,25.21708,25.15723
25.09124,25.77789,25.16388,24.77082,NaN,24.62255,NaN,24.8683
26.77668,25.58003,26.16114,26.16233,24.5944,25.87886,NaN,25.74335
27.11327,27.03894,26.90805,26.91547,25.64581,25.64441,26.38451,25.71565
25.74078,24.74011,25.06295,24.53291,NaN,NaN,NaN,NaN
25.12364,NaN,26.01054,25.40795,NaN,NaN,NaN,NaN
25.19012,26.63298,26.36936,26.58434,26.74906,NaN,NaN,26.88064
24.90362,25.04364,NaN,25.0178,NaN,NaN,NaN,NaN
26.05032,NaN,25.78823,25.77653,NaN,NaN,NaN,NaN
28.22623,28.82926,28.67061,29.13832,27.17474,28.00239,27.53882,27.66756
27.15971,25.20624,25.69692,24.90683,25.495,24.82099,NaN,24.46532
NaN,24.82653,24.69296,25.67252,NaN,NaN,NaN,NaN
28.13256,28.9038,27.45951,29.08401,27.42206,26.94168,27.40186,27.35691
31.23335,30.11384,30.01345,30.05556,29.07992,29.38807,28.80913,29.69551
NaN,25.30869,25.72679,25.01295,NaN,NaN,NaN,NaN
25.87242,25.86207,26.10462,26.19225,NaN,25.5996,25.79074,NaN
24.32684,24.66839,24.55092,25.58121,24.0077,23.57207,23.71146,23.44164
27.43452,26.02293,26.44245,26.64993,25.35353,25.73962,25.57828,25.49051
31.3628,31.43872,30.86201,31.10506,30.27686,29.70263,30.19484,30.21176
31.07061,29.85177,30.52421,30.58397,29.80919,28.93472,29.67329,29.25503
NaN,24.77264,23.62623,24.87994,NaN,NaN,NaN,NaN
32.71188,32.829,32.46995,32.94588,31.92998,31.07648,32.00051,31.61118
33.03541,33.26975,34.31527,34.54034,32.75617,32.48318,32.56606,33.05811
24.7416,25.92434,24.65622,24.95207,NaN,NaN,NaN,NaN
25.90288,26.72598,26.44206,26.41696,NaN,25.54675,26.15258,25.92046
30.35405,30.85942,30.3592,31.34963,29.86681,29.82625,29.90268,29.09497
25.29932,26.22841,26.12961,26.11646,NaN,25.25688,26.20191,25.11275
25.63353,24.86967,24.86957,24.97281,NaN,NaN,NaN,NaN
27.47174,26.9345,NaN,27.78569,27.26419,NaN,NaN,26.9982
27.3292,27.7181,28.41389,28.20378,27.52612,26.11132,27.06322,26.76547
24.99209,26.13946,25.32234,24.95416,NaN,NaN,24.96653,NaN
NaN,25.31212,25.61496,24.98507,NaN,24.91743,24.8145,NaN
26.54122,27.44577,28.38932,27.55486,26.26746,27.42654,26.13778,25.92511
25.12747,NaN,25.67995,25.45855,24.94293,NaN,NaN,NaN
28.38657,26.8098,26.29153,25.93852,25.93962,26.39066,26.38647,NaN
NaN,24.719,24.50185,24.77906,NaN,23.76547,24.41002,NaN
26.43102,24.72666,24.5545,NaN,NaN,24.91338,NaN,NaN
25.2815,25.48729,25.26896,24.86825,NaN,NaN,NaN,NaN
28.31406,28.64801,28.53938,28.03988,27.48439,26.80772,27.63844,27.54562
32.65186,31.34757,30.36024,31.49891,30.85363,30.73884,29.76389,30.4453
24.4204,24.30041,25.19472,24.31679,NaN,NaN,NaN,NaN
24.76825,24.46382,25.00402,NaN,NaN,NaN,NaN,NaN
NaN,25.39313,25.22358,24.61997,NaN,NaN,NaN,NaN
25.14608,24.99947,24.81113,25.08918,NaN,NaN,NaN,NaN
25.90249,25.5511,24.94838,25.90988,26.27858,NaN,24.78975,24.30814
27.31389,26.67371,26.58477,26.40372,25.04564,25.6363,26.42098,25.87631
25.59673,24.95872,25.21712,25.19656,NaN,NaN,NaN,NaN
26.19031,24.81705,25.77761,24.85048,NaN,24.90035,24.6548,25.05059
NaN,24.97408,26.38966,25.89784,26.18084,24.98715,NaN,25.20937
29.15781,28.26195,28.28286,27.96179,25.49625,28.08492,28.97967,27.15798
29.14569,29.42684,28.65191,28.49049,24.89227,29.22465,29.36799,28.29316
34.33844,34.20682,34.7776,35.08832,33.40515,34.09002,33.23777,33.75005
25.72728,24.41002,NaN,25.13203,NaN,NaN,NaN,NaN
30.28714,30.21709,30.81192,30.46383,29.05876,29.2793,30.04062,29.49303
28.6121,26.77668,NaN,28.46649,NaN,28.03155,NaN,NaN
25.11172,25.10753,25.85279,NaN,NaN,NaN,25.31313,25.0441
24.96974,24.46806,24.86145,24.19701,NaN,NaN,NaN,NaN
31.53102,30.91506,31.57321,30.16878,29.41583,30.40466,30.63832,29.88469
29.40184,30.58289,32.03341,31.15177,29.78538,29.40592,30.23352,29.90211
29.82645,29.86035,30.16123,30.35804,29.05884,28.97566,29.19643,29.13308
29.5152,30.12139,30.4447,30.63599,29.17167,29.20644,29.31939,29.18995
25.70504,25.92429,25.34902,25.54375,NaN,25.68864,25.53783,NaN
24.63865,24.67578,24.66031,24.76051,NaN,24.80149,NaN,NaN
28.61006,24.86065,23.95429,26.23046,NaN,26.81653,NaN,25.70794
30.97241,31.46767,32.14795,32.24178,30.38381,31.02901,30.7189,30.90369
26.50062,25.57773,25.3041,26.0333,NaN,25.22744,25.91757,25.01572
28.38985,28.0921,29.02316,27.76604,26.89354,27.4977,27.86485,27.22812
25.23425,25.5324,25.79927,25.31251,NaN,25.03002,25.12825,25.07944
26.85781,27.29728,26.94994,26.19398,26.60992,25.47528,25.83396,25.64265
25.83617,25.20083,NaN,25.02424,NaN,NaN,NaN,NaN
NaN,25.65633,25.7982,24.69572,NaN,NaN,NaN,NaN
26.24031,25.14888,25.29221,25.67785,NaN,24.67185,24.90844,24.68094
23.41145,23.47519,23.92252,NaN,NaN,NaN,NaN,NaN
27.56819,29.8264,28.31553,29.40249,28.2184,27.8562,27.77354,27.57376
25.26399,25.66945,25.5836,25.63616,25.55719,25.377,NaN,24.91984
27.80323,27.88419,27.97929,27.49762,26.26037,26.64086,27.12297,27.46022
25.10402,26.20605,25.65248,26.45736,24.47339,24.76997,24.94177,25.5809
27.09194,27.31138,28.08644,27.76142,26.29497,26.6618,27.04854,26.6238
26.05757,25.89474,25.36636,25.41857,24.57225,NaN,NaN,25.68459
24.81792,25.56049,25.3889,25.28849,24.67519,NaN,NaN,NaN
27.00806,27.54341,27.09315,26.56359,26.41785,25.91916,26.44921,25.84153
26.60541,25.49412,26.01297,26.27227,26.21482,NaN,26.67047,NaN
24.65256,25.01039,25.06571,25.22185,NaN,25.01474,24.42784,24.42175
24.73877,25.82915,NaN,26.39011,NaN,24.93656,NaN,NaN
NaN,24.13688,NaN,NaN,23.39297,23.71177,23.42419,23.41364
32.30457,30.03813,28.50253,30.23318,27.4295,30.90462,29.83435,29.3416
24.4742,24.25451,NaN,24.69647,NaN,NaN,NaN,NaN
26.04458,25.58852,26.6569,26.00742,25.90102,NaN,26.12585,25.82447
34.84151,32.2135,32.01976,33.41463,31.23546,33.13211,31.96416,32.59661
24.79427,24.61801,24.94802,24.47964,NaN,NaN,NaN,NaN
27.2841,26.87256,28.0369,28.46529,27.479,26.61358,25.84757,27.16749
29.1409,24.44727,NaN,26.54494,27.46155,24.8931,NaN,NaN
25.38558,25.49954,24.77128,23.79452,NaN,NaN,NaN,NaN
26.05922,26.04153,NaN,25.40298,25.8826,NaN,NaN,NaN
29.16557,30.75899,29.47541,29.97842,28.95516,28.79222,29.19098,28.92431
24.61605,25.18435,24.88567,24.90021,NaN,25.45573,NaN,NaN
NaN,25.6919,25.32255,25.14697,24.97031,NaN,24.74453,NaN
30.45395,31.97052,29.68991,29.65959,29.38745,29.85877,29.40655,29.64194
25.86835,25.89243,26.04456,25.85346,NaN,25.98689,25.73508,24.84652
24.92597,25.37116,25.74737,25.25577,NaN,25.25068,25.56863,NaN
32.75489,34.65395,32.62309,32.4273,31.33724,32.3682,33.07283,32.22943
25.97946,26.88623,28.14346,27.32612,28.01041,27.25214,NaN,26.86266
25.49753,25.39048,25.15062,NaN,NaN,NaN,25.07611,25.15777
24.95992,24.89398,24.99343,24.68704,NaN,NaN,NaN,NaN
26.28611,26.09047,25.88327,26.172,25.46694,NaN,25.96497,25.91696
26.0031,26.5106,26.18073,26.16127,25.45347,25.21148,25.52435,25.24949
26.45731,27.26616,26.79328,27.55844,26.77769,26.32528,25.68448,25.88404
31.93407,31.45115,31.59597,31.40121,30.26919,30.63469,30.90519,31.18127
NaN,25.83265,26.96345,26.39141,27.08477,NaN,25.19408,NaN
29.11682,28.58082,29.10964,29.54646,28.10179,28.48566,27.67,28.72185
25.82226,26.19507,25.92155,25.74491,26.14449,NaN,26.14843,25.7318
24.49899,24.42541,24.51749,24.74514,24.14523,NaN,24.02411,NaN
30.49142,30.09371,30.35132,30.16279,29.13944,30.05595,28.95494,29.6074
33.40831,32.72301,33.10498,33.15798,32.05934,32.45919,32.08942,32.4468
25.76415,26.11551,25.86294,25.514,25.32649,24.94396,24.7961,24.86571
27.75761,27.28894,27.14628,27.63097,NaN,28.24943,26.83762,27.98658
34.61407,34.57587,34.6888,34.86765,33.70852,33.78936,34.16391,33.78098
24.40769,NaN,24.56628,24.25775,NaN,NaN,NaN,NaN
NaN,24.57097,24.77771,24.85229,NaN,NaN,NaN,NaN
27.89134,27.37119,27.62624,27.89631,27.12642,27.28215,26.34838,26.74355
27.9875,27.24717,26.55124,28.67781,26.60541,29.13293,NaN,28.66034
31.58082,30.78402,30.65156,30.85081,30.17867,30.16423,29.92181,30.32678
30.35846,29.29654,28.79829,29.13721,28.19563,28.89828,28.49037,28.74346
