"Abundance: 126, Control, Pool, n/a",Caput 1 (127N),Caput 2 (127C),Caput 3 (128N),Corpus 1 (128C),Corpus 2 (129N),Corpus 3 (129C),Cauda 1 (130N),Cauda 2 (130c),Cauda 1 (131)
98.1,40.9,42,43.6,157.3,206.3,102.2,122.5,93.9,93.3
112,59.6,93.8,78.9,58.9,151.9,102.6,133.2,109.1,100.1
104.4,85.7,189,179.6,59,93.6,100.5,70.9,61.6,55.6
97.7,104.6,112.4,64.2,119.4,98.5,127.7,85.9,97.1,92.5
95.9,90.8,81.9,143.1,125.7,115.8,70.1,130.2,78.1,68.2
96.8,128.4,92.8,157.5,122.5,124.9,82.6,82.6,57.9,53.8
110.7,72.6,62.7,96.5,75.7,89.3,58.7,194.4,131.5,108
104.6,110.5,127.2,94.4,105.6,93.5,94.1,92.1,85.2,92.8
104.2,70.3,57.5,65.3,153.4,89.5,87.6,132.7,116.2,123.2
81.4,238.7,91.3,173,110.4,110.5,76.9,40.7,39.1,38
83.7,190.2,83.3,160.8,110.7,115.8,80,64.3,61.5,49.7
85.5,226.1,81.5,172.5,106.7,97,72.4,58.5,49.1,50.8
101.5,96.2,82.2,92,104.6,108.2,91,107.5,114.2,102.6
122.7,62.8,67.9,64.7,61.5,75.2,75.6,133.7,195.7,140.2
95.3,113.6,87.2,78.3,131.9,114,112.5,107.7,80.1,79.4
76.2,124,138.2,98.8,103.4,115.4,150.7,56.5,81.8,54.8
107.5,67.6,65.7,47.9,143,96.6,111.1,128.1,127.4,105.1
112.2,81,111.4,67.7,82.9,66.5,132.7,108.7,113.4,123.5
45.7,138.4,135.8,84.4,96.4,63.4,280.9,52.7,73.6,28.6
87.1,160,160.3,200.8,80.9,120.9,92.1,40.2,36.3,21.4
110.2,81.3,132.9,157.1,74.7,97.9,81.2,103.6,84.8,76.3
101.2,53.5,44.6,47.8,199.3,155.4,138.9,71.9,77.9,109.6
89.6,185.5,156.5,208.5,60.9,79.1,58.3,60.8,55.3,45.4
92.2,183.9,169.7,245.6,60.8,59.7,44.3,49.5,48.1,46.3
91.2,171,141.3,194.9,63,106.7,87.2,56.3,46.7,41.7
79,136,180.1,70.1,90.2,101.7,149,45.1,70.8,78
107.7,54.1,46.8,36.9,164,63.6,100.1,149.1,113.1,164.6
105.1,118.4,168.4,64,62.5,73.4,143.2,76.5,94,94.5
100.2,120.4,164.3,57.9,59.2,74.2,152.5,74.6,104.6,92
91.5,142.7,149.9,65.8,68.2,85.1,167.4,73.6,81.8,73.9
92.3,147.2,182.4,60.9,59.4,85.8,173.6,59.4,79.3,59.7
97.2,155.8,140.7,72.7,64.2,86.1,137.8,69.6,78.9,97.1
102,128.5,157.3,64.8,68.1,78.2,142.6,73.6,95.4,89.4
107.5,117.3,152.1,79.5,68.1,78,127.7,84.8,92.9,92
96.1,199.6,202.4,48.2,40.9,101.3,203.3,31.3,43.8,33.1
96.5,112.7,115.1,70.9,100,102.2,149.8,77.4,95.6,79.9
76.8,166.5,88.7,153.7,118.4,116.1,86.5,77.9,65,50.2
89.9,135.1,130.8,99.6,67.1,68.4,83.2,83.3,132.9,109.5
72.8,135.3,123.6,220.6,96.6,97.9,101.1,46.9,58.6,46.5
109.2,57.6,82.1,60.8,82.8,78.5,102.2,126.6,121,179.3
104.6,78.3,86.1,65.2,92.1,80.5,91.5,128.4,147.5,125.7
96.7,106.1,140.2,85.9,78.8,83.8,124.1,87.8,106,90.8
83,67.4,77.9,56,59.7,69.1,94.5,125.8,125.6,241
101.7,70.3,56.7,48.9,150.1,77.4,98.7,156.2,105,134.9
103.8,80.1,69.4,59.2,99.7,72,91.2,162.1,129.8,132.6
103.1,92,87.5,127.9,113.5,108,87.2,124,80.5,76.4
96.7,88.1,70.3,95.3,148.6,150.8,94.5,99.1,82.6,73.9
93.5,113.6,72,79.7,155.7,130.4,82.4,81.2,88.3,103.3
95.9,123.1,74.1,67.1,166.2,97.6,96.9,108.4,85.6,85
101.6,101.4,108.5,70,79,65.6,92.7,115.3,141.9,124
114.8,111.2,125.5,70.9,71.7,72.3,111.8,122.8,94.8,104.2
103,101.1,145.8,82.4,81.3,84.7,117.2,80.6,101,102.8
116.6,86.5,134.1,65.9,66.6,72.9,112.8,100.4,121.1,123.2
114,83.8,142.1,56.5,70.2,71.7,109,118.1,121.6,113.2
116.4,112.8,141.8,67,76.3,79.6,120.6,89.3,104.9,91.2
107.1,78.9,190.2,75.1,72.3,68.8,124.8,83.4,101.8,97.4
85.3,122.3,150.6,93.8,92.8,80.4,113.3,88.7,95.5,77.4
103.3,81.8,82.8,63.9,83.3,89.9,160.9,111.5,112.8,109.9
103.5,92.1,91.5,65.2,105.1,101.5,161.3,87.7,98.3,93.7
83,98.4,94.5,58.8,87.6,103.2,196.1,85.2,107.5,85.8
88.2,154.2,114.8,121.4,125.9,92.4,90,80.5,66.1,66.5
94.9,69,71.6,74.1,141.1,121,107,112.7,105.3,103.3
94.2,99.2,107.9,189.4,108.6,113.9,74.8,83.1,66.6,62.3
106.5,86.1,60.7,63.3,130.3,100.6,86.4,111,112.7,142.4
101.2,132.4,143.8,79.9,111,63.9,85.3,81.9,97.2,103.4
93.8,53.7,45.2,34.1,181.7,104.4,103.2,137.3,115.4,131.3
123.3,78.4,46.8,67.7,89.4,105.5,80,109.8,104.3,194.9
122,66.8,48.3,58,73.3,70.5,60.7,204,129.7,166.7
95.3,102.1,125,111.1,106.4,100.2,125,75.2,80.3,79.4
114.7,93.2,106.7,82.6,118.1,65.6,109.8,90.3,103.3,115.8
110.4,52.7,66.8,70.8,83.1,104.1,68.6,191.3,122.9,129.4
132.9,27.3,23.9,25.3,29.9,34.8,33.8,276.1,203.3,212.6
113.6,68.8,76.4,50.3,81.1,61.8,123.8,116.2,143.9,164.2
110.1,69.9,73.4,52.5,124.7,72.5,128.5,122.7,115.3,130.5
99.8,109.8,136.2,107.1,113.4,105.3,101.2,75.6,78.8,72.9
132.6,42.2,32.7,32.2,41.1,38.5,38.2,106.7,246.1,289.7
88.6,60.9,52.5,39.8,212,108.1,174.1,78.9,89.9,95.2
102.1,113.7,175.7,196,60.9,68.8,62.7,81.8,64.8,73.4
99.2,105.9,72.4,81.9,118.3,86.2,78.8,123.6,108.5,125.2
114,76,51.9,76.1,78.6,85.9,63.1,127.7,176.6,150.1
97.6,86.1,94.3,129.4,105.8,133.5,89,105.8,83.1,75.5
89.2,70,101.9,110.8,88.5,153,83.4,114.1,115.6,73.4
105.8,63.5,126.5,87.5,71.5,134,93.4,119.6,99.4,98.8
107.7,83,137.9,103,58.7,121.6,94.4,102.9,101.6,89
94,55.6,155.6,138.9,53.3,140.2,126.4,91.6,79.5,64.9
100.1,73.5,152.7,137.3,69.1,153.7,113.2,75.1,61.7,63.6
96.2,81.3,152.2,145.8,57.3,174.5,72.1,83.9,61.1,75.6
102.8,80.4,146.9,108.8,63.2,183.3,69,78,80.5,87
104.1,65.5,169.9,122.9,52.4,129.2,110.1,92.6,79.9,73.5
102.4,78.5,128.6,101.7,78.5,114,105.8,107,88.9,94.7
89.9,99.4,73.2,79.7,192.1,123.1,113.2,67.8,78.9,82.8
115.5,87.4,151.4,54.8,55,57.8,101,97.8,136.3,143
80.9,165.5,183,72.3,64.2,68,154.2,67.4,82.6,62
107.1,102.4,141.1,64.7,64.8,65.8,115.6,91.4,116.1,131.1
90.2,127.9,186,68.9,69,77.1,150.7,70.9,90.5,68.9
113.9,86.8,110,74.4,72.9,79.1,95.3,107.4,117.6,142.7
106.3,72.4,124.6,108.8,64.1,88.8,83.4,129.3,113,109.4
81.3,167,91.2,119.7,147.5,113.1,110.6,59.9,54.4,55.2
89.8,92.6,58.7,95.9,159.6,172.7,120.4,62,73.7,74.5
111.1,72.3,98.9,83,58.9,98.1,90.8,129.5,123.4,134
101.2,112.4,109.4,77.3,111.9,72,102.5,97.6,109.9,105.9
95.9,106.9,115.8,120.4,129.2,100.2,101.4,84.5,71.6,74.1
102.7,98.7,140.9,173.4,77.1,90.5,95.8,85.9,71.2,63.7
98.6,86.6,119.1,108.3,88,99.2,101.5,111,93.2,94.6
80.2,132.7,118.9,124.3,109.7,99.9,93.5,91.6,82.5,66.8
123.4,55.5,44.7,40,42.2,46.4,105.2,85,207.6,249.9
96,95.2,100.1,138.6,112.8,137.1,84.4,101.6,62.1,72.2
107.7,88.6,93.6,75.7,97.1,81.4,93.1,116.8,117,129
115.1,69.3,89.1,45.4,51.9,68.4,95,105.2,172.2,188.4
100.5,100.4,114.5,63.2,92,98.3,96,104.3,108.6,122.3
78.1,151.9,109.8,143.2,83.2,143,92.1,72.5,66,60.2
109.9,86.4,95.1,81.2,95.2,83.7,81.7,107.6,147,112.3
107.9,88.3,163.3,73.6,84.6,83.8,106.4,80.5,113.7,97.8
94.4,148.8,136.5,182.9,61.6,101.6,86.4,66.5,64.2,57.2
102.3,108.6,134.3,74.9,61.9,64,134.4,82.1,129.3,108.3
107.9,66.6,81.4,57.1,51.5,78.8,95.1,141.2,166.5,154
72.6,160.1,86.2,148.8,117.4,110.2,84.6,70.4,86.3,63.5
99.1,93.6,91.6,82,105,77.1,143.8,88.5,96.1,123
105.6,102.9,92.7,88.9,85.9,76.9,106.8,97.3,106.9,136
105.3,79.6,64.5,73.2,77.4,78.6,117.3,84.8,161.2,158.2
109.9,88.1,115.1,81.3,69.2,86.9,78,144.5,121.9,105.2
111,78.1,100.6,67.6,72.9,82.6,90.4,147.2,127.2,122.5
92.4,102,81.6,130.6,135.9,104.5,79.9,105.6,96.8,70.6
93.4,109.2,85,126.1,114.7,114.7,86.8,93,88.2,88.8
94.4,85.9,56.5,68.1,154.3,120.1,104.2,93.3,97,126.1
89.9,118.2,75,97.6,139.6,117,94.8,81.8,96.6,89.5
89.6,111.2,68.8,134.7,147.4,151.5,79.3,84.7,67.9,65
94.9,128.4,117,160.3,100.2,89.7,98.9,78.1,66.8,65.8
103.8,64.3,58.4,66.1,78.1,173.8,88.2,176,74.7,116.7
94,70.2,67.3,89.9,67.8,167.6,81,162.3,95.1,104.8
81.9,213.1,122.6,157.4,137.6,92.4,108.3,30.3,29.2,27.1
89.6,133.7,158.7,256.4,87,98.7,77.4,35.5,33.5,29.6
102.1,122.6,84.9,66.3,123.3,82.6,115.8,94.6,103.6,104.3
86.4,172.6,128,110.4,99.9,102.4,107.8,67.6,59.2,65.7
107.4,85.6,103.4,53.7,72,75.1,93.2,109.3,149.7,150.7
110.2,89.8,158.4,81,69.3,70.3,104.6,76.3,115.4,124.6
115,83.1,117.7,68.5,73.7,75.3,92.8,99,141.6,133.3
89,137.9,114,188.5,108.2,126.3,96.2,48.8,50.2,41
92.3,112.6,105.2,202.7,82.4,102,73.4,85.3,81.8,62.4
95.6,105.3,77,125.2,146.7,94.1,65.6,137.1,89.4,64
99.9,103.8,139.6,189.8,91,87.4,81.2,77.8,65.5,64.1
105.3,93,147.6,181.4,67.7,100.8,86.1,82.2,67.4,68.4
100.3,76.6,147.7,175.7,60.9,107,87.7,94.9,78.4,70.8
102.3,76.7,152.5,182.2,65.5,103.5,90.2,95.2,65.3,66.6
104.1,72.3,174,198,44.5,87,84.7,96.4,71.8,67.1
100.7,78.8,137.4,200.8,57.5,111.7,78.1,99.3,68,67.7
99,90.6,116.5,149,92.1,113.2,91.6,98.9,72,77
115.4,67.9,102.5,70.7,78.3,79.6,105.8,96.2,162.1,121.6
100.2,134.1,130.6,75.7,77.4,91.4,129.9,83.9,96.1,80.4
103.9,140.3,121.1,62.5,64.3,92.9,154.1,82.6,91.8,86.5
89.9,128.5,161.2,75.6,72.8,96.2,157.6,66.2,88,64
98.9,122.6,113.9,65.3,71.1,86.7,130.3,86.6,125.7,98.9
125.5,60,116,69.1,102.7,96.2,58.2,101.5,148.9,122
98,93,110.7,87.6,109.7,105.3,96.5,104.5,98.6,96.1
104.6,109.3,126.8,63.9,81.4,85.1,119.7,88.6,108.9,111.6
86.5,116.1,121.6,74.9,123.2,97.2,124.2,84,91.4,80.8
112,85.7,198.7,78.3,67.7,59.3,125.5,82.4,94,96.5
101.8,86.2,84.5,75.1,104,89.4,102.7,105.7,126.8,123.8
113.7,80.5,140.9,61.1,57.1,63.6,96.2,99.4,136.8,150.7
96.5,119.4,98.7,100.5,124.8,101.1,90.3,95.2,83.3,90.2
94.8,139.4,146.4,190,104.9,86.6,77,54.1,56.6,50.2
114.5,68.7,114.8,68.5,65.5,71.2,84.1,109.8,148.3,154.8
93.4,114.9,115.9,101.5,113.4,95.3,112.7,90,86.2,76.8
102.2,101.7,76.4,67,149.5,98.7,113.8,96.2,98.1,96.6
83.7,133.8,92.2,78.4,82.6,102.3,64,147.5,118.2,97.2
101.2,73,82.3,116.6,102.3,88.9,75.3,169.1,103.8,87.4
93.6,125.1,101,155.6,120.6,91.5,85.4,91.7,72.9,62.5
88.8,149.5,138.4,188.6,71.8,116.8,75.1,73.4,51.9,45.7
90.7,62,52.8,65.1,185.5,144.5,158.4,84.3,82.9,73.8
99.5,86.1,70.8,96.9,116.6,84.1,68,159.7,113.3,105
85,102,78.9,146.7,188.4,144.5,95.8,63.8,52.4,42.7
101.5,97.9,78.7,92.3,123.1,105,89.3,115.2,107.9,89.2
88.4,129.9,84.1,99,149.1,96,82.6,104.2,87.9,78.7
91,94.5,75.6,79,170.2,156.3,129.7,73.2,66.5,64
100.1,109.3,91.5,79.7,116.9,96.6,87.7,112,107.3,98.9
110.6,82.4,144.7,71.7,79.1,74.8,102.9,93.3,126.4,114.1
103.6,106.3,241.8,78.2,79,73.9,120.3,59.8,75.2,61.9
102.3,61.4,139,58.6,73,82.7,110.4,106.9,145.8,119.9
105.9,96.4,151.8,82.6,92.6,86.3,130.1,65.7,103.1,85.5
92.2,126.9,89.4,59.7,107.2,130,187.1,47.2,62.9,97.3
99.3,103.7,105.1,62.4,118.9,108.8,154.3,72.7,82.8,92.2
87.4,112.4,87,88.1,144.1,124.3,105.8,75.7,92.1,83
109.1,80.2,106.8,68.2,73.3,78.1,92.2,124.2,141.1,126.7
93.3,151.4,104.9,90.5,121.4,124.1,96.2,77.5,70.4,70.3
109.8,62.5,75.4,73.7,92.1,132,76.2,170.3,120.6,87.6
90.8,115.3,113.3,107.1,134,94.4,100.4,86.8,80.2,77.8
93.8,128.5,133.5,161.9,80.8,120.5,100.1,62.7,59.3,58.8
84.3,71.1,97.5,94.1,70.9,110.3,69.6,187.9,140.7,73.5
93.3,75.9,83.8,161,94.9,188.1,99.2,73.3,60.8,69.7
93.8,146.9,156.1,228.3,75.4,92,80,50.9,41,35.8
96.9,99.4,90.5,114.2,114.5,178,106.5,80.1,65.2,54.6
80.2,129.5,76.7,138,197.3,122.7,84.1,65.4,55.9,50
114.9,52,56.6,53.7,55.8,59.9,60.8,208.8,179.8,157.7
97.3,92.2,96.1,126.1,122.8,121,79.4,107.9,81.1,76.2
91.9,120.3,95.3,69.9,125.7,100,118.7,93.1,87.6,97.4
97.9,117.5,151.4,101.4,99,70.8,101.9,81.4,95.4,83.3
114.7,97.2,180.4,87.4,97.9,81.6,137.9,66.7,61.2,75
100,98.8,92.8,97.7,158.1,110,84.9,100,101.3,56.4
98.9,90.6,83.2,104.2,121.3,113.1,77.3,137.4,89.8,84.2
79.3,133,77.7,93.4,198.3,151.3,119,44.3,55.1,48.7
84.6,158.2,177.2,162.7,82.4,85.1,69.1,53.9,76.3,50.5
64,179.3,97.4,162.8,134.1,116.3,101.6,57.5,50.8,36.3
87.5,137.4,94.6,170.8,140.3,115.6,75.7,72.5,62.2,43.4
102.6,95.1,115.7,118.1,87.7,86.7,91.3,114.5,92.8,95.5
100.4,79.9,129.3,141,86.8,92.6,93.4,105.4,82.8,88.4
101.3,100,120,119,82.6,100.5,98.5,93.6,96.4,88.2
140.8,93.9,75.2,103.1,68,79.2,65.9,117.2,87.4,169.2
103.1,79.3,124.5,168.1,69,136.5,88.8,84,71.1,75.6
98.9,105.4,90.6,117.5,94.4,91.2,77.6,127.6,107.8,88.9
101,118.2,129.8,119.7,82.6,78.6,80.4,113.3,86.2,90.1
96.1,119.6,118.3,114.1,107.7,111.6,101.7,66.6,81.7,82.5
97.4,91.1,113.9,86.3,104.9,105.4,120.4,84.4,106.6,89.6
94.9,124.4,164.5,80,89.2,99.4,145.1,64.3,76.6,61.6
96.5,116.5,146.1,73.5,83.6,91.4,147.6,72.9,103.2,68.7
95.2,111.5,135.3,75.3,75.4,87.4,155.8,75.2,102.1,86.9
93.2,127.6,108.7,73,112.6,104.8,150.7,78.2,80.2,70.8
106.1,104.2,120.5,60.4,71.2,83.9,145.5,91.2,110.4,106.5
62.8,163.1,125.7,147.8,93.3,92.4,126.4,62.6,72.7,53.3
103.4,107.5,140.7,59.1,70.3,99.2,165.7,77.6,93.9,82.7
105.4,97.5,141.2,74.7,69.3,80.5,139.5,86.9,110.6,94.5
102.4,101.3,130.4,89.3,75.4,88.4,159.4,80.1,90.4,82.9
71.1,152,117.6,100.3,117.4,100.5,145.6,62.2,74,59.3
93.9,97.5,127.1,82.1,66.9,94.7,156.2,84.6,115.7,81.2
104.3,104.4,131,67.4,75.4,80.2,165.9,82.2,102.9,86.3
104,100.2,128.2,67.8,66.1,90.7,173.8,75.9,110.4,82.8
105.9,111.3,121.2,83.2,109.6,80.2,96.8,103,101.9,86.8
106.4,100.3,103.1,91.4,96.7,94.9,88.4,94.6,129.1,95
84.4,195.1,123.1,165.1,98.5,87.5,74.7,63.8,59.7,48.1
95.4,94.9,129.4,64.4,77.5,76.2,75.7,136.6,138,111.8
86.6,149.2,161.3,168.3,62.6,121.1,74.9,54.7,62.3,58.8
101.5,91.2,75.1,73.8,179.8,94.9,102,87.9,100.6,93.3
99.7,99.6,78.8,76,160.7,109.6,102,89,95.4,89.3
114.5,63.4,87.2,55.5,106.7,70.7,116.1,94.1,163.4,128.3
98.8,102.4,104.9,105.2,112.6,88.9,78.5,115,99.5,94.3
102.4,96.9,90.2,102.6,97,89.4,75.1,123.8,104.3,118.3
98.4,155.3,92.1,85.9,105.4,96,83.6,103.5,95.1,84.7
107.5,112,89.8,69.4,110.2,105.3,105,94.6,115,91.2
99.5,100.6,101,77.6,113.1,106.8,109,90.9,107.6,93.8
96.1,136.1,109.8,83,145.1,74.3,98.2,79,90.8,87.6
98.9,134.2,149,119.6,100.4,110.8,103.8,58.6,64.7,60.2
106.2,127.2,71.5,101.3,125.1,119.2,89.9,72.8,82.4,104.3
93.6,110,131,120.6,89.8,90.7,85.4,95.1,92.2,91.7
96,108.7,168.9,199.5,67.4,84.5,80.4,76.4,65,53.3
97.8,83.6,196.1,277,46.9,80.8,58.8,59.8,51.9,47.4
120,63.9,76.5,54.3,59.1,57.7,108.8,97.2,171.1,191.4
95.4,103.2,145.7,148.1,81.9,93.5,89.2,88.6,82.7,71.8
96.1,105.5,175.9,196.7,83.5,69.6,84.4,55.5,70.8,62.1
103.8,111.9,88,97.4,96.9,104.4,96.4,94.8,98.4,107.9
149.8,57.1,49.3,43.4,71.5,56.6,68.3,121.7,244.9,137.3
110.5,72.9,107,63.4,78.9,62.7,122.6,110.1,131.6,140.3
114.6,63.4,112,61.8,63.8,59.4,119.7,122.6,133.4,149.3
114.2,58.1,112.2,57.3,66,58.3,118.3,121.1,150.4,144.1
112,66.2,141.7,53.5,59.9,57.6,92.5,128.2,128.9,159.5
117,80.9,65.5,62.9,89.4,74.8,78.5,130.2,134.1,166.8
95.2,96.5,65.4,67.6,155.8,130.1,104.2,98.5,92.8,93.8
117.4,80.9,69.6,69.8,87.6,82.9,75.9,130,130.1,155.9
96.7,109.4,96.1,123.8,103.9,88.6,70.8,117,99.7,93.9
100.7,95.8,137.1,112.9,81.9,74,65.6,125.1,116.7,90.1
81.1,94.9,71,88.3,188.9,125.6,120.8,83.5,79.7,66.3
111.7,80,46.1,51,130.2,76.4,93.6,130.6,130.4,150
132.2,73.2,50,63.6,68.5,58.7,91.3,120.3,144.3,197.9
84.5,108.6,82.4,90.5,116.8,107.6,134.8,82.9,93.1,98.8
86.3,144.3,88,87.1,131.4,93.7,88.7,88.2,89,103.3
103.1,91.2,98.5,90.1,112.5,108.8,97,91.9,112.3,94.7
97.5,136.9,97.7,119.1,53.2,79.3,76.2,111.6,130.4,98.1
87.7,126.4,123.4,150.3,114.9,141.6,116.5,49.1,50.1,40
97.3,108.8,69.5,89.5,90.9,115,75.9,160,106,87.1
121.4,47,52.1,45.8,76.3,65.5,58.5,189.3,214.3,129.7
97.5,75.2,67.6,76.1,128.3,84.7,104.9,109.3,121.9,134.5
93.1,119,90,63.1,125.5,85.2,103.9,100.3,124.3,95.7
98.6,92.2,75.4,82.6,118.1,114.8,88.1,97.8,101.9,130.6
95,97.9,100.5,127,119.3,99.3,81,121.9,87.7,70.3
90.7,116.2,98,140.5,138.5,156.5,116.8,50.7,49.2,42.9
92.9,113.7,81,162.2,146.2,129.6,81.8,67.4,67,58.2
91.1,201,138.6,198.4,67.1,65.5,65.9,61.5,54.8,56.1
88.6,131.7,104.1,102.9,110.4,104.4,118.1,69.1,86.7,83.9
95.1,96.5,85.6,70.7,199.9,121.4,115.9,72.5,74.6,67.8
113.8,71.9,100.5,48.5,70.5,59.2,100.7,107.6,145.9,181.4
124.7,52,44,35.8,56.8,58,64.1,93.9,216.2,254.5
88.7,122.5,86,85.2,162.8,109.5,135.4,66.9,66.1,76.9
117.6,60.5,46.8,40.9,150.4,63.5,84.4,122.5,143.2,170.2
85.7,114.5,72.5,146.9,163.9,157,86.3,71.4,54.6,47.2
119.8,59,76.1,54.8,80.3,73.8,105.9,108.2,128.2,193.9
74,114.2,200.2,70.3,74.4,44.3,309.9,36.6,45.4,30.7
99.2,127.7,134,80.2,114,65.1,108.2,77.4,93.7,100.5
111.9,77,69.9,58.2,62.4,51.7,53.4,141.6,168.3,205.6
95.1,100.9,86.6,92.3,104.9,100.8,89.8,103.2,112.1,114.2
103.7,46.1,45.4,45.2,101,84.5,76.5,127.7,200.7,169.1
105.3,116,85.5,90.8,141.7,129.9,89.5,56.4,60.1,124.9
88.1,106.8,69.3,73.5,177.1,145.1,118.4,69.3,70.2,82.2
93.8,94.1,68.3,92.8,124.6,148.7,88.1,93.1,115.4,81.2
70.3,88.3,46.3,86.2,175.5,192.7,100.1,64.4,105.6,70.7
72,134.1,58.1,110.4,164.7,165.9,106.1,54.5,82,52.3
101.6,98.5,79.8,66.1,114.8,117.2,115,87,118.6,101.4
65.2,119.6,68.7,107.9,199,194.2,118.8,42.9,47.4,36.4
79.2,103.8,54,79.9,173.4,193.9,125,61,75.1,54.8
99.5,108.9,63.1,102.7,133.4,148,97.6,66.4,79.9,100.6
88.7,101.8,129.3,87.5,114.8,95,141.5,71.8,89.6,79.9
111.6,67.3,97,69.7,108.5,89.5,108,113.4,118.4,116.6
87.7,147.6,102.8,146.3,130.3,132.9,78.6,54.5,63.6,55.6
97.3,110,150.1,138.8,75.5,103.5,95.3,86.7,77,65.8
75.3,150.1,78.4,150.6,139.2,129.3,94.2,62.4,61.6,58.9
101.8,102.1,138.9,144.8,80.3,102.1,92.8,80.2,75.9,81
94.1,91.3,88.3,119.3,120.2,127.4,90.2,97.7,87.6,83.8
103.1,85.1,90.2,61.7,150.4,89.1,107.2,103,104.1,106.1
101.7,95.8,98.7,68.7,113.7,68.7,110.3,124.9,102.9,114.6
88.7,183.1,135.4,181.2,66.8,92.3,70.2,62.6,56.7,63.2
92.4,117.8,148.9,174.1,67.9,155.3,114.1,48.2,44.6,36.8
88.2,160.9,121.6,201.7,68.7,138.7,79.4,57.6,43.7,39.5
82.5,101.5,82.4,98.9,149.9,145.1,106.6,66.8,83.9,82.3
93.5,128.8,99.6,111.3,108.1,109.2,88,85.1,97.9,78.5
95.2,74.9,71.1,157.1,108.6,169.4,102.5,99.8,67.9,53.4
91,120.9,90.2,165.5,75.4,172,86.7,73.8,65,59.5
83.7,184.4,109.3,176.9,73.1,166.1,82.8,43.4,40.8,39.4
91.4,129.8,119.3,138.9,112.7,127.9,99.9,62.8,61.8,55.3
103.6,136.4,114,135,89,78.9,67.6,100.5,93.2,81.7
100.2,163.9,178.6,152.9,72.3,79.8,86.8,52.9,55.7,56.8
92.8,135,143.6,153.6,102.3,106.1,85.7,67,57.7,56.3
85.9,137.2,130.1,182.2,88.3,126.4,85.4,68.7,47,48.8
113.8,58.8,82.1,46.4,68.7,64.2,77.2,122.9,219.6,146.3
90.8,177.1,162.2,140.2,88.5,70.6,63.8,75.3,67.3,64.2
93.6,95.5,63.4,122.5,145.3,114.1,79.6,118.6,88.9,78.5
85.6,153.7,127,145.9,115.4,108.9,86.1,63.1,60.8,53.6
110.1,84.5,94.1,108.8,68.2,80.7,95.7,132.9,108,117.2
110.3,82.2,140,154.6,71.7,99.8,84.2,111.6,68.6,77
92.8,143.9,77.2,90.4,140.7,133.9,105.9,86.2,70.7,58.3
74.2,177.2,112.5,135.2,109.6,98.8,114.5,63.7,57.7,56.7
88.5,128.6,83.2,122.2,126.8,147.9,96.7,82.3,69,54.9
90.3,124.9,94.4,128.3,125,129.2,91.8,79.1,73.6,63.4
99,97.3,137,86.7,102,89.7,126.4,71.7,99.5,90.7
98.9,117.7,119,107.7,126.9,105.7,91.8,79.2,80.4,72.7
107.3,89.4,169.6,94.8,79.7,82.6,106.2,77.5,103.1,89.7
101.2,81.2,123.5,118.7,94.8,123,113.1,92.5,81.4,70.5
99.9,87.3,131,129.5,82.1,126.1,96.5,85.7,91.1,70.9
103.1,75,62.9,87.1,99.5,107.2,88.1,145.2,127.6,104.3
99.7,97.5,84.9,123.2,106.9,95.5,81.3,111.7,97.6,101.8
85.5,184.1,59,131.2,116.3,118.3,69.8,97.3,73.5,64.9
91.6,127.1,67,116,123.6,137.6,85.7,111.9,78.1,61.3
91.9,111.9,61.1,120.6,124.9,130.5,82.3,121.4,84.1,71.3
94,109.7,98.5,121.6,101.6,104.3,98.9,106.3,91.6,73.6
92.9,102.2,71.1,130.5,130.8,146.2,81.7,104.7,74.4,65.6
97.2,106.2,71.8,103.5,122.8,117.7,81.5,114.3,96,89
90.3,103.6,79.3,114.4,129.4,145.2,96.3,92.7,80.6,68.1
95.1,115.7,90.2,129.1,121.4,107.6,85,96.3,83.2,76.4
103,88.9,84.3,118.6,109.6,114.5,82.8,113.6,96,88.8
86.8,142.3,102.9,184.1,111.2,92.9,68.3,78.8,70.2,62.6
100.1,80.8,73.1,107.7,119.1,118.3,79.6,136.6,100.7,84
98.2,97.9,98.5,119.2,107,101.7,80.4,132.6,90.7,73.7
104.2,71.2,88.6,83.3,83.5,81.4,74.9,176.4,119.2,117.3
76.8,66.8,67.6,85.5,119.3,131.4,147.2,124.9,96,84.6
103.5,96.5,119.8,98.3,87,90.4,96,101.1,105.9,101.5
99.2,110.6,85.7,105.1,130.4,119.7,107.1,73.2,81.1,87.9
110,67.5,57.5,62,95.4,84.7,75.5,129.4,167.2,150.6
87.7,111,87.2,81.2,175.9,117,122.8,73.8,76.5,66.8
88.6,100.9,67.1,69.6,182.4,104.9,123.5,86.5,91.5,84.9
95.1,136.6,88.3,115.8,126.4,120.4,102.1,63.8,68.1,83.3
71,130.6,96.1,108.6,171.3,107.6,119,73.4,71.5,50.9
109.6,82,150.5,67.2,62.5,74.4,97.7,118.5,130.7,106.9
92.4,106.4,70,73.4,205.6,125.1,109,74.6,69.9,73.7
90.3,133.5,84.6,98.7,174.2,119.6,102.3,65,66,65.8
99.8,118.4,91.8,103,113.5,93,91.3,96.3,90.3,102.8
89.2,127.4,78.4,160.1,108.8,115.9,75.7,114.9,79.4,50.3
102.7,86,138.9,184.4,65.8,82,68.1,102.7,86.4,83
74.2,102.5,82.3,122.4,121.2,117.9,122.5,105,76.1,76
101.5,76.1,83.2,61.6,113.8,92,103,153.4,105.1,110.3
