"Abundance: 126, Control, Pool, n/a",Caput 1 (127N),Caput 2 (127C),Caput 3 (128N),Corpus 1 (128C),Corpus 2 (129N),Corpus 3 (129C),Cauda 1 (130N),Cauda 2 (130c),Cauda 1 (131)
98.3,91.8,166.1,103.2,73,85.1,125.6,68.4,88.7,99.7
106.7,78.6,198.6,76.7,69.4,73.2,116.5,75.2,113.1,92.1
82.2,122.9,152.2,125.6,74.2,77,152.2,68.5,80,65.2
110,66.1,228.3,61.3,57.8,74.3,131.1,67.3,110.3,93.4
114.9,107.3,162,87.8,68.7,74.1,132.8,65.8,86.2,100.3
107.7,89.1,204.9,90,56.3,89.5,127.2,68.9,91.8,74.5
118.7,47.8,297.4,56.1,48.3,69.2,147.7,63.2,83,68.6
102,75.7,239.4,74.9,50.4,72.9,126.5,78,99.8,80.4
105.9,70.6,212,73.1,54.4,70.9,124.3,79.4,128.1,81.3
84.6,89.5,212,94.9,68.1,80.8,142.3,65.2,94.8,67.8
65.7,109.1,215.8,118,70.4,82.9,135.9,53.4,91.7,57.1
106.5,58.7,241,61.3,48.5,64.7,128.9,77.9,117.2,95.3
97.4,79.2,260.6,84,62.6,76.7,121.5,65.9,90.7,61.4
97.6,82.7,176.9,76.7,61.6,90.6,190.5,62.8,77.2,83.4
104.7,67.4,204.7,62.7,55.1,61.1,147.9,75.1,131,90.4
111.6,66.7,189.4,58,54.1,68.7,155.8,85.1,93.8,116.7
117.7,49.6,219.5,59.9,45.9,60.1,118.9,79.5,141.7,107.2
113,84.1,159.4,63.6,67.7,84.3,112.4,92.2,126.4,96.9
103.7,70,232.9,75.6,54.1,76.3,142.7,62.1,99.2,83.4
115.3,74.4,200.3,67,53,68.3,115.8,78.6,122.2,105.2
95.7,98.9,213.1,103.8,66.8,73.9,112.5,72.6,92.4,70.2
92.7,108.4,221.4,96.6,67.6,76.1,124.5,67.2,82,63.5
92.4,81.7,238.6,82,63.1,68.5,151.5,56.8,96.2,69.2
95.3,109.8,81.4,83.2,155.5,117.1,118.1,77.5,79.9,82.1
83.7,108.3,77.1,185.1,143,147.3,89,61.9,51.6,53
105.6,76.3,85.4,73.7,86.1,96.7,85.6,131.6,128.2,130.9
98.2,101.4,140.2,159.5,76.8,88.3,89.7,84.3,82.1,79.5
74,95.1,68.4,82.1,172.7,163.6,162.2,55.1,67.8,59.1
104,113.6,91.5,79.1,160.9,111.3,103.6,72,86.9,77
