NP_FM_1_1_50%,NP_FM_1_2_50%,NP_FM_3_1_50%,NP_FM_3_2_50%,NP_SM_1_1_50%,NP_SM_1_2_50%,NP_SM_3_1_50%,NP_SM_3_2_50%,NP_PM_1_1_50%,NP_PM_1_2_50%,NP_PM_3_1_50%,NP_PM_3_2_50%,NP_CM_1_1_50%,NP_CM_1_2_50%,NP_CM_3_1_50%,NP_CM_3_2_50%,NP_CTRL1_50%,NP_CTRL2_50%
676.1331581,175.889376,121.0306024,39.75059968,39472.52097,24426.14066,16243.39454,125424.8745,NA,220.1751444,290.0914848,762.8979965,1808.205578,673.1194924,255.0040736,76.34350777,696.092405,801.1936295
108718.1262,81838.91719,71125.11601,55747.71527,139401.4853,95154.17969,70692.90336,63679.67165,79852.8835,58710.21798,64086.33941,37656.88829,54915.88272,62746.14966,24768.08065,49361.82176,298855.4763,105846.7581
1021680.864,576702.8458,311760.4966,295952.8039,1174770.43,2545981.244,294904.7212,178403.8318,257170.8401,325865.3593,89675.83749,20290.26743,307765.2975,268817.3334,132257.0442,39352.25019,1189590.083,978151.5223
55596.66813,4742.850742,3807.297162,4858.12146,47027.10327,10338.51942,6665.900051,443.3905067,21978.25656,38880.59688,3609.643985,798.3621383,13376.54548,65293.95084,2317.672457,2252.194213,437782.9597,659645.4839
2294.022479,2569.691284,1947.717221,2119.603552,25833.10817,7579.360164,3025.300829,11468.17066,5616.545763,2963.63409,2828.108989,13154.37431,2047.095066,2609.224503,727.2277505,73.6483096,14700.41719,36410.44504
21663.49218,23309.66407,6440.190013,8077.60039,42652.63264,34726.67479,10297.13345,9166.139419,4067.928227,25347.99822,1435.962104,1242.54182,33565.49545,19338.99097,217.4377684,6922.542712,138183.6477,381495.6987
2308.934734,55293.10988,32190.86426,59986.58047,NA,398.2257767,2177.087036,NA,6500.673278,18025.67101,7715.870471,1090.855739,17433.61557,2189.833497,1657.798057,6893.331815,71.12422687,2243.050301
328215.1181,42368.88065,14920.56744,17657.84756,842997.6566,668182.2247,54005.07459,94288.32162,15395.52872,88805.52509,5446.965762,8445.017261,16851.35697,265725.7623,4275.548579,10676.62964,494103.3733,751799.7277
89335.33234,10711.63312,15372.42894,30309.84342,104167.8581,68066.69433,70757.00528,46554.84901,9050.683911,10473.73787,9434.698402,821.5348892,6052.581397,28502.5733,33924.65286,1401.754784,231584.7418,115948.7445
62027.60589,12148.19266,3796.374871,11750.39467,183715.3452,51913.43664,10047.09417,9567.791807,6046.885541,10349.72997,1092.598187,107.2077933,8656.227509,28527.40309,2470.744683,6394.070451,45548.46068,206987.5975
