norm_FC_126_Control_1,norm_FC_127L_Control_1,norm_FC_127H_Control_1,norm_FC_128L_Control_1,norm_FC_128H_Control_1,norm_FC_129L_Control_1,norm_FC_129H_Control_1,norm_FC_130L_Control_1,norm_FC_130H_Control_1,norm_FC_131_Control_1,norm_FC_126_Control_2,norm_FC_127L_Control_2,norm_FC_127H_Control_2,norm_FC_128L_Control_2,norm_FC_128H_Control_2,norm_FC_129L_Control_2,norm_FC_129H_Control_2,norm_FC_130L_Control_2,norm_FC_130H_Control_2,norm_FC_131_Control_2,norm_FC_126_Napabucasin_1,norm_FC_127L_Napabucasin_1,norm_FC_127H_Napabucasin_1,norm_FC_128L_Napabucasin_1,norm_FC_128H_Napabucasin_1,norm_FC_129L_Napabucasin_1,norm_FC_129H_Napabucasin_1,norm_FC_130L_Napabucasin_1,norm_FC_130H_Napabucasin_1,norm_FC_131_Napabucasin_1,norm_FC_126_Napabucasin_2,norm_FC_127L_Napabucasin_2,norm_FC_127H_Napabucasin_2,norm_FC_128L_Napabucasin_2,norm_FC_128H_Napabucasin_2,norm_FC_129L_Napabucasin_2,norm_FC_129H_Napabucasin_2,norm_FC_130L_Napabucasin_2,norm_FC_130H_Napabucasin_2,norm_FC_131_Napabucasin_2
0.474576049,0.437970395,0.478947772,0.489960673,0.585417301,0.777047494,0.919102301,0.794475338,0.991938075,0.998665182,0.409622473,0.455879299,0.432241003,0.463845566,0.559356964,0.662119641,0.788590721,0.89448857,1.031613816,0.998665182,0.345007215,0.462644802,0.401100805,0.488706832,0.592065695,0.867467713,0.88420834,0.966120639,1.001089257,0.998665182,0.349016515,0.387316919,0.454773522,0.491682444,0.619991767,0.787858108,0.932102203,0.996858902,0.99986651,0.998665182
0.174380473,0.233642325,0.248590753,0.285791572,0.483859436,0.681081047,0.882294315,0.933537151,1.017098321,0.998665182,0.130533357,0.186658304,0.20017703,0.24015973,0.361628939,0.681044557,0.884194268,1.02784944,0.94238701,0.998665182,0.13600705,0.176492965,0.263595348,0.291206776,0.406555141,0.658932661,0.964982454,0.909916918,0.946930883,0.998665182,0.130500617,0.177929791,0.195204496,0.243851093,0.373659237,0.624952925,0.890953632,0.932952067,1.08409413,0.998665182
,,,,,,,,,,,,,,,,,,,,0.116515185,0.166175154,0.234199452,0.354669181,0.526454409,0.774629389,0.859229927,0.900465263,0.922635948,0.998665182,0.16483415,0.208757534,0.292001847,0.411883344,0.576385606,0.836196045,0.928041759,0.980677375,1.007729656,0.998665182
0.237331457,0.274545624,0.388463683,0.398796897,0.538784365,0.730720085,0.970226807,1.161401223,0.994071987,0.998665182,0.246487281,0.353017169,0.401728783,0.502616413,0.519211682,0.915811714,0.889100544,0.965546826,0.979418365,0.998665182,0.169734147,0.243444108,0.314249692,0.353864437,0.442994695,0.665141412,0.892046537,0.984212083,1.02366715,0.998665182,0.275592355,0.359309513,0.421590294,0.515961905,0.564906062,0.805338505,1.032944206,1.042876572,1.048422545,0.998665182
0.035215809,0.031918168,0.05330865,0.054377971,0.04527277,0.08149433,0.268232474,0.471757204,0.810004981,0.998665182,0.045640157,0.0688253,0.056971007,0.071734028,0.086818369,0.212787092,0.26138236,0.576761452,0.849262011,0.998665182,0.097015729,0.118857195,0.142446606,0.137025111,0.166248107,0.281208013,0.370729729,0.625156288,0.846892039,0.998665182,0.073045757,0.094525642,0.105436175,0.164672554,0.166954802,0.238160596,0.379484245,0.607173977,0.894663575,0.998665182
0.318167366,0.305853784,0.371381733,0.402617664,0.49132604,0.6160408,0.753411039,0.884370669,0.982751514,0.998665182,0.305662776,0.321456305,0.413665638,0.431619095,0.503463472,0.658421004,0.75912369,0.8944353,0.992299985,0.998665182,0.218397104,0.283030275,0.350946323,0.418598615,0.497397499,0.679647809,0.784085162,0.92267024,0.990183307,0.998665182,0.257727997,0.378985781,0.419108126,0.479182545,0.529423319,0.684213889,0.825350683,0.910045495,0.960155129,0.998665182
0.062217313,0.081611837,0.077283498,0.20572867,0.328003328,0.443428756,0.864492581,0.350517842,0.675962708,0.998665182,0.158986786,0.128237991,0.221940621,0.262880394,0.379119024,0.485796054,0.653159911,0.708417624,0.915519004,0.998665182,0.033749951,0.071915429,0.164899234,0.46975043,0.844972631,1.245637389,0.970639491,1.057600913,1.160642241,0.998665182,0.098229387,0.140317716,0.166931887,0.361157102,0.488648024,0.734399493,0.886089274,0.888011937,0.844926256,0.998665182
,,,,,,,,,,0.540154304,0.596863922,0.613293146,0.679975422,0.806040923,1.141582267,1.073386311,1.141377114,1.024436232,0.998665182,,,,,,,,,,,0.767115354,0.785805869,0.743480019,0.789856117,0.909405383,0.956049615,1.021741743,1.050101596,1.017670433,0.998665182
0.491454313,0.382724567,0.493882194,0.469122721,0.813557823,0.88712684,0.975945915,2.482796816,1.024888343,0.998665182,0.178817564,0.265781408,0.317465636,0.564698136,0.594145322,2.008187055,0.890994505,1.04600342,0.965418071,0.998665182,0.249781815,0.389887224,0.465864506,0.602831929,0.698002594,0.809463217,0.940485702,0.974137075,0.965475915,0.998665182,0.374382341,0.519934563,0.486974362,0.699113061,0.711556743,0.819643358,0.991658378,0.96235377,1.008687053,0.998665182
,,,,,,,,,,0.176199949,0.526334469,0.358691432,0.45491235,0.338528406,1.170087984,0.83040841,1.119164723,0.990491634,0.998665182,0.25659246,0.306012254,0.445986146,0.766431134,0.853998198,1.029278511,1.083251009,1.017402595,0.988083147,0.998665182,0.456052829,0.613130811,0.953001948,0.885575113,0.63881715,1.366990406,1.366122998,1.337522357,1.324375044,0.998665182
0.264711636,0.764912781,1.012340654,1.139380506,1.436801038,1.245507244,1.323904005,1.78933224,1.243135987,0.998665182,0.226020582,0.598050433,0.967416744,1.073019632,1.119905854,1.26919081,1.178503737,1.180915892,1.00454793,0.998665182,0.172994897,0.531165121,0.825131569,1.054996386,1.122303599,1.178947243,1.147316871,1.096315522,0.97191683,0.998665182,0.178766738,0.497228243,0.773699937,0.96322499,0.993002135,1.002442645,1.136897933,0.937200583,0.983715506,0.998665182
,,,,,,,,,,0.38532041,0.371618757,0.501563042,0.453769515,0.601100192,0.512782488,0.788516176,0.773277454,0.889464768,0.998665182,0.513534406,0.650833137,0.570734857,0.617556154,0.750861966,1.000956212,1.007383906,1.082675228,1.034128292,0.998665182,0.210972752,0.271375376,0.371658251,0.458503541,0.747448186,0.870685627,0.89152672,1.033090771,1.055751533,0.998665182
0.269661978,0.319007681,0.380538464,0.487409454,0.707287919,0.933035533,0.995864748,1.111548849,1.005891815,0.998665182,0.157799481,0.188391377,0.230704205,0.319897889,0.546264812,0.661315444,0.851689568,0.952475415,0.960638295,0.998665182,0.15858132,0.225964115,0.278477772,0.412789225,0.627556824,0.842807703,0.95217923,0.963856174,0.981216056,0.998665182,0.166111598,0.226668783,0.275296227,0.425778943,0.590392679,0.793193542,0.880853048,0.939863919,0.967763115,0.998665182
0.606693448,0.393253633,1.036043136,0.72432388,1.518549909,1.681032976,1.729483763,3.007427962,1.217518071,0.998665182,0.184787135,0.223369764,0.244053542,0.36835604,0.609926668,0.817360181,0.831154989,0.94277317,0.978310202,0.998665182,0.279990158,0.277805838,0.354335831,0.553349254,0.845534297,0.944858589,1.077481366,1.01614942,1.036477223,0.998665182,0.325969334,0.291175748,0.382630453,0.612382854,1.025263098,1.088411025,1.148446392,1.096979735,1.078266485,0.998665182
0.192449854,0.193562702,0.218018411,0.253765752,0.34807811,0.494163999,0.678105972,0.781112811,0.976320902,0.998665182,0.158977594,0.176411942,0.227284236,0.325829074,0.40642278,0.695753486,0.749196547,0.949853068,0.956342786,0.998665182,0.170464692,0.194968581,0.245071896,0.29961802,0.422514092,0.597598214,0.766859716,0.883661137,0.929021309,0.998665182,0.139749606,0.174706023,0.236538662,0.320423026,0.447163418,0.599946501,0.793866449,0.873775047,0.995745669,0.998665182
0.335636735,0.425947152,0.254401364,0.405287478,0.828857563,2.319948855,2.164965436,1.78498743,1.184638629,0.998665182,0.103671106,0.169133657,0.208437214,0.275620003,0.501997457,0.927411158,0.904504997,1.020026265,0.986491724,0.998665182,0.129206863,0.15304261,0.180261155,0.288455462,0.477221636,0.945520117,0.887800515,1.015852664,0.95249402,0.998665182,0.117901013,0.104992839,0.15254361,0.210027552,0.421806416,0.657089698,0.830470747,0.947693688,0.865919712,0.998665182
0.131790661,0.092076579,0.125364176,0.141063489,0.210801027,0.35028492,0.704066215,0.86293847,1.032500648,0.998665182,0.125700353,0.125509755,0.144271792,0.181585029,0.269402753,0.469599861,0.70559291,0.962302742,0.971205577,0.998665182,0.133625349,0.147335772,0.162480289,0.187577832,0.250331804,0.432431942,0.780961037,0.948948906,0.931223892,0.998665182,0.13024607,0.15029,0.181819275,0.216045437,0.27357137,0.429457697,0.778661145,0.940363906,1.03512122,0.998665182
0.168550609,0.174104827,0.18951822,0.222562513,0.356639349,0.501720323,0.719212695,0.778683468,0.995602997,0.998665182,0.129279318,0.125348707,0.138854758,0.17120308,0.251778925,0.547803846,0.562386441,0.77031905,0.870583525,0.998665182,0.122455909,0.180880569,0.241189954,0.336207217,0.431686751,0.625694201,0.768080137,0.867634128,0.928269397,0.998665182,0.138701532,0.150247609,0.170535586,0.215858773,0.337398171,0.494613087,0.696335067,0.818645751,0.900369349,0.998665182
0.106707729,0.093552099,0.108818171,0.126633213,0.224014789,0.473611801,0.7115805,0.833830787,0.945556229,0.998665182,0.739612199,0.636766141,0.432787491,0.355989494,0.372525574,0.569659213,0.625395787,0.807648885,0.929162823,0.998665182,0.167035887,0.19601971,0.221125993,0.265079853,0.327076147,0.536972557,0.704555742,0.874531117,1.028169587,0.998665182,0.59584907,0.485826401,0.386591028,0.374994808,0.393927468,0.502768926,0.720664373,0.827228358,0.898718448,0.998665182
0.585354919,0.403252435,0.811799013,0.665581441,0.447890468,0.433056123,0.554656591,0.528657085,0.97966206,0.998665182,0.478684033,0.651351455,0.628584471,0.690729284,0.614073317,0.600858026,0.782988858,0.904279339,1.071187391,0.998665182,0.347006922,0.403314565,0.491771072,0.560765182,0.681702069,0.82449511,0.817798642,0.925025951,0.967970225,0.998665182,0.432856235,0.322471384,0.481702769,0.558910725,0.621637547,0.786425023,0.926746656,0.975904974,0.984674961,0.998665182
,,,,,,,,,,,,,,,,,,,,0.210155344,0.399892399,0.515255089,0.660293038,0.785048675,1.004089834,0.92401646,0.973835297,0.920358515,0.998665182,0.315919595,0.418552612,0.633138687,0.750147695,0.817182158,0.952926032,1.026642841,1.027962885,1.015711454,0.998665182
0.16899574,0.155657627,0.368830262,0.507551185,0.810862767,1.267445461,1.097395278,1.065493595,1.029161798,0.998665182,0.229888139,0.310118599,0.408005869,0.550019152,0.643818585,0.853582614,0.86978311,0.953801081,1.021843168,0.998665182,0.184637546,0.26757475,0.392713132,0.433449512,0.576053409,0.726154852,0.898615826,0.849211644,1.000576329,0.998665182,0.315326284,0.339461177,0.355485155,0.465139244,0.506521426,0.757105339,0.847680022,0.953189526,0.970401656,0.998665182
0.093389596,0.083168356,0.129652538,0.210059396,0.740270893,0.980455386,1.115096498,1.100894596,1.061207614,0.998665182,,,,,,,,,,,0.113164698,0.080793564,0.107749539,0.199460825,0.631492952,0.856779682,0.957683662,1.020206229,1.063484937,0.998665182,0.118425133,0.143972363,0.231526971,0.45550392,0.597030204,0.803820285,1.027147583,0.94436599,0.957041737,0.998665182
,,,,,,,,,,0.795305669,0.955452953,0.985446928,0.743597301,0.655985037,0.631817647,0.87418076,0.895175626,1.150410761,0.998665182,0.462915674,0.566287022,0.662853836,0.584934577,0.669719438,0.724202081,0.860250855,0.951243632,0.93349247,0.998665182,0.391410003,0.399836232,0.463667977,0.52393876,0.545958184,0.662706356,0.787997732,0.882058017,0.967566136,0.998665182
0.049665819,0.066190145,0.093911406,0.141398798,0.210214692,0.444389293,0.638694438,0.715272354,0.932886783,0.998665182,0.102071443,0.128875406,0.175847559,0.193553589,0.296666131,0.446258569,0.58078171,0.807088127,0.90314323,0.998665182,0.114631118,0.165966194,0.1893061,0.237030534,0.309542203,0.483261655,0.583062298,0.745444825,0.883858074,0.998665182,0.113691523,0.136452988,0.173013769,0.222588977,0.287689366,0.415367844,0.588501247,0.733086527,0.897625998,0.998665182
,,,,,,,,,,0.294418606,0.447693303,0.428482611,0.536028038,0.508518691,0.885926824,0.750634094,0.865735403,0.881986773,0.998665182,0.205288323,0.275036625,0.294342088,0.347642543,0.462342298,0.659546072,0.778439625,0.903916514,0.955553837,0.998665182,0.202888444,0.258245644,0.250416788,0.320747603,0.358149706,0.470154648,0.580251486,0.782032522,0.842851022,0.998665182
0.096757173,0.236123749,0.145144647,0.385586482,0.415927407,0.648862788,0.949175352,0.891083462,0.936683934,0.998665182,0.11155121,0.250324595,0.353595221,0.427994117,0.619399743,0.793531423,0.907058901,0.978544641,0.994572934,0.998665182,0.107292359,0.152902863,0.177082777,0.252106137,0.412600146,0.680203926,0.880393456,0.947161819,0.985506356,0.998665182,0.103298664,0.14220161,0.157884963,0.247219748,0.432295443,0.700840076,0.877705498,0.939128499,1.007905004,0.998665182
0.208147276,0.173720316,0.216834431,0.328509169,0.586362656,0.599712026,0.741623046,0.91294235,1.093548642,0.998665182,0.312563354,0.380027765,0.392779628,0.438799994,0.53095555,0.69215976,0.869925714,0.984899087,0.980070593,0.998665182,0.184350578,0.199645231,0.229767678,0.270485032,0.377437421,0.607814988,0.811447179,0.884042395,0.9289791,0.998665182,0.222439507,0.271249457,0.26317515,0.346741157,0.441054632,0.60103993,0.855452299,0.910025134,0.970253774,0.998665182
0.16647704,0.1664885,0.274262636,0.437047306,0.722523992,0.823141814,0.894956828,0.864823746,0.964847268,0.998665182,0.091607842,0.127834057,0.212961658,0.356440021,0.511275884,0.912593683,0.87110969,0.92069205,0.960570624,0.998665182,0.080046907,0.112107289,0.218146027,0.389110422,0.557504997,0.752049727,0.809809235,0.913745157,0.974100886,0.998665182,0.183488726,0.243266216,0.467674895,0.642542591,0.789084615,0.908735786,1.008113375,0.963774122,0.945373973,0.998665182
,,,,,,,,,,0.042645671,0.122595299,0.094123717,0.168526747,0.261004545,0.639567212,0.541322379,0.742690556,0.835362731,0.998665182,,,,,,,,,,,,,,,,,,,,
0.085554898,0.064168738,0.146932359,0.086775061,0.20646067,0.358732004,0.531239869,0.557576778,0.922266354,0.998665182,0.112221333,0.098919892,0.096958688,0.092732591,0.131228595,0.248186781,0.311156914,0.499212774,0.762382056,0.998665182,0.061234321,0.086504913,0.093060258,0.126020754,0.187417035,0.309321366,0.387616408,0.545168551,0.818707768,0.998665182,0.397213576,0.357258897,0.279949749,0.340019749,0.371626339,0.449095322,0.627332009,0.739624091,0.832999244,0.998665182
