WT1,WT2,WT3,WT4,WT5,WT6,WT7,Ob1,Ob2,Ob3,Ob4,Ob5,Ob6,Ob7
10.14041233,14.50413799,13.86590672,14.3942728,11.48553753,14.07546997,8.190321922,8.622708321,13.49159241,10.11299801,13.59286118,8.638130188,8.807626724,13.44344807
12.68950081,10.36863518,12.22384167,8.014825821,12.53764439,13.35002232,12.82800484,8.281141281,10.27943134,9.582567215,9.693284035,7.458792686,8.042700768,10.32384205
13.33261967,13.57192898,13.56309128,12.47293568,12.23304749,12.43955898,8.452866554,12.1182127,9.250173569,10.62371159,11.72854042,11.51907349,9.293437958,9.560823441
14.43981552,15.86856174,13.67488956,13.42150688,13.69003677,13.77457714,12.89287186,13.44674587,12.43476105,12.91510963,14.08156204,12.95698071,12.5615015,13.77811146
14.14720249,13.45331669,13.56393623,13.9963665,14.09795952,15.27065849,13.80591583,13.79072762,15.16887093,12.58086681,14.51379204,8.437943459,8.330523491,9.571177483
11.14488697,11.50750542,13.46911716,12.15618515,8.018181801,12.8517065,11.67376518,10.2847662,9.467978477,10.37744045,12.63760471,10.42476273,6.448923111,9.685723305
12.81576252,13.40997791,14.38893414,11.74803829,10.4787674,12.8272438,11.74135494,8.966030121,11.4104929,12.30638313,14.54353333,9.527895927,11.85279369,9.048027039
14.78412437,15.28013039,11.77258492,13.46221638,10.40380192,14.58565807,13.81735802,14.70721149,13.50810432,14.47698212,13.62650585,13.11234379,9.524025917,14.06644058
8.873901367,13.05005074,9.306797981,7.485527992,10.47959328,13.75325489,12.9853611,12.70786285,7.201509476,9.660987854,11.58854961,9.664132118,12.36648369,11.31981945
18.0242672,19.4331646,17.30043221,17.82872581,18.37268066,19.33143997,17.58963966,19.05749512,16.87003517,17.30025291,19.15060043,17.41625977,17.00228119,16.72805214
17.85642242,19.76077843,19.85229301,19.90864754,19.32884026,19.62436295,19.15159988,19.28017044,19.12715721,18.02698517,20.12007332,19.73171997,19.64122581,19.70337486
8.753878593,13.45774364,13.79069901,12.83935738,12.46864796,12.82559204,8.727171898,9.84573555,13.46796513,11.66033459,11.87681484,13.26880264,12.14156055,10.35369587
15.25232124,16.53783035,15.82727909,15.22718525,15.01652718,16.03640938,15.82586288,14.4089489,14.14146328,14.57463074,15.65328407,15.05556965,14.97868443,13.43208122
14.88604546,15.00221062,14.20022106,14.87776566,14.31789589,15.59653759,13.97040176,14.0259161,16.08738708,13.12700653,14.35998917,13.77212048,12.58774662,13.60189056
15.55947781,13.6953249,13.10978603,13.24605656,13.71464443,13.93775082,11.64995384,12.68773079,12.54753685,13.06122303,13.57710838,11.69940853,11.2318325,12.71848202
15.21979141,14.25436115,12.39599514,12.44603157,14.63288212,15.20491982,13.5401659,10.54427242,12.78328609,13.75152969,13.97432232,13.87792397,13.00633812,14.17590237
19.16319084,19.42150116,19.32241249,19.25415611,19.745821,20.18875885,19.25315285,19.15335274,18.38564301,18.2417717,20.05287361,18.99588013,19.37946892,19.54759026
20.07855415,19.96857262,20.60932732,20.01389694,20.59955597,20.2818222,20.3484745,19.18434715,18.90118217,19.15632248,19.66769028,18.29117203,20.42030144,19.34178734
19.33214378,20.96706772,19.38874054,19.03081512,20.27219582,20.27914047,20.02100945,19.64416695,18.33485794,18.25740623,19.79611969,19.21225739,17.8381424,18.60749435
