Intensity,Intensity L,Intensity H,Intensity A,Intensity L A,Intensity H A,Intensity B,Intensity L B,Intensity H B
2272700000,1461900000,810760000,1529600000,1059100000,470480000,743060000,402780000,340280000
NA,NA,NA,NA,NA,NA,NA,NA,NA
399030000,229570000,169470000,249340000,132590000,116750000,149690000,96979000,52716000
174760000,95459000,79298000,174760000,95459000,79298000,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
69177000,39380000,29796000,NA,NA,NA,69177000,39380000,29796000
31108000000,19047000000,12061000000,19125000000,14225000000,4900200000,11983000000,4821900000,7161000000
126550000,88607000,37946000,126550000,88607000,37946000,NA,NA,NA
4709300000,2804500000,1904900000,1859700000,1053800000,805980000,2849600000,1750700000,1098900000
1042000000,590350000,451690000,600330000,214550000,385770000,441700000,375790000,65910000
218120000,164450000,53672000,205920000,157010000,48903000,12207000,7439000,4768300
36988000,22054000,14934000,9468100,6256900,3211200,27520000,15797000,11723000
NA,NA,NA,NA,NA,NA,NA,NA,NA
915010000,833910000,81103000,NA,NA,NA,915010000,833910000,81103000
22800000000,12407000000,10393000000,12167000000,5133200000,7033500000,10633000000,7273500000,3359700000
11387000000,6647100000,4739700000,7202700000,4965000000,2237700000,4184100000,1682100000,2502000000
144770000,73937000,70832000,144770000,73937000,70832000,NA,NA,NA
5393900000,3267500000,2126500000,2794100000,1625900000,1168200000,2599800000,1641600000,958220000
263810000,175240000,88566000,184630000,120830000,63799000,79177000,54410000,24767000
65350000,49038000,16312000,65350000,49038000,16312000,NA,NA,NA
1942400000,1097800000,844630000,1076200000,707070000,369140000,866240000,390750000,475490000
468330000,290760000,177570000,295790000,168340000,127440000,172550000,122420000,50126000
1811400000,1093200000,718140000,1148600000,709160000,439490000,662740000,384080000,278660000
1324600000,876910000,447660000,834320000,633740000,200580000,490250000,243180000,247080000
8225300000,172360000,8053000000,8042500000,30475000,8012000000,182820000,141890000,40930000
794350000,404070000,390270000,613190000,277640000,335550000,181150000,126430000,54720000
81248000,71335000,9913000,81248000,71335000,9913000,NA,NA,NA
2327300000,1491300000,836080000,1524200000,1149100000,375060000,803150000,342130000,461020000
306110000,259820000,46285000,306110000,259820000,46285000,NA,NA,NA
20016000,13822000,6194700,20016000,13822000,6194700,NA,NA,NA
45112000,42390000,2722900,45112000,42390000,2722900,NA,NA,NA
10907000000,6875600000,4031100000,5370400000,4420600000,949820000,5536300000,2455000000,3081300000
126140000,89327000,36813000,33138000,25091000,8046900,93003000,64237000,28767000
2873200000,1802300000,1070800000,1657000000,1069800000,587180000,1216200000,732550000,483630000
10347000000,6971300000,3375900000,3138500000,1457900000,1680500000,7208800000,5513400000,1695400000
33558000000,19578000000,13980000000,18806000000,11051000000,7755000000,14753000000,8527800000,6224800000
3123800000,1857400000,1266300000,1818500000,921460000,897080000,1305200000,935970000,369240000
681890000,391120000,290770000,379420000,229460000,149960000,302470000,161670000,140810000
2867300000,1804400000,1062800000,1793700000,1155700000,637940000,1073600000,648720000,424910000
10763000000,4105500000,6657400000,5267900000,1882800000,3385100000,5494900000,2222600000,3272300000
66229000,39541000,26687000,66229000,39541000,26687000,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
1644800000,969240000,675600000,974130000,565370000,408760000,670710000,403860000,266850000
2422100000,1338900000,1083200000,1505400000,685040000,820360000,916750000,653900000,262850000
NA,NA,NA,NA,NA,NA,NA,NA,NA
118660000,82909000,35749000,118660000,82909000,35749000,NA,NA,NA
1853000000,1107400000,745610000,668920000,464600000,204320000,1184100000,642830000,541300000
13341000000,7077800000,6263100000,7373300000,2602900000,4770500000,5967600000,4475000000,1492600000
49327000,30994000,18333000,35643000,21246000,14397000,13684000,9748700,3935700
303250000,216960000,86288000,190570000,104280000,86288000,112680000,112680000,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
201850000,122770000,79079000,78723000,44726000,33997000,123130000,78044000,45082000
43957000000,26339000000,17618000000,24508000000,16339000000,8168500000,19450000000,10000000000,9449600000
635770000,492010000,143760000,635770000,492010000,143760000,NA,NA,NA
86513000,54917000,31596000,NA,NA,NA,86513000,54917000,31596000
1347600000,722350000,625280000,514950000,301950000,213000000,832680000,420400000,412280000
49087000,40537000,8550400,49087000,40537000,8550400,NA,NA,NA
39625000000,25432000000,14194000000,22793000000,20005000000,2788600000,16832000000,5427300000,11405000000
2313600000,1466000000,847650000,1879300000,1207700000,671560000,434340000,258250000,176090000
256740000,191210000,65530000,202560000,166760000,35798000,54183000,24451000,29732000
23587000,14627000,8960800,NA,NA,NA,23587000,14627000,8960800
284830000,152810000,132020000,20465000,12221000,8244100,264370000,140590000,123780000
878130000,359330000,518810000,454730000,164920000,289810000,423400000,194400000,229000000
486530000,295780000,190750000,304670000,184580000,120090000,181860000,111200000,70659000
4066900000,2600500000,1466400000,2355300000,1749200000,606070000,1711600000,851330000,860280000
516010000,403820000,112190000,77606000,31377000,46229000,438410000,372440000,65963000
24592000,12684000,11908000,15426000,7438600,7987300,9165900,5245400,3920500
72699000,18854000,53845000,NA,NA,NA,72699000,18854000,53845000
1381300000,816620000,564690000,1029600000,592570000,436990000,351750000,224050000,127700000
2320900000,1157800000,1163100000,149270000,103470000,45796000,2171600000,1054300000,1117300000
28489000,21853000,6635600,28489000,21853000,6635600,NA,NA,NA
93315000,57876000,35439000,NA,NA,NA,93315000,57876000,35439000
250160000,182480000,67682000,179170000,133720000,45447000,70994000,48760000,22235000
7424700000,4156000000,3268700000,3706600000,2285600000,1421000000,3718100000,1870400000,1847700000
2055400000,1346200000,709180000,1488900000,1054300000,434560000,566510000,291890000,274620000
34338000000,20183000000,14155000000,20937000000,11810000000,9126900000,13401000000,8372400000,5028200000
157460000,110590000,46871000,NA,NA,NA,157460000,110590000,46871000
20937000,13092000,7844800,NA,NA,NA,20937000,13092000,7844800
2845200000,1565400000,1279800000,1955000000,932360000,1022700000,890150000,633010000,257140000
34808000000,18370000000,16438000000,20597000000,8818500000,11778000000,14211000000,9551700000,4659800000
284110000,184310000,99806000,166730000,105690000,61037000,117380000,78615000,38769000
2227200000,1288500000,938760000,1044500000,461700000,582840000,1182700000,826750000,355920000
590210000,366690000,223520000,319820000,310780000,9037900,270390000,55908000,214480000
13734000000,7821100000,5913400000,8277500000,4723800000,3553700000,5457000000,3097300000,2359700000
NA,NA,NA,NA,NA,NA,NA,NA,NA
31698000,31698000,NA,31698000,31698000,NA,NA,NA,NA
1.71E+11,1.01E+11,69940000000,75284000000,43090000000,32195000000,95824000000,58079000000,37745000000
600170000,286600000,313580000,364820000,91452000,273370000,235350000,195150000,40210000
43151000,30315000,12836000,15557000,11186000,4371000,27593000,19128000,8465300
26496000,18702000,7793700,8312200,6942600,1369600,18183000,11759000,6424000
464230000,168470000,295760000,180090000,112180000,67901000,284150000,56291000,227850000
700550000,340720000,359830000,674410000,334420000,339990000,26143000,6295800,19847000
69437000,40615000,28822000,55401000,29401000,25999000,14036000,11213000,2822700
5868800,NA,5868800,NA,NA,NA,5868800,NA,5868800
1259000000,830120000,428890000,760680000,438140000,322550000,498330000,391990000,106340000
82756000,64283000,18473000,NA,NA,NA,82756000,64283000,18473000
28410000,28410000,NA,NA,NA,NA,28410000,28410000,NA
61631000000,35078000000,26553000000,37362000000,19250000000,18112000000,24269000000,15827000000,8441600000
19775000000,12501000000,7273300000,10088000000,6002900000,4085200000,9686500000,6498400000,3188100000
192220000,131100000,61118000,79859000,41700000,38160000,112360000,89400000,22959000
28363000000,17856000000,10506000000,18067000000,12588000000,5478900000,10296000000,5268800000,5027300000
163610000,110440000,53173000,110100000,75496000,34601000,53516000,34944000,18572000
12361000000,6870300000,5490300000,7053600000,3911600000,3142100000,5306900000,2958700000,2348200000
52322000,40561000,11761000,NA,NA,NA,52322000,40561000,11761000
39515000,24397000,15118000,26420000,21913000,4507500,13095000,2484500,10610000
149760000,96710000,53045000,138740000,85699000,53045000,11011000,11011000,NA
45686000,32083000,13602000,NA,NA,NA,45686000,32083000,13602000
188110000,108800000,79310000,41208000,18967000,22241000,146900000,89835000,57069000
973010000,637720000,335290000,437020000,375850000,61172000,535980000,261870000,274110000
570930000,385490000,185430000,78034000,18703000,59331000,492890000,366790000,126100000
923740000,617830000,305910000,244280000,115550000,128730000,679460000,502280000,177180000
14825000,14825000,NA,14825000,14825000,NA,NA,NA,NA
309040000,217030000,92007000,57880000,29423000,28457000,251160000,187610000,63550000
483100000,291920000,191180000,288600000,143460000,145140000,194500000,148460000,46046000
24373000,15222000,9150900,18300000,11835000,6464500,6072800,3386400,2686400
186830000,112190000,74642000,74240000,34101000,40139000,112590000,78084000,34504000
695580000,453480000,242100000,550310000,364360000,185960000,145270000,89126000,56144000
171490000,59692000,111790000,156810000,50130000,106680000,14672000,9561900,5110500
526910000,316160000,210750000,247320000,157500000,89823000,279590000,158660000,120930000
1042700000,757340000,285330000,831800000,656010000,175790000,210860000,101330000,109530000
73087000,38423000,34664000,73087000,38423000,34664000,NA,NA,NA
112670000,89442000,23231000,103950000,80723000,23231000,8718900,8718900,NA
160310000,77940000,82367000,160310000,77940000,82367000,NA,NA,NA
71202000000,41624000000,29578000000,42663000000,22138000000,20525000000,28538000000,19485000000,9052800000
170850000,118560000,52291000,170850000,118560000,52291000,NA,NA,NA
57964000,46971000,10993000,57964000,46971000,10993000,NA,NA,NA
3075000000,1877300000,1197700000,1315100000,673980000,641080000,1760000000,1203400000,556610000
389790000,260140000,129650000,169880000,128050000,41829000,219910000,132090000,87822000
12416000000,6694400000,5721800000,6504900000,2280300000,4224500000,5911400000,4414100000,1497300000
563720000,258910000,304810000,563720000,258910000,304810000,NA,NA,NA
1294900000,825760000,469140000,759100000,535010000,224090000,535800000,290750000,245050000
651880000,361140000,290730000,651880000,361140000,290730000,NA,NA,NA
114030000,60558000,53477000,114030000,60558000,53477000,NA,NA,NA
3890600000,2441500000,1449100000,1970000000,1202000000,767970000,1920600000,1239500000,681110000
110930000,81800000,29135000,110930000,81800000,29135000,NA,NA,NA
862760000,405860000,456890000,862760000,405860000,456890000,NA,NA,NA
139160000,116680000,22479000,75467000,75467000,NA,63697000,41217000,22479000
191000000,151300000,39702000,164130000,139860000,24275000,26865000,11438000,15428000
145220000,112580000,32640000,47400000,41436000,5963600,97816000,71140000,26676000
122270000,71048000,51217000,65927000,44755000,21172000,56339000,26293000,30045000
275520000,184820000,90700000,109310000,81689000,27623000,166210000,103130000,63077000
746240000,522220000,224020000,484120000,372040000,112080000,262120000,150180000,111940000
26199000000,17644000000,8555600000,11147000000,4133200000,7013900000,15052000000,13510000000,1541700000
62087000,34962000,27125000,62087000,34962000,27125000,NA,NA,NA
72038000,55565000,16473000,NA,NA,NA,72038000,55565000,16473000
639010000,366870000,272140000,346630000,182220000,164410000,292380000,184650000,107720000
4839500000,2760000000,2079500000,1030200000,554010000,476240000,3809200000,2206000000,1603300000
126360000,87078000,39278000,NA,NA,NA,126360000,87078000,39278000
6063400000,3830300000,2233100000,2982800000,1984600000,998230000,3080600000,1845700000,1234900000
528000000,329620000,198390000,405690000,254110000,151590000,122310000,75508000,46800000
49252000,30030000,19222000,NA,NA,NA,49252000,30030000,19222000
78763000,54820000,23943000,64965000,48515000,16450000,13798000,6305200,7492800
283780000,198190000,85593000,164220000,113730000,50491000,119570000,84463000,35102000
2619700000,1409700000,1209900000,1283900000,807530000,476340000,1335800000,602190000,733600000
5297800000,3094300000,2203500000,2658300000,1561400000,1096900000,2639600000,1532900000,1106600000
52181000,20937000,31245000,NA,NA,NA,52181000,20937000,31245000
268120000,182280000,85837000,252780000,174060000,78717000,15343000,8222100,7120500
NA,NA,NA,NA,NA,NA,NA,NA,NA
1340000000,816040000,523960000,741640000,373510000,368130000,598370000,442530000,155830000
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
20288000000,12874000000,7414000000,8290400000,5786600000,2503800000,11998000000,7087600000,4910200000
146150000,67817000,78332000,146150000,67817000,78332000,NA,NA,NA
3148600000,1992900000,1155600000,1272100000,705360000,566750000,1876500000,1287600000,588870000
NA,NA,NA,NA,NA,NA,NA,NA,NA
954980000,545370000,409610000,746330000,407310000,339020000,208650000,138060000,70585000
67621000,45500000,22121000,37071000,26062000,11009000,30550000,19438000,11112000
192450000,88296000,104160000,77788000,41620000,36168000,114670000,46676000,67991000
NA,NA,NA,NA,NA,NA,NA,NA,NA
45944000,39597000,6346900,NA,NA,NA,45944000,39597000,6346900
NA,NA,NA,NA,NA,NA,NA,NA,NA
77678000,45148000,32530000,47835000,30564000,17271000,29843000,14585000,15258000
3945000000,2482600000,1462300000,2847800000,1763200000,1084700000,1097200000,719480000,377680000
5203500000,3044500000,2159000000,2262300000,1516700000,745640000,2941200000,1527800000,1413400000
466960000,302400000,164570000,392040000,261050000,130980000,74928000,41343000,33585000
1917200000,1233900000,683270000,1269900000,899260000,370600000,647350000,334670000,312680000
161870000,107080000,54792000,34357000,14981000,19375000,127520000,92100000,35416000
NA,NA,NA,NA,NA,NA,NA,NA,NA
640560000,467210000,173350000,212000000,64110000,147890000,428550000,403100000,25455000
263040000,143880000,119160000,241630000,128460000,113170000,21413000,15417000,5996000
772000000,551770000,220230000,336170000,240120000,96055000,435820000,311650000,124170000
106630000,61790000,44838000,35941000,21993000,13948000,70686000,39797000,30889000
321890000,266870000,55025000,296740000,250300000,46448000,25147000,16571000,8576500
665300000,393280000,272020000,440800000,238000000,202800000,224500000,155280000,69222000
3030700000,1848900000,1181800000,1285300000,594650000,690660000,1745400000,1254200000,491180000
108580000,58378000,50199000,62317000,49034000,13283000,46260000,9344400,36915000
1231300000,613070000,618230000,899230000,464480000,434750000,332070000,148590000,183480000
3503000000,2121500000,1381400000,2512000000,1546000000,965920000,990990000,575470000,415520000
94254000,59382000,34872000,69177000,38280000,30897000,25077000,21102000,3974600
270250000,186570000,83684000,169490000,125960000,43526000,100760000,60604000,40157000
NA,NA,NA,NA,NA,NA,NA,NA,NA
542170000,341230000,200940000,319380000,296540000,22842000,222790000,44696000,178090000
520540000,320850000,199690000,500630000,306730000,193900000,19909000,14120000,5788600
82664000,62681000,19983000,NA,NA,NA,82664000,62681000,19983000
595050000,458420000,136630000,85592000,44157000,41435000,509460000,414260000,95191000
4663800000,2986300000,1677600000,2690300000,1808200000,882140000,1973500000,1178100000,795440000
7784200000,4906300000,2877900000,3617300000,2452500000,1164800000,4166900000,2453800000,1713100000
281270000,158270000,123000000,101480000,63883000,37598000,179790000,94386000,85401000
20197000,11985000,8211600,NA,NA,NA,20197000,11985000,8211600
40899000,31494000,9404500,40899000,31494000,9404500,NA,NA,NA
250720000,153090000,97630000,94987000,19683000,75304000,155740000,133410000,22326000
65338000,39435000,25903000,NA,NA,NA,65338000,39435000,25903000
1119400000,639870000,479510000,1009400000,605960000,403450000,109960000,33907000,76056000
165650000,136950000,28700000,165650000,136950000,28700000,NA,NA,NA
1636500000,960000000,676460000,630230000,341400000,288830000,1006200000,618600000,387630000
34120000,20543000,13577000,NA,NA,NA,34120000,20543000,13577000
10868000,7651800,3215800,10868000,7651800,3215800,NA,NA,NA
367570000,187960000,179610000,155630000,113930000,41694000,211940000,74030000,137910000
1855900000,1113300000,742600000,1304100000,805960000,498100000,551880000,307380000,244500000
190920000,116400000,74517000,157270000,100970000,56294000,33651000,15428000,18223000
38911000,30617000,8294500,38911000,30617000,8294500,NA,NA,NA
1810300000,1042200000,768080000,418140000,270730000,147410000,1392100000,771470000,620670000
1099100000,647510000,451620000,310040000,181070000,128960000,789090000,466430000,322650000
40785000000,23324000000,17461000000,23636000000,12312000000,11324000000,17150000000,11013000000,6137100000
10250000,8994900,1255500,NA,NA,NA,10250000,8994900,1255500
84955000,65972000,18983000,73734000,59359000,14375000,11221000,6613000,4607700
1100700000,688600000,412070000,NA,NA,NA,1100700000,688600000,412070000
110240000,NA,110240000,110240000,NA,110240000,NA,NA,NA
742470000,492580000,249890000,384390000,246700000,137690000,358080000,245880000,112200000
102260000,31068000,71192000,64075000,17381000,46694000,38185000,13687000,24498000
66896000,66896000,NA,66896000,66896000,NA,NA,NA,NA
1045600000,687160000,358480000,390720000,187020000,203700000,654920000,500140000,154780000
558870000,403380000,155490000,174100000,76962000,97136000,384770000,326420000,58351000
191480000,97064000,94419000,82700000,77798000,4902300,108780000,19266000,89517000
2274300000,1314600000,959770000,1072900000,585220000,487650000,1201500000,729350000,472110000
NA,NA,NA,NA,NA,NA,NA,NA,NA
774420000,545860000,228560000,522950000,403210000,119730000,251470000,142650000,108820000
417090000,238520000,178570000,265220000,169600000,95627000,151870000,68922000,82948000
45380000,27109000,18272000,37058000,20751000,16307000,8322600,6357600,1965000
1914600000,1078700000,835900000,969090000,545450000,423630000,945550000,533280000,412270000
71748000,26819000,44929000,28322000,12980000,15342000,43427000,13839000,29588000
11923000,7464200,4459000,NA,NA,NA,11923000,7464200,4459000
1946200000,1167300000,778870000,612090000,294960000,317130000,1334100000,872390000,461730000
29666000,19764000,9901600,29666000,19764000,9901600,NA,NA,NA
288760000,193420000,95339000,226780000,169110000,57665000,61977000,24304000,37674000
5243200000,3018300000,2224900000,3722100000,2006700000,1715400000,1521100000,1011600000,509520000
102690000,68942000,33749000,28155000,18437000,9718400,74536000,50505000,24031000
50127000000,28781000000,21346000000,28749000000,11018000000,17731000000,21378000000,17763000000,3614600000
26036000,9489100,16547000,NA,NA,NA,26036000,9489100,16547000
41658000000,27645000000,14013000000,23670000000,19120000000,4550100000,17988000000,8525300000,9462600000
665030000,398430000,266600000,288190000,224160000,64022000,376840000,174260000,202580000
8527100000,5002400000,3524700000,6287100000,3235400000,3051700000,2240000000,1767100000,472930000
2679800000,1652100000,1027700000,1366900000,690550000,676390000,1312900000,961540000,351350000
7377700000,4770100000,2607500000,3491500000,2063900000,1427600000,3886200000,2706200000,1179900000
5147100000,722610000,4424500000,4652800000,429070000,4223800000,494270000,293540000,200730000
255210000,160500000,94715000,148070000,90486000,57586000,107140000,70014000,37129000
62446000,18158000,44288000,NA,NA,NA,62446000,18158000,44288000
34572000,27996000,6576400,15648000,15648000,NA,18924000,12347000,6576400
49389000,35807000,13582000,49389000,35807000,13582000,NA,NA,NA
488590000,282670000,205920000,171030000,75317000,95714000,317560000,207360000,110210000
30531000000,17866000000,12665000000,20813000000,11576000000,9236800000,9718000000,6289800000,3428200000
233510000,154400000,79106000,203530000,130810000,72726000,29976000,23596000,6380100
24885000,24885000,NA,NA,NA,NA,24885000,24885000,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
681900000,402400000,279500000,462490000,249300000,213190000,219410000,153100000,66315000
297710000,182100000,115610000,122160000,87235000,34927000,175550000,94866000,80684000
14379000000,8701700000,5677000000,12369000000,7724300000,4645100000,2009300000,977360000,1032000000
348820000,118770000,230050000,22818000,20112000,2705900,326000000,98657000,227340000
75211000,46726000,28486000,75211000,46726000,28486000,NA,NA,NA
1479400000,795110000,684310000,886080000,347290000,538790000,593340000,447830000,145510000
126870000,60170000,66697000,59198000,33773000,25425000,67669000,26397000,41272000
2291100000,1471300000,819810000,1209500000,746960000,462540000,1081600000,724340000,357270000
323130000,239740000,83393000,251390000,200400000,50990000,71740000,39337000,32403000
52547000000,35507000000,17040000000,30337000000,28622000000,1714400000,22210000000,6884500000,15326000000
1792700000,1104000000,688740000,787790000,488590000,299190000,1004900000,615380000,389550000
175400000,129620000,45780000,132180000,101140000,31032000,43220000,28471000,14749000
72735000,59236000,13499000,58759000,52794000,5965100,13976000,6441500,7534000
139450000,128310000,11142000,NA,NA,NA,139450000,128310000,11142000
178980000,98740000,80240000,121300000,72579000,48720000,57681000,26161000,31520000
807510000,431850000,375670000,301420000,172870000,128550000,506100000,258980000,247120000
142880000,116700000,26175000,142880000,116700000,26175000,NA,NA,NA
16598000,4251900,12346000,16598000,4251900,12346000,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
48643000,30177000,18466000,48643000,30177000,18466000,NA,NA,NA
383460000,249030000,134430000,151240000,103260000,47986000,232220000,145770000,86442000
24879000,21485000,3393500,24879000,21485000,3393500,NA,NA,NA
221480000,161760000,59717000,58718000,43679000,15039000,162760000,118080000,44678000
2750600000,1752700000,997900000,1246100000,945910000,300230000,1504400000,806780000,697670000
380390000,268210000,112180000,205120000,195930000,9195300,175260000,72279000,102980000
212130000,138540000,73593000,158390000,109010000,49373000,53748000,29528000,24220000
518510000,271140000,247370000,317700000,142080000,175610000,200810000,129060000,71756000
111640000,103620000,8025200,NA,NA,NA,111640000,103620000,8025200
903690000,450240000,453450000,112480000,69384000,43094000,791210000,380860000,410350000
112400000,79796000,32608000,22286000,15298000,6988600,90117000,64498000,25619000
1202400000,697990000,504450000,738880000,392440000,346440000,463550000,305550000,158010000
120790000,106540000,14252000,120790000,106540000,14252000,NA,NA,NA
16607000,10147000,6460400,16607000,10147000,6460400,NA,NA,NA
244830000,120310000,124510000,175250000,79172000,96075000,69578000,41142000,28436000
NA,NA,NA,NA,NA,NA,NA,NA,NA
537740000,346550000,191190000,344940000,240880000,104060000,192790000,105670000,87127000
106770000,95485000,11284000,NA,NA,NA,106770000,95485000,11284000
73218000,25832000,47386000,NA,NA,NA,73218000,25832000,47386000
90074000,82145000,7928800,90074000,82145000,7928800,NA,NA,NA
166030000,121060000,44971000,NA,NA,NA,166030000,121060000,44971000
NA,NA,NA,NA,NA,NA,NA,NA,NA
73359000,44284000,29076000,NA,NA,NA,73359000,44284000,29076000
12390000000,7799300000,4590700000,7614000000,5866900000,1747100000,4776000000,1932400000,2843600000
31451000,25378000,6072700,31451000,25378000,6072700,NA,NA,NA
68010000,31532000,36478000,68010000,31532000,36478000,NA,NA,NA
2448600000,1312900000,1135800000,1395200000,1071000000,324250000,1053400000,241880000,811500000
287440000,218670000,68764000,204210000,163570000,40638000,83231000,55105000,28126000
232830000,141870000,90956000,232830000,141870000,90956000,NA,NA,NA
2.48E+11,1.38E+11,1.10E+11,1.46E+11,80464000000,65334000000,1.02E+11,57583000000,44702000000
160450000,113750000,46707000,117780000,83885000,33898000,42670000,29861000,12809000
679510000,456910000,222600000,219800000,61208000,158590000,459710000,395700000,64005000
54659000,33913000,20746000,54659000,33913000,20746000,NA,NA,NA
66580000,43319000,23261000,29373000,20210000,9162800,37207000,23109000,14098000
NA,NA,NA,NA,NA,NA,NA,NA,NA
259930000,180300000,79631000,76250000,49027000,27224000,183680000,131270000,52408000
24871000000,13572000000,11299000000,14187000000,7083400000,7103200000,10685000000,6489100000,4195600000
NA,NA,NA,NA,NA,NA,NA,NA,NA
3624400000,2167000000,1457400000,2118900000,1120900000,997910000,1505600000,1046100000,459480000
437470000,307910000,129560000,NA,NA,NA,437470000,307910000,129560000
39710000,26369000,13341000,NA,NA,NA,39710000,26369000,13341000
507420000,327420000,180000000,314870000,220030000,94847000,192540000,107390000,85152000
530870000,336690000,194180000,530870000,336690000,194180000,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
95974000,58012000,37962000,95974000,58012000,37962000,NA,NA,NA
19207000,9785600,9421200,19207000,9785600,9421200,NA,NA,NA
350130000,251290000,98848000,116810000,46689000,70120000,233320000,204600000,28728000
39205000,19698000,19507000,39205000,19698000,19507000,NA,NA,NA
754830000,349490000,405340000,99803000,48784000,51019000,655030000,300710000,354320000
28054000,14606000,13448000,NA,NA,NA,28054000,14606000,13448000
195300000,117780000,77515000,NA,NA,NA,195300000,117780000,77515000
1374300000,719010000,655300000,879290000,384230000,495060000,495030000,334780000,160240000
6135900000,3917900000,2218000000,3563300000,2521200000,1042100000,2572600000,1396700000,1175900000
88159000,65942000,22217000,53806000,47704000,6102100,34353000,18238000,16115000
27092000000,16425000000,10667000000,13879000000,8400600000,5478000000,13213000000,8024400000,5188600000
442140000,301940000,140200000,378470000,264240000,114230000,63671000,37696000,25975000
NA,NA,NA,NA,NA,NA,NA,NA,NA
1513200000,956050000,557120000,968280000,562780000,405500000,544880000,393260000,151620000
6133100,6133100,NA,6133100,6133100,NA,NA,NA,NA
26187000,26187000,NA,26187000,26187000,NA,NA,NA,NA
143910000,70831000,73082000,143910000,70831000,73082000,NA,NA,NA
14941000000,10117000000,4824000000,14272000000,9738000000,4534400000,668770000,379250000,289520000
88399000,50749000,37650000,88399000,50749000,37650000,NA,NA,NA
200600000,119820000,80778000,136310000,75421000,60885000,64294000,44401000,19893000
21111000,21111000,NA,21111000,21111000,NA,NA,NA,NA
58443000,49502000,8940400,58443000,49502000,8940400,NA,NA,NA
136310000,125530000,10779000,NA,NA,NA,136310000,125530000,10779000
463780000,244290000,219490000,299910000,139850000,160050000,163870000,104440000,59440000
3393100000,2181500000,1211600000,2278300000,1532200000,746120000,1114800000,649330000,465470000
61186000,46561000,14625000,61186000,46561000,14625000,NA,NA,NA
798540000,77251000,721290000,33537000,30685000,2851600,765010000,46566000,718440000
3034900000,1954100000,1080800000,1560200000,1092700000,467500000,1474600000,861360000,613270000
14415000000,8327900000,6087300000,7327800000,5835500000,1492300000,7087400000,2492400000,4595000000
39432000000,21711000000,17721000000,22187000000,11199000000,10988000000,17245000000,10511000000,6733400000
364190000,202480000,161710000,294190000,164960000,129230000,70000000,37521000,32479000
839340000,569180000,270160000,655990000,496460000,159520000,183350000,72717000,110630000
640710000,373940000,266780000,257260000,138430000,118830000,383460000,235510000,147950000
7879800000,4580500000,3299300000,4140100000,2300300000,1839800000,3739700000,2280200000,1459500000
165110000,90568000,74545000,127060000,90568000,36497000,38048000,NA,38048000
836340000,661630000,174710000,108540000,86849000,21695000,727800000,574780000,153020000
103800000,54670000,49133000,103800000,54670000,49133000,NA,NA,NA
259430000,119890000,139530000,NA,NA,NA,259430000,119890000,139530000
64990000,44024000,20967000,38346000,24539000,13807000,26644000,19485000,7159300
285870000,220370000,65504000,195860000,157530000,38324000,90014000,62835000,27180000
NA,NA,NA,NA,NA,NA,NA,NA,NA
131850000,76072000,55777000,56356000,33265000,23091000,75493000,42807000,32686000
22746000,17993000,4753100,22746000,17993000,4753100,NA,NA,NA
1613000000,981300000,631660000,600690000,329920000,270770000,1012300000,651380000,360890000
425170000,354170000,70995000,381710000,333990000,47712000,43460000,20177000,23283000
19916000,10094000,9821800,19916000,10094000,9821800,NA,NA,NA
272840000,170510000,102330000,NA,NA,NA,272840000,170510000,102330000
55027000,29371000,25656000,NA,NA,NA,55027000,29371000,25656000
84461000,40584000,43877000,84461000,40584000,43877000,NA,NA,NA
74036000,53703000,20333000,74036000,53703000,20333000,NA,NA,NA
604690000,361180000,243510000,339970000,195770000,144200000,264720000,165400000,99315000
1397400000,893100000,504290000,814310000,550620000,263690000,583070000,342480000,240600000
433200000,276500000,156700000,238050000,153040000,85010000,195160000,123470000,71692000
130290000,83425000,46863000,130290000,83425000,46863000,NA,NA,NA
9446600000,5923200000,3523400000,5081600000,4020200000,1061500000,4364900000,1903000000,2461900000
1325000000,922320000,402730000,1180400000,839970000,340400000,144680000,82348000,62329000
440270000,326170000,114100000,110010000,93305000,16707000,330250000,232860000,97390000
106430000,72371000,34057000,99932000,67351000,32581000,6495500,5020300,1475100
11380000,9425800,1953900,11380000,9425800,1953900,NA,NA,NA
2281800000,1447700000,834120000,1111200000,746140000,365030000,1170600000,701520000,469100000
4436400000,3042900000,1393600000,2235300000,1548200000,687110000,2201200000,1494700000,706470000
64244000,30707000,33537000,NA,NA,NA,64244000,30707000,33537000
42244000,18195000,24048000,42244000,18195000,24048000,NA,NA,NA
7937000000,4992000000,2945000000,5015200000,3135500000,1879700000,2921800000,1856400000,1065300000
103850000,51949000,51900000,78531000,32894000,45637000,25317000,19055000,6262700
1299500000,868250000,431250000,672760000,458800000,213950000,626740000,409440000,217300000
4860600,3485600,1375000,4860600,3485600,1375000,NA,NA,NA
