Intensity,Intensity L,Intensity H,Intensity A,Intensity L A,Intensity H A,Intensity B,Intensity L B,Intensity H B
224460000,137130000,87336000,175800000,114120000,61671000,48667000,23002000,25665000
NA,NA,NA,NA,NA,NA,NA,NA,NA
2103400000,1214200000,889220000,1343300000,711240000,632060000,760100000,502940000,257160000
31527000,28431000,3095900,31527000,28431000,3095900,NA,NA,NA
248060000,147150000,100920000,163070000,104680000,58384000,84997000,42464000,42533000
3270100000,1515500000,1754700000,2221800000,785410000,1436400000,1048300000,730050000,318290000
307790000,189650000,118140000,218300000,138550000,79748000,89489000,51097000,38392000
114830000,76646000,38181000,77063000,44383000,32679000,37764000,32262000,5501600
2337800000,1969000000,368760000,119800000,28362000,91443000,2218000000,1940700000,277320000
127280000,85856000,41421000,127280000,85856000,41421000,NA,NA,NA
30114000,24505000,5609300,30114000,24505000,5609300,NA,NA,NA
1498100000,1172000000,326170000,1233300000,1006900000,226440000,264820000,165090000,99729000
88955000,63076000,25879000,NA,NA,NA,88955000,63076000,25879000
1344200000,792540000,551650000,925450000,522230000,403220000,418740000,270310000,148430000
590130000,308860000,281270000,167590000,84060000,83531000,422540000,224800000,197740000
5713100000,3658000000,2055100000,3571500000,2225800000,1345600000,2141700000,1432200000,709470000
328580000,230420000,98161000,218270000,144070000,74195000,110310000,86348000,23966000
6284700000,3828200000,2456500000,3569300000,1950200000,1619100000,2715500000,1878100000,837390000
NA,NA,NA,NA,NA,NA,NA,NA,NA
151550000,86660000,64893000,117980000,64990000,52995000,33568000,21670000,11899000
54241000,36659000,17582000,NA,NA,NA,54241000,36659000,17582000
248240000,121770000,126470000,189330000,78958000,110380000,58908000,42810000,16098000
88519000,69321000,19198000,88519000,69321000,19198000,NA,NA,NA
43796000,30672000,13124000,NA,NA,NA,43796000,30672000,13124000
17758000000,10614000000,7144200000,8010500000,4516100000,3494400000,9747700000,6097900000,3649800000
376000000,244280000,131720000,128920000,98685000,30239000,247070000,145590000,101480000
4101900000,2365600000,1736300000,2901000000,1475400000,1425500000,1201000000,890180000,310800000
121030000,121030000,NA,121030000,121030000,NA,NA,NA,NA
632320000,327200000,305130000,415460000,141800000,273650000,216870000,185390000,31475000
517590000,319750000,197840000,287200000,151300000,135900000,230390000,168460000,61937000
763800000,515980000,247820000,NA,NA,NA,763800000,515980000,247820000
5092400000,2321500000,2770900000,4344800000,1800200000,2544600000,747600000,521340000,226260000
