NP_CTRL1_50%,NP_CTRL2_50%,NP_CM_1_1_50%,NP_CM_1_2_50%,NP_FM_1_1_50%,NP_FM_1_2_50%,NP_PM_1_1_50%,NP_PM_1_2_50%,NP_SM_1_1_50%,NP_SM_1_2_50%,NP_CM_3_1_50%,NP_CM_3_2_50%,NP_FM_3_2_50%,NP_PM_3_1_50%,NP_PM_3_2_50%,NP_SM_3_1_50%,NP_SM_3_2_50%,NP_FM_3_1_50%
145806.3081,410433.1597,2273.099777,31786.38847,25240.01154,4928.894418,4370.390587,6988.130496,25053.41314,33587.19017,2048.955373,1365.023384,4825.47753,5527.651753,3910.297464,4051.312886,2745.242292,4307.843494
8565.414143,18333.3962,9142.398658,41038.83713,11883.40229,18836.47275,8661.785398,15845.54142,12125.44777,23167.66346,75657.88728,415670.4301,122058.2215,15280.92559,88217.61685,40704.69108,311196.8521,251732.6208
18306749.91,533332.0215,361285.9196,7126448.891,22970295.37,6612948.927,782020.7219,6598334.918,32557809.59,49245292.01,39702.21051,51245.77065,144656.1346,98909.80224,47931.84392,104301.2784,42208.88504,61058.07382
79564.61035,71346.92055,441358.1575,80554.0612,105638.6181,354690.5343,297826.8809,282859.3897,111321.9545,135928.9452,651733.4126,177031.7148,819490.4141,1428887.039,243229.3643,557910.8125,1051108.296,592298.979
198232.7609,51680.7763,20134.47957,126463.483,139442.9074,12881.67035,12426.38673,40180.67049,132186.7474,135504.9517,3261.927368,3218.54247,6636.179364,1600.200972,1195.413194,6565.878166,1369.120367,2076.052018
614973.0392,1053610.63,1452268.475,302719.7655,711598.432,2090334.822,782743.8811,1029382.738,1596734.402,1297150.39,1551037.236,4024517.413,2204147.212,910402.747,3828277.308,2445520.304,1596761.922,4043814.473
1211848.12,672191.2233,123466.7337,314163.3652,253709.0117,304459.5192,266722.1375,225965.7384,421571.978,181061.6351,81323.5308,73641.00463,132686.2272,59437.02993,152795.2043,117843.26,63065.32995,183425.6202
371633.6625,270744.6669,648378.6965,113845.6451,313057.5793,1106412.241,330361.823,417695.1742,673072.4818,485816.0791,574783.0111,807298.6765,892141.0076,388897.7218,898486.9615,706438.3371,884948.1129,1236206.987
45498.55815,25970.50979,23530.08917,10690.16394,36690.24178,63858.15325,19595.87709,21882.13163,40126.44004,18280.71782,21271.83217,52371.02985,48391.69004,27061.20932,69645.54487,49337.4723,31252.99506,78915.68316
40485.93333,41905.76236,117408.7746,29923.40323,16277.07637,156812.4713,45708.67583,40253.14497,118364.5098,38006.51309,172608.4029,47871.91236,227612.1708,231638.7418,106845.929,242761.8696,417093.3536,180611.5919
254784.032,205402.9996,329598.0707,37862.49899,194125.2022,816279.7798,217101.164,258686.1377,624242.1182,370028.5387,578639.1391,715933.0253,794788.1993,378552.6769,850797.481,668840.7562,591814.1056,1380979.791
66768.86178,55784.07521,65509.21714,38382.55463,47367.64087,124097.4672,49934.85557,102473.1726,168731.0664,120840.2036,107299.7666,169693.3358,127464.5255,48722.61797,152287.6658,156982.2142,92672.56865,223929.1389
14721759.4,13817695.38,40338193.01,8756150.915,23948777.36,63727422.42,31529781.83,20092810.19,34487846.46,35595551.55,42446543.47,25200073.88,40365732.96,33179720.35,26438152.66,35806528.23,55727672.86,57062665.72
140882.2899,252614.2348,18769.13036,1419177.67,497099.2381,64722.47284,45890.8825,214561.5955,249272.6735,153123.896,752.572309,507.9748898,20338.21601,544.4020057,468.9370278,2954.66116,473.0957305,20428.84094
731225.7634,561808.9894,1254078.336,324641.6024,357366.0938,910195.7694,838884.3943,475544.7681,988187.5937,633373.9388,898340.8046,1369910.184,964748.249,701349.8391,1602956.647,1147533.325,880948.1274,1759433.474
699053.6507,822621.9347,1856218.509,209508.428,1153619.825,2299878.49,638020.3544,1825221.469,2162756.306,1817408.669,2563561.598,4829083.185,3675100.196,2237037.47,4640791.216,2441898.298,1328213.743,3873284.694
2217.410756,880.8265407,1766.788423,1616.787491,1136.217001,4839.668549,6736.95633,2997.388442,317.7930434,850.3949987,112864.4011,136128.8954,43935.62318,19568.71877,2173.091925,6044.838137,29358.09833,444001.5173
764393.5735,683279.6244,345369.2646,241621.5614,383219.5418,1062409.586,393778.6677,470801.8785,585455.7316,364220.2807,338540.0546,684528.2192,425311.4575,308660.9188,525946.2863,531681.0651,362300.3116,931443.6652
70982.32233,20534.17289,241136.364,10013.91304,87249.15188,145383.7776,154722.6308,106848.295,78527.37059,148752.4264,217993.6692,245973.0031,355731.8681,258022.1896,132583.2165,184107.056,520392.3474,488535.3545
84844.68221,53037.81746,123171.6305,28774.68925,46522.94872,157195.4853,159796.0647,143488.1914,166476.2719,143332.2317,138508.5168,453401.7628,223121.1349,328783.5401,474192.6817,182264.7225,128616.7754,310288.1532
298855.4763,105846.7581,54915.88272,62746.14966,108718.1262,81838.91719,79852.8835,58710.21798,139401.4853,95154.17969,24768.08065,49361.82176,55747.71527,64086.33941,37656.88829,70692.90336,63679.67165,71125.11601
NA,NA,420.4617593,NA,NA,461.3924713,299.3662497,646.5827942,656.665863,1954.240031,1175.161785,24949.79427,7371.327953,175.348732,7679.845964,3728.783885,13949.15866,15358.1131
336.0628204,1428.921875,13388.78356,716.9581663,5241.598342,35245.90331,2536.840862,3221.277753,7764.954194,5173.491685,10106.67398,21811.37178,23199.68866,3424.847779,6672.728798,23066.19892,11961.50029,33674.93091
166756.5515,65023.06468,57243.37622,18569.32576,39906.9753,202005.4542,37813.6008,37194.46191,122359.891,66353.64908,72578.64879,119501.4837,120036.1516,60769.5,117812.5013,105911.675,52116.75248,146624.8941
150972.0732,142417.0099,127226.8838,105954.451,114581.8877,251120.99,194781.1919,238557.0802,242636.712,161194.0319,234301.0302,349710.905,214039.2533,142321.44,290358.1217,182612.3737,163467.7687,304154.8645
484463.1188,311434.3495,266053.4004,155158.5377,267171.1446,406218.1193,220716.0688,220521.4978,524908.255,271385.6747,218982.4157,256144.2932,254492.4221,156426.7514,435760.4566,437554.5052,278512.4815,408857.4954
63596.03535,73124.05673,60140.42565,30571.1935,35898.3998,65616.99162,31867.7345,32741.42314,63689.32548,40055.68189,75109.84909,37942.2888,55998.36643,21910.81164,36117.99221,72571.02234,31491.64555,69592.07874
138183.6477,381495.6987,33565.49545,19338.99097,21663.49218,23309.66407,4067.928227,25347.99822,42652.63264,34726.67479,217.4377684,6922.542712,8077.60039,1435.962104,1242.54182,10297.13345,9166.139419,6440.190013
2964966.622,2038522.547,835503.7279,3366910.415,3132973.143,2511652.34,203743.3823,1034440.174,3681073.812,586646.4997,157411.7726,61070.83444,121293.3751,135476.6578,43946.79299,241846.1391,269025.575,212450.4769
111527.2938,91029.91421,8334.368155,24063.15099,18995.94608,4081.0116,5581.656289,6704.428934,42848.43372,34195.79215,2561.649743,8455.255674,5155.125166,2501.140584,3489.319174,8108.956635,6676.258806,4491.796472
3830.837325,21699.91643,9844.636592,1169.004712,4398.079868,2881.676498,4701.275683,1967.470931,6742.702234,2180.141781,42275.89868,11637.10773,4118.28941,40595.29315,8183.560099,28217.38704,48035.48659,10917.96369
224452.5399,142807.2535,48514.64511,156707.2331,285955.8579,137800.0409,79427.31687,126793.1694,361948.5159,222947.633,13130.29903,3256.994675,28842.04688,4576.614459,1944.159053,16444.99318,20832.08981,74451.78674
4706.193927,1563.364664,8926.166789,5813.659214,5630.210128,49490.46846,6799.101755,89821.23654,100160.3049,20377.33762,57784.4345,58927.71014,31938.80454,71696.04188,12442.01609,122483.5901,34373.4625,60013.1943
174743.5181,121528.3896,21168.66029,86644.73014,81728.65443,6161.7817,10481.37211,24780.11979,154842.9367,119627.2943,1833.849658,267.1052479,4914.585629,1328.659517,428.7893605,12306.70981,6076.431964,922.445916
8041.364025,50307.5674,2528.261024,15382.04652,19263.20755,2359.081917,2286.063246,5966.624784,26297.23043,23540.91772,486.5826882,159.0841441,1497.534958,145.147993,197.2555746,2058.008559,63.29153085,877.8706919
514504.8276,802782.4732,691723.5912,313565.8871,469141.0176,1266668.752,356592.0832,723768.9038,1050988.868,702343.0935,685481.777,890727.6505,724693.6824,343047.1337,735144.2344,1020174.497,577414.7828,1166524.173
175458.7725,27214.16873,8516.774986,35515.94718,56532.37756,50902.23229,6206.958203,20639.0257,56720.00478,171719.3191,119960.8148,339630.8426,72002.78948,76141.76806,262975.6186,206131.2578,224341.8626,80388.95507
1931846.846,1404552.074,1621476.285,409230.3166,1509330.965,2151788.535,1135354.209,1054570.861,3124589.437,1449471.858,2295010.552,2189336.277,2487660.045,797708.6219,2470135.625,1822614.943,1828186.041,3817333.475
118981.7407,81166.06716,1475.3974,127292.1428,39965.34643,NA,6691.186306,7812.496426,29858.41587,53212.73771,177.1400356,NA,126.2960729,NA,2.951890244,NA,NA,NA
