Ctrl_p1,45I_p1,120R_p1,Ctrl_p3,45I_p3,30R_p3,120R_p3,Ctrl_p5,45I_p5,30R_p5,120R_p5
-3.768729,0.3494282,0.6420193,-3.386447,-2.72311,0.3730392,-0.07488251,-3.128223,0.1365147,1.082691,0.40065
-2.345926,-2.610682,-1.598972,0.1853008,-2.446192,-2.83597,-2.351147,-2.655058,-2.517143,-2.881547,-2.055061
1.407974,1.554626,1.962446,0.1853008,1.462366,1.79381,1.893562,1.583323,1.181282,1.588648,1.961424
-1.964724,-1.15521,-0.8746204,0.1853008,-1.143805,-1.802586,-1.244263,-1.63575,-1.297935,-1.654539,-0.9696331
-3.115461,-1.336752,-0.7886944,0.1853008,-2.577971,-4.855807,-0.5098209,-2.524972,-3.115141,-3.247091,-0.8351097
-3.867235,-2.864311,-2.335018,0.1853008,-3.057347,-2.795772,-2.457306,-3.853873,-2.615035,-3.04613,-2.019623
-0.601696,0.3449593,0.09488297,0.1853008,-0.3923264,0.04675484,-0.2600689,-0.8302326,-0.4057827,0.06250191,0.3399563
-0.513052,-0.2220936,0.5022602,0.1853008,-0.6865864,0.1029568,-0.01588058,-0.8295002,0.3050728,0.2853298,0.41675
-1.320152,-0.786871,-0.7592125,0.1853008,-0.6168289,-0.9058285,-0.6281605,-1.421082,-0.9446373,-1.414705,-0.2575874
3.276876,3.255732,3.723787,0.1853008,3.404461,3.700804,4.053596,2.889986,3.38632,3.489677,3.670725
-1.653017,-1.51874,-0.5177803,0.1853008,-2.315989,-1.388018,-1.070141,-1.578106,-1.554598,-1.268549,-0.6807785
-1.218231,-0.8224945,0.1642303,0.1853008,-0.7171268,-0.3911209,-0.7544918,-1.397125,-1.114206,-0.3697319,-0.220932
2.718506,3.268724,3.690851,0.1853008,3.310808,3.355806,3.900816,2.922762,3.145222,3.399193,4.384642
0.822834,0.9871273,1.373518,0.1853008,0.4493294,1.384539,1.401125,0.3261662,1.16395,0.841362,1.347624
-0.04524803,0.4266949,0.7160645,0.1853008,0.06723022,0.2968845,0.4353886,-0.3970203,0.3489799,0.5990753,0.9086075
-3.189239,-3.064098,-2.018055,0.1853008,-2.042787,-3.750792,-2.138245,-2.089575,-2.597886,-3.717515,-0.7777824
0.3019733,0.1765804,1.711285,0.1853008,0.8929577,0.8718491,1.264132,0.4306355,1.11771,0.8854713,1.321693
-1.706194,-1.611763,-0.5815392,0.1853008,-0.9712543,-0.7240086,-1.013626,-1.572029,-1.357124,-0.9773693,-0.6256084
-3.890655,-1.546875,-0.8051968,0.1853008,-1.53776,-3.913814,-1.901833,-2.306103,-3.072,-3.463868,-1.755705
-4.441381,-2.300129,-2.305365,0.1853008,-1.541658,-1.584156,-1.669079,-3.432655,-1.614397,-1.132935,-1.831614
-0.7177544,0.2827034,-0.06446838,0.1853008,0.3896885,0.4827099,1.012739,-4.329852,0.4409866,1.255459,0.3780384
-0.6573429,-0.6877193,-0.1100979,0.1853008,-0.3052654,-0.4535542,-0.07162857,-0.6826687,-0.2837124,-0.1245041,-0.1791897
-0.3288116,0.3310337,0.1955185,0.1853008,-0.1922722,-0.3157768,-0.1418514,-0.5246239,0.287672,-0.4028988,0.2310715
-0.6116123,-0.901329,-0.2139664,0.1853008,-0.9294548,-0.7049255,-0.4322815,-1.538601,-1.47814,-0.8177567,-0.2322578
-3.00863,-2.074181,-2.351757,0.1853008,-1.655739,-2.590881,-3.958672,-4.082849,-1.142433,-3.106103,-2.44787
-1.796925,-2.335556,-1.489817,0.1853008,-1.922943,-2.275148,-1.533359,-2.325041,-2.23081,-1.822521,-1.197912
2.192844,2.718332,3.196804,0.1853008,2.880262,2.584009,2.681719,2.288527,2.507133,2.589689,3.039801
0.7280807,1.546114,1.539001,0.1853008,1.555803,1.07024,1.35107,1.246576,1.583843,1.105495,1.96431
-3.229412,-1.45126,-1.231028,-3.0303,-2.329325,-4.435148,-1.894209,-2.526187,-2.605546,-2.647541,-0.763279
-1.332983,-1.453648,-0.6961842,0.1853008,-0.9581184,-3.170938,-0.930872,-1.40484,-1.773857,-2.353533,-0.6575661
-1.672438,-0.5810051,-0.3401012,0.1853008,-0.6040878,-0.6605339,-0.8510132,-1.587271,-0.6852989,-0.8498421,-0.6440926
-2.888651,-0.4719276,-1.511532,0.1853008,-0.117918,-1.893885,-0.8129082,-3.197261,-0.04899406,-3.039299,-0.3332882
3.179367,3.690813,3.935484,0.1853008,4.003435,4.018579,3.982342,3.164375,3.868073,3.786585,4.054691
0.5213451,1.2631,1.193943,0.1853008,0.7490311,0.8237953,0.7518234,0.5120888,0.9108963,0.8354321,1.243191
1.958315,1.990896,2.515177,0.1853008,2.087181,2.3657,2.246998,1.825548,2.032637,1.969837,2.351936
-3.179553,-3.368043,1.541735,0.1853008,1.700905,-2.69348,1.235691,-4.069538,-4.000592,-1.967489,1.562597
-3.636528,-2.899616,-2.234673,0.1853008,-2.504753,-2.853811,-2.143725,-3.110196,-2.696753,-3.493265,-2.566867
2.009325,2.530621,2.796625,0.1853008,2.272179,2.084135,2.52239,1.948877,2.486197,1.767687,2.510841
