Ctrl_p1,45I_p1,120R_p1,Ctrl_p3,45I_p3,30R_p3,120R_p3,Ctrl_p5,45I_p5,30R_p5,120R_p5
-0.8645649,-1.05587,-1.363207,0.1853008,-0.8095608,-1.769056,-1.080032,-0.7231445,-0.9825001,-2.698887,-0.64991
-0.460228,0.02341843,-2.108181,0.1853008,0.7985897,-0.5027294,-1.384863,0.287178,-0.302187,-2.048513,-0.9513054
-0.2836895,0.7779064,-1.135263,0.1853008,0.5798283,-1.184732,-2.11223,0.6313381,0.4720974,-0.9405937,-0.1080437
0.4848347,0.5632248,-0.5449314,0.1853008,0.3057384,-0.5561523,-1.057894,1.976101,1.478437,-1.072489,0.1187477
1.715445,1.879574,1.306713,0.1853008,2.141554,1.474768,0.8606606,1.575777,1.851137,0.8026485,1.244738
-1.20392,-0.5350494,-2.815445,0.1853008,-0.1580334,-1.017525,-2.951825,-0.9537888,-1.11199,-1.290369,-1.164337
1.720556,2.135283,0.8324394,0.1853008,1.666737,0.8735828,0.374424,2.067833,2.073339,0.9794044,1.66399
-1.496284,-1.034876,-2.504013,0.1853008,-0.7459087,-1.720905,-2.010017,-1.110786,-1.062191,-2.390815,-1.288183
-3.126096,-1.495777,-3.141241,0.1853008,-2.154436,-3.160894,-3.356466,-3.849882,-2.711101,-2.843807,-3.451065
-3.25083,-0.4176331,-2.503452,0.1853008,0.1154823,-3.489445,-2.424727,0.3284168,0.55303,-3.73178,-3.569537
-0.9112778,-0.857935,-2.988215,0.1853008,-0.5598869,-3.313759,-3.94375,-0.6356888,-0.1538639,-2.414997,-1.557417
4.854891,5.051018,3.2052,0.1853008,4.868322,3.586493,3.178844,4.966749,4.747246,3.005386,3.815201
2.92128,3.467176,2.621302,0.1853008,3.265091,2.421856,2.042553,3.217228,3.307877,2.443617,3.122093
2.687006,3.223316,2.105925,0.1853008,3.168488,2.215086,1.931044,2.751064,2.627792,1.710882,2.451908
0.8216286,0.8779449,-1.288958,0.1853008,1.080326,0.0916748,-0.7833652,0.7791061,1.060146,-1.776138,0.01263428
-1.129911,-1.096771,-3.201832,0.1853008,-0.9928398,-2.012878,-2.452763,-0.6399288,-1.138599,-3.065054,-1.889596
