Rep1,Rep2,Rep3,Rep1,Rep2,Rep3
0.2498,ND,0.2658,ND,ND,ND
-0.0662,0.0248,-0.0129,ND,ND,ND
-0.2352,0.0208,-0.1313,ND,ND,ND
-0.2231,ND,ND,ND,ND,ND
ND,0.2116,-0.1338,ND,ND,ND
-0.0450,0.0971,-0.1874,ND,ND,ND
-0.0713,0.2368,-0.0641,ND,ND,ND
-0.0792,ND,0.0223,ND,ND,ND
-0.2483,0.1007,-0.2612,ND,ND,ND
-0.1173,ND,-0.0947,ND,ND,ND
ND,ND,ND,0.0776,ND,0.0194
0.1677,ND,0.0422,ND,ND,ND
ND,-0.2751,-0.2813,ND,ND,ND
ND,ND,-0.1327,ND,ND,ND
-0.1906,ND,ND,ND,ND,ND
-0.1146,ND,-0.2573,ND,ND,ND
