Norm Abundance: 126 set 1,Norm Abundance: 127 set 1,Norm Abundance: 128 set 1,Norm Abundance: 129 set 1,Norm Abundance: 130 set 1,Norm Abundance: 131 set 1,Norm Abundance: 126 set 2,Norm Abundance: 127 set 2,Norm Abundance: 128 set 2,Norm Abundance: 129 set 2,Norm Abundance: 130 set 2,Norm Abundance: 131 set 2,Norm Abundance: 126 set 3,Norm Abundance: 127 set 3,Norm Abundance: 128 set 3,Norm Abundance: 129 set 3,Norm Abundance: 130 set 3,Norm Abundance: 131 set 3
26.20000076,116.3527069,30.59033012,24.37485504,103.37854,32.0145874,44.30000305,115.4699554,55.72085953,40.18655396,96.07627106,54.47824097,46.59999084,80.3944397,47.8781662,50.75384903,67.81642914,52.68663406
50.99999619,1184.856689,101.3559647,30.58576012,1066.458374,131.8307343,41.61642838,28.76815414,23.90223122,34.37029266,24.00398827,26.86214066,61.09999084,1127.943237,109.9765472,46.42691803,1036.263184,149.7732697
25.19999695,35.17874146,20.69945717,37.73415756,40.56242371,35.27722168,362.0999451,500.4033203,403.925293,411.8831787,515.8572388,471.5676575,221.4000244,324.3013611,293.3049316,251.8981934,336.9692078,299.9556274
400.2999268,480.978363,66.89086914,415.1927795,406.0289001,75.75426483,320.9000549,384.6316528,47.556633,318.9297485,325.5135498,58.85685349,462.1000061,519.2857666,177.4970245,469.0640259,512.7485352,172.0755768
20.99520302,25.20197105,21.68468857,38.38347626,35.73263931,20.60279274,79.40000153,90.82699585,24.28857994,81.65441895,79.89607239,22.91141129,291.9999084,382.1005249,17.1870327,333.7591858,338.478363,21.48386765
104.3000183,83.09462738,43.84614563,150.8194427,81.52947235,55.05692673,27.75889015,33.8199234,40.48722839,43.16437912,61.77720642,26.98840332,69.69998932,53.96615601,49.20811462,76.48161316,49.80583191,53.40276337
40.29999924,97.44916534,59.75310898,34.21855164,135.4441223,51.99820328,21.03460693,20.73717499,29.18471909,21.79308319,51.17645264,22.70500755,13.41929531,22.85807037,13.60224438,19.46214676,47.46561813,27.58776855
124.9000015,463.8944092,176.3022919,94.10102081,428.8894348,189.0287476,132.9000092,606.2174072,224.7203369,100.6411285,550.6296387,214.7562408,134.3999939,387.3459473,182.3053284,102.3263168,351.7599487,184.2497559
124.8000107,295.178009,125.1144791,108.8665543,282.6219482,146.7165222,93.80000305,377.6913147,72.35546875,73.73360443,382.3956299,82.88837433,149.3999939,1331.501709,131.2557068,146.8821106,1321.515015,154.9907379
154.6999817,338.7471924,225.5527191,152.1084747,318.4302673,214.7220306,37.61552429,35.31308365,20.56270981,20.67313385,26.53795433,17.91257668,265.5999451,415.6906738,327.4743042,258.3301086,408.4079895,312.5391846
