WTheart_1,WTheart_2,WTheart_3,WTheart_Flu_1,WTheart_Flu_2,WTheart_Flu_3,WTheart_Flu_4,WTheart_Flu_5,WTheart_Flu_6,WTheart_Flu_7,WTheart_Flu_8,WTheart_Spn_1,WTheart_Spn_2,WTheart_Spn_3,WTheart_Spn_4,WTheart_Spn+Flu_1,WTheart_Spn+Flu_2,WTheart_Spn+Flu_3,WTheart_Spn+Flu_4,WTheart_Spn+Flu_5,WTheart_Spn+Flu_6
21.8683,22.865,20.9008,25.8636,26.9767,26.7178,26.5003,25.9129,26.2158,26.5729,26.365,26.1785,25.0725,24.7692,25.1291,25.0781,25.4115,26.3368,27.1581,25.4978,25.9058
21.1723,22.5506,20.7619,26.1257,26.0011,25.9493,25.886,26.2926,26.1008,26.5024,26.0125,25.6241,26.0592,25.7337,25.0264,26.5126,26.3082,26.2147,26.2976,27.0001,26.9904
22.0478,22.6837,23.3848,25.8934,26.0481,26.094,25.8038,26.3445,26.2333,26.3391,26.1325,26.0614,25.6723,25.8872,25.6141,25.2242,25.5866,23.8596,25.1709,25.5547,24.5291
23.482,22.4071,24.1282,28.2731,28.5585,28.7402,28.3634,29.0904,28.9952,29.0477,28.7963,28.6065,28.5907,26.6225,26.1764,26.1722,27.0505,26.51,25.7519,26.1464,27.1013
21.2705,21.5924,21.5608,26.0293,26.0111,26.4119,26.1239,26.6516,26.6878,26.3972,26.5669,26.5985,26.4385,26.5486,25.004,25.6579,25.7239,25.309,24.8053,26.0102,26.3863
26.769,27.0208,26.8711,27.5984,27.1066,27.3823,27.3135,27.4528,27.5777,27.3656,27.3057,27.4364,27.0142,27.3152,27.4388,27.0693,27.0747,26.85,27.3142,27.257,26.8398
22.0545,21.9952,20.7388,26.4059,26.326,26.2306,26.1401,26.6074,26.7246,26.5379,26.6277,25.9567,25.8491,24.9586,25.2734,27.1638,27.3167,26.2627,25.79,26.8252,27.0234
31.6702,31.5764,31.8354,30.4932,30.3844,30.3186,30.3527,30.3619,30.3192,30.196,30.3731,30.8927,31.1284,30.2724,30.5996,30.4554,30.5866,30.8499,30.618,30.4118,30.5051
20.9263,21.2019,24.3253,26.8201,26.4622,26.6043,26.7201,26.3735,26.5211,26.7506,26.6679,26.51,26.462,27.0422,27.1247,26.3812,26.5198,27.1308,27.7318,27.2112,26.3703
30.8991,31.4002,31.295,30.6736,30.4812,30.5033,30.4848,30.4368,30.5534,30.5451,30.3629,30.7055,31.0889,30.3137,30.1002,30.1669,30.3361,30.2063,30.707,30.5342,30.3236
32.0704,31.9954,32.2221,30.9286,30.9728,30.8726,30.9033,30.8309,30.7092,30.7244,30.7484,30.9373,30.8783,31.063,30.9885,30.3773,30.4097,30.5833,30.846,30.7738,30.6977
25.6143,26.7085,27.4626,28.2878,28.2935,28.3189,28.35,28.3374,28.2687,28.2743,28.205,28.1207,27.9259,28.0607,28.0607,28.3622,28.3536,27.3127,27.3472,27.5627,27.7146
22.0677,20.8445,21.8998,20.4498,21.6086,19.7397,18.3051,21.0986,19.0065,19.0044,19.2041,25.547,25.1366,21.8876,20.4395,26.8965,26.5952,27.5739,26.8708,20.8971,21.2811
22.1155,20.8184,21.7708,19.1111,18.9958,20.7563,20.2643,20.111,18.8737,20.5272,19.9971,24.9099,24.2241,20.885,22.4157,26.951,26.494,28.1495,27.1429,20.7436,20.092
30.7342,30.6043,30.5525,29.545,29.6073,29.6786,29.7296,29.6478,29.5648,29.5425,29.4476,29.6499,29.8526,29.5316,29.306,29.8898,29.7916,29.0728,29.5895,29.697,29.4535
20.9227,22.2209,20.5015,21.2957,18.5232,19.0633,21.5591,20.8794,20.6204,20.5332,19.2891,21.7262,21.8404,20.2076,21.2756,24.9827,25.5372,24.0605,24.7423,23.0633,22.0135
32.2017,32.0707,32.0482,31.4926,31.4568,31.3338,31.2505,31.2359,31.3433,31.362,31.2387,31.2733,31.3446,31.4597,31.1315,31.0364,30.9904,31.3126,31.4441,31.225,31.0235
23.271,25.5539,23.6482,26.2757,26.2874,26.3471,26.673,26.2958,26.4043,26.4935,26.3265,26.2535,26.6729,26.1465,25.4168,27.0874,27.5629,26.8662,27.2469,26.4867,27.1014
29.4509,29.7822,29.8126,28.8789,28.8014,28.7657,28.8196,28.7415,28.925,28.6905,28.6939,28.4644,28.8887,28.5188,27.9121,29.503,29.5651,28.5467,28.2729,28.5993,28.9928
28.6495,28.6239,28.7668,27.1918,27.4925,27.7774,27.4556,27.3948,27.4331,27.5522,27.4357,26.7698,27.1826,27.2755,25.8409,27.945,28.1262,27.3369,27.558,27.8329,27.5634
33.091,33.1362,33.3392,32.3414,32.3074,32.4159,32.2215,32.2315,32.0734,32.1943,32.3303,32.1454,32.4569,31.9888,31.8706,31.7935,31.871,31.9568,31.9045,31.9525,32.1364
21.7827,20.9045,20.7121,23.5299,23.8778,24.0012,23.4641,24.256,19.9136,23.9122,23.1911,19.0244,19.3598,19.302,21.414,24.204,23.9054,21.1637,23.4252,23.8299,24.0468
30.5049,30.2683,30.4769,29.2775,29.2563,29.2261,29.1091,29.2014,29.0731,29.0832,29.1749,29.3692,29.4721,29.1207,28.8846,29.2949,29.3676,28.7732,29.1665,28.7565,28.9247
22.8845,22.0723,22.4802,28.8473,28.8014,28.8506,28.8604,28.9824,28.9693,28.8208,28.7597,28.6478,28.6797,29.004,28.9034,29.2111,29.1064,29.0741,28.2483,28.5601,28.7324
31.5075,31.0324,31.4494,33.2477,33.2584,33.2329,33.266,33.2753,33.3406,33.2346,33.3432,33.208,33.2063,33.4727,33.1794,32.7313,32.6965,32.8886,32.7598,33.1493,33.0279
29.5444,29.9512,30.1374,28.3574,28.228,28.1566,28.2786,28.2706,28.2232,28.2518,28.2305,29.2169,29.3561,28.6473,28.9479,29.071,29.0989,29.3175,29.0473,28.9622,29.2629
22.9306,23.0579,21.6205,25.5505,25.7323,25.7563,25.8337,25.2242,25.2795,25.5003,25.6681,25.4395,25.1432,26.4265,26.0172,25.0434,24.7681,26.5114,26.6803,26.0901,26.0534
