NP_CTRL1_50%,NP_CTRL2_50%,NP_CM_1_1_50%,NP_CM_1_2_50%,NP_FM_1_1_50%,NP_FM_1_2_50%,NP_PM_1_1_50%,NP_PM_1_2_50%,NP_SM_1_1_50%,NP_SM_1_2_50%,NP_CM_3_1_50%,NP_CM_3_2_50%,NP_FM_3_2_50%,NP_PM_3_1_50%,NP_PM_3_2_50%,NP_SM_3_1_50%,NP_SM_3_2_50%,NP_FM_3_1_50%
11641967.26,2597222.679,524879.3827,5670559.867,7396261.725,310492.3182,1519995.382,2730195.308,2984410.964,2992074.861,199433.5952,106038.1793,214755.9628,157852.2364,64357.80418,386764.1073,263878.7846,190871.3178
152208.2611,553788.5125,1819.548389,30364.18495,17079.204,2581.364972,4370.390587,5217.845485,14908.34149,18942.5243,4020.2696,2367.585924,6713.263679,8771.766961,9368.045237,4341.637033,4576.971678,4127.802696
8941.497861,24736.85172,7318.2167,39202.65562,8041.163198,9865.054274,8661.785398,11831.43143,7215.396761,13066.11318,148448.8673,720966.0075,169808.8988,24249.12498,211346.2295,43621.66023,518839.1504,241211.7785
19110548.82,719613.2669,289198.5735,6807593.519,15543351.08,3463339.498,782020.7219,4926795.812,19373924.85,27773390.27,77899.98361,88884.01964,201247.3933,156958.827,114832.1032,111775.69,70372.24802,58506.22986
83058.07301,96266.84413,353294.0051,76949.86849,71482.67367,185758.8423,297826.8809,211203.3527,66243.49761,76661.29064,1278770.666,307055.3963,1140085.141,2267484.4,582713.6449,597891.6742,1752447.467,567544.6022
206936.6148,69731.74453,16117.04872,120805.1865,94357.08295,6746.399862,12426.38673,30001.80523,78659.34908,76422.16652,6400.250394,5582.450775,9232.334337,2539.340509,2863.8959,7036.400445,2282.649209,1989.286085
641974.8098,1421613.848,1162497.481,289175.3165,481518.5907,1094752.014,782743.8811,768611.8732,950156.4356,731567.68,3043300.957,6980386.483,3066436.706,1444707.643,9171546.495,2620770.553,2662181.81,3874808.429
1265057.03,906972.9599,98831.42772,300106.9006,171677.7332,159451.8104,266722.1375,168722.4227,250861.5882,102115.253,159565.4659,127727.7796,184594.711,94319.93885,366057.1603,126288.1135,105144.901,175759.5814
387951.072,365309.8752,519007.7551,108751.9026,211837.2352,579451.2038,330361.823,311881.5369,400520.0548,273990.853,1127785.747,1400231.678,1241157.541,617137.3197,2152538.669,757062.9403,1475418.932,1184541.3
47496.27439,35041.44256,18835.13265,10211.85893,24827.25189,33443.84886,19595.87709,16338.78786,23877.73145,10309.97055,41737.60997,90835.74286,67323.11425,42943.12168,166852.4251,52873.08161,52106.17427,75617.50331
42263.55904,56542.53137,93982.21264,28584.55439,11014.23854,82125.96704,45708.67583,30055.91995,70434.25669,21434.93678,338676.1489,83032.17894,316656.851,367584.8539,255974.7706,260158.6085,695393.7991,173063.1618
265970.8963,277145.7883,263833.3981,36168.43489,131359.0497,427502.7729,217101.164,193153.848,371462.9466,208688.9243,1135351.883,1241761.111,1105719.116,600720.8871,2038287.205,716771.0511,986694.8387,1323263.51
69700.4984,75268.23627,52438.1691,36665.22193,32052.34673,64992.43601,49934.85557,76513.90901,100405.4954,68151.53285,210533.6189,294327.2313,177330.2153,77317.36181,364841.2314,168231.8335,154507.2081,214570.3075
15368151.27,18643915.06,32289517.09,8364378.547,16205462.24,33375382.4,31529781.83,15002750.59,20522417.02,20075201.2,83284658.41,43708657.97,56157304.07,52652516.42,63338866.78,38372486.48,92911281.87,54677804.73
147068.0428,340846.8786,15024.12752,1355680.067,336373.0354,33896.51109,45890.8825,160207.2619,148332.7688,86358.90966,1476.627366,881.0649055,28294.77622,863.9052785,1123.449899,3166.397332,788.763078,19575.04371
763331.8706,758036.6187,1003852.202,310116.3149,241819.5573,476688.5386,838884.3943,355076.2428,588033.1761,357210.6261,1762640.746,2376061.911,1342169.628,1112963.989,3840262.926,1229767.564,1468750.005,1685900.206
729747.1691,1109945.839,1485847.402,200134.4904,780622.0019,1204494.41,638020.3544,1362842.838,1286974.728,1024983.266,5029982.057,8375878.032,5112844.586,3549929.02,11118116.32,2616888.988,2214448.138,3711405.723
2314.771148,1188.480044,1414.261292,1544.448324,768.8460012,2534.63552,6736.95633,2238.067786,189.1066573,479.6062978,221452.027,236110.8684,61123.77925,31053.37464,5206.157241,6478.021779,48946.93085,425445.0429
797955.9878,921934.2977,276457.7672,230810.8008,259313.8565,556406.0942,393778.6677,351534.8572,348382.6305,205413.1794,664251.7977,1187290.559,591698.5297,489810.4603,1260029.102,569782.2574,604040.7691,892515.1708
74098.96039,27706.31172,193022.4476,9565.865206,59039.04051,76140.52144,154722.6308,79780.69301,46728.67726,83893.48552,427726.8959,426631.6802,494898.5493,409452.4436,317634.5485,197300.4887,867617.7847,468117.6454
88569.97828,71562.77057,98595.20648,27487.23678,31480.76737,82326.55949,159796.0647,107138.6993,99063.7522,80836.60074,271768.5249,786409.7012,310408.8666,521742.8165,1136041.064,195326.1304,214434.7477,297320.0574
311977.3963,142816.7226,43958.52172,59938.72802,73566.48998,42860.75056,79852.8835,43837.31042,82952.5676,53665.11316,48597.62345,85616.37534,77556.90702,101697.8746,90216.00945,75758.8801,106169.1547,68152.53293
NA,NA,336.5670634,NA,NA,241.6408758,299.3662497,482.7856485,390.7570946,1102.153502,2305.793118,43274.55662,10255.08209,278.2588851,18398.89294,3995.99504,23256.5644,14716.24044
350.8184123,1928.013127,10717.32081,684.8796421,3546.841776,18459.01586,2536.840862,2405.239797,4620.631453,2917.749043,19830.37536,37831.07119,32275.69215,5434.85153,15986.10484,24719.16296,19942.66525,32267.53033
174078.3719,87734.2033,45821.61066,17738.4871,27003.92474,105794.4763,37813.6008,27772.08514,72811.75737,37422.17208,142407.072,207271.197,166995.7702,96434.42028,282247.7961,113501.4904,86891.01898,140496.8946
157600.8407,192160.1659,101841.3154,101213.7805,77534.33203,131517.3084,194781.1919,178124.0325,144383.9583,90910.30989,459723.6823,606561.4889,297774.0412,225848.2554,695621.7638,195698.6949,272539.6406,291443.1017
505734.5586,420211.5767,212967.7901,148216.3518,180787.1789,212744.915,220716.0688,164657.3576,312353.1102,153056.2608,429666.9223,444273.4317,354052.9871,248231.8118,1043967.552,468910.4241,464346.5329,391769.8204
66388.36191,98664.69522,48140.61208,29203.36088,24291.43475,34364.98926,31867.7345,24447.12316,37899.1161,22590.62827,147373.5577,65809.58975,77905.61599,34770.01487,86529.21882,77771.58836,52504.06137,66683.56699
144250.9107,514743.8274,26868.17525,18473.71553,14659.07421,12207.75802,4067.928227,18926.65544,25380.97341,19585.17155,426.6361589,12006.91129,11237.65699,2278.71174,2976.803705,11035.04399,15282.13398,6171.030524
3095150.131,2750534.021,668795.7464,3216266.316,2119994.571,1315404.799,203743.3823,772388.1224,2190468.226,330857.256,308858.7348,105925.2535,168744.835,214986.3493,105284.9683,259177.2552,448529.6039,203571.3814
116424.1498,122824.6783,6671.412448,22986.50467,12854.021,2137.311028,5581.656289,5006.013306,25497.48725,19285.76402,5026.230792,14665.349,7171.873523,3969.031212,8359.491872,8690.058609,11130.91095,4304.067594
3999.038829,29279.22406,7880.337163,1116.700481,2976.056613,1509.194181,4701.275683,1469.056612,4012.327857,1229.557711,82949.83508,20184.16152,5729.41487,64420.20358,19605.65965,30239.4942,80086.57827,10461.66139
234307.6321,192686.7132,38834.52246,149695.7546,193498.2646,72168.76007,79427.31687,94672.98397,215381.9141,125738.1441,25763.05112,5649.144798,40125.41029,7262.576822,4657.694234,17623.47006,34732.04728,71340.16972
4912.829927,2109.413851,7145.129555,5553.541377,3809.804413,25919.1922,6799.101755,67067.05517,59601.62079,11492.42349,113379.2412,102208.0784,44433.65763,113773.6239,29807.80123,131260.9778,57308.7355,57505.01975
182416.0242,163975.6061,16944.87946,82768.02547,55303.47557,3227.053797,10481.37211,18502.63618,92141.19308,67467.47546,3598.20918,463.2848291,6837.231962,2108.434499,1027.266637,13188.6301,10130.85697,883.8934711
8394.438148,67878.90369,2023.797335,14693.8148,13034.8693,1235.500481,2286.063246,4455.115171,15648.49026,13276.62135,954.7272796,275.9259546,2083.389049,230.3336799,472.5725249,2205.489042,105.5220317,841.1812113
