LL.4,LL.8,LL.12,LL.16,LL.20,LL.24,LL.28,LL.32,LL.36,LL.40,LL.44,LL.48
0.30649862,-0.61649361,-0.30491053,0.15285349,0.224877,0.18441893,-0.01411311,-0.64182005,-0.44898917,0.12612182,0.26521798,0.28869258
0.29498614,0.20964676,-0.26468391,-0.06387093,-0.09074158,0.02861855,0.27191305,0.20999651,-0.4271862,-0.26835802,-0.31685984,-0.12497234
0.11279996,0.20923854,-0.13952175,-0.08086515,-0.02139727,0.05527626,0.21673879,0.27405487,-0.37741147,-0.16553859,-0.26361816,-0.17639607
0.13508507,0.16987505,-0.11760342,-0.1116468,-0.11595393,-0.05227129,0.13937021,0.15150588,-0.15261056,-0.06160212,-0.08074734,-0.12563885
-0.18347797,0.39571068,0.02357928,-0.14701848,-0.36675373,-0.28127606,-0.17462288,0.4958979,0.30680367,-0.05754572,-0.14627421,-0.26600979
0.14577299,-0.52665438,-0.01507005,0.16307021,0.11520511,0.06573783,-0.15235134,-0.41911751,-0.00966741,0.08371513,0.20823937,0.14685421
0.12928219,-0.35587098,-0.07827249,0.14673715,0.12086251,0.03950414,0.01827702,-0.47151118,-0.03489331,0.13259863,0.05348335,0.13002349
0.10387051,-0.27578842,-0.20768674,0.05485734,0.10564317,0.08580158,0.11264645,-0.34285882,-0.12118936,-0.01537136,0.14061336,0.20495451
0.04083213,-0.47712228,-0.30060898,0.07370765,0.21637492,0.19190409,0.09517637,-0.35320539,-0.30401303,-0.00560278,0.11323172,0.34090577
-0.41863405,0.31111548,0.41549126,-0.07108678,-0.39945466,-0.3867627,-0.02374551,0.51699422,0.410111,-0.04683346,-0.52852692,-0.53767399
-0.32096839,0.15600765,0.38875912,-0.04188228,-0.32032561,-0.32377591,-0.0482931,0.35254111,0.34707279,-0.13017887,-0.40498044,-0.31985365
-0.01081931,-0.1708459,-0.09486913,0.09776427,0.1358209,0.14096036,-0.01682762,-0.20687275,-0.05967281,0.1024368,0.21156437,0.03708209
-0.08464712,-0.24384861,-0.13897603,0.09656329,0.16127153,0.16633729,-0.01304756,-0.19985139,-0.0667078,0.04069107,0.22179643,0.18579187
0.20811445,-0.58363655,-0.38151047,0.12487083,0.27025827,0.21610703,0.16108318,-0.41949925,-0.35484757,-0.04126418,0.01201242,0.31289497
-0.38812168,-0.03814996,0.27945052,-0.0348699,-0.18154671,-0.09932258,-0.16063596,0.06023944,0.46132055,0.05568731,-0.03817596,-0.03555942
-0.63556295,-0.07249658,0.31266956,-0.0713302,-0.31111216,-0.13318303,-0.17342742,0.18214569,0.47503467,0.19959059,-0.25435977,-0.15411853
0.11453103,-0.39476781,-0.32285815,0.10342661,0.14350573,0.19588621,0.12852572,-0.39423824,-0.32547223,0.07150079,0.31745077,0.17960743
0.04287186,-0.24863033,-0.19856016,0.08020414,0.16043015,0.20523307,0.1150224,-0.22880557,-0.22572234,0.04361849,0.2383429,0.08704278
-0.02063728,-0.56459376,-0.08139263,0.13446121,0.17009847,0.11454017,-0.10797256,-0.44106623,-0.07783966,0.15261466,0.19315748,0.31730666
-0.06671782,-0.51820632,-0.06492192,0.28077002,0.21467785,0.15771329,-0.05768641,-0.45095587,-0.27456569,0.15482229,0.22257725,0.22551266
