msInspectTop3absPeakIntensity,msInspectTop3absAreaIntensity,msInspectAllabsPeakIntensity,msInspectAllabsAreaIntensity,msBIDTop3absPeakIntensity,msBIDTop3absAreaIntensity,msBIDAllabsPeakIntensity,msBIDAllabsAreaIntensity
436126.51,6756.726633,436126.51,6756.726633,1294791.56,92653.06122,1294791.56,92653.06122
42466683.6,681298.376,133399634.2,2016738.383,350375051,25996483.47,1577275416,101482311.8
35275353.2,803186.4849,44791163.72,1040140.004,224787661.6,19904545.45,320498968.9,32172488.04
144378,282.3167966,144378,282.3167966,9608521,80714.10611,9608521,80714.10611
3704714.06,42547.23669,3904960.75,47476.83824,2341088,90476.19048,2341088,90476.19048
309083.554,4230.945487,309083.554,4230.945487,2177449.75,126437.0546,2467484.32,183562.9454
1404759.05,22439.5139,2483829.755,37123.45763,7700964.56,921389.6458,9666868.96,979318.8011
1271096.1,24000.90584,1271096.1,24000.90584,4558990.68,371428.5714,4558990.68,371428.5714
26972563.98,380943.0855,53886894.97,825333.8466,191469638.2,9510318.665,382734162.5,20953080.42
113695.7,4330.694643,113695.7,4330.694643,720429.7,110357.1429,720429.7,110357.1429
710553.3,33048.62162,710553.3,33048.62162,15441712,1830115.83,15441712,1830115.83
1286650.49,54944.81552,1286650.49,54944.81552,12363288.1,1457619.048,12977440.5,1561904.762
246897426.4,7403915.574,516510335.4,20583473.98,2467416589,436498765.5,7891418896,1464963776
1680539.08,30524.89339,1903930.604,33673.14255,27440841.9,1655048.077,40733026.38,3323918.269
14549716.42,338027.6138,15119241.48,350174.7337,82276881,4912832.93,114760543,7233898.305
10019740.2,199052.2774,14752238.42,278002.7774,58776002,2361301.37,103037225.3,6280136.986
58749846.69,1913471.311,148070741.9,4232452.356,440971342.7,35875628.21,1285035775,132018741.9
93183973.44,2796751.568,175079135.9,5414251.023,436693166.7,51015695.44,1226554519,144442556.2
53383604.6,1336016.223,90321789.66,2627221.581,442696146.9,60255323.93,1268014030,136702609.7
11138668.55,306180.1271,14674631.49,397301.514,106048793.2,5181489.842,155017810.6,10970428.89
149883309.4,2838980.212,264256222.8,4935297.368,593055691,44538139.02,2364505383,183975442.2
121126247.5,4083444.601,222232051.2,7891896.475,849366066.5,95401179.48,2172004045,249460541.8
2718940.265,45595.61791,2718940.265,45595.61791,20146325.5,920661.157,20146325.5,920661.157
71805.965,735.1730769,71805.965,735.1730769,NA,NA,NA,NA
NA,NA,NA,NA,26994.96,13280,26994.96,13280
1507250.74,34685.70626,1547989.885,42662.30882,820070.19,121282.0513,820070.19,121282.0513
77611.774,1907.707092,77611.774,1907.707092,172606.14,28635.34676,172606.14,28635.34676
52187851.84,656876.7258,136136288.4,1797681.714,475750776.4,30127281.67,2239940053,145135513.1
609214.75,9661.659173,609214.75,9661.659173,1310290,128237.4101,1310290,128237.4101
4459296.84,108789.0686,5137311.781,125108.1543,50679120,4009975.062,55686248.82,4425960.1
298237.44,8910.431293,298237.44,8910.431293,6165591.3,1114625.85,6165591.3,1114625.85
94574376.9,2726262.788,247701035.4,5484440.095,641482600.7,37490121.38,2854166521,211546155.2
17705213.23,227196.4504,39147912.03,570876.0567,140006655.2,5338472.834,358182307.7,17206637.3
NA,NA,NA,NA,NA,NA,NA,NA
1986697.2,71730.54587,1986697.2,71730.54587,15381303,2058103.976,15381303,2058103.976
NA,NA,NA,NA,2742745,282296.6507,2742745,282296.6507
134219825.2,2205723.798,252629034.2,4488765.306,572646966.4,33331706.47,1491607600,109522763.6
7440217.01,140528.1952,9495165.71,175897.1787,30118433.25,1695817.49,46595609.45,2745247.148
40531111.52,825607.2259,80180178.91,1426649.422,533404362.5,33205798.9,1682532789,99685118.65
82115.703,1149.380391,82115.703,1149.380391,NA,NA,NA,NA
2842422.52,44963.72372,4041249.21,62015.87775,5363002.6,435431.918,5363002.6,435431.918
86898127.72,2056124.831,145209058.3,3917700.718,612581262.8,51866138.44,1591566817,173778137.4
5236511.91,105095.9938,5236511.91,105095.9938,43597662,1966722.13,96211662.3,5325790.349
5990069.71,328559.3077,7861047.49,394681.4165,106876054.8,11773755.66,241389012.7,35895997.74
6827086.35,110823.9798,9770438.25,164389.1698,31165234,1364421.416,79312149.9,4456131.261
9873950.188,312961.1457,12487542.19,379629.4649,4191861.02,373143.7126,4191861.02,373143.7126
9873950.188,312961.1457,12487542.19,379629.4649,NA,NA,NA,NA
132828.524,2507.331886,132828.524,2507.331886,295426.88,17121.58809,295426.88,17121.58809
1745490.96,108503.616,1745490.96,108503.616,22867340,2170666.667,22867340,2170666.667
4014753.313,97150.30444,4014753.313,97150.30444,20979937,1328054.299,22648990.5,1423076.923
6249751.64,87428.54819,16574080.85,250484.3513,52416680.5,2004078.55,151123851,6234728.097
261484.318,13294.29048,261484.318,13294.29048,936533.62,182222.2222,936533.62,182222.2222
48108672,1739483.559,54301398.24,1980737.562,257434456,29851955.31,421103863,56483240.22
142631.5,4491.296403,142631.5,4491.296403,NA,NA,NA,NA
33491076.5,1047672.586,65483113.44,1798429.713,213716248.4,17079156,501658175.5,44539950.05
833845.5,25723.53975,833845.5,25723.53975,142251092,9297709.924,169205371,14232264.63
123183.06,12077.21966,123183.06,12077.21966,728205,280898.8764,728205,280898.8764
62505730.69,1148305.176,118506509.2,2161240.956,301292786.5,19592458.64,1149960760,79028245.52
NA,NA,NA,NA,NA,NA,NA,NA
31744916.77,2398532.219,35910209.07,3078464.522,310380977.4,114825682.4,645473527.5,237867332.6
66239579,3167712.062,96918923.92,4882827.763,425887698.5,71365637,1171074899,246470482.1
7718036.5,515667.3305,8363840.06,550118.5858,NA,NA,NA,NA
4260026.8,185057.2483,5180000.54,223690.2895,21746914.74,2360139.86,22176321.84,2554195.804
1684791.3,47109.30225,1684791.3,47109.30225,NA,NA,NA,NA
18470278,547790.252,19447187.93,583002.2819,60684961,6870027.248,92099756.46,9407738.42
2316152.3,35831.43349,2316152.3,35831.43349,6022762.7,246105.919,6022762.7,246105.919
9688486.86,170846.7524,23819015.92,446245.4811,71166789.4,3158552.632,170956051.8,9088832.237
2161885.6,26694.87735,4058821.561,55255.81635,12707173.5,565683.6461,20088445.54,964986.5952
141767636.2,4189572.134,336217805.3,8997460.365,1030844537,118490166.7,3150387860,342469704
286300.37,4436.275565,286300.37,4436.275565,121667305,10523613.7,122795058.5,10699383.72
123022689.8,3274380.132,226814028.8,6807925.433,790681725.9,54587367.44,2548037399,309118572
123022689.8,3274380.132,226814028.8,6807925.433,790681725.9,54587367.44,2548037399,309118572
19738113.34,461690.795,19973020.45,465988.8964,108806713,10065009.56,134283027.7,11709751.43
50291488.28,1269553.003,104251364.6,2674293.125,765286594,54976448.6,1625755044,141156084.7
12137766.7,315342.5977,15896202.56,391055.9955,274118465.7,31430475.43,419343022.2,45748875.43
917460.66,26558.57529,917460.66,26558.57529,16847832.7,1853667.954,18897493.5,2097297.297
8736776.5,200359.9725,14314756.03,384955.5838,94234372,4293956.044,147477936.4,11227197.8
18089791,494617.3228,23977692.27,764082.0699,121564912,11608923.88,180771630.8,15856981.63
4786593.15,103998.5335,7374197.99,204618.3094,37836567,2933002.481,54399119.87,5263213.4
NA,NA,NA,NA,9790500,71378.58642,9790500,71378.58642
NA,NA,NA,NA,NA,NA,NA,NA
224333.99,3936.9283,224333.99,3936.9283,143584.64,41393.8754,143584.64,41393.8754
352136.78,8392.406543,371255.218,9491.065309,NA,NA,NA,NA
NA,NA,NA,NA,2942436,405755.3957,2942436,405755.3957
816819.562,26652.12746,816819.562,26652.12746,4661538.73,507784.0909,4661538.73,507784.0909
5812935.7,181820.7872,6438850.51,222593.0993,98364950.5,13301418.44,104402237.1,17362482.27
NA,NA,NA,NA,NA,NA,NA,NA
423713.007,1279.303952,423713.007,1279.303952,3828519.9,39888.33747,3828519.9,39888.33747
NA,NA,NA,NA,414524.5,965909.0909,414524.5,965909.0909
2377.0688,368.3675563,2377.0688,368.3675563,36055.22,2691.318328,36055.22,2691.318328
12372948.3,602708.0363,12372948.3,602708.0363,39550365.8,4909844.56,51596757.96,11650777.2
3891981.3,143971.6184,3891981.3,143971.6184,44148429,5448163.265,54099398,6599183.673
554734.25,24965.20112,554734.25,24965.20112,1356735.4,505586.5922,1356735.4,505586.5922
554734.25,24965.20112,554734.25,24965.20112,NA,NA,NA,NA
27755414.4,651207.594,43418709.24,1204887.691,135459681,9611940.299,270912337.8,26614626.87
NA,NA,NA,NA,NA,NA,NA,NA
1844056.9,111448.7556,1844056.9,111448.7556,10959674.6,1758888.889,15079797.6,3353333.333
335739.048,11208.2456,335739.048,11208.2456,NA,NA,NA,NA
690333.19,49145.03161,690333.19,49145.03161,2112568.9,495402.2989,2112568.9,495402.2989
425600.963,32820.61905,425600.963,32820.61905,4943629.3,864285.7143,4943629.3,864285.7143
337567.2,4890.808989,337567.2,4890.808989,1774897.1,65168.53933,1774897.1,65168.53933
1108598.197,56926.47434,1108598.197,56926.47434,50700179.72,7104895.105,55960925.82,8680769.231
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
48338045.05,1140080.198,116189919.2,3137857.043,479848535.2,46661650.49,1494591243,147991781.2
18007068.1,313731.7636,35789119.58,688775.0854,91577562,4840579.71,245071439.5,19830217.16
NA,NA,NA,NA,NA,NA,NA,NA
715635.0436,8217.942038,715635.0436,8217.942038,822455.56,62137.86214,822455.56,62137.86214
223815904.9,6657305.334,506508646.3,13856220.34,1296166157,106935384.9,4661480910,501062542.3
77478705.1,1564600.815,153062334.9,3133736.631,1166510838,133652646.8,3844206177,474825577.6
63550979.8,3373157.715,85343539.61,4419991.491,352703303,57811474.88,795668656.1,150037208.9
24920735.17,2323372.403,24920735.17,2323372.403,354967090.9,133696834,355771974.4,136601644.1
11474292.1,3788270.615,11474292.1,3788270.615,95228902.88,76284615.38,95228902.88,76284615.38
174610671.7,15550492.29,208958092.7,17006517.39,1062692156,387747655.9,1676249682,495414178.1
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
170726963.8,14758755.54,226762607,19002477.17,905118528.5,292855265.1,1625636216,644439477
51809831.8,5571026.31,55948983.09,6114714.281,NA,NA,NA,NA
4721672.47,698746.9817,4721672.47,698746.9817,222341349.5,109486587,222341349.5,109486587
7770718.534,1428889.645,9326557.694,1649722.381,201578339.1,136355629.7,215162944.4,150183754.7
24096213.15,3901484.579,25103893.11,4034683.482,NA,NA,NA,NA
1278009.31,64000.4605,1278009.31,64000.4605,4664173.5,600000,4664173.5,600000
NA,NA,NA,NA,NA,NA,NA,NA
936056.82,18852.2849,936056.82,18852.2849,5072285,373219.3732,5072285,373219.3732
29441.508,6046.176106,29441.508,6046.176106,402260.5,328761.0619,402260.5,328761.0619
NA,NA,NA,NA,974295.1,129661.0169,974295.1,129661.0169
2837291.25,130564.2891,2837291.25,130564.2891,NA,NA,NA,NA
4545355.502,404230.4446,4613207.652,416211.8936,28098721.9,6853773.585,30462701.19,7714150.943
9777025.59,157399.3988,14485073.74,238939.9307,50298802.5,2163992.87,77375260.06,5008021.39
4263097.54,211307.1893,4263097.54,211307.1893,73333600.5,8683127.572,142790164.1,20242386.83
1505825.41,35369.98332,1753040.148,48492.76112,10048458,1159268.293,10599949.4,1206585.366
67656.295,10663.80723,67656.295,10663.80723,202703.66,66638.65546,202703.66,66638.65546
5568013.47,122643.9138,5568013.47,122643.9138,29507465.6,2657380.952,30851979.7,3388333.333
181751.95,8086.200556,181751.95,8086.200556,NA,NA,NA,NA
191102.596,64460.9275,191102.596,64460.9275,4811084.75,2210869.565,4811084.75,2210869.565
488707.7,23452.53589,488707.7,23452.53589,1224892.9,308133.9713,1224892.9,308133.9713
3631147.6,125243.86,5444504.003,190089.456,32819358,5856666.667,39928962.56,8396666.667
225822.937,13646.11824,225822.937,13646.11824,2595540.94,738244.898,2595540.94,738244.898
13186421.55,260968.1047,17172445.91,374048.1086,97873776,9309417.04,156181179.3,15033654.71
18841514.7,571357.982,18866691.96,572003.7426,NA,NA,NA,NA
NA,NA,NA,NA,1019147.1,187387.3874,1019147.1,187387.3874
17697.797,516.8843318,17697.797,516.8843318,45347.19,9493.087558,45347.19,9493.087558
2009478.9,45047.18421,2009478.9,45047.18421,3236246.5,131578.9474,3236246.5,131578.9474
44965968.32,2804985.714,50838300.7,2977776.022,401175568,58368786.97,932722127,130200392.6
40663362.66,1821462.34,53834023.07,2120001.412,161690428.4,27831551.07,228278036.7,37990112.57
171151.36,16552.22555,171151.36,16552.22555,536722.7,363436.1233,536722.7,363436.1233
1780236.4,94918.5292,1780236.4,94918.5292,18447510.69,4251824.818,18447510.69,4251824.818
1174965.1,90569.7807,1174965.1,90569.7807,17078592.3,3144736.842,17078592.3,3144736.842
37622514.66,1777599.028,49940724.26,2361069.709,612151241.3,106818183.8,1532747229,295534569
242904.62,18902.4906,242904.62,18902.4906,2776133.5,1044736.842,2776133.5,1044736.842
NA,NA,NA,NA,NA,NA,NA,NA
45104671.18,982997.1754,46938724.93,1048751.702,586138252.2,46617283.95,708084924.1,54739094.65
28234536.71,2701544.139,36864478.03,3947225.759,226025897.5,56702083.33,311164074.6,118161116.7
4519916.55,222660.2949,5450458.55,271264.9794,27798484,2570093.458,37725774.75,5314485.981
51944123.53,1909153.391,51944123.53,1909153.391,235041590.9,45249104.41,296960723.4,68829749.57
